Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
A,0,1500,0.0,9375.0,0.88,2017-01-05
A,0,3900,0.0,24375.0,5.3,2017-01-06
A,0,5000,0.0,32000.0,5.87,2017-02-02
A,400,0,2620.0,0.0,0.2,2017-05-23
A,1400,0,9135.0,0.0,1.68,2017-05-31
A,500,0,3275.0,0.0,0.17,2017-07-11
A,200,0,1310.0,0.0,0.05,2017-07-12
A,700,0,4585.0,0.0,0.3,2017-07-13
A,400,0,2620.0,0.0,0.31,2017-07-17
A,200,0,1310.0,0.0,0.1,2017-07-18
A,500,0,3275.0,0.0,0.5,2017-07-27
A,500,0,3275.0,0.0,0.51,2017-07-31
A,600,0,3900.0,0.0,0.43,2017-08-02
A,400,0,2600.0,0.0,0.25,2017-08-10
A,100,0,655.0,0.0,0.05,2017-08-16
A,200,0,1310.0,0.0,0.18,2017-08-21
A,300,0,1965.0,0.0,0.19,2017-08-22
A,600,0,3900.0,0.0,0.5,2017-08-23
A,0,500,0.0,3275.0,0.3,2017-09-15
A,800,0,5200.0,0.0,0.34,2017-09-18
A,400,0,2600.0,0.0,0.28,2017-09-29
A,0,200,0.0,1300.0,0.17,2017-10-04
A,200,0,1300.0,0.0,0.18,2017-10-19
A,0,1300,0.0,8450.0,1.07,2017-10-20
A,0,200,0.0,1300.0,0.1,2017-10-24
A,0,200,0.0,1300.0,0.15,2017-11-02
A,0,300,0.0,1950.0,0.17,2017-12-13
A,0,800,0.0,5240.0,0.4,2018-01-03
A,0,300,0.0,1980.0,0.1,2018-01-05
A,0,300,0.0,1980.0,0.3,2018-01-08
A,100,0,665.0,0.0,0.08,2018-01-24
A,200,0,1330.0,0.0,0.1,2018-01-29
A,200,0,1330.0,0.0,0.15,2018-01-30
A,0,600,0.0,3990.0,0.12,2018-02-02
A,0,200,0.0,1340.0,0.14,2018-02-16
A,0,7500,0.0,50250.0,6.02,2018-03-05
A,0,14900,0.0,99830.0,11.48,2018-03-07
A,0,12100,0.0,81070.0,10.63,2018-03-08
A,2600,0,17325.0,0.0,0.99,2018-03-14
A,0,400,0.0,2680.0,0.4,2018-04-18
A,1,0,6.6,0.0,0.0,2018-04-24
A,1,0,6.6,0.0,0.0,2018-04-25
A,0,200,0.0,1340.0,0.13,2018-04-26
A,1,0,6.5,0.0,0.0,2018-05-03
A,0,100,0.0,670.0,0.06,2018-05-07
A,0,1700,0.0,11305.0,1.3,2018-05-10
A,0,600,0.0,4020.0,0.31,2018-05-15
A,0,1700,0.0,11390.0,1.19,2018-05-16
A,0,1000,0.0,6700.0,0.62,2018-05-17
A,0,800,0.0,5360.0,0.38,2018-05-21
A,2600,100,17420.0,670.0,1.31,2018-05-22
A,0,2500,0.0,16750.0,1.51,2018-05-23
A,0,300,0.0,2010.0,0.14,2018-05-24
A,100,0,665.0,0.0,0.04,2018-08-30
A,200,0,1340.0,0.0,0.25,2018-09-21
A,1,0,6.75,0.0,0.0,2018-09-25
A,100,0,670.0,0.0,0.17,2018-10-01
A,500,0,3350.0,0.0,0.82,2018-10-02
A,200,0,1340.0,0.0,0.4,2018-11-01
A,0,100,0.0,665.0,0.17,2018-11-02
A,0,1,0.0,6.7,0.0,2018-11-16
A,0,3,0.0,20.1,0.01,2018-11-26
A,0,100,0.0,665.0,0.25,2018-11-27
A,0,800,0.0,5360.0,1.18,2018-12-03
A,0,100,0.0,665.0,0.25,2018-12-07
A,48600,0,322940.0,0.0,41.47,2019-01-10
A,0,48600,0.0,318170.0,49.9,2019-01-11
A,200,0,1280.0,0.0,0.55,2019-03-21
A,0,100,0.0,630.0,0.56,2019-05-15
