Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
AAV,151300,1270305,922930.0,7754860.5,3.97,2017-01-04
AAV,1141300,905990,7017140.0,5562004.75,3.89,2017-01-05
AAV,2898200,4848890,18219065.0,30539193.0,4.43,2017-01-06
AAV,4766200,3553800,31305545.0,23364100.0,4.66,2017-01-09
AAV,4650400,8197700,30399080.0,53355630.0,15.78,2017-01-10
AAV,40500,10858852,263650.0,70812395.65,12.95,2017-01-11
AAV,143100,799052,917880.0,5125640.4,2.63,2017-01-12
AAV,117500,2600,752000.0,16645.0,0.54,2017-01-13
AAV,458300,7245100,2938250.0,47037580.0,12.91,2017-01-16
AAV,1638600,3380800,10602305.0,21961665.0,8.99,2017-01-17
AAV,767200,702600,4965165.0,4556070.0,3.92,2017-01-18
AAV,579400,701200,3737130.0,4528130.0,2.73,2017-01-19
AAV,1174700,3564300,7622695.0,23143275.0,9.66,2017-01-20
AAV,90900,408200,586555.0,2638535.0,1.76,2017-01-23
AAV,5317100,5446800,35325885.0,36217935.0,4.6,2017-01-24
AAV,3535000,4562400,23499555.0,30241690.0,5.67,2017-01-25
AAV,783400,1681900,5111285.0,11053795.0,3.71,2017-01-26
AAV,3586500,3235600,21946040.0,19807710.0,2.93,2017-01-27
AAV,1288000,775600,7948590.0,4786500.0,3.85,2017-01-30
AAV,1096200,324800,6700865.0,1996490.0,3.7,2017-01-31
AAV,17600800,2229300,111359820.0,14151020.0,24.75,2017-02-01
AAV,565400,194100,3594475.0,1231965.0,3.0,2017-02-02
AAV,3064400,1909400,19325750.0,12011620.0,19.1,2017-02-03
AAV,59600,278500,368615.0,1724490.0,1.28,2017-02-06
AAV,2646100,2239545,16156685.0,13660514.5,4.21,2017-02-07
AAV,550700,618000,3384695.0,3786060.0,6.14,2017-02-08
AAV,592300,1133100,3719895.0,7049640.0,2.85,2017-02-09
AAV,161000,3183500,1006100.0,19826410.0,15.84,2017-02-10
AAV,14000,524600,86550.0,3232290.0,5.14,2017-02-14
AAV,36500,62200,226365.0,383140.0,0.57,2017-02-15
AAV,2800,57800,17440.0,358080.0,0.57,2017-02-16
AAV,319100,1491400,1978650.0,9241885.0,11.42,2017-02-17
AAV,319800,199900,1984565.0,1236665.0,4.8,2017-02-20
AAV,1143000,153100,7086100.0,945050.0,13.28,2017-02-21
AAV,1017300,1351800,6206300.0,8248185.0,2.77,2017-02-22
AAV,707500,66000,4354280.0,403975.0,7.07,2017-02-23
AAV,1081900,72300,6647585.0,441825.0,9.62,2017-02-24
AAV,467700,186100,2844440.0,1128520.0,0.92,2017-02-27
AAV,546300,163000,3305125.0,986720.0,2.87,2017-02-28
AAV,229800,107100,1400290.0,648825.0,2.82,2017-03-01
AAV,1873300,6688300,11333700.0,40464360.0,20.3,2017-03-02
AAV,259400,1006700,1594840.0,6083505.0,4.92,2017-03-03
AAV,94700,346900,577570.0,2102985.0,2.92,2017-03-06
AAV,230800,1267600,1396380.0,7715715.0,7.13,2017-03-07
AAV,492100,520600,2994170.0,3168265.0,2.64,2017-03-08
AAV,119300,32600,730465.0,199120.0,0.97,2017-03-09
AAV,479800,1355500,2919025.0,8258400.0,16.92,2017-03-10
AAV,259100,677700,1570060.0,4100820.0,5.19,2017-03-13
AAV,526700,2222600,3186760.0,13424255.0,10.8,2017-03-14
AAV,120500,322800,735050.0,1964415.0,4.01,2017-03-15
AAV,267100,378146,1642185.0,2318038.3,1.38,2017-03-16
AAV,111600,445800,690170.0,2758860.0,2.51,2017-03-17
AAV,72600,777008,453750.0,4849649.6,5.22,2017-03-20
AAV,470200,240300,2984755.0,1525475.0,1.18,2017-03-21
AAV,60300,753500,385920.0,4819155.0,1.86,2017-03-22
AAV,408300,194900,2630285.0,1257050.0,2.53,2017-03-23
AAV,219700,289100,1394635.0,1839715.0,2.75,2017-03-24
AAV,631400,673300,3977830.0,4241790.0,8.45,2017-03-27
AAV,2190800,3880300,14240465.0,25147310.0,8.82,2017-03-28
AAV,179400,981100,1160600.0,6358700.0,8.45,2017-03-29
AAV,208400,237500,1344180.0,1541985.0,1.88,2017-03-30
AAV,44800,105200,288980.0,683540.0,0.93,2017-03-31
AAV,194800,444700,1269760.0,2903150.0,0.98,2017-04-03
AAV,81900,93300,528055.0,602720.0,0.74,2017-04-04
AAV,108100,347000,691870.0,2222765.0,2.24,2017-04-05
AAV,15600,95200,99155.0,604510.0,0.44,2017-04-07
AAV,155400,114400,986960.0,727325.0,1.14,2017-04-10
AAV,4000,55300,25525.0,351555.0,0.44,2017-04-11
AAV,176900,47700,1123400.0,302175.0,1.1,2017-04-12
AAV,98900,11426800,610600.0,71095735.0,26.91,2017-04-17
AAV,741300,3459300,4596085.0,21462695.0,17.45,2017-04-18
AAV,9100,7018500,56420.0,43514665.0,25.15,2017-04-19
AAV,587300,27700,3591880.0,170470.0,1.49,2017-04-20
AAV,64600,68800,397910.0,425440.0,0.46,2017-04-21
AAV,23300,143600,143600.0,883440.0,1.15,2017-04-24
AAV,115400,77300,704590.0,472670.0,0.99,2017-04-25
AAV,29000,11400,177790.0,69590.0,0.99,2017-04-26
