Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
AEC,0,1000,0.0,570.0,0.05,2017-01-06
AEC,0,275000,0.0,158767.0,6.62,2017-01-10
AEC,200,200,114.0,116.0,0.02,2017-01-11
AEC,100000,0,59000.0,0.0,12.29,2017-01-13
AEC,0,18000,0.0,10440.0,0.9,2017-01-17
AEC,0,25900,0.0,15022.0,2.1,2017-01-18
AEC,100000,0,58000.0,0.0,29.97,2017-01-24
AEC,10100,600000,6060.0,367000.0,2.89,2017-01-25
AEC,0,200100,0.0,121660.0,4.41,2017-01-26
AEC,60200,550000,37926.0,346000.0,5.14,2017-01-27
AEC,651000,1207300,436180.0,808885.0,3.33,2017-01-30
AEC,127000,300000,86360.0,204000.0,1.6,2017-01-31
AEC,84600,5000,58028.0,3400.0,0.24,2017-02-01
AEC,1000,234600,670.0,157528.0,2.94,2017-02-02
AEC,50000,1000,33500.0,660.0,1.57,2017-02-03
AEC,5000,80000,3400.0,53600.0,2.35,2017-02-06
AEC,0,10000,0.0,6700.0,0.06,2017-02-07
AEC,4600,630000,3046.0,415800.0,16.71,2017-02-08
AEC,30000,0,19500.0,0.0,0.96,2017-02-09
AEC,100,0,66.0,0.0,0.01,2017-02-10
AEC,50000,0,30000.0,0.0,1.36,2017-02-16
AEC,0,100000,0.0,60000.0,2.05,2017-02-27
AEC,20000,0,12000.0,0.0,3.09,2017-03-02
AEC,0,300000,0.0,179995.0,20.56,2017-03-10
AEC,300,0,183.0,0.0,0.03,2017-03-13
AEC,0,70300,0.0,42180.0,1.8,2017-03-14
AEC,0,2000000,0.0,1206222.0,40.81,2017-03-16
AEC,0,2002000,0.0,1244540.0,31.83,2017-03-27
AEC,20000,0,13000.0,0.0,0.28,2017-03-28
AEC,1600,0,1008.0,0.0,0.52,2017-03-29
AEC,8400,0,5376.0,0.0,1.2,2017-03-30
AEC,0,1017600,0.0,626010.0,27.38,2017-04-04
AEC,20000,0,12000.0,0.0,1.48,2017-04-24
AEC,0,385300,0.0,231433.0,11.14,2017-05-12
AEC,0,196600,0.0,119376.0,13.47,2017-05-17
AEC,0,70000,0.0,42600.0,5.26,2017-05-18
AEC,0,50000,0.0,30500.0,0.45,2017-05-19
AEC,0,50000,0.0,31500.0,1.09,2017-05-22
AEC,0,10500,0.0,6615.0,1.71,2017-05-23
AEC,0,20000,0.0,12000.0,0.96,2017-05-31
AEC,0,25000,0.0,15000.0,1.25,2017-06-23
AEC,0,20000,0.0,12200.0,0.11,2017-07-04
AEC,0,20000,0.0,12300.0,0.08,2017-07-05
AEC,0,50000,0.0,30500.0,0.45,2017-07-06
AEC,30000,0,18000.0,0.0,0.2,2017-07-13
AEC,26800,0,15812.0,0.0,0.1,2017-07-14
AEC,0,26800,0.0,15812.0,0.15,2017-07-17
AEC,0,30000,0.0,18000.0,0.13,2017-07-19
AEC,50000,0,30000.0,0.0,3.1,2017-07-21
AEC,50000,236800,29500.0,139212.0,15.46,2017-07-25
AEC,50000,500000,30000.0,295000.0,27.34,2017-07-26
AEC,100000,313600,60000.0,185024.0,29.84,2017-07-27
AEC,0,41000,0.0,24190.0,18.0,2017-07-31
AEC,0,381600,0.0,221328.0,1.14,2017-08-01
AEC,0,1296500,0.0,739005.0,32.96,2017-08-02
AEC,0,250000,0.0,140000.0,5.4,2017-08-11
AEC,1500,0,840.0,0.0,0.04,2017-08-15
AEC,5000,0,2850.0,0.0,0.03,2017-08-21
AEC,25000,3505500,14000.0,1963075.0,44.71,2017-08-30
AEC,0,24900,0.0,13944.0,3.28,2017-09-01
AEC,0,227500,0.0,127400.0,11.98,2017-09-12
AEC,0,1600,0.0,928.0,0.12,2017-09-20
AEC,300000,0,177000.0,0.0,5.21,2017-10-02
AEC,9900,0,5940.0,0.0,2.45,2017-10-25
AEC,126500,0,75900.0,0.0,48.99,2017-10-27
AEC,1500,4600000,870.0,2698694.0,35.43,2017-10-30
AEC,0,1400,0.0,826.0,0.12,2017-11-01
AEC,0,136400,0.0,80476.0,7.85,2017-11-14
AEC,0,100,0.0,63.0,0.0,2017-11-17
AEC,300,0,183.0,0.0,0.0,2017-11-20
AEC,0,200000,0.0,118000.0,12.83,2017-11-27
AEC,0,200000,0.0,118000.0,39.23,2017-11-28
AEC,0,300000,0.0,177000.0,17.02,2017-12-04
AEC,0,800000,0.0,464000.0,34.78,2017-12-06
AEC,0,19100,0.0,11269.0,3.66,2017-12-29
AEC,7900,0,4661.0,0.0,0.55,2018-01-05
AEC,0,15800,0.0,8848.0,0.32,2018-01-16
AEC,100000,0,58000.0,0.0,1.25,2018-01-18
AEC,100000,0,59000.0,0.0,8.98,2018-01-19
AEC,100,0,57.0,0.0,0.0,2018-01-24
AEC,0,20000,0.0,11000.0,5.24,2018-02-02
AEC,0,100,0.0,57.0,0.04,2018-02-16
AEC,0,700000,0.0,385000.0,25.16,2018-02-20
AEC,0,1000000,0.0,540000.0,13.8,2018-02-21
AEC,237000,0,130350.0,0.0,49.89,2018-03-15
AEC,20000,0,11600.0,0.0,0.23,2018-03-20
AEC,0,600000,0.0,326461.0,31.69,2018-04-23
AEC,0,32000,0.0,16320.0,9.81,2018-04-30
AEC,1000,31000,540.0,15920.0,1.03,2018-05-02
AEC,22500,0,10575.0,0.0,23.89,2018-07-03
AEC,0,20000,0.0,9000.0,1.74,2018-07-10
AEC,0,22500,0.0,10350.0,18.88,2018-07-19
AEC,900,0,450.0,0.0,0.49,2018-08-02
AEC,2500,0,1225.0,0.0,2.16,2018-08-08
AEC,0,2400,0.0,1176.0,5.48,2018-08-14
AEC,0,100,0.0,51.0,0.0,2018-08-20
AEC,1000,0,480.0,0.0,0.31,2018-12-24
AEC,100,0,47.0,0.0,0.01,2018-12-25
AEC,0,100,0.0,47.0,1.85,2019-01-07
AEC,10000,10000,5000.0,4800.0,0.87,2019-02-07
AEC,11900,0,5593.0,0.0,3.83,2019-02-13
AEC,83100,72400,47307.0,40752.0,0.34,2019-02-14
AEC,0,22600,0.0,12882.0,0.4,2019-02-15
AEC,0,75600,0.0,37800.0,13.25,2019-03-28
AEC,0,126600,0.0,63300.0,26.33,2019-04-01
AEC,0,74600,0.0,37300.0,28.67,2019-04-10
AEC,0,592800,0.0,299040.0,28.59,2019-04-11
AEC,0,200,0.0,100.0,0.2,2019-04-12
AEC,0,19900,0.0,9950.0,10.56,2019-04-17
AEC,10000,0,4800.0,0.0,2.2,2019-04-22
AEC,0,950000,0.0,483500.0,8.01,2019-05-09
AEC,100,0,51.0,0.0,0.0,2019-05-10
AEC,0,10000,0.0,5100.0,0.26,2019-05-13
AEC,0,100,0.0,50.0,0.01,2019-05-14
