Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
AHC,0,30000,0.0,1051750.0,30.55,2017-01-16
AHC,300,0,10800.0,0.0,6.82,2017-01-26
AHC,0,200,0.0,7400.0,1.1,2017-01-30
AHC,0,15000,0.0,525000.0,13.07,2017-02-10
AHC,0,21300,0.0,750825.0,22.95,2017-02-22
AHC,0,3400,0.0,119850.0,11.26,2017-02-23
AHC,0,900,0.0,31725.0,2.08,2017-02-24
AHC,0,11000,0.0,385000.0,16.77,2017-02-27
AHC,0,10000,0.0,352500.0,39.68,2017-03-01
AHC,0,15600,0.0,546000.0,26.17,2017-03-14
AHC,0,22800,0.0,792300.0,36.08,2017-03-16
AHC,0,1000,0.0,34750.0,1.92,2017-04-04
AHC,0,29000,0.0,1007750.0,36.34,2017-04-07
AHC,0,10000,0.0,347500.0,28.09,2017-04-10
AHC,0,10000,0.0,347500.0,18.94,2017-04-11
AHC,100,0,3275.0,0.0,0.68,2017-06-08
AHC,300,0,9825.0,0.0,6.0,2017-06-12
AHC,0,200,0.0,6350.0,5.56,2017-06-13
AHC,0,200,0.0,6325.0,16.67,2017-06-15
AHC,100,0,2725.0,0.0,0.22,2017-08-18
AHC,100,0,2725.0,0.0,1.32,2017-08-23
AHC,100,0,2825.0,0.0,0.11,2017-08-30
AHC,100,0,2800.0,0.0,4.55,2017-08-31
AHC,100,0,2800.0,0.0,1.09,2017-09-01
AHC,1200,0,33025.0,0.0,1.46,2017-09-07
AHC,100,0,2725.0,0.0,0.49,2017-09-14
AHC,600,2000,15300.0,50500.0,0.59,2017-09-18
AHC,4200,0,108150.0,0.0,2.59,2017-09-21
AHC,200,0,5000.0,0.0,0.1,2017-09-29
AHC,0,300,0.0,7650.0,0.34,2017-10-04
AHC,200,0,5050.0,0.0,0.09,2017-10-06
AHC,200,0,5050.0,0.0,0.08,2017-10-09
AHC,100,0,2500.0,0.0,0.06,2017-10-10
