Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
AJ,8900,20700,100570.0,236050.0,2.49,2017-01-04
AJ,4000,23200,45600.0,265900.0,1.59,2017-01-05
AJ,4000,29800,51200.0,362800.0,0.3,2017-01-06
AJ,12000,15400,156800.0,198730.0,0.37,2017-01-09
AJ,43800,64000,563780.0,832030.0,1.7,2017-01-10
AJ,187800,101500,2457070.0,1325780.0,9.33,2017-01-11
AJ,279000,13700,3627000.0,179770.0,9.95,2017-01-12
AJ,33000,36500,445700.0,495390.0,0.93,2017-01-13
AJ,204700,8900,2825350.0,123390.0,2.26,2017-01-16
AJ,531100,45200,7005340.0,610850.0,2.14,2017-01-17
AJ,557600,4500,7350530.0,58120.0,9.22,2017-01-18
AJ,1216600,800,15153070.0,9910.0,17.78,2017-01-19
AJ,74600,0,954880.0,0.0,4.53,2017-01-20
AJ,15200,0,199560.0,0.0,1.34,2017-01-23
AJ,3200,8200,42210.0,107420.0,0.04,2017-01-24
AJ,2500,1000,33000.0,13200.0,0.28,2017-01-25
AJ,193700,8500,2537470.0,112120.0,11.73,2017-01-26
AJ,2700,11400,35910.0,151430.0,1.31,2017-01-27
AJ,33100,6000,451100.0,82800.0,1.52,2017-01-30
AJ,17900,2000,244870.0,27400.0,1.35,2017-01-31
AJ,76100,5100,1075470.0,71470.0,1.69,2017-02-01
AJ,7000,44400,98700.0,624590.0,1.82,2017-02-02
AJ,190400,11300,2793200.0,165100.0,3.02,2017-02-03
AJ,318200,12600,4753040.0,188380.0,4.48,2017-02-06
AJ,710200,39200,9728250.0,557130.0,5.88,2017-02-07
AJ,465200,3000,5973440.0,39930.0,8.87,2017-02-08
AJ,11400,13800,153900.0,185720.0,1.23,2017-02-09
AJ,0,6500,0.0,88440.0,0.38,2017-02-10
AJ,29000,73700,382800.0,974010.0,8.46,2017-02-14
AJ,21000,158900,277200.0,2071980.0,7.37,2017-02-15
AJ,3800,83100,49400.0,1077150.0,5.88,2017-02-16
AJ,0,35400,0.0,463260.0,5.26,2017-02-17
AJ,20000,25300,266000.0,334220.0,11.35,2017-02-20
AJ,0,40000,0.0,534030.0,6.65,2017-02-21
AJ,25300,98100,332400.0,1278980.0,7.31,2017-02-22
AJ,0,8900,0.0,116690.0,1.4,2017-02-23
AJ,55200,11300,741480.0,149830.0,7.03,2017-02-24
AJ,700,17900,9390.0,240530.0,0.64,2017-02-27
AJ,51800,1600,714900.0,22260.0,1.04,2017-02-28
AJ,20000,40500,280000.0,568240.0,1.16,2017-03-01
AJ,67900,93600,1008730.0,1386730.0,0.79,2017-03-02
AJ,77700,135300,1171480.0,2065720.0,1.31,2017-03-03
AJ,99100,65000,1486470.0,958790.0,2.01,2017-03-06
AJ,11200,71200,164070.0,1048340.0,2.2,2017-03-07
AJ,116200,31200,1678350.0,446350.0,1.95,2017-03-08
AJ,44000,34400,646800.0,502780.0,2.8,2017-03-09
AJ,126300,35900,1875470.0,531550.0,2.61,2017-03-10
AJ,33600,70200,505480.0,1044640.0,0.81,2017-03-13
AJ,104700,84700,1575070.0,1291710.0,1.5,2017-03-14
AJ,186800,59100,2980440.0,938690.0,1.58,2017-03-15
AJ,120000,26500,1893660.0,417380.0,2.71,2017-03-16
AJ,209600,12000,3308960.0,189600.0,12.09,2017-03-17
AJ,122400,10000,1946760.0,159130.0,3.67,2017-03-20
AJ,32300,300,512760.0,4710.0,2.05,2017-03-21
AJ,79700,25500,1230140.0,394110.0,2.25,2017-03-22
AJ,148500,89100,2221590.0,1326220.0,3.71,2017-03-23
AJ,278100,74500,3989530.0,1051520.0,3.15,2017-03-24
AJ,191100,5400,2712570.0,76470.0,5.65,2017-03-27
AJ,102900,5400,1474690.0,77280.0,3.86,2017-03-28
AJ,2300,81500,33650.0,1190500.0,2.28,2017-03-29
AJ,200,54300,2900.0,786790.0,2.94,2017-03-30
AJ,78600,72800,1101000.0,1027720.0,2.38,2017-03-31
AJ,0,43100,0.0,601650.0,2.93,2017-04-03
AJ,76000,145100,1083000.0,2050100.0,7.72,2017-04-04
AJ,28200,243400,392970.0,3378030.0,10.46,2017-04-05
AJ,29000,167600,404110.0,2300380.0,5.84,2017-04-07
AJ,3600,45900,49910.0,638580.0,4.12,2017-04-10
AJ,0,118100,0.0,1650800.0,7.8,2017-04-11
AJ,500,80100,7000.0,1121370.0,8.22,2017-04-12
AJ,61900,99900,866600.0,1396210.0,17.17,2017-04-17
AJ,35900,159800,531980.0,2360040.0,0.98,2017-04-18
AJ,0,90300,0.0,1321120.0,3.3,2017-04-19
AJ,0,76000,0.0,1096010.0,7.55,2017-04-20
AJ,10000,55800,149000.0,822700.0,0.87,2017-04-21
AJ,0,72500,0.0,1059640.0,3.08,2017-04-24
AJ,438100,19800,6221020.0,281590.0,18.89,2017-04-25
AJ,0,31200,0.0,446160.0,3.25,2017-04-26
AJ,1800,37200,25710.0,535200.0,3.62,2017-04-27
AJ,0,78200,0.0,1120890.0,14.1,2017-04-28
AJ,0,17600,0.0,251770.0,2.25,2017-05-02
AJ,0,11400,0.0,162390.0,0.68,2017-05-03
AJ,46200,900,659020.0,12590.0,2.86,2017-05-04
AJ,71400,0,1012180.0,0.0,5.61,2017-05-05
AJ,21500,0,304560.0,0.0,2.11,2017-05-08
AJ,8800,54500,123870.0,764010.0,8.81,2017-05-09
AJ,8500,87800,117940.0,1217370.0,8.61,2017-05-11
AJ,2200,31800,30120.0,434080.0,3.89,2017-05-12
AJ,9000,10500,125500.0,147150.0,1.27,2017-05-15
AJ,23800,42400,340250.0,605010.0,2.89,2017-05-16
AJ,11600,49700,164160.0,705520.0,2.58,2017-05-17
AJ,1100,55700,15070.0,772740.0,10.16,2017-05-18
AJ,100,400,1400.0,5560.0,0.14,2017-05-22
AJ,4600,0,63480.0,0.0,1.06,2017-05-23
AJ,5500,54700,76590.0,757660.0,3.64,2017-05-24
AJ,20000,43100,275000.0,590780.0,2.84,2017-05-25
AJ,13600,0,188770.0,0.0,1.3,2017-05-26
AJ,0,200,0.0,2770.0,0.07,2017-05-29
AJ,0,700,0.0,9640.0,0.11,2017-05-30
AJ,1900,66900,26050.0,916540.0,13.8,2017-05-31
AJ,1500,20900,20400.0,286330.0,3.02,2017-06-01
AJ,300,0,4110.0,0.0,0.04,2017-06-06
AJ,0,2600,0.0,35880.0,0.76,2017-06-08
AJ,0,2900,0.0,40270.0,0.72,2017-06-09
AJ,0,7700,0.0,107170.0,0.29,2017-06-12
AJ,0,4900,0.0,69430.0,0.37,2017-06-13
AJ,0,700,0.0,9870.0,0.38,2017-06-14
AJ,300,0,4260.0,0.0,0.05,2017-06-15
AJ,5200,0,75220.0,0.0,0.07,2017-06-16
AJ,0,30800,0.0,446060.0,1.27,2017-06-19
AJ,10000,1800,142000.0,25560.0,0.88,2017-06-20
AJ,0,10100,0.0,143160.0,1.13,2017-06-21
AJ,0,17000,0.0,240740.0,1.12,2017-06-22
AJ,24600,8400,341260.0,116650.0,2.38,2017-06-23
AJ,1700,13700,23550.0,189120.0,5.25,2017-06-26
AJ,10100,13800,138370.0,190440.0,2.59,2017-06-27
AJ,7900,28200,106140.0,382830.0,2.65,2017-06-28
AJ,7400,88800,98610.0,1187280.0,7.52,2017-06-29
AJ,2400,11300,31680.0,148800.0,1.54,2017-06-30
AJ,400,3900,5240.0,51090.0,0.16,2017-07-03
AJ,400,3200,5200.0,41600.0,0.82,2017-07-04
AJ,0,15800,0.0,205580.0,1.35,2017-07-05
AJ,300,17400,3900.0,229190.0,2.46,2017-07-06
AJ,200,65600,2720.0,891510.0,2.15,2017-07-07
AJ,0,13700,0.0,192160.0,0.54,2017-07-11
AJ,10000,0,138000.0,0.0,0.97,2017-07-12
AJ,400,0,5450.0,0.0,0.09,2017-07-14
AJ,200,0,2720.0,0.0,0.24,2017-07-17
AJ,0,200,0.0,2760.0,0.02,2017-07-18
AJ,100,0,1360.0,0.0,0.04,2017-07-21
AJ,0,2000,0.0,26800.0,6.21,2017-07-27
AJ,100,1100,1300.0,14560.0,0.18,2017-08-01
AJ,2100,150000,27560.0,1964370.0,35.62,2017-08-04
AJ,2100,0,27720.0,0.0,0.42,2017-08-07
AJ,0,400,0.0,5280.0,0.26,2017-08-08
AJ,0,1700,0.0,22440.0,1.15,2017-08-09
AJ,0,3400,0.0,45400.0,1.14,2017-08-10
AJ,2500,2000,34250.0,27230.0,0.17,2017-08-11
AJ,25000,2000,348100.0,28050.0,0.58,2017-08-15
AJ,49100,0,650780.0,0.0,2.28,2017-08-16
AJ,4000,5000,54520.0,69000.0,1.31,2017-08-17
AJ,100,200,1370.0,2740.0,0.04,2017-08-18
AJ,15200,79400,209920.0,1111220.0,7.82,2017-08-21
AJ,19600,1600,271760.0,22200.0,1.56,2017-08-22
AJ,3500,0,48120.0,0.0,0.9,2017-08-23
AJ,800,2700,11120.0,37330.0,0.37,2017-08-24
AJ,1600,0,21740.0,0.0,0.78,2017-08-25
AJ,700,10500,9450.0,142800.0,14.32,2017-08-28
AJ,6300,0,86030.0,0.0,5.18,2017-08-29
AJ,500,400,6750.0,5360.0,0.19,2017-08-30
AJ,4500,500,59530.0,6610.0,0.65,2017-08-31
AJ,8000,0,106290.0,0.0,2.25,2017-09-01
AJ,500,200,6640.0,2660.0,0.07,2017-09-04
AJ,2500,3900,34020.0,53110.0,0.15,2017-09-05
AJ,6800,8000,95140.0,111900.0,0.31,2017-09-06
AJ,5100,29300,71810.0,411800.0,1.06,2017-09-07
AJ,5600,0,78400.0,0.0,0.63,2017-09-08
AJ,15400,1900,221980.0,26940.0,0.21,2017-09-11
AJ,10600,103800,154000.0,1505480.0,4.4,2017-09-12
AJ,70300,421800,1035600.0,6271320.0,8.1,2017-09-13
