Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
AJA,1000000,2285800,1910000.0,4369192.0,5.72,2017-01-04
AJA,2469400,7265600,4828761.0,14124629.0,2.14,2017-01-05
AJA,216000,425100,422270.0,830817.0,0.39,2017-01-06
AJA,2692000,2269000,5135483.0,4313280.0,4.69,2017-01-09
AJA,601000,878600,1161895.0,1689644.0,0.96,2017-01-10
AJA,190200,3311600,370049.0,6453238.0,2.58,2017-01-11
AJA,134700,265400,259624.0,511576.0,0.45,2017-01-12
AJA,129300,5924600,248356.0,11407961.0,11.79,2017-01-13
AJA,6000,257600,11530.0,497719.0,0.34,2017-01-16
AJA,61300,401400,118025.0,770844.0,0.93,2017-01-17
AJA,102600,81000,197586.0,155520.0,0.27,2017-01-18
AJA,1751500,375500,3279496.0,698433.0,1.95,2017-01-19
AJA,25500,2049800,47465.0,3822628.0,2.55,2017-01-20
AJA,4321800,72500,8098202.0,137010.0,3.42,2017-01-23
AJA,4405400,35011400,8193268.0,64795693.0,16.79,2017-01-24
AJA,3800,248300,7031.0,458972.0,0.31,2017-01-25
AJA,4100,87500,7505.0,159308.0,0.2,2017-01-26
AJA,520000,12537400,941300.0,22631563.0,15.89,2017-01-27
AJA,128500,345200,233685.0,622135.0,1.28,2017-01-30
AJA,155100,13000,279656.0,23530.0,0.45,2017-01-31
AJA,3100000,3018400,5590000.0,5443122.0,14.3,2017-02-01
AJA,304000,400634,547160.0,721140.86,1.72,2017-02-02
AJA,536200,3587000,943541.0,6296149.0,4.53,2017-02-03
AJA,1395700,622000,2422181.0,1075950.0,3.38,2017-02-06
AJA,741800,480600,1237056.0,818306.0,0.66,2017-02-07
AJA,343200,3015800,594220.0,5235808.0,2.73,2017-02-08
AJA,498100,31000,856626.0,53085.0,1.61,2017-02-09
AJA,61500,1196300,105794.0,2056807.0,4.85,2017-02-10
AJA,205700,617900,351649.0,1053693.0,4.42,2017-02-14
AJA,22800,470000,38908.0,800358.0,1.67,2017-02-15
AJA,37500,37400,63005.0,63131.0,0.46,2017-02-16
AJA,954600,429100,1663477.0,742553.0,0.76,2017-02-17
AJA,20100,145600,34847.0,252559.0,0.39,2017-02-20
AJA,28100,151300,47771.0,258108.0,0.43,2017-02-21
AJA,414200,75900,688982.0,126738.0,0.42,2017-02-22
AJA,1603600,100001,2642207.0,166001.66,5.7,2017-02-23
AJA,1038400,0,1713371.0,0.0,4.31,2017-02-24
AJA,2562500,0,4171686.0,0.0,7.82,2017-02-27
AJA,1110500,428700,1777266.0,689431.0,3.33,2017-02-28
AJA,0,246700,0.0,407092.0,0.31,2017-03-01
AJA,8198600,4314600,14158087.0,7440179.0,4.32,2017-03-02
AJA,39900,231100,68368.0,394816.0,0.43,2017-03-03
AJA,79900,7136600,140061.0,12492078.0,3.71,2017-03-06
AJA,30900,385000,54586.0,677561.0,0.32,2017-03-07
AJA,6351400,671700,11279069.0,1190963.0,2.8,2017-03-08
AJA,600,248400,1068.0,439750.0,0.25,2017-03-09
AJA,50700,4018669,90239.0,7120323.13,4.65,2017-03-10
AJA,5241800,153300,8900651.0,262254.0,7.18,2017-03-13
AJA,1757200,405700,2957822.0,692419.0,3.99,2017-03-14
AJA,2736200,784500,4577705.0,1316935.0,5.19,2017-03-15
AJA,767300,233600,1286037.0,392643.0,2.0,2017-03-16
AJA,75021200,194663800,111441523.0,295717592.0,13.52,2017-03-17
AJA,17615200,17578300,28955270.0,28810311.0,4.69,2017-03-20
AJA,41500,1121300,67436.0,1834288.0,1.04,2017-03-21
AJA,80000,589900,128800.0,949869.0,0.87,2017-03-22
AJA,30000,155500,48000.0,247245.0,0.34,2017-03-23
AJA,10000,53600,16100.0,85670.0,0.1,2017-03-24
AJA,6400,61000,10186.0,96540.0,0.17,2017-03-27
AJA,50000,22000,80500.0,35010.0,0.12,2017-03-28
AJA,12812600,13028400,20237671.0,20538871.0,34.21,2017-03-29
AJA,2108800,22500,3418323.0,36650.0,1.97,2017-03-30
AJA,303400,989300,498418.0,1609599.0,1.2,2017-03-31
AJA,116800,349000,189703.0,567989.0,1.17,2017-04-03
AJA,3576900,3873700,5965536.0,6484569.0,3.54,2017-04-04
AJA,121200,135800,201328.0,224292.0,0.33,2017-04-05
AJA,817800,0,1363980.0,0.0,0.74,2017-04-07
AJA,1317900,535500,2225493.0,897964.0,3.19,2017-04-10
AJA,88400,306200,148028.0,512584.0,0.99,2017-04-11
AJA,115000,92200,192050.0,154074.0,1.71,2017-04-12
AJA,227400,235100,374922.0,388630.0,0.84,2017-04-17
AJA,10100,258400,16564.0,423776.0,0.45,2017-04-18
AJA,897800,715800,1446458.0,1157728.0,2.79,2017-04-19
AJA,390300,470600,629116.0,754237.0,0.95,2017-04-20
AJA,315500,98600,508175.0,158846.0,1.29,2017-04-21
AJA,983900,1636400,1593703.0,2673566.0,1.45,2017-04-24
AJA,1706400,407600,2654392.0,638945.0,0.98,2017-04-25
AJA,132500,441000,202725.0,674594.0,1.27,2017-04-26
AJA,12300,321400,18716.0,489665.0,0.95,2017-04-27
AJA,0,114700,0.0,175747.0,0.26,2017-04-28
AJA,56000,44400,86700.0,68530.0,0.25,2017-05-02
AJA,25103500,58600,38659390.0,90244.0,30.04,2017-05-03
AJA,150000,50500,231500.0,78275.0,0.43,2017-05-04
AJA,21100,0,32484.0,0.0,0.1,2017-05-05
AJA,13300,950700,20349.0,1454571.0,1.82,2017-05-08
AJA,17685500,18234600,26461591.0,27511651.0,21.66,2017-05-09
AJA,273200,21000,388205.0,30430.0,0.54,2017-05-11
AJA,4515200,18317900,5869692.0,24004198.0,12.36,2017-05-12
AJA,5096800,7173900,6092056.0,8574452.0,4.32,2017-05-15
AJA,6584037,56921337,5617890.72,47694453.72,3.59,2017-09-29
AJA,54431117,43568517,38502062.39,30703803.56,2.41,2017-10-02
AJA,71917400,73171000,52685782.0,52776937.0,8.92,2017-10-03
AJA,4678700,2455700,3456002.0,1783898.0,0.84,2017-10-04
AJA,1943800,795200,1369937.0,550840.0,1.34,2017-10-05
AJA,742600,1000000,509831.0,682000.0,1.22,2017-10-06
AJA,1849500,115500,1151023.0,72574.0,1.45,2017-10-09
AJA,357800,8800,228125.0,5539.0,0.55,2017-10-10
AJA,27100,930700,16859.0,587327.0,1.95,2017-10-11
AJA,121200,169700,73982.0,104629.0,0.77,2017-10-12
AJA,10847023,10405100,7115215.92,6792240.0,16.79,2017-10-16
AJA,23400,12890900,15092.0,8235572.0,17.61,2017-10-17
AJA,102600,1000600,62627.0,622547.0,3.99,2017-10-18
AJA,404000,1396223,246482.0,860096.03,4.97,2017-10-19
AJA,46300,495700,28244.0,306372.0,4.02,2017-10-20
AJA,4665500,148400,2844324.0,89040.0,14.14,2017-10-24
AJA,21400,20200,12840.0,12120.0,0.52,2017-10-25
AJA,2875900,3474800,1691453.0,1959569.0,6.55,2017-10-27
AJA,147200,12800,83956.0,7393.0,0.97,2017-10-30
AJA,1895900,366200,1061256.0,205072.0,7.96,2017-10-31
AJA,74201,25200,40834.55,13917.0,0.61,2017-11-01
AJA,2000,57500,1103.0,31628.0,0.41,2017-11-02
AJA,5500,18700,2994.0,10272.0,0.14,2017-11-03
AJA,514800,3696700,268451.0,1927243.0,12.66,2017-11-06
AJA,421900,830700,202660.3,412736.0,1.88,2017-11-07
AJA,31800,188800,15261.0,90621.0,0.92,2017-11-08
AJA,566600,1984400,236014.0,813294.0,2.19,2017-11-09
AJA,244300,346100,97506.0,137495.0,0.61,2017-11-10
AJA,40000,4400,17191.0,1921.0,0.33,2017-11-13
AJA,115500,43700,49667.0,18771.0,0.74,2017-11-14
AJA,414200,1892500,188278.0,843513.0,2.43,2017-11-15
AJA,99900,3206400,47603.0,1527164.0,6.99,2017-11-16
AJA,155200,543900,72945.0,255573.0,3.1,2017-11-17
AJA,1960200,6210500,1118681.0,3258912.0,1.53,2017-11-20
AJA,6539800,970300,3985718.0,578919.0,2.53,2017-11-21
AJA,256200,436700,150156.0,257290.0,0.7,2017-11-22
AJA,512000,311900,292960.0,179341.0,1.1,2017-11-23
AJA,27000,1100,15175.0,631.0,0.07,2017-11-24
AJA,85300,47900,48824.0,27780.0,0.09,2017-11-27
AJA,40600,35200,22745.0,20064.0,0.19,2017-11-28
AJA,1382800,454600,826572.0,269198.0,0.95,2017-11-29
AJA,63900,1000400,36962.0,580231.0,2.48,2017-11-30
AJA,6302500,6293900,3781250.0,3776005.0,14.27,2017-12-01
AJA,143200,15000,84382.0,8885.0,0.32,2017-12-04
AJA,21500,141600,12370.0,83539.0,0.61,2017-12-06
AJA,242000,67500,137740.0,37916.0,0.68,2017-12-07
AJA,300,100300,165.0,55165.0,0.62,2017-12-12
AJA,0,200,0.0,110.0,0.0,2017-12-13
AJA,772100,1169876,412302.0,628729.5,11.9,2017-12-15
AJA,32000,1681800,17351.0,915743.0,2.76,2017-12-18
AJA,127000,79000,72554.0,45050.0,0.24,2017-12-19
AJA,64400,29400,36064.0,16464.0,1.16,2017-12-20
AJA,11500,36400,6325.0,20020.0,0.46,2017-12-21
AJA,10000,0,5500.0,0.0,0.08,2017-12-22
AJA,0,200,0.0,110.0,0.0,2017-12-25
AJA,65000,200,35100.0,108.0,0.6,2017-12-26
AJA,0,76300,0.0,41202.0,0.46,2017-12-27
AJA,101100,8500,53804.0,4589.0,1.53,2017-12-28
AJA,4800,97600,2592.0,52701.0,0.79,2017-12-29
AJA,89300,60100,48222.0,32454.0,2.74,2018-01-03
AJA,71000,70300,38550.0,37961.0,0.18,2018-01-04
AJA,328300,108600,180405.0,59592.0,0.74,2018-01-05
AJA,160700,127100,89992.0,71427.0,1.0,2018-01-08
AJA,72600,0,40656.0,0.0,1.04,2018-01-09
AJA,612600,227600,337434.0,127256.0,3.87,2018-01-10
AJA,437500,139700,245000.0,77471.0,3.06,2018-01-11
AJA,4800,559200,2640.0,307567.0,3.02,2018-01-12
AJA,1515000,84300,832223.0,46867.0,2.51,2018-01-15
AJA,1851000,260800,1019842.0,145212.0,3.87,2018-01-16
AJA,400400,63100,220220.0,34705.0,5.32,2018-01-17
AJA,4327100,157200,2423176.0,87924.0,18.24,2018-01-18
AJA,3283000,282100,1806500.0,155155.0,11.75,2018-01-19
AJA,2700,100,1485.0,55.0,0.02,2018-01-22
AJA,765000,10000,420700.0,5500.0,4.74,2018-01-23
AJA,148500,25000,78900.0,13500.0,0.46,2018-01-24
AJA,107500,0,57975.0,0.0,0.88,2018-01-25
AJA,5200,1000,2706.0,520.0,0.06,2018-01-26
AJA,106600,13400,55632.0,6968.0,0.94,2018-01-29
AJA,5100,38100,2652.0,19812.0,0.52,2018-01-30
AJA,100,0,52.0,0.0,0.0,2018-01-31
AJA,3400,35000,1735.0,17850.0,0.4,2018-02-01
AJA,616100,122500,315850.0,62475.0,6.68,2018-02-02
AJA,392600,534900,211598.0,286031.0,0.95,2018-02-05
AJA,157000,116700,81780.0,61851.0,0.52,2018-02-06
AJA,83400,196700,44852.0,106218.0,0.89,2018-02-07
AJA,169800,78800,88433.0,41364.0,1.46,2018-02-08
AJA,0,398700,0.0,207324.0,2.43,2018-02-09
AJA,100400,448800,54216.0,242350.0,1.67,2018-02-12
AJA,182300,176900,98442.0,95526.0,1.54,2018-02-13
AJA,340300,700,187165.0,385.0,0.97,2018-02-14
AJA,1401800,397200,816349.0,235738.0,0.7,2018-02-15
AJA,58400,1328400,34251.0,764037.0,2.29,2018-02-16
AJA,1157800,79600,639177.0,45080.0,4.26,2018-02-19
AJA,41900,254600,23464.0,142575.0,3.01,2018-02-20
AJA,110000,51900,60500.0,28545.0,1.08,2018-02-21
AJA,9100,119400,4831.0,64476.0,0.61,2018-02-22
AJA,103700,86700,55998.0,47684.0,1.0,2018-02-23
AJA,41000,307000,22550.0,169043.0,1.46,2018-02-26
AJA,59800,60100,33306.0,33471.0,0.52,2018-02-27
AJA,3500,103500,1890.0,55890.0,1.24,2018-02-28
AJA,16500,102100,8745.0,54113.0,0.87,2018-03-02
AJA,0,600300,0.0,312156.0,3.15,2018-03-05
AJA,410000,20300,213200.0,10556.0,5.79,2018-03-06
AJA,124600,9100,64792.0,4732.0,2.0,2018-03-07
AJA,168800,71300,87776.0,37076.0,6.38,2018-03-08
AJA,72900,5400,37705.0,2805.0,0.29,2018-03-09
AJA,1395100,300,701420.0,153.0,4.73,2018-03-12
AJA,1212600,5800,646361.0,3128.0,1.63,2018-03-13
AJA,5070200,58900,2800470.0,32395.0,11.93,2018-03-14
AJA,473700,600,265272.0,332.0,2.19,2018-03-15
AJA,2004000,221500,1104439.0,122223.0,4.99,2018-03-16
AJA,470600,601900,271805.0,343278.0,0.83,2018-03-19
AJA,2595709,145300,1479554.13,82821.0,12.46,2018-03-20
AJA,1123722,725000,630842.12,403181.0,4.74,2018-03-21
AJA,476100,225500,266616.0,126280.0,10.9,2018-03-22
AJA,0,87000,0.0,47850.0,0.83,2018-03-23
AJA,677200,417800,372460.0,229790.0,23.95,2018-03-26
