Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
AMANAH,5000,75000,5100.0,75550.0,0.8,2017-01-23
AMANAH,0,20000,0.0,19600.0,0.92,2017-01-24
AMANAH,677000,0,648576.0,0.0,13.74,2017-01-25
AMANAH,313500,0,298460.0,0.0,21.48,2017-01-26
AMANAH,20000,5000,19400.0,4800.0,4.61,2017-01-30
AMANAH,0,10000,0.0,9800.0,0.88,2017-02-02
AMANAH,72800,0,76468.0,0.0,0.18,2017-02-07
AMANAH,179600,60100,206053.0,65667.0,0.32,2017-02-08
AMANAH,151400,4384900,177300.0,5256357.0,5.14,2017-02-09
AMANAH,1505800,1217400,1960345.0,1580295.0,0.72,2017-02-10
AMANAH,213100,461800,371396.0,768374.0,0.33,2017-02-14
AMANAH,583000,485100,1061027.0,814664.0,0.78,2017-02-15
AMANAH,13200,145700,21780.0,240005.0,1.11,2017-02-16
AMANAH,5787600,177400,10799940.0,337033.0,5.35,2017-02-17
AMANAH,4007200,94100,7593716.0,175448.0,11.46,2017-02-20
AMANAH,131000,98200,245630.0,184768.0,2.04,2017-02-21
AMANAH,52800,35000,95696.0,62800.0,0.85,2017-02-22
AMANAH,27000,42800,49030.0,76808.0,0.46,2017-02-23
AMANAH,30000,17000,54600.0,30600.0,0.74,2017-02-24
AMANAH,110800,56300,213838.0,107035.0,0.36,2017-02-27
AMANAH,140000,280000,255802.0,512159.0,3.54,2017-02-28
AMANAH,122300,157100,241472.0,321656.0,0.29,2017-03-01
AMANAH,33800,73200,66426.0,142008.0,0.57,2017-03-02
AMANAH,28400,17800,57336.0,35244.0,0.27,2017-03-03
AMANAH,215900,16300,431494.0,32839.0,2.4,2017-03-06
AMANAH,27400,100000,52582.0,190000.0,1.27,2017-03-07
AMANAH,157000,0,295090.0,0.0,0.91,2017-03-08
AMANAH,3200,85200,5972.0,159324.0,2.34,2017-03-09
AMANAH,77800,64200,144698.0,118258.0,1.75,2017-03-10
AMANAH,154400,55400,245856.0,91937.0,1.24,2017-03-13
AMANAH,86200,388100,146775.0,667129.0,1.57,2017-03-14
AMANAH,27500,300000,48360.0,540681.0,1.57,2017-03-15
AMANAH,252400,39400,475856.0,70648.0,0.88,2017-03-16
AMANAH,5800,38000,11194.0,73480.0,0.36,2017-03-17
AMANAH,63100,8300,125556.0,16177.0,0.4,2017-03-20
AMANAH,59500,8600,114336.0,16942.0,0.59,2017-03-21
AMANAH,202000,65400,382370.0,122952.0,1.81,2017-03-22
AMANAH,2300,119500,4135.0,214220.0,0.81,2017-03-23
AMANAH,5000,23400,9120.0,43244.0,0.4,2017-03-24
AMANAH,68300,0,129367.0,0.0,0.23,2017-03-27
AMANAH,4600,13000,8555.0,24052.0,0.19,2017-03-28
AMANAH,33516800,26816800,72944880.0,57132714.0,14.33,2017-03-29
AMANAH,278500,328300,581220.0,683076.0,0.97,2017-03-30
AMANAH,375900,491800,787278.0,1037514.0,1.49,2017-03-31
AMANAH,1000000,7206200,2241452.0,17087356.0,6.32,2017-04-03
AMANAH,334700,1184800,826446.0,2978270.0,1.51,2017-04-04
AMANAH,348200,208700,827890.0,502516.0,1.05,2017-04-05
AMANAH,339500,198700,751710.0,454368.0,1.55,2017-04-07
AMANAH,277600,278800,587024.0,595850.0,1.47,2017-04-10
AMANAH,364600,188000,740990.0,390440.0,1.82,2017-04-11
AMANAH,463600,232100,1007852.0,498276.0,2.02,2017-04-12
AMANAH,1197000,155300,2544728.0,331130.0,8.34,2017-04-17
AMANAH,42100,1379600,92098.0,3017112.0,7.73,2017-04-18
AMANAH,13400,16600,28970.0,35856.0,0.18,2017-04-19
AMANAH,354700,500,738724.0,1010.0,1.49,2017-04-20
AMANAH,72000,87500,152938.0,184510.0,1.86,2017-04-21
AMANAH,10000,119600,21000.0,256040.0,1.22,2017-04-24
AMANAH,8200,213700,16892.0,441504.0,1.64,2017-04-25
AMANAH,15600,2400,32170.0,4896.0,0.26,2017-04-26
AMANAH,391400,115200,853822.0,246934.0,1.36,2017-04-27
AMANAH,56700,205100,124838.0,453948.0,1.21,2017-04-28
AMANAH,2600,164000,5546.0,354078.0,0.56,2017-05-02
AMANAH,1434100,319700,3084130.0,680432.0,10.51,2017-05-03
AMANAH,45200,30700,97278.0,66084.0,1.58,2017-05-04
AMANAH,4532900,112500,9968338.0,246118.0,19.46,2017-05-05
AMANAH,134800,66500,291050.0,147034.0,2.16,2017-05-08
AMANAH,0,51700,0.0,109526.0,0.52,2017-05-09
AMANAH,4808300,526400,8873239.0,1023097.0,4.47,2017-05-11
AMANAH,400500,251000,682964.0,419900.0,1.14,2017-05-12
AMANAH,210400,205500,371323.0,359037.0,0.83,2017-05-15
AMANAH,214000,290400,393063.0,519578.0,1.29,2017-05-16
AMANAH,296100,715400,571810.0,1349414.0,0.97,2017-05-17
AMANAH,515000,643100,1014550.0,1270251.0,1.68,2017-05-18
AMANAH,410000,60500,839000.0,123020.0,0.58,2017-05-19
AMANAH,74700,35000,151854.0,72100.0,0.48,2017-05-22
AMANAH,207000,4506200,431010.0,9532614.0,4.31,2017-05-24
AMANAH,476000,521500,1013080.0,1098298.0,2.47,2017-05-25
AMANAH,1610500,20500,3383840.0,43050.0,8.66,2017-05-26
AMANAH,100000,8000,208000.0,16800.0,0.89,2017-05-29
AMANAH,300,0,614.0,0.0,0.0,2017-05-30
AMANAH,9600,60100,19567.0,121364.0,0.38,2017-05-31
AMANAH,27300,10500,53990.0,20785.0,0.28,2017-06-01
AMANAH,74500,120600,152455.0,245964.0,0.57,2017-06-02
AMANAH,3000,8300,6120.0,16786.0,0.11,2017-06-05
AMANAH,63300,5630100,124946.0,11154349.0,20.59,2017-06-06
AMANAH,0,12000,0.0,23940.0,0.1,2017-06-07
AMANAH,24500,23000,47240.0,44160.0,0.32,2017-06-08
AMANAH,41500,0,80375.0,0.0,0.35,2017-06-09
AMANAH,52500,15900,98722.0,30141.0,1.21,2017-06-12
AMANAH,66200,90100,129136.0,176116.0,0.51,2017-06-13
AMANAH,29400,24700,56742.0,48065.0,0.6,2017-06-14
AMANAH,800,0,1536.0,0.0,0.01,2017-06-15
AMANAH,50400,39300,100784.0,76817.0,0.14,2017-06-16
AMANAH,284200,17300,575128.0,35632.0,0.49,2017-06-19
AMANAH,95900,200000,191053.0,404000.0,1.82,2017-06-20
AMANAH,13000,14400,25700.0,28512.0,0.28,2017-06-21
AMANAH,247900,11800,481600.0,23515.0,0.81,2017-06-22
AMANAH,96600,82300,184366.0,157327.0,0.47,2017-06-23
AMANAH,31900,4000,56827.0,7200.0,0.12,2017-06-26
AMANAH,1000,0,1810.0,0.0,0.0,2017-06-27
AMANAH,500,20000,921.0,36800.0,0.06,2017-06-28
AMANAH,64000,0,115880.0,0.0,0.29,2017-06-29
AMANAH,41900,0,73145.0,0.0,0.23,2017-06-30
AMANAH,200,200,341.0,339.0,0.0,2017-07-03
AMANAH,49200,2200,81180.0,3652.0,0.37,2017-07-04
AMANAH,11400,153400,18924.0,252774.0,0.71,2017-07-05
AMANAH,583100,30000,903330.0,46500.0,2.09,2017-07-06
AMANAH,715300,1184400,1211821.0,2085189.0,1.44,2017-07-07
AMANAH,36000,99700,62320.0,175572.0,0.48,2017-07-11
AMANAH,31400,38000,55344.0,66060.0,0.17,2017-07-12
AMANAH,10400,21400,18304.0,37470.0,0.27,2017-07-13
AMANAH,13696100,11653700,25329222.0,21540898.0,21.53,2017-07-14
AMANAH,2573500,4596900,4697423.0,8397369.0,22.2,2017-07-17
AMANAH,1900,38400,3420.0,69120.0,0.43,2017-07-18
AMANAH,20800,43000,35366.0,73600.0,0.43,2017-07-19
AMANAH,29700,25400,49302.0,42164.0,0.42,2017-07-20
AMANAH,32900,8900,56374.0,14970.0,0.29,2017-07-21
AMANAH,220000,12300,370200.0,21033.0,6.43,2017-07-24
AMANAH,0,7300,0.0,12337.0,0.36,2017-07-25
AMANAH,9200,20000,15640.0,34800.0,0.29,2017-07-26
AMANAH,1900,9200,3211.0,15824.0,0.32,2017-07-27
AMANAH,15900,0,26007.0,0.0,0.22,2017-07-31
AMANAH,9000,17800,15270.0,30371.0,0.43,2017-08-01
AMANAH,1100,1100,1815.0,1826.0,0.07,2017-08-02
AMANAH,71400,3300,117096.0,5445.0,1.91,2017-08-03
AMANAH,45500,0,74326.0,0.0,1.13,2017-08-04
AMANAH,188000,127400,320670.0,224599.0,0.43,2017-08-07
AMANAH,199000,156400,341000.0,267400.0,1.96,2017-08-08
AMANAH,6000,70800,9950.0,117692.0,0.43,2017-08-09
AMANAH,581700,130000,799395.0,180700.0,0.57,2017-08-10
AMANAH,209900,500,275283.0,645.0,0.59,2017-08-11
AMANAH,521500,142000,653230.0,173190.0,1.98,2017-08-15
AMANAH,546400,260100,682059.0,333924.0,1.27,2017-08-16
AMANAH,22100,46000,27604.0,56732.0,0.51,2017-08-17
AMANAH,108500,4400,122788.0,5083.0,0.26,2017-08-18
AMANAH,291600,165700,326654.0,183109.0,1.85,2017-08-21
AMANAH,473300,153700,538748.0,173694.0,1.43,2017-08-22
AMANAH,970900,12146000,988372.0,11508216.0,6.18,2017-08-23
AMANAH,2211200,515000,2256213.0,516250.0,1.43,2017-08-24
AMANAH,120600,777300,120945.0,768389.0,2.2,2017-08-25
AMANAH,11100,388100,11100.0,386514.0,1.74,2017-08-28
AMANAH,194900,1066700,203989.0,1125771.0,1.2,2017-08-29
AMANAH,173300,238500,178171.0,246251.0,1.6,2017-08-30
AMANAH,134000,221500,141040.0,232135.0,0.57,2017-08-31
AMANAH,714100,392600,821312.0,452976.0,0.52,2017-09-01
AMANAH,3405200,3655000,4917686.0,5278847.0,1.13,2017-09-04
AMANAH,437400,621200,601321.0,859509.0,1.43,2017-09-05
AMANAH,268000,644800,344802.0,841881.0,2.73,2017-09-06
AMANAH,29800,428100,39135.0,557924.0,1.83,2017-09-07
AMANAH,74000,3100,96257.0,4108.0,0.91,2017-09-08
AMANAH,51500,92100,67465.0,122172.0,2.06,2017-09-11
AMANAH,10900,271400,14488.0,361457.0,3.56,2017-09-12
AMANAH,27100,159700,38353.0,226081.0,0.37,2017-09-13
AMANAH,12800,9400,18292.0,13432.0,0.19,2017-09-14
AMANAH,51000,98500,71900.0,140574.0,1.18,2017-09-15
AMANAH,25000,181500,35500.0,258145.0,3.46,2017-09-18
AMANAH,20700,38100,29180.0,54219.0,0.91,2017-09-19
AMANAH,0,8600,0.0,12288.0,0.08,2017-09-20
AMANAH,31000,258700,45610.0,375081.0,1.14,2017-09-21
AMANAH,71000,155000,107010.0,231500.0,0.52,2017-09-22
AMANAH,422900,60600,608300.0,87494.0,2.06,2017-09-25
AMANAH,52500,373800,74560.0,534692.0,3.06,2017-09-26
AMANAH,3900,0,5470.0,0.0,0.07,2017-09-27
AMANAH,32700,1000,46010.0,1410.0,0.73,2017-09-28
AMANAH,0,16900,0.0,23523.0,0.27,2017-09-29
AMANAH,57500,4000,78905.0,5480.0,0.69,2017-10-02
AMANAH,5100,21500,6993.0,29518.0,0.51,2017-10-03
AMANAH,500,30300,685.0,41099.0,0.41,2017-10-04
AMANAH,3100,13100,4124.0,17685.0,0.51,2017-10-05
AMANAH,63800,7500,86617.0,10170.0,1.74,2017-10-06
AMANAH,89400,9800,121611.0,13230.0,2.0,2017-10-09
AMANAH,11800,10800,15998.0,14663.0,1.1,2017-10-10
AMANAH,100800,3700,139104.0,5138.0,1.24,2017-10-11
AMANAH,20000,43700,27800.0,60743.0,0.93,2017-10-12
AMANAH,100000,1900,141000.0,2603.0,1.18,2017-10-16
AMANAH,1283000,369200,1918859.0,545663.0,2.25,2017-10-17
AMANAH,44000,21200,66460.0,32127.0,0.12,2017-10-18
AMANAH,446900,681100,690240.0,1063977.0,1.09,2017-10-19
AMANAH,538000,412400,832930.0,641518.0,2.92,2017-10-20
AMANAH,135100,31000,203951.0,46500.0,1.48,2017-10-24
AMANAH,50000,100,75000.0,152.0,0.42,2017-10-25
AMANAH,85600,32000,128656.0,48280.0,1.04,2017-10-27
AMANAH,0,40000,0.0,60000.0,0.7,2017-10-30
AMANAH,135000,356200,204750.0,557818.0,0.88,2017-10-31
AMANAH,225600,105000,344168.0,164800.0,1.21,2017-11-01
AMANAH,7000,25600,10900.0,39424.0,0.17,2017-11-02
AMANAH,110000,0,165600.0,0.0,1.14,2017-11-03
AMANAH,5000,200000,7500.0,301200.0,3.35,2017-11-06
AMANAH,1437600,1373400,2535566.0,2491708.0,0.77,2017-11-07
AMANAH,456000,14000,793750.0,24120.0,0.49,2017-11-08
AMANAH,476000,129000,784260.0,217770.0,0.79,2017-11-09
AMANAH,148000,226300,235440.0,370595.0,0.59,2017-11-10
AMANAH,376300,475000,598517.0,770000.0,2.69,2017-11-13
AMANAH,10000,440000,16500.0,704900.0,0.5,2017-11-14
AMANAH,191900,38900,313323.0,63407.0,0.52,2017-11-15
AMANAH,35900,0,57081.0,0.0,0.17,2017-11-16
AMANAH,96100,26000,157104.0,42420.0,0.35,2017-11-17
AMANAH,0,34100,0.0,55586.0,0.33,2017-11-20
AMANAH,20000,100000,32000.0,159000.0,1.88,2017-11-22
AMANAH,410400,1212700,598331.0,1766964.0,3.45,2017-11-23
AMANAH,361000,266500,504478.0,377726.0,3.25,2017-11-24
AMANAH,421200,218200,588770.0,306832.0,9.09,2017-11-27
AMANAH,226700,546200,324238.0,778547.0,3.26,2017-11-28
AMANAH,58400,20700,82928.0,29808.0,1.47,2017-11-29
AMANAH,22200,56700,31080.0,79947.0,2.7,2017-11-30
AMANAH,1100,62200,1529.0,86456.0,1.41,2017-12-01
AMANAH,198300,152200,263191.0,203704.0,2.27,2017-12-04
AMANAH,200500,70700,257781.0,91856.0,6.68,2017-12-06
AMANAH,491500,496000,650980.0,661602.0,2.5,2017-12-07
AMANAH,13600,236900,17680.0,317244.0,2.47,2017-12-08
AMANAH,30500,125300,40865.0,167902.0,1.47,2017-12-12
AMANAH,335300,558400,484517.0,806644.0,0.81,2017-12-13
AMANAH,1522950,1000170,2279975.5,1504295.3,2.26,2017-12-14
AMANAH,25500,529200,37230.0,777296.0,1.57,2017-12-15
AMANAH,38400,20030,57468.0,30246.2,0.14,2017-12-18
AMANAH,0,8400,0.0,12516.0,0.06,2017-12-19
AMANAH,190600,23600,279484.0,34220.0,1.61,2017-12-20
