Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
APEX,4996902,2406501,6549354.27,3806351.51,0.42,2017-03-27
APEX,3381100,4657300,2652845.0,3748633.0,0.38,2017-03-28
APEX,28627801,26011000,21872365.79,20870806.0,2.14,2017-03-29
APEX,867100,568600,682450.0,439193.0,0.16,2017-03-30
APEX,3265063,152000,2366726.62,110360.0,0.68,2017-03-31
APEX,569500,109100,407980.0,78022.0,0.35,2017-04-03
APEX,3902900,3230000,2682611.0,2220800.0,2.63,2017-04-04
APEX,959400,1848332,642619.0,1212365.55,1.21,2017-04-05
APEX,391000,800101,252790.0,521866.75,0.43,2017-04-07
APEX,259201,33000,163506.64,21190.0,0.25,2017-04-10
APEX,16700,100,10301.0,62.0,0.02,2017-04-11
APEX,709500,410933,445590.0,260806.45,0.33,2017-04-12
APEX,488000,400000,297680.0,248000.0,0.8,2017-04-17
APEX,3000,200000,1850.0,124000.0,0.3,2017-04-18
APEX,231000,2000,138600.0,1200.0,0.36,2017-04-19
APEX,300000,630000,178000.0,373000.0,1.55,2017-04-20
APEX,400,600000,236.0,354000.0,2.13,2017-04-21
APEX,120400,0,70832.0,0.0,0.2,2017-04-24
APEX,60000,40000,33700.0,22200.0,0.12,2017-04-25
APEX,100100,0,56057.0,0.0,0.24,2017-04-26
APEX,35000,10000,19950.0,5700.0,0.21,2017-04-27
APEX,1150300,1150100,678677.0,680557.0,1.22,2017-05-02
APEX,150000,151600,91500.0,89476.0,0.25,2017-05-03
APEX,173600,0,102690.0,0.0,0.19,2017-05-04
APEX,79200,70000,46728.0,41300.0,0.16,2017-05-05
APEX,23300,79200,13547.0,47520.0,0.47,2017-05-08
APEX,45600,20100,26854.0,12058.0,0.08,2017-05-09
APEX,0,65400,0.0,36858.0,0.08,2017-05-11
APEX,53000,30000,28640.0,16200.0,0.16,2017-05-12
APEX,112000,51000,56803.0,25500.0,0.27,2017-05-15
APEX,153300,0,77340.0,0.0,0.36,2017-05-16
APEX,130700,25800,66046.0,13158.0,0.36,2017-05-17
APEX,104800,10000,51352.0,4900.0,0.6,2017-05-18
APEX,1,118400,0.49,57844.0,0.3,2017-05-19
APEX,1491600,114900,752385.0,58599.0,0.89,2017-05-23
APEX,739300,1172200,377043.0,597822.0,4.38,2017-05-24
APEX,239700,0,122247.0,0.0,1.26,2017-05-25
APEX,581100,1961200,292459.0,1000212.0,7.33,2017-05-26
APEX,304600,1596500,152300.0,798250.0,12.19,2017-05-29
APEX,190300,452700,95150.0,226350.0,4.86,2017-05-30
APEX,240300,3400,120629.0,1734.0,0.82,2017-05-31
APEX,181400,5600,90389.0,2800.0,0.95,2017-06-01
APEX,130000,0,65000.0,0.0,2.25,2017-06-02
APEX,55400,126500,27700.0,64108.0,0.3,2017-06-05
APEX,0,55400,0.0,27700.0,0.42,2017-06-06
APEX,0,57700,0.0,28850.0,0.47,2017-06-07
APEX,0,241400,0.0,118286.0,1.35,2017-06-08
APEX,215100,312100,103299.0,152118.0,1.27,2017-06-09
APEX,0,317500,0.0,155565.0,2.44,2017-06-12
APEX,200,34500,98.0,16905.0,0.3,2017-06-14
APEX,0,24600,0.0,12054.0,0.31,2017-06-15
APEX,2300,38600,1127.0,18914.0,0.4,2017-06-16
APEX,0,49000,0.0,24010.0,0.55,2017-06-19
APEX,33600,42300,16340.0,20727.0,0.29,2017-06-20
APEX,136500,46400,66885.0,23074.0,0.22,2017-06-21
APEX,31800,88100,15580.0,43949.0,0.42,2017-06-22
APEX,0,498500,0.0,239280.0,2.25,2017-06-27
APEX,0,295400,0.0,138838.0,1.48,2017-06-28
APEX,7700,154500,3649.0,72615.0,2.3,2017-06-29
APEX,300,684800,138.0,315100.0,1.32,2017-06-30
APEX,1000,540300,450.0,243135.0,3.9,2017-07-03
APEX,0,1000,0.0,440.0,0.02,2017-07-04
APEX,50000,186200,22000.0,81928.0,2.46,2017-07-05
APEX,27800,0,12232.0,0.0,0.09,2017-07-06
APEX,1821400,193600,840994.0,91761.0,1.54,2017-07-07
APEX,103200,130604,46618.0,58571.84,0.55,2017-07-11
APEX,64600,67700,29068.0,30465.0,0.59,2017-07-12
APEX,173400,38100,76296.0,16764.0,0.94,2017-07-13
APEX,68900,156100,30310.0,68684.0,3.43,2017-07-14
APEX,1190000,5000,511200.0,2150.0,5.08,2017-07-17
