Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
AQUA,5846900,4916900,5041791.0,4248031.0,4.7,2017-01-04
AQUA,3760400,2703000,3244421.0,2328425.0,5.11,2017-01-05
AQUA,3478900,3730400,2958379.0,3180500.0,3.3,2017-01-06
AQUA,1887400,1683600,1605151.0,1437077.0,9.97,2017-01-09
AQUA,1106500,1039700,933229.0,885728.0,5.53,2017-01-10
AQUA,9192700,8906700,7837319.0,7614350.0,5.45,2017-01-11
AQUA,2716900,2775100,2309365.0,2374545.0,7.87,2017-01-12
AQUA,9557900,9553700,8178351.0,8171101.0,6.1,2017-01-13
AQUA,323000,463800,274550.0,394230.0,3.2,2017-01-16
AQUA,572700,264700,486795.0,224995.0,2.38,2017-01-17
AQUA,260500,640800,221425.0,544680.0,2.35,2017-01-18
AQUA,2800,645000,2360.0,548250.0,1.28,2017-01-19
AQUA,320700,90400,272595.0,76840.0,1.35,2017-01-20
AQUA,789800,383600,665506.0,322224.0,5.57,2017-01-23
AQUA,1149200,429800,975328.0,365330.0,11.24,2017-01-24
AQUA,1227400,1325600,1036544.0,1126760.0,21.13,2017-01-25
AQUA,2046000,2437200,1718740.0,2047248.0,15.04,2017-01-26
AQUA,1326700,1791000,1125635.0,1522350.0,6.99,2017-01-27
AQUA,2394300,2319000,2035158.0,1993890.0,3.61,2017-01-30
AQUA,346700,416700,298013.0,357662.0,0.79,2017-01-31
AQUA,1639500,1624500,1409970.0,1397070.0,12.83,2017-02-01
AQUA,3004400,2018300,2563320.0,1734570.0,13.53,2017-02-02
AQUA,1503900,1561900,1278415.0,1329708.0,9.66,2017-02-03
AQUA,1771500,1810000,1505652.0,1553670.0,9.17,2017-02-06
AQUA,3071400,3050800,2610690.0,2608320.0,13.17,2017-02-07
AQUA,2133700,1959100,1813645.0,1665235.0,9.12,2017-02-08
AQUA,4042700,3872300,3420015.0,3289869.0,11.82,2017-02-09
AQUA,1423000,1049700,1209550.0,892245.0,6.3,2017-02-10
AQUA,5669000,5885700,4878037.0,5082309.0,6.76,2017-02-14
AQUA,65492900,14562200,58134673.0,12884930.0,15.17,2017-02-15
AQUA,2732000,2680000,2424000.0,2381001.0,3.62,2017-02-16
AQUA,3794400,5728000,3320482.0,5039204.0,11.61,2017-02-17
AQUA,19479600,68939100,16276728.0,57481121.0,15.71,2017-02-20
AQUA,11016400,1331600,9032880.0,1088042.0,15.78,2017-02-21
AQUA,735500,381400,599300.0,308934.0,8.23,2017-02-22
AQUA,183800,83100,149885.0,68142.0,2.17,2017-02-23
