Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
AS,7300,247900,21312.0,724496.0,3.0,2017-01-04
AS,62300,47400,186780.0,147128.0,0.28,2017-01-05
AS,22200,36400,64960.0,108474.0,0.45,2017-01-06
AS,500,15200,1410.0,43472.0,0.48,2017-01-09
AS,124100,84700,368242.0,257350.0,0.57,2017-01-10
AS,1000,0,2900.0,0.0,0.02,2017-01-11
AS,0,35000,0.0,100100.0,1.25,2017-01-12
AS,11100,2900,31484.0,8538.0,0.11,2017-01-16
AS,0,2200,0.0,6336.0,0.05,2017-01-17
AS,128000,118000,351800.0,330768.0,2.21,2017-01-20
AS,29600,14000,82064.0,39720.0,0.45,2017-01-23
AS,7600,8600,20672.0,23564.0,0.5,2017-01-24
AS,375900,32600,1069958.0,91300.0,3.39,2017-01-27
AS,24300,10900,66894.0,29866.0,1.88,2017-01-30
AS,34300,0,93660.0,0.0,3.21,2017-01-31
AS,16700,11000,45316.0,29960.0,1.43,2017-02-01
AS,264900,24900,743664.0,67992.0,3.95,2017-02-02
AS,7400,9100,19980.0,24870.0,0.52,2017-02-03
AS,64000,278300,170864.0,773940.0,1.47,2017-02-06
AS,0,16927,0.0,45363.82,0.52,2017-02-07
AS,8800,40600,23644.0,112512.0,0.56,2017-02-09
AS,70000,8000,185600.0,21756.0,2.1,2017-02-10
AS,2400,72000,6368.0,199400.0,0.51,2017-02-14
AS,10100,3000,26468.0,7860.0,0.51,2017-02-15
AS,15000,40800,36300.0,104142.0,1.07,2017-02-16
AS,0,5100,0.0,12708.0,0.16,2017-02-17
AS,0,10100,0.0,25050.0,0.87,2017-02-20
AS,38500,9400,92200.0,22202.0,0.59,2017-02-21
AS,189500,220200,469960.0,549140.0,5.64,2017-02-22
AS,0,6800,0.0,17000.0,0.6,2017-02-23
AS,1000,3100,2476.0,7812.0,0.91,2017-02-24
AS,1500,100,3640.0,242.0,0.38,2017-02-27
AS,13000,356500,29516.0,894100.0,3.78,2017-02-28
AS,3000,3100,6660.0,6822.0,0.37,2017-03-01
AS,10000,0,22400.0,0.0,1.8,2017-03-02
AS,10000,0,22200.0,0.0,1.65,2017-03-03
AS,35000,10000,66100.0,21400.0,0.41,2017-03-06
AS,0,6014,0.0,11246.6,0.51,2017-03-07
AS,41700,8300,76803.0,14604.0,2.18,2017-03-08
AS,68600,238300,145022.0,500933.0,0.46,2017-03-09
AS,339000,77700,848416.0,203214.0,0.54,2017-03-10
AS,20400,133500,42432.0,316180.0,0.76,2017-03-13
AS,23500,20400,43875.0,41182.0,0.71,2017-03-14
AS,20000,43500,43200.0,90560.0,0.3,2017-03-15
AS,94200,67000,207264.0,146780.0,0.66,2017-03-16
AS,19600,23200,42336.0,49648.0,0.48,2017-03-17
AS,9600,17600,21504.0,38920.0,0.31,2017-03-20
AS,9200,7600,20268.0,17328.0,0.29,2017-03-21
AS,1000,3200,2160.0,6850.0,0.22,2017-03-22
AS,2200,1700,4776.0,3672.0,0.07,2017-03-23
AS,0,4500,0.0,9680.0,0.32,2017-03-24
AS,700,300,1456.0,628.0,0.07,2017-03-28
AS,0,500,0.0,1020.0,0.04,2017-03-29
AS,3000,0,6240.0,0.0,0.27,2017-03-30
AS,0,1800,0.0,3780.0,0.19,2017-03-31
AS,75400,72900,171842.0,167026.0,0.51,2017-04-03
AS,16400,44600,37644.0,101436.0,0.46,2017-04-04
AS,5200,5900,11648.0,13452.0,0.19,2017-04-05
AS,0,5200,0.0,11648.0,0.35,2017-04-07
AS,600,0,1296.0,0.0,0.07,2017-04-10
AS,371100,133700,935232.0,336996.0,0.42,2017-04-11
AS,177300,131900,398110.0,306190.0,1.09,2017-04-12
AS,12200,194900,26796.0,415016.0,3.4,2017-04-17
AS,16100,6000,35298.0,13180.0,0.69,2017-04-18
AS,6000,24700,13480.0,54558.0,0.42,2017-04-19
AS,0,15700,0.0,34280.0,0.89,2017-04-20
AS,101000,14500,220180.0,31900.0,9.42,2017-04-21
AS,100800,0,215732.0,0.0,6.11,2017-04-24
AS,10300,100,22042.0,214.0,0.36,2017-04-25
AS,50000,100,110000.0,220.0,3.62,2017-04-26
AS,0,15900,0.0,35180.0,0.37,2017-04-27
AS,181000,333200,453778.0,851952.0,0.49,2017-05-03
AS,227400,364500,605990.0,988776.0,0.74,2017-05-04
AS,18400,146500,47408.0,381884.0,1.16,2017-05-05
AS,665200,615700,1866668.0,1737624.0,1.25,2017-05-08
AS,537400,620800,1474232.0,1689368.0,1.49,2017-05-09
AS,31600,45700,83424.0,123012.0,0.27,2017-05-11
AS,56300,40800,140326.0,101184.0,0.89,2017-05-12
AS,157600,61900,419668.0,162502.0,0.73,2017-05-15
AS,54500,101600,142938.0,268626.0,1.8,2017-05-16
AS,99700,86700,270642.0,236144.0,0.36,2017-05-17
AS,33800,129000,89592.0,341420.0,1.03,2017-05-18
AS,94200,81200,248790.0,216936.0,0.65,2017-05-19
AS,148000,33700,399320.0,92566.0,0.32,2017-05-22
AS,70200,133600,186728.0,353744.0,1.49,2017-05-23
AS,600,21800,1590.0,57256.0,0.16,2017-05-24
AS,2200,1400,5718.0,3640.0,0.03,2017-05-25
AS,30000,6000,78600.0,16440.0,0.2,2017-05-26
AS,5500,26000,14310.0,68080.0,0.63,2017-05-29
AS,37600,2500,100644.0,6776.0,0.11,2017-05-30
AS,67300,33000,172782.0,89100.0,0.44,2017-05-31
AS,196500,186500,475900.0,453930.0,2.05,2017-06-01
AS,152000,0,366080.0,0.0,1.66,2017-06-02
AS,23000,0,53020.0,0.0,0.17,2017-06-05
AS,61500,0,143820.0,0.0,0.85,2017-06-06
AS,261800,165100,628708.0,394334.0,1.28,2017-06-07
AS,121500,100800,288334.0,239104.0,1.4,2017-06-08
AS,85000,85100,198800.0,200836.0,1.22,2017-06-09
AS,114000,103000,257712.0,232780.0,2.56,2017-06-12
AS,230100,51000,531312.0,117320.0,2.91,2017-06-13
AS,73200,385800,168844.0,912324.0,1.9,2017-06-14
AS,7000,21800,16380.0,51012.0,0.65,2017-06-15
AS,5100,0,11834.0,0.0,0.09,2017-06-16
AS,2000,5000,4692.0,11700.0,0.13,2017-06-19
AS,43300,600,98726.0,1380.0,0.99,2017-06-20
AS,0,200000,0.0,460000.0,5.78,2017-06-21
AS,12600,35800,29924.0,84700.0,0.44,2017-06-22
AS,9100,75733,21222.0,178461.42,1.03,2017-06-23
AS,4500,7400,10440.0,17316.0,0.63,2017-06-26
AS,6400,4500,14850.0,10530.0,0.15,2017-06-27
AS,22000,6000,50800.0,13920.0,0.48,2017-06-28
AS,0,11400,0.0,26448.0,0.24,2017-06-29
AS,0,20400,0.0,46968.0,0.57,2017-06-30
AS,80000,1000,184000.0,2320.0,2.61,2017-07-04
AS,102400,136800,255372.0,335070.0,0.3,2017-07-05
AS,91400,58800,226124.0,147000.0,0.49,2017-07-06
AS,10100,61900,24072.0,152690.0,0.63,2017-07-07
AS,0,10600,0.0,25248.0,0.12,2017-07-11
AS,15800,3200,38910.0,8048.0,0.07,2017-07-12
AS,101200,100000,241906.0,240000.0,2.62,2017-07-13
AS,56000,3100,134400.0,7440.0,0.78,2017-07-14
AS,158300,203600,377114.0,488768.0,5.66,2017-07-17
AS,93400,93000,222294.0,222470.0,2.91,2017-07-18
AS,66800,89700,160320.0,215280.0,2.72,2017-07-19
AS,42400,31500,103410.0,77450.0,0.62,2017-07-20
AS,390700,239800,914976.0,558610.0,4.93,2017-07-21
AS,116900,178700,260070.0,402814.0,3.07,2017-07-24
