Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
AYUD,1000,0,33250.0,0.0,1.43,2017-01-06
AYUD,0,1300,0.0,43225.0,1.92,2017-01-12
AYUD,0,13000,0.0,429000.0,27.78,2017-01-16
AYUD,10400,2000,353500.0,69000.0,2.5,2017-01-27
AYUD,0,400,0.0,13500.0,0.73,2017-01-30
AYUD,100,0,3350.0,0.0,0.06,2017-02-07
AYUD,8000,0,266500.0,0.0,4.61,2017-02-28
AYUD,1400,0,46900.0,0.0,0.65,2017-03-02
AYUD,1000,0,33500.0,0.0,4.59,2017-03-03
AYUD,0,1500,0.0,50250.0,3.79,2017-03-06
AYUD,2000,0,67000.0,0.0,0.81,2017-03-08
AYUD,1000,0,33750.0,0.0,0.54,2017-03-10
AYUD,12000,700,390000.0,22750.0,9.39,2017-03-17
AYUD,0,3000,0.0,99000.0,10.63,2017-03-29
AYUD,0,500,0.0,16500.0,11.88,2017-04-03
AYUD,0,2000,0.0,66750.0,0.31,2017-04-04
AYUD,0,10000,0.0,327500.0,9.56,2017-04-17
AYUD,10000,0,330000.0,0.0,8.5,2017-04-18
AYUD,0,600,0.0,19500.0,0.44,2017-05-02
AYUD,1500,0,48375.0,0.0,0.38,2017-05-08
AYUD,100,12000,3200.0,378000.0,4.33,2017-05-16
AYUD,1000,0,31250.0,0.0,0.28,2017-05-17
AYUD,400,0,12700.0,0.0,2.11,2017-05-18
AYUD,100,0,3150.0,0.0,0.14,2017-05-19
AYUD,300,0,9525.0,0.0,0.67,2017-05-22
AYUD,400,0,12600.0,0.0,0.73,2017-05-24
AYUD,1900,0,60650.0,0.0,2.8,2017-05-29
AYUD,1300,0,41275.0,0.0,2.4,2017-05-31
AYUD,1000,0,31750.0,0.0,2.16,2017-06-06
AYUD,10200,0,321300.0,0.0,10.26,2017-06-07
AYUD,1600,0,50800.0,0.0,8.79,2017-06-08
AYUD,1100,2000,34650.0,63000.0,2.54,2017-06-09
AYUD,900,1000,28625.0,32000.0,1.84,2017-06-12
AYUD,1200,0,37525.0,0.0,0.07,2017-06-15
AYUD,2100,0,65625.0,0.0,0.5,2017-06-16
AYUD,100,0,3125.0,0.0,0.22,2017-06-19
AYUD,200,0,6300.0,0.0,0.48,2017-06-28
AYUD,0,200,0.0,6300.0,0.17,2017-06-29
AYUD,4000,0,124250.0,0.0,2.03,2017-07-03
AYUD,4900,200,150725.0,6200.0,0.85,2017-07-04
AYUD,200,0,6100.0,0.0,0.05,2017-07-05
AYUD,100,0,3050.0,0.0,0.4,2017-07-06
AYUD,100,0,3050.0,0.0,0.67,2017-07-11
AYUD,0,300,0.0,9150.0,0.35,2017-07-12
AYUD,200,300,6125.0,9150.0,0.78,2017-07-13
AYUD,500,0,15250.0,0.0,0.82,2017-07-14
AYUD,1700,300,52025.0,9225.0,2.33,2017-07-17
AYUD,13300,0,393175.0,0.0,1.23,2017-07-18
AYUD,500,300,14875.0,8925.0,1.08,2017-07-19
AYUD,300,300,8925.0,8925.0,0.55,2017-07-20
AYUD,500,300,14750.0,8925.0,0.4,2017-07-21
AYUD,1000,300,29750.0,8850.0,0.88,2017-07-24
AYUD,0,600,0.0,17850.0,0.78,2017-07-25
AYUD,0,300,0.0,8925.0,0.24,2017-07-26
AYUD,0,1200,0.0,36125.0,1.34,2017-07-27
