Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
BAFS,1902,5400,68847.0,194400.0,1.53,2017-01-04
BAFS,515,0,18668.75,0.0,0.16,2017-01-05
BAFS,600,11700,21750.0,421775.0,8.55,2017-01-06
BAFS,200,0,7250.0,0.0,0.23,2017-01-09
BAFS,0,900,0.0,32675.0,0.43,2017-01-10
BAFS,6450,800,236875.0,29275.0,4.0,2017-01-11
BAFS,1055,900,38445.5,32850.0,0.96,2017-01-12
BAFS,900,9800,32800.0,356775.0,11.03,2017-01-13
BAFS,1300,700,47775.0,25725.0,0.79,2017-01-16
BAFS,48900,4500,1827800.0,168050.0,5.9,2017-01-17
BAFS,33100,2950,1240900.0,110600.0,4.48,2017-01-18
BAFS,35000,1100,1295000.0,40700.0,7.21,2017-01-19
BAFS,0,5300,0.0,194775.0,1.17,2017-01-20
BAFS,3,100,109.5,3675.0,0.13,2017-01-23
BAFS,10502,1900,385798.5,69475.0,9.83,2017-01-24
BAFS,13402,500,494323.5,18475.0,12.23,2017-01-25
BAFS,5300,200,194750.0,7350.0,8.28,2017-01-26
BAFS,37804,4300,1381521.0,158025.0,5.87,2017-01-27
BAFS,2,300,73.0,11025.0,1.17,2017-01-31
BAFS,203,200,7409.5,7300.0,0.21,2017-02-01
BAFS,5400,600,197975.0,21925.0,1.85,2017-02-02
BAFS,0,200,0.0,7300.0,0.17,2017-02-03
BAFS,5000,8350,182200.0,304637.5,3.61,2017-02-06
BAFS,0,15272,0.0,553710.0,13.81,2017-02-07
BAFS,5000,800,183350.0,29200.0,3.79,2017-02-08
BAFS,4900,400,178850.0,14500.0,5.36,2017-02-09
BAFS,2,0,73.0,0.0,0.0,2017-02-10
BAFS,0,300,0.0,10875.0,0.29,2017-02-14
BAFS,0,2100,0.0,76950.0,0.29,2017-02-15
BAFS,0,700,0.0,25875.0,0.35,2017-02-16
BAFS,2,0,73.5,0.0,0.0,2017-02-17
BAFS,2,800,73.0,29300.0,0.79,2017-02-20
BAFS,20002,1700,730973.0,62025.0,10.64,2017-02-22
BAFS,200500,6400,7299875.0,233375.0,16.48,2017-02-23
BAFS,82500,1800,3057950.0,66075.0,8.83,2017-02-24
BAFS,46900,0,1752625.0,0.0,13.54,2017-02-27
BAFS,27700,0,1044200.0,0.0,20.64,2017-02-28
BAFS,23800,0,892500.0,0.0,5.62,2017-03-01
BAFS,200,323500,7425.0,11971000.0,34.27,2017-03-02
BAFS,1200,0,44700.0,0.0,0.63,2017-03-03
BAFS,300,7200,11175.0,266750.0,17.46,2017-03-06
BAFS,300,12500,11175.0,464675.0,16.98,2017-03-07
BAFS,5000,34800,186975.0,1294475.0,20.24,2017-03-08
BAFS,900,23500,33750.0,876850.0,17.86,2017-03-09
BAFS,0,19800,0.0,739125.0,9.29,2017-03-10
BAFS,1900,1600,70550.0,59075.0,0.47,2017-03-13
BAFS,0,700,0.0,25900.0,0.53,2017-03-14
BAFS,300,0,11175.0,0.0,0.58,2017-03-15
BAFS,600,200,22250.0,7450.0,0.08,2017-03-16
BAFS,2500,900,93075.0,33300.0,0.15,2017-03-17
BAFS,30400,0,1146850.0,0.0,9.73,2017-03-20
BAFS,33800,2100,1282150.0,79650.0,32.93,2017-03-21
BAFS,11001,500,416687.75,19000.0,8.08,2017-03-22
BAFS,24800,1300,944225.0,49575.0,7.83,2017-03-23
BAFS,6102,0,231026.0,0.0,4.59,2017-03-24
BAFS,1300,0,49275.0,0.0,1.37,2017-03-27
BAFS,27100,2900,1046275.0,111550.0,1.4,2017-03-28
BAFS,4500,1600,174150.0,62800.0,0.95,2017-03-29
BAFS,2100,30000,81825.0,1169000.0,4.33,2017-03-30
BAFS,900,0,35100.0,0.0,0.23,2017-03-31
BAFS,11400,0,445425.0,0.0,5.45,2017-04-03
BAFS,5200,1700,201750.0,66725.0,3.28,2017-04-04
BAFS,17200,500,669500.0,19875.0,1.95,2017-04-05
BAFS,5700,10100,218900.0,387375.0,3.14,2017-04-07
BAFS,12400,800,480525.0,30850.0,10.38,2017-04-10
BAFS,3412,1200,130759.0,45600.0,2.06,2017-04-11
BAFS,7101,0,270113.25,0.0,0.8,2017-04-12
BAFS,2801,0,106438.0,0.0,0.53,2017-04-17
BAFS,1657,0,62980.25,0.0,0.3,2017-04-18
BAFS,3800,0,145550.0,0.0,0.76,2017-04-19
BAFS,4600,1700,181250.0,66125.0,0.5,2017-04-20
BAFS,9900,0,392475.0,0.0,1.37,2017-04-21
BAFS,1600,0,63200.0,0.0,0.16,2017-04-24
BAFS,0,3100,0.0,124000.0,1.17,2017-04-25
BAFS,200,300,7950.0,11925.0,0.13,2017-04-26
BAFS,20800,700,837150.0,28075.0,3.23,2017-04-27
BAFS,2600,10100,103300.0,398950.0,2.82,2017-04-28
BAFS,11400,0,452350.0,0.0,7.81,2017-05-02
BAFS,100,0,3925.0,0.0,0.02,2017-05-03
BAFS,6200,0,242950.0,0.0,1.9,2017-05-04
BAFS,1800,10000,70525.0,390950.0,0.74,2017-05-05
BAFS,9800,0,374975.0,0.0,3.05,2017-05-08
BAFS,100,5800,3800.0,220325.0,0.89,2017-05-09
BAFS,16500,3000,621825.0,113525.0,1.91,2017-05-11
BAFS,200,4300,7400.0,159800.0,0.63,2017-05-12
BAFS,5000,1600,185875.0,59200.0,0.82,2017-05-15
BAFS,5300,900,197900.0,33525.0,0.56,2017-05-16
BAFS,31680,3800,1219490.0,146550.0,1.79,2017-05-17
BAFS,15800,22000,599800.0,835400.0,6.16,2017-05-18
BAFS,7890,0,298890.0,0.0,0.91,2017-05-19
BAFS,7200,2000,275175.0,76500.0,0.69,2017-05-22
BAFS,34011,100,1312804.0,3875.0,1.42,2017-05-23
BAFS,27500,2600,1064700.0,100700.0,11.66,2017-05-24
BAFS,8211,1800,317356.75,69300.0,12.15,2017-05-25
BAFS,21300,8500,823550.0,327525.0,16.58,2017-05-26
BAFS,16612,9700,648821.0,378650.0,3.18,2017-05-29
BAFS,16100,19100,627325.0,741700.0,16.35,2017-05-30
BAFS,113400,106004,4450750.0,4161849.0,11.34,2017-05-31
BAFS,1500,2800,58625.0,109675.0,0.77,2017-06-01
BAFS,17800,10900,701275.0,428800.0,2.36,2017-06-02
BAFS,700,800,27475.0,31400.0,0.94,2017-06-05
BAFS,27500,0,1086100.0,0.0,9.91,2017-06-06
BAFS,1700,6000,66725.0,234050.0,7.42,2017-06-07
BAFS,5200,11800,204100.0,463150.0,17.8,2017-06-08
BAFS,4600,2100,179400.0,81900.0,4.36,2017-06-09
BAFS,0,6088,0.0,235866.0,12.07,2017-06-12
BAFS,59500,500,2332450.0,19575.0,17.62,2017-06-13
BAFS,7600,900,302425.0,35725.0,0.71,2017-06-14
BAFS,27000,100,1087325.0,4075.0,2.62,2017-06-15
BAFS,66600,1000,2804800.0,41500.0,6.35,2017-06-16
BAFS,72700,17000,3080300.0,719850.0,9.88,2017-06-19
BAFS,54510,16700,2282395.0,699150.0,14.47,2017-06-20
BAFS,105300,0,4472400.0,0.0,15.48,2017-06-21
BAFS,63700,8000,2739025.0,342000.0,11.72,2017-06-22
BAFS,54400,1000,2355575.0,43250.0,32.97,2017-06-23
BAFS,1200,3800,51300.0,162825.0,5.53,2017-06-26
BAFS,10100,4700,434375.0,201500.0,8.01,2017-06-27
BAFS,300,3300,12900.0,141900.0,1.13,2017-06-28
BAFS,25500,17310,1127800.0,758564.25,4.22,2017-06-29
BAFS,4600,7300,208500.0,330000.0,0.76,2017-06-30
BAFS,28700,26000,1312775.0,1190400.0,8.74,2017-07-03
BAFS,4800,7900,222800.0,367350.0,1.34,2017-07-04
BAFS,15600,5901,716025.0,269996.0,6.62,2017-07-05
