Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
BEC,1125400,238376,19158500.0,4054435.0,28.24,2017-01-04
BEC,1966100,81800,34719140.0,1440760.0,23.12,2017-01-05
BEC,811300,233700,15197010.0,4364330.0,14.14,2017-01-06
BEC,680200,549153,12489020.0,10052369.3,38.2,2017-01-09
BEC,904400,733900,16879500.0,13673740.0,28.63,2017-01-10
BEC,1059400,1036600,20211740.0,19730450.0,23.9,2017-01-11
BEC,125335,256900,2351220.8,4826460.0,7.92,2017-01-12
BEC,419600,374753,7978821.5,7080194.6,12.98,2017-01-13
BEC,109900,302900,2081220.0,5732530.0,11.95,2017-01-16
BEC,1041600,631775,19575140.0,11827309.1,44.69,2017-01-17
BEC,268800,529100,4850180.0,9611480.0,14.13,2017-01-18
BEC,219300,87353,3945530.0,1570017.5,10.73,2017-01-19
BEC,594900,267000,10736310.0,4804530.0,17.45,2017-01-20
BEC,248100,114853,4490750.0,2073222.2,10.55,2017-01-23
BEC,2065400,297600,37646148.1,5401330.0,32.83,2017-01-24
BEC,1082700,1146753,20140160.0,21359812.8,15.63,2017-01-25
BEC,222000,218800,4105340.0,4036270.0,11.09,2017-01-26
BEC,233700,159853,4286710.0,2930648.7,21.07,2017-01-27
BEC,699000,1057000,12793940.0,19348730.0,37.15,2017-01-30
BEC,1158100,1465353,21013970.0,26306628.1,31.47,2017-01-31
BEC,1539900,216200,27528700.0,3886050.0,21.43,2017-02-01
BEC,636000,403600,11482670.0,7282180.0,42.75,2017-02-02
BEC,542200,306900,9764150.0,5531850.0,18.93,2017-02-03
BEC,471000,105200,8529780.0,1901660.0,27.46,2017-02-06
BEC,1181600,1601200,21511510.0,29124890.0,32.89,2017-02-07
BEC,1337600,965900,24322750.0,17458670.0,24.67,2017-02-08
BEC,1092000,742700,20212100.0,13715060.0,26.21,2017-02-09
BEC,788536,1213300,14360700.8,22012680.0,40.61,2017-02-10
BEC,191400,75100,3501200.0,1373450.0,11.38,2017-02-14
BEC,310700,333300,5694070.0,6104020.0,19.14,2017-02-15
BEC,272800,476000,4992030.0,8704040.0,31.76,2017-02-16
BEC,225700,338200,4083590.0,6114130.0,9.59,2017-02-17
BEC,38100,200997,688390.0,3630847.2,9.13,2017-02-20
BEC,621475,348900,11056617.3,6201590.0,14.11,2017-02-21
BEC,801700,340700,13905060.0,5898720.0,17.38,2017-02-22
BEC,707900,1300600,12137830.0,22189200.0,27.14,2017-02-23
BEC,242400,747700,4071810.0,12547880.0,17.75,2017-02-24
BEC,982300,1557800,16381460.0,25753130.0,22.8,2017-02-27
BEC,3110200,3963700,49076360.0,62485420.0,34.93,2017-02-28
BEC,782400,221300,12247040.0,3465360.0,14.03,2017-03-01
BEC,290207,170900,4632212.7,2717800.0,6.18,2017-03-02
BEC,597531,594400,9583389.8,9504450.0,24.66,2017-03-03
BEC,98463,1151300,1554666.9,18212010.0,18.78,2017-03-06
BEC,484500,583400,7610160.0,9159170.0,23.65,2017-03-07
BEC,853900,491280,13353340.0,7655482.0,28.78,2017-03-08
BEC,336320,302400,5230346.0,4680250.0,17.19,2017-03-09
BEC,127300,407905,1971980.0,6317147.0,17.03,2017-03-10
BEC,258100,929900,3881590.0,13973610.0,16.66,2017-03-13
BEC,167200,752253,2500240.0,11233209.1,21.04,2017-03-14
BEC,159200,1047500,2408890.0,15854580.0,16.06,2017-03-15
BEC,296900,725400,4493830.0,10963380.0,15.77,2017-03-16
BEC,414218,996272,6275282.6,15070990.2,21.25,2017-03-17
BEC,610700,91900,9330270.0,1399920.0,15.58,2017-03-20
BEC,776200,205500,12017090.0,3152990.0,11.38,2017-03-21
BEC,1478900,1002825,23297490.0,15763832.5,16.4,2017-03-22
BEC,643800,717922,10259210.0,11402874.4,14.22,2017-03-23
BEC,883200,1941125,14315100.0,31578910.0,12.5,2017-03-24
BEC,151600,865200,2452510.0,13937100.0,10.29,2017-03-27
BEC,159100,1364225,2592320.0,22221725.0,15.37,2017-03-28
BEC,316200,1526800,5185430.0,24990450.0,25.84,2017-03-29
BEC,239200,1620100,3976940.0,26967710.0,17.31,2017-03-30
BEC,309100,521900,5341400.0,9035230.0,4.35,2017-03-31
BEC,107600,584152,1919160.0,10332049.6,5.46,2017-04-03
BEC,60700,2617500,1105020.0,47656880.0,15.76,2017-04-04
BEC,280100,1561652,5308280.0,29276116.4,7.38,2017-04-05
BEC,237700,877852,4486890.0,16527592.4,11.7,2017-04-07
BEC,87100,555400,1626060.0,10361360.0,6.81,2017-04-10
BEC,288800,767000,5409000.0,14339100.0,9.17,2017-04-11
BEC,291100,1181700,5426090.0,21969990.0,8.58,2017-04-12
BEC,421900,1125613,8067110.0,21532029.2,9.24,2017-04-17
BEC,896700,6195200,17161890.0,118672350.0,26.67,2017-04-18
BEC,73700,1146400,1401250.0,21862610.0,11.95,2017-04-19
BEC,733500,2179800,14330300.0,42696120.0,10.76,2017-04-20
BEC,943200,859500,18470750.0,16826710.0,18.28,2017-04-21
BEC,795300,3375200,15204670.0,64711690.0,29.11,2017-04-24
BEC,5874200,2862900,113738460.0,55924100.0,35.61,2017-04-25
BEC,2022100,4531300,38926950.0,87216670.0,31.74,2017-04-26
BEC,868300,2304400,16921730.0,45127410.0,22.16,2017-04-27
BEC,2665800,4096600,50678200.0,77840380.0,27.3,2017-04-28
BEC,1120900,2068900,21115370.0,38913510.0,34.17,2017-05-02
BEC,167900,529500,3158800.0,9963550.0,21.22,2017-05-03
BEC,2261100,1359900,43001720.0,25836790.0,26.06,2017-05-04
BEC,63000,691800,1189400.0,13090570.0,14.52,2017-05-05
BEC,172400,33300,3265540.0,628630.0,13.19,2017-05-08
BEC,1442800,186100,27276460.0,3514330.0,26.28,2017-05-09
BEC,4255406,446600,82062505.2,8650730.0,19.87,2017-05-11
BEC,263400,490000,5008220.0,9304410.0,14.46,2017-05-12
BEC,742800,758900,12988480.0,13560060.0,10.64,2017-05-15
