Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
BEM,15508103,9938100,116221017.35,74545600.0,15.11,2017-01-04
BEM,13949220,8023500,104607685.0,60231460.0,15.11,2017-01-05
BEM,30214100,17736500,230335840.0,135029970.0,10.06,2017-01-06
BEM,12016634,16393401,90611537.4,123818897.55,23.86,2017-01-09
BEM,10108601,4562100,76794892.6,34553815.0,17.29,2017-01-10
BEM,7148542,4047510,54460056.3,30876961.0,10.32,2017-01-11
BEM,5633147,6193400,42577272.2,46844610.0,19.32,2017-01-12
BEM,4477149,3070600,33972107.4,23275210.0,15.25,2017-01-13
BEM,9746500,12213147,73506015.0,92121302.5,13.88,2017-01-16
BEM,4329700,2909782,32441415.0,21815665.9,17.7,2017-01-17
BEM,3772200,4438096,28064410.0,33058745.2,11.94,2017-01-18
BEM,15321002,10123500,113002364.8,74731240.0,15.52,2017-01-19
BEM,5139788,4459407,38054391.1,33013796.8,13.1,2017-01-20
BEM,6831503,7349811,50234442.05,54048316.4,15.16,2017-01-23
BEM,7992703,7792200,58320606.9,56959695.0,9.98,2017-01-24
BEM,11941303,5749300,86447071.75,41761350.0,10.07,2017-01-25
BEM,14937800,19687700,106555915.0,140268720.0,11.8,2017-01-26
BEM,7766103,6366900,55440256.3,45534930.0,12.14,2017-01-27
BEM,9945992,6515900,70827002.4,46403780.0,15.47,2017-01-30
BEM,15617103,9883300,110075041.15,69763780.0,16.96,2017-01-31
BEM,7709900,5611100,54333910.0,39569405.0,15.19,2017-02-01
BEM,8505300,7046742,59891185.0,49698556.1,14.96,2017-02-02
BEM,13018800,11130080,91639110.0,77915540.0,11.1,2017-02-03
BEM,13700600,12815611,96709200.0,90644482.55,15.77,2017-02-06
BEM,11259700,7913200,79295240.0,55583380.0,16.06,2017-02-07
BEM,10209800,16454400,72480130.0,116846095.0,15.73,2017-02-08
BEM,10670900,8034000,75695105.0,57070420.0,17.07,2017-02-09
BEM,11524100,8566400,82748675.0,61563535.0,13.48,2017-02-10
