Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
BFIT,4500,68200,58050.0,872700.0,1.43,2017-01-04
BFIT,82000,2000,1037500.0,25800.0,3.66,2017-01-05
BFIT,15400,0,193180.0,0.0,0.42,2017-01-06
BFIT,2500,9100,31100.0,114430.0,0.8,2017-01-09
BFIT,0,7000,0.0,87600.0,0.83,2017-01-10
BFIT,0,11000,0.0,135300.0,1.05,2017-01-11
BFIT,10000,7100,122000.0,87330.0,6.97,2017-01-13
BFIT,0,54500,0.0,664800.0,6.03,2017-01-18
BFIT,0,20000,0.0,244000.0,10.01,2017-01-24
BFIT,800,40000,9760.0,488000.0,3.86,2017-01-25
BFIT,0,800,0.0,9840.0,0.23,2017-01-26
BFIT,0,7500,0.0,93000.0,1.73,2017-01-31
BFIT,0,10000,0.0,125000.0,2.74,2017-02-06
BFIT,4500,0,55250.0,0.0,0.95,2017-02-07
BFIT,0,33000,0.0,403600.0,11.65,2017-02-08
BFIT,0,8000,0.0,99200.0,6.44,2017-02-22
BFIT,41000,389400,555750.0,5049510.0,4.37,2017-02-23
BFIT,16000,29000,221850.0,403100.0,1.4,2017-02-24
BFIT,6000,28100,81800.0,386310.0,3.58,2017-02-27
BFIT,1800,3400,24120.0,45760.0,0.5,2017-02-28
BFIT,11800,27000,160020.0,364500.0,1.29,2017-03-01
BFIT,0,1800,0.0,24660.0,0.25,2017-03-02
BFIT,7500,0,103500.0,0.0,1.33,2017-03-03
BFIT,700,0,9590.0,0.0,0.06,2017-03-06
BFIT,55800,35000,731360.0,458500.0,3.58,2017-03-08
BFIT,6800,5000,89760.0,66500.0,0.01,2017-03-09
BFIT,20400,0,275400.0,0.0,7.75,2017-03-10
BFIT,25100,0,335230.0,0.0,12.75,2017-03-13
BFIT,10000,33000,129000.0,425700.0,7.97,2017-03-14
BFIT,6500,0,83850.0,0.0,2.33,2017-03-15
BFIT,7600,0,98790.0,0.0,3.46,2017-03-16
BFIT,5000,0,67500.0,0.0,0.68,2017-03-21
BFIT,0,5000,0.0,68500.0,0.93,2017-03-23
BFIT,1600,0,22560.0,0.0,0.05,2017-03-27
BFIT,700,1600,10080.0,22720.0,0.14,2017-03-28
BFIT,1100,700,16390.0,10150.0,0.07,2017-03-29
BFIT,17300,1100,257540.0,16500.0,2.97,2017-03-30
BFIT,0,10000,0.0,148000.0,4.36,2017-03-31
BFIT,3000,0,44100.0,0.0,2.26,2017-04-03
BFIT,0,1200,0.0,17640.0,0.26,2017-04-04
BFIT,0,12100,0.0,176290.0,2.16,2017-04-05
BFIT,0,12000,0.0,172800.0,4.01,2017-04-07
BFIT,0,33500,0.0,489100.0,20.5,2017-04-11
BFIT,0,700,0.0,10220.0,0.86,2017-04-12
BFIT,6000,0,85200.0,0.0,0.78,2017-04-18
BFIT,1000,0,14400.0,0.0,0.69,2017-04-19
BFIT,0,5000,0.0,72500.0,2.68,2017-04-20
BFIT,4900,8000,76420.0,120100.0,0.24,2017-04-21
BFIT,4000,12100,63800.0,193600.0,1.1,2017-04-24
BFIT,4600,8000,73210.0,126400.0,0.88,2017-04-25
BFIT,21000,11400,351460.0,186460.0,0.77,2017-04-26
BFIT,7500,5100,127070.0,86600.0,0.61,2017-04-27
BFIT,6100,800,103420.0,13440.0,0.93,2017-04-28
BFIT,9200,0,152340.0,0.0,0.98,2017-05-02
BFIT,5400,0,91690.0,0.0,1.06,2017-05-03
BFIT,700,7500,11860.0,127500.0,4.5,2017-05-04
BFIT,1700,0,28670.0,0.0,0.69,2017-05-05
BFIT,3400,6000,57490.0,100200.0,2.59,2017-05-08
BFIT,1100,76600,18210.0,1265830.0,7.35,2017-05-09
BFIT,0,74300,0.0,1197270.0,5.57,2017-05-11
BFIT,5100,10000,81130.0,161000.0,1.24,2017-05-12
BFIT,6400,0,101790.0,0.0,0.96,2017-05-15
BFIT,3800,15000,61030.0,243000.0,0.33,2017-05-16
BFIT,20400,87400,327440.0,1396920.0,2.59,2017-05-17
BFIT,20800,6100,329640.0,97000.0,3.65,2017-05-18
BFIT,10500,0,170100.0,0.0,0.79,2017-05-19
BFIT,11700,500,194580.0,8250.0,0.91,2017-05-22
BFIT,11900,60600,202400.0,1020520.0,4.01,2017-05-23
BFIT,2700,31000,50280.0,560130.0,0.61,2017-05-24
BFIT,2500,7400,46250.0,140020.0,0.17,2017-05-25
BFIT,5300,18940,95880.0,344723.5,0.34,2017-05-26
BFIT,1500,18000,27150.0,325670.0,2.05,2017-05-29
BFIT,0,2100,0.0,38070.0,0.39,2017-05-30
BFIT,4000,5700,72800.0,102570.0,2.31,2017-05-31
BFIT,0,9575,0.0,170065.0,0.52,2017-06-01
BFIT,0,700,0.0,12600.0,0.28,2017-06-02
BFIT,0,11400,0.0,206250.0,2.36,2017-06-05
BFIT,4900,8800,91620.0,158020.0,0.38,2017-06-06
BFIT,6700,1400,129920.0,26460.0,0.11,2017-06-07
BFIT,4600,3000,88630.0,57900.0,0.59,2017-06-08
BFIT,900,13100,17370.0,253120.0,0.64,2017-06-09
BFIT,0,7400,0.0,140100.0,0.26,2017-06-12
BFIT,0,2400,0.0,45190.0,0.21,2017-06-13
BFIT,1800,3600,34340.0,69000.0,0.45,2017-06-14
BFIT,0,10500,0.0,197080.0,0.62,2017-06-15
BFIT,0,6725,0.0,126430.0,1.11,2017-06-16
BFIT,0,1800,0.0,33940.0,0.41,2017-06-19
BFIT,500,10200,9450.0,191810.0,6.22,2017-06-20
BFIT,0,4200,0.0,79140.0,1.4,2017-06-21
BFIT,5000,526100,95430.0,10048340.0,14.78,2017-06-22
BFIT,6100,4100,114280.0,77580.0,0.35,2017-06-23
BFIT,0,3300,0.0,60720.0,1.19,2017-06-27
BFIT,0,18100,0.0,335130.0,1.34,2017-06-28
BFIT,0,12200,0.0,224430.0,6.46,2017-06-29
BFIT,0,16200,0.0,296740.0,3.73,2017-06-30
BFIT,0,1000,0.0,18400.0,0.42,2017-07-03
BFIT,3500,1000,63430.0,18190.0,0.68,2017-07-04
BFIT,800,6100,14800.0,111190.0,0.76,2017-07-05
BFIT,0,12900,0.0,233320.0,1.34,2017-07-06
BFIT,0,6100,0.0,110010.0,1.06,2017-07-07
BFIT,2900,600,52250.0,10920.0,0.7,2017-07-12
BFIT,100,3600,1830.0,65880.0,1.0,2017-07-13
BFIT,700,900,12670.0,16170.0,0.19,2017-07-14
BFIT,0,3000,0.0,54130.0,0.49,2017-07-17
BFIT,0,500,0.0,9000.0,0.24,2017-07-18
BFIT,0,3500,0.0,62810.0,0.87,2017-07-19
BFIT,0,500,0.0,9100.0,0.14,2017-07-20
BFIT,0,15200,0.0,281340.0,2.1,2017-07-21
BFIT,8000,200,146700.0,3670.0,0.33,2017-07-24
BFIT,0,2000,0.0,37400.0,0.08,2017-07-25
BFIT,2300,0,43140.0,0.0,0.41,2017-07-26
BFIT,0,800,0.0,14770.0,0.27,2017-07-31
BFIT,1700,5100,30790.0,93350.0,0.5,2017-08-01
BFIT,800,5000,14720.0,92000.0,5.31,2017-08-02
BFIT,2600,0,47180.0,0.0,0.3,2017-08-03
BFIT,36600,3200,640930.0,56440.0,1.84,2017-08-04
BFIT,21300,800,366620.0,14080.0,1.77,2017-08-07
BFIT,35800,6200,596050.0,103530.0,1.63,2017-08-08
BFIT,30900,300,495080.0,4770.0,0.74,2017-08-09
BFIT,28300,4300,452510.0,68130.0,1.27,2017-08-10
BFIT,100,8400,1620.0,135570.0,1.32,2017-08-11
BFIT,0,8600,0.0,144080.0,1.02,2017-08-15
BFIT,1400,2900,23240.0,48170.0,0.94,2017-08-16
BFIT,0,12200,0.0,202500.0,9.23,2017-08-17
BFIT,32900,1600,539840.0,26290.0,10.48,2017-08-18
BFIT,0,4400,0.0,73040.0,5.95,2017-08-21
BFIT,300,1700,5070.0,28710.0,0.2,2017-08-22
BFIT,0,6000,0.0,102000.0,1.44,2017-08-23
BFIT,0,2500,0.0,43260.0,0.18,2017-08-24
BFIT,0,5100,0.0,89770.0,2.99,2017-08-25
BFIT,0,7200,0.0,129110.0,0.2,2017-08-28
BFIT,1400,600,25430.0,11040.0,0.42,2017-08-29
BFIT,0,5700,0.0,104310.0,2.77,2017-08-30
BFIT,6000,1600,108000.0,29440.0,1.29,2017-08-31
BFIT,1000,46000,18300.0,844760.0,8.24,2017-09-01
BFIT,100,0,1810.0,0.0,0.06,2017-09-04
BFIT,6800,0,122400.0,0.0,1.68,2017-09-05
BFIT,1000,16700,18100.0,303140.0,14.72,2017-09-06
BFIT,4400,0,79320.0,0.0,0.88,2017-09-07
BFIT,11500,27000,215790.0,504200.0,0.74,2017-09-08
BFIT,31500,7800,629750.0,147690.0,0.25,2017-09-11
BFIT,204100,220255,4279950.0,4471727.5,4.09,2017-09-12
BFIT,39500,19700,829330.0,410820.0,0.51,2017-09-13
BFIT,14100,0,320400.0,0.0,0.16,2017-09-14
BFIT,23700,0,537940.0,0.0,0.95,2017-09-15
BFIT,30400,1400,726360.0,33040.0,0.43,2017-09-18
BFIT,41918,325,962762.2,7557.5,1.3,2017-09-19
BFIT,17804,222,423945.2,5307.6,0.71,2017-09-20
BFIT,1163200,56100,30111175.0,1489925.0,5.16,2017-09-21
BFIT,943300,192300,26970250.0,5552075.0,5.76,2017-09-22
BFIT,206100,188600,5988950.0,5529325.0,3.69,2017-09-25
BFIT,250800,84400,7110625.0,2463825.0,5.33,2017-09-26
BFIT,3000,4300,87750.0,124050.0,0.24,2017-09-27
BFIT,957300,906400,28872075.0,27641650.0,8.91,2017-09-28
BFIT,520900,975400,17169875.0,32194575.0,6.47,2017-09-29
BFIT,43709,267204,1458857.5,9200513.0,2.76,2017-10-02
BFIT,50800,200,1728100.0,6950.0,1.01,2017-10-03
BFIT,62700,38000,2324800.0,1414450.0,0.46,2017-10-04
BFIT,2200,420700,81950.0,15798600.0,6.49,2017-10-05
BFIT,509505,1487270,17489656.25,52080206.0,9.81,2017-10-06
BFIT,211600,350100,7119625.0,11765225.0,8.79,2017-10-09
BFIT,34500,20100,1155050.0,692400.0,0.58,2017-10-10
BFIT,12500,60400,458200.0,2182700.0,0.56,2017-10-11
BFIT,219400,233700,8611200.0,9138175.0,2.38,2017-10-12
BFIT,58800,75200,2302450.0,2936700.0,2.7,2017-10-16
BFIT,19100,109700,778225.0,4372125.0,1.62,2017-10-17
BFIT,5,29900,195.0,1172725.0,0.63,2017-10-18
