Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
BGC,14339700,14060500,179242099.6,177079707.2,3.9,2018-10-18
BGC,646302,688500,7737224.0,8227350.0,0.87,2018-10-19
BGC,11365200,11095902,141166350.0,137882304.6,15.02,2018-10-22
BGC,3273300,3263400,39689410.0,39096260.0,9.11,2018-10-24
BGC,14000,169000,166600.0,2103260.0,0.21,2018-10-25
BGC,157500,132400,1966750.0,1653600.0,0.3,2018-10-26
BGC,1323300,1343800,16408720.0,16665820.0,5.64,2018-10-29
BGC,92201,281400,1174393.0,3635560.0,0.24,2018-10-30
BGC,8384500,8399700,112580860.0,112175170.0,13.51,2018-10-31
BGC,219000,208400,2803900.0,2727740.0,0.5,2018-11-01
BGC,20200,6200,265940.0,80600.0,0.03,2018-11-02
BGC,27100,3000,349590.0,38700.0,0.18,2018-11-05
BGC,200,13100,2580.0,170580.0,0.03,2018-11-06
BGC,243100,256200,3039330.0,3199080.0,1.03,2018-11-07
BGC,49300,0,611710.0,0.0,0.12,2018-11-08
BGC,25100,9400,304200.0,112520.0,0.2,2018-11-09
BGC,15300,15100,185140.0,182950.0,0.23,2018-11-12
BGC,1100,27500,13100.0,327910.0,0.48,2018-11-13
BGC,200,16600,2380.0,198720.0,0.18,2018-11-14
BGC,149100,37100,1659700.0,431940.0,0.7,2018-11-15
BGC,52600,12100,541850.0,131820.0,0.08,2018-11-16
BGC,13000,11500,128050.0,114670.0,0.07,2018-11-19
BGC,12300,28100,123460.0,282325.0,0.2,2018-11-20
BGC,0,37000,0.0,373700.0,0.35,2018-11-21
BGC,0,99900,0.0,1013900.0,0.37,2018-11-22
BGC,0,84400,0.0,864480.0,0.43,2018-11-23
BGC,0,26800,0.0,285570.0,0.3,2018-11-26
BGC,100,0,1060.0,0.0,0.0,2018-11-27
BGC,0,27000,0.0,291600.0,0.62,2018-11-28
BGC,293305,100500,3210425.0,1095450.0,1.85,2018-12-03
BGC,1100,55400,12100.0,604600.0,0.83,2018-12-04
BGC,0,14200,0.0,153360.0,0.46,2018-12-06
BGC,0,11300,0.0,118720.0,0.67,2018-12-11
BGC,16600,6600,174540.0,69300.0,0.89,2018-12-12
BGC,0,13500,0.0,140520.0,0.4,2018-12-13
BGC,0,6500,0.0,66950.0,0.45,2018-12-14
BGC,60000,134800,599500.0,1353990.0,2.21,2018-12-17
