Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
BGRIM,16093554,10080500,272597676.2,171603730.0,5.13,2017-07-19
BGRIM,18400600,18395000,323700970.0,325320280.0,8.98,2017-07-20
BGRIM,23501515,23121600,434694837.5,430520150.0,11.29,2017-07-21
BGRIM,7345704,6788611,138816245.2,128390700.8,5.36,2017-07-24
BGRIM,7584300,7292700,139377210.0,134521340.0,11.48,2017-07-25
BGRIM,7308300,7468000,135475050.0,138445170.0,9.66,2017-07-26
BGRIM,333001,268500,6102358.2,4915800.0,0.79,2017-07-27
BGRIM,3833300,3757700,69596810.0,68170500.0,12.72,2017-07-31
BGRIM,767102,750300,14037936.6,13580490.0,6.38,2017-08-01
BGRIM,24900,33700,457150.0,617780.0,0.09,2017-08-02
BGRIM,9100,0,164970.0,0.0,0.03,2017-08-03
BGRIM,763900,807300,13901980.0,14668420.0,4.12,2017-08-04
BGRIM,8126620,8123200,143378252.0,144035530.0,17.18,2017-08-07
BGRIM,1007000,2166400,17949000.0,38500420.0,5.18,2017-08-08
BGRIM,1900,1323100,33460.0,23406880.0,7.09,2017-08-09
BGRIM,867200,2017200,15248320.0,35341000.0,19.38,2017-08-10
BGRIM,10300,1400000,180250.0,24490000.0,10.56,2017-08-11
BGRIM,3500,10100,61450.0,177750.0,0.1,2017-08-15
BGRIM,25000,180610,463000.0,3279502.3,0.19,2017-08-16
BGRIM,1008000,1273300,19148150.0,23936630.0,1.82,2017-08-17
BGRIM,2460500,2473000,46010350.0,46255830.0,9.4,2017-08-18
BGRIM,7605800,7633858,147032390.0,146657700.2,8.2,2017-08-21
BGRIM,3435300,2455010,66903130.0,47945516.0,6.2,2017-08-22
BGRIM,1060005,1055422,20233235.5,20149292.6,4.85,2017-08-23
BGRIM,1263403,1078380,24168638.2,20618289.0,9.63,2017-08-24
BGRIM,483802,423650,9371918.2,8221065.0,2.6,2017-08-25
BGRIM,571800,502201,11002200.0,9592039.3,3.46,2017-08-28
BGRIM,7754701,7797720,155516489.7,156765770.0,8.89,2017-08-29
BGRIM,2266000,1945230,46342430.0,39747546.0,4.4,2017-08-30
BGRIM,4660550,4304200,97352855.0,90157310.0,7.51,2017-08-31
BGRIM,27540,127100,573682.0,2653390.0,0.31,2017-09-01
BGRIM,7251720,7379600,157569496.0,160672780.0,9.43,2017-09-04
BGRIM,5850550,5891050,133519550.0,134717970.0,8.59,2017-09-05
BGRIM,2006900,2010050,45426020.0,45872620.0,6.42,2017-09-06
BGRIM,1952800,753000,43874010.0,16832200.0,6.4,2017-09-07
BGRIM,824300,962900,18809010.0,22107090.0,2.41,2017-09-08
BGRIM,2009200,1885100,44998270.0,42318960.0,10.35,2017-09-11
BGRIM,204400,133300,4611470.0,3030660.0,0.64,2017-09-12
BGRIM,5287201,5308400,122133993.2,122704170.0,13.0,2017-09-13
BGRIM,444000,402000,10081250.0,9140600.0,3.07,2017-09-14
BGRIM,504900,1293800,11571580.0,29671630.0,3.38,2017-09-15
BGRIM,476900,378800,10918150.0,8668880.0,3.42,2017-09-18
BGRIM,2181300,2061600,49508050.0,46644680.0,15.63,2017-09-19
BGRIM,4921400,4831700,111600040.0,108996030.0,19.43,2017-09-20
BGRIM,23000,71201,516870.0,1617642.5,0.34,2017-09-21
BGRIM,163705,102800,3700993.5,2323870.0,0.6,2017-09-22
BGRIM,0,10700,0.0,241850.0,0.08,2017-09-25
BGRIM,1600,26250,35850.0,589165.0,0.22,2017-09-26
BGRIM,713300,157700,15533260.0,3424450.0,2.03,2017-09-27
BGRIM,32100,314600,702770.0,6886620.0,1.31,2017-09-28
BGRIM,20000,249840,447500.0,5564170.0,1.09,2017-09-29
BGRIM,311800,97800,6932360.0,2155970.0,1.37,2017-10-02
BGRIM,52300,200400,1160620.0,4505470.0,0.57,2017-10-03
BGRIM,5549411,4234400,128441140.4,98241050.0,4.87,2017-10-04
BGRIM,7678000,6683900,187202140.0,163821900.0,8.82,2017-10-05
BGRIM,1119100,131300,27818600.0,3275885.0,1.79,2017-10-06
BGRIM,1130801,635510,27976214.5,15699907.0,2.39,2017-10-09
BGRIM,565200,866500,13691080.0,20872600.0,1.9,2017-10-10
BGRIM,185800,233600,4594240.0,5755320.0,0.66,2017-10-11
BGRIM,57000,148700,1387560.0,3616160.0,1.39,2017-10-12
BGRIM,1593500,1599900,39230070.0,39515540.0,7.57,2017-10-16
BGRIM,7691100,6890900,196154235.0,175689315.0,14.55,2017-10-17
BGRIM,2194300,3147900,56071425.0,80469825.0,9.9,2017-10-18
BGRIM,9152300,7843900,233762285.0,201336685.0,17.44,2017-10-19
BGRIM,5211656,5450300,132111167.0,137900400.0,28.4,2017-10-20
BGRIM,5567545,5275900,144952097.0,138596650.0,13.24,2017-10-24
BGRIM,7297000,6457800,199952775.0,177303825.0,20.8,2017-10-25
