Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
BH,425400,97800,77691600.0,17854750.0,18.67,2017-01-04
BH,397400,162300,73086400.0,29848650.0,24.33,2017-01-05
BH,289800,170900,53453500.0,31559500.0,18.13,2017-01-06
BH,199000,55300,36538150.0,10154450.0,23.97,2017-01-09
BH,463706,34100,85042148.0,6235400.0,30.22,2017-01-10
BH,237700,168400,43769950.0,30989350.0,23.46,2017-01-11
BH,148101,65100,27302835.0,11999750.0,31.46,2017-01-12
BH,147500,197000,27193300.0,36291500.0,34.48,2017-01-13
BH,92994,186400,17104572.0,34236900.0,28.19,2017-01-16
BH,156500,93667,28622600.0,17169064.5,21.06,2017-01-17
BH,114455,254900,20801214.5,46245700.0,24.52,2017-01-18
BH,343200,299300,61766650.0,53853800.0,30.61,2017-01-19
BH,349101,462200,62605232.0,82849835.5,31.79,2017-01-20
BH,313500,144507,56185700.0,25941520.5,19.54,2017-01-23
BH,140900,80000,25493650.0,14444000.0,16.99,2017-01-24
BH,119200,49200,21684100.0,8946000.0,19.29,2017-01-25
BH,237400,48200,43362150.0,8785100.0,15.2,2017-01-26
BH,113936,64000,20795555.0,11679100.0,18.61,2017-01-27
BH,105700,77300,19092350.0,13961150.0,16.12,2017-01-30
BH,124100,80500,22278350.0,14469850.0,8.79,2017-01-31
BH,114267,43780,20567994.0,7866812.0,10.21,2017-02-01
BH,227575,124600,41195825.0,22557700.0,20.01,2017-02-02
BH,147209,204400,26505361.0,36762300.0,22.02,2017-02-03
BH,155900,156000,28115800.0,28146000.0,28.07,2017-02-06
BH,140800,122300,25247650.0,21919700.0,18.02,2017-02-07
BH,282358,217700,51315383.0,39439650.0,17.39,2017-02-08
BH,202700,121500,37209950.0,22292850.0,19.6,2017-02-09
BH,225200,297700,41766050.0,55309950.0,13.69,2017-02-10
BH,138900,32400,25698800.0,5970850.0,10.22,2017-02-14
BH,248300,78910,45731710.0,14536245.0,23.5,2017-02-15
BH,78300,108000,14415450.0,19887100.0,13.58,2017-02-16
BH,138000,78800,25387150.0,14504400.0,36.85,2017-02-17
BH,51200,23900,9325700.0,4366300.0,16.48,2017-02-20
BH,112155,71900,20418062.5,13033300.0,21.44,2017-02-21
BH,261900,82620,47706900.0,15068982.5,20.48,2017-02-22
BH,195400,174100,35460650.0,31592800.0,26.97,2017-02-23
BH,254547,55500,46269270.0,10080100.0,32.66,2017-02-24
BH,108700,72500,19351800.0,12918200.0,11.85,2017-02-27
BH,180400,63400,31834700.0,11176550.0,14.08,2017-02-28
BH,59600,117017,10578750.0,20756916.0,15.33,2017-03-01
BH,188400,466600,33296300.0,82519750.0,30.18,2017-03-02
BH,98100,651000,17205000.0,114254150.0,43.37,2017-03-03
BH,45900,261306,8088450.0,45969394.0,17.94,2017-03-06
BH,78700,216800,13942100.0,38478200.0,25.6,2017-03-07
BH,187200,236421,33070900.0,41861175.0,18.37,2017-03-08
BH,44000,55310,7831450.0,9846775.0,10.2,2017-03-09
BH,97200,116114,17260350.0,20606557.0,19.52,2017-03-10
BH,120400,163600,21589500.0,29273400.0,13.78,2017-03-13
BH,134800,379700,24114400.0,68195200.0,21.86,2017-03-14
BH,228671,195200,41153230.0,35154750.0,20.35,2017-03-15
BH,185300,180800,33427650.0,32601900.0,16.02,2017-03-16
BH,199741,273804,35975846.5,49196860.0,32.37,2017-03-17
BH,196200,132800,35512000.0,24015550.0,45.79,2017-03-20
BH,195900,36500,35466250.0,6616700.0,26.44,2017-03-21
BH,210000,370200,37587500.0,66063050.0,20.02,2017-03-22
BH,79100,396672,14020150.0,70350912.0,23.43,2017-03-23
BH,42300,186100,7489750.0,32905900.0,20.83,2017-03-24
BH,52700,73912,9311250.0,13061224.0,9.38,2017-03-27
BH,131400,52100,23432450.0,9304400.0,13.73,2017-03-28
BH,234800,44800,42293650.0,8066750.0,22.64,2017-03-29
BH,549100,96100,99543900.0,17344550.0,32.85,2017-03-30
BH,247300,137200,45073200.0,25046650.0,28.12,2017-03-31
BH,86800,59768,15681050.0,10808491.5,14.7,2017-04-03
BH,75100,52939,13659150.0,9641831.0,12.5,2017-04-04
BH,147300,44900,26628400.0,8111300.0,16.36,2017-04-05
BH,72700,173000,13079050.0,31045400.0,10.92,2017-04-07
BH,48200,64400,8714100.0,11614700.0,9.48,2017-04-10
BH,82200,92600,14832650.0,16686000.0,28.36,2017-04-11
BH,81811,47500,14775934.0,8590050.0,22.41,2017-04-12
BH,404400,818400,72288200.0,146050400.0,51.0,2017-04-17
BH,177700,147100,31267650.0,25917400.0,11.4,2017-04-18
BH,168200,63400,29454350.0,11135550.0,9.66,2017-04-19
BH,24000,113900,4230450.0,20121200.0,8.01,2017-04-20
BH,157303,308700,27419228.0,53931950.0,23.54,2017-04-21
BH,141100,37400,24857250.0,6596900.0,18.99,2017-04-24
BH,284600,75800,50043950.0,13341450.0,20.61,2017-04-25
BH,142500,37700,25165600.0,6646050.0,11.43,2017-04-26
BH,137800,91100,24406550.0,16142150.0,16.72,2017-04-27
BH,157700,56700,27788400.0,10017100.0,0.41,2017-04-28
BH,174300,5900,30525650.0,1034150.0,8.9,2017-05-02
BH,74200,38459,13073650.0,6742025.0,18.91,2017-05-03
BH,78000,156100,13854250.0,27629650.0,15.69,2017-05-04
BH,28201,177600,5065480.5,31836050.0,8.67,2017-05-05
BH,156200,72070,28370350.0,13076670.0,16.03,2017-05-08
BH,99400,67100,18186500.0,12257500.0,7.29,2017-05-09
BH,325000,47500,59501100.0,8689150.0,15.37,2017-05-11
BH,154500,39200,28397350.0,7179300.0,13.64,2017-05-12
BH,141200,19900,26098900.0,3674550.0,10.88,2017-05-15
BH,139800,388601,25570400.0,71014534.0,34.64,2017-05-16
BH,184900,449998,33335300.0,80777330.5,30.7,2017-05-17
BH,173601,178403,31132230.0,31985787.0,45.55,2017-05-18
BH,131701,150409,23544229.0,26872252.0,32.51,2017-05-19
BH,198413,40702,35760993.0,7338308.0,38.66,2017-05-22
BH,188693,169056,33778333.0,30298752.5,28.75,2017-05-23
BH,91811,77603,16334108.0,13794534.0,16.0,2017-05-24
BH,143621,115600,25604022.5,20578050.0,37.74,2017-05-25
BH,110300,71302,19543900.0,12635754.0,16.63,2017-05-26
BH,44948,2700,7911144.0,475250.0,6.02,2017-05-29
BH,66531,13800,11747136.0,2432500.0,11.95,2017-05-30
BH,687600,536372,119728450.0,93080001.5,31.02,2017-05-31
BH,84023,13906,14661415.5,2426245.5,12.68,2017-06-01
BH,126064,72617,22029462.0,12691908.5,15.83,2017-06-02
BH,237200,82900,41244300.0,14484550.0,10.98,2017-06-05
BH,115404,98606,20094947.0,17216441.5,21.2,2017-06-06
BH,169306,52777,29713606.0,9251028.5,26.43,2017-06-07
BH,482307,88100,84639628.5,15474400.0,36.84,2017-06-08
BH,416400,44331,73312650.0,7800911.0,28.56,2017-06-09
BH,28828,27400,5055656.0,4799450.0,18.7,2017-06-12
BH,164600,51700,28695150.0,9011100.0,20.73,2017-06-13
BH,96351,160745,16716025.0,27861362.0,10.73,2017-06-14
BH,67510,142700,11620145.0,24540600.0,8.58,2017-06-15
BH,306067,258000,52187965.5,43985050.0,31.52,2017-06-16
BH,108600,140700,18626100.0,24114050.0,29.45,2017-06-19
BH,32300,131900,5517800.0,22519550.0,16.01,2017-06-20
BH,153800,190300,26176950.0,32378350.0,22.19,2017-06-21
BH,242600,165500,41575550.0,28373750.0,43.97,2017-06-22
BH,149500,57200,25691950.0,9824700.0,27.18,2017-06-23
BH,210900,159600,36624200.0,27691950.0,20.27,2017-06-26
BH,180700,92100,31406550.0,16009300.0,47.78,2017-06-27
BH,169300,188000,29331800.0,32516850.0,43.35,2017-06-28
BH,238200,230100,41092350.0,39731850.0,28.77,2017-06-29
BH,87800,44000,15090450.0,7559900.0,25.87,2017-06-30
BH,28300,17700,4889750.0,3062000.0,5.43,2017-07-03
BH,18600,79340,3214050.0,13710660.0,19.92,2017-07-04
BH,65436,92600,11372433.5,16072150.0,14.69,2017-07-05
BH,66724,90100,11584450.0,15618950.0,19.21,2017-07-06
BH,73000,85700,12528350.0,14697800.0,16.41,2017-07-07
BH,120228,46100,20543024.0,7874150.0,15.29,2017-07-11
BH,94100,62500,16185350.0,10745450.0,19.92,2017-07-12
BH,190400,64800,32579950.0,11079200.0,22.34,2017-07-13
BH,301418,241600,51129619.0,41035050.0,33.34,2017-07-14
BH,227210,30700,38582395.0,5215200.0,18.19,2017-07-17
BH,285800,46900,48680250.0,8023150.0,25.02,2017-07-18
BH,158100,394910,27452350.0,68373435.0,10.82,2017-07-19
BH,100300,143700,17444400.0,25025800.0,28.36,2017-07-20
BH,92635,90900,16018440.0,15704700.0,15.53,2017-07-21
BH,180100,65700,31185650.0,11399450.0,22.67,2017-07-24
BH,91580,56100,15849620.0,9708050.0,21.2,2017-07-25
BH,61500,166000,10694700.0,28809250.0,16.13,2017-07-26
BH,87800,57800,15352300.0,10108900.0,17.03,2017-07-27
BH,172000,174410,30058600.0,30448140.0,14.43,2017-07-31
BH,124455,79412,21960330.0,14020569.0,8.79,2017-08-01
BH,172803,336800,31164190.0,60622050.0,10.1,2017-08-02
BH,1983897,368000,370296901.5,67993400.0,22.07,2017-08-03
BH,1421925,1483900,265296201.0,276780750.0,47.64,2017-08-04
BH,836900,981300,156125650.0,183071850.0,48.28,2017-08-07
BH,2089400,461700,398357031.18,88069181.18,29.32,2017-08-08
BH,742600,50200,139829050.0,9440700.0,23.03,2017-08-09
BH,511200,137900,98412800.0,26649500.0,6.53,2017-08-10
BH,865352,970100,167891312.0,187954450.0,27.02,2017-08-11
BH,1358450,771953,269714300.25,152286824.5,31.63,2017-08-15
BH,730300,50700,143215450.0,9933400.0,19.36,2017-08-16
