Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
BRR,572900,172800,9119800.0,2758520.0,3.76,2017-01-04
BRR,638800,115100,10315430.0,1842710.0,5.18,2017-01-05
BRR,536800,208500,8658320.0,3403760.0,7.95,2017-01-06
BRR,918100,137900,14995790.0,2251280.0,18.46,2017-01-09
BRR,695000,253900,11498530.0,4215550.0,7.66,2017-01-10
BRR,878300,404300,14869280.0,6879580.0,11.19,2017-01-11
BRR,673000,98200,11505190.0,1673590.0,10.22,2017-01-12
BRR,643500,285900,10973490.0,4858360.0,12.15,2017-01-13
BRR,410600,21800,6909160.0,366850.0,7.6,2017-01-16
BRR,342600,16500,5803500.0,279660.0,7.24,2017-01-17
BRR,231700,5900,3891010.0,99030.0,3.72,2017-01-18
BRR,956200,3400,15320920.0,54350.0,4.87,2017-01-19
BRR,418000,60200,6727160.0,964840.0,8.66,2017-01-20
BRR,281600,30800,4544320.0,495110.0,10.03,2017-01-23
BRR,480900,87000,7664020.0,1387350.0,9.97,2017-01-24
BRR,202600,63000,3220210.0,998020.0,2.39,2017-01-25
BRR,148600,106300,2348550.0,1684780.0,6.74,2017-01-26
BRR,33300,43500,523910.0,682350.0,4.17,2017-01-27
BRR,140400,66900,2188220.0,1041880.0,6.36,2017-01-30
BRR,195400,43800,2982880.0,668130.0,5.81,2017-01-31
BRR,331900,59100,5146480.0,916380.0,5.97,2017-02-01
BRR,472100,363000,7532990.0,5762750.0,5.54,2017-02-02
BRR,337000,240300,5470430.0,3898450.0,3.69,2017-02-03
BRR,342200,188000,5556000.0,3044250.0,3.84,2017-02-06
BRR,424500,46100,6703220.0,727980.0,8.43,2017-02-07
BRR,234900,78900,3657580.0,1230190.0,8.76,2017-02-08
BRR,338900,52900,5231020.0,819200.0,13.47,2017-02-09
BRR,126200,112300,1918050.0,1717110.0,3.91,2017-02-10
BRR,17300,37800,262630.0,571640.0,2.48,2017-02-14
BRR,258700,517000,3767410.0,7463320.0,7.45,2017-02-15
BRR,78800,14500,1137090.0,209590.0,1.18,2017-02-16
BRR,42600,57200,622990.0,832180.0,2.2,2017-02-17
BRR,64100,16900,931290.0,247620.0,2.0,2017-02-20
BRR,23600,81800,339370.0,1186790.0,4.85,2017-02-21
BRR,24900,94000,357370.0,1352300.0,8.1,2017-02-22
BRR,93800,305100,1364310.0,4407240.0,7.78,2017-02-23
BRR,46900,466923,676740.0,6718932.0,5.89,2017-02-24
BRR,2000,546000,29300.0,8066110.0,12.76,2017-02-27
BRR,12000,581100,180400.0,8721540.0,18.24,2017-02-28
BRR,31800,321100,479880.0,4823920.0,11.24,2017-03-01
BRR,0,154700,0.0,2338320.0,12.74,2017-03-02
BRR,0,521841,0.0,7772195.0,17.39,2017-03-03
BRR,0,333864,0.0,4947207.2,19.89,2017-03-06
BRR,9900,578200,146520.0,8534040.0,18.94,2017-03-07
BRR,1000,679228,14600.0,9924143.2,14.46,2017-03-08
BRR,0,437300,0.0,6417810.0,12.83,2017-03-09
BRR,6500,385800,93250.0,5568070.0,11.88,2017-03-10
BRR,1000,102529,14200.0,1457805.3,5.48,2017-03-13
BRR,24900,177300,351090.0,2494660.0,5.63,2017-03-14
BRR,28600,67418,402620.0,944983.8,7.01,2017-03-15
BRR,27300,72078,387480.0,1019632.0,7.7,2017-03-16
BRR,32000,49831,454620.0,707640.2,7.99,2017-03-17
BRR,56100,111800,812200.0,1621660.0,3.04,2017-03-20
BRR,600,161546,8740.0,2354027.0,4.21,2017-03-21
BRR,0,11600,0.0,170200.0,0.52,2017-03-22
BRR,0,322592,0.0,4771362.4,6.34,2017-03-23
BRR,100,7700,1490.0,114630.0,0.45,2017-03-24
BRR,1200,93600,18000.0,1398790.0,6.71,2017-03-27
BRR,0,225081,0.0,3366297.8,6.07,2017-03-28
BRR,1100,187880,16610.0,2829110.0,3.41,2017-03-29
BRR,13400,205009,209000.0,3180148.6,2.15,2017-03-30
BRR,2800,64500,43960.0,1007960.0,2.16,2017-03-31
BRR,6000,4000,91800.0,62090.0,0.31,2017-04-03
BRR,4700,0,71630.0,0.0,0.34,2017-04-04
BRR,17600,0,265260.0,0.0,0.4,2017-04-05
BRR,42500,3600,629380.0,53290.0,1.04,2017-04-07
BRR,7200,0,106560.0,0.0,0.76,2017-04-10
BRR,18000,1700,268150.0,25160.0,0.98,2017-04-11
BRR,900,113100,13590.0,1700030.0,8.33,2017-04-12
BRR,3500,17800,52500.0,267630.0,1.07,2017-04-17
BRR,0,18400,0.0,276000.0,2.2,2017-04-18
BRR,600,84600,8940.0,1264920.0,3.8,2017-04-19
BRR,0,17300,0.0,259500.0,1.55,2017-04-20
BRR,0,11200,0.0,168000.0,1.12,2017-04-21
BRR,0,173300,0.0,2628980.0,4.23,2017-04-24
BRR,0,223400,0.0,3355990.0,4.58,2017-04-25
BRR,0,41700,0.0,619640.0,2.64,2017-04-26
BRR,0,5600,0.0,83440.0,0.29,2017-04-27
BRR,1900,87910,28500.0,1310169.0,3.02,2017-04-28
BRR,0,16800,0.0,249540.0,0.78,2017-05-02
BRR,2200,100100,32940.0,1491500.0,3.45,2017-05-03
BRR,14200,248324,181360.0,3154582.4,5.41,2017-05-04
BRR,5500,100,69900.0,1260.0,0.48,2017-05-05
BRR,6500,6300,81350.0,79380.0,1.34,2017-05-08
BRR,0,4300,0.0,53750.0,0.24,2017-05-09
BRR,0,165023,0.0,2072395.4,5.91,2017-05-11
BRR,0,101400,0.0,1253840.0,3.06,2017-05-12
BRR,0,4000,0.0,50310.0,0.23,2017-05-15
BRR,85300,126400,1080110.0,1596730.0,8.11,2017-05-16
BRR,152300,64000,1951520.0,820010.0,2.73,2017-05-17
BRR,226200,172090,2927870.0,2208012.0,4.43,2017-05-18
BRR,183900,73300,2356250.0,935000.0,14.78,2017-05-19
BRR,340000,85300,4355150.0,1089110.0,18.27,2017-05-22
BRR,315700,102600,4035130.0,1307820.0,14.7,2017-05-23
BRR,229100,58600,2929180.0,746360.0,15.77,2017-05-24
BRR,79700,65600,1013200.0,831130.0,11.37,2017-05-25
BRR,324300,15400,4097540.0,194390.0,15.87,2017-05-26
BRR,48900,400,626410.0,5120.0,1.09,2017-05-29
BRR,375900,31700,5011280.0,420330.0,2.0,2017-05-30
BRR,130600,39300,1717230.0,512310.0,1.22,2017-05-31
BRR,78000,169200,996260.0,2157710.0,3.59,2017-06-01
BRR,75100,184133,959930.0,2340959.1,9.2,2017-06-02
BRR,146100,119400,1847390.0,1501020.0,7.84,2017-06-05
BRR,64900,136800,818200.0,1721640.0,17.46,2017-06-06
BRR,43200,36500,552460.0,464260.0,5.0,2017-06-07
BRR,3800,66200,48660.0,844270.0,3.4,2017-06-08
BRR,1100,72300,13860.0,913480.0,5.94,2017-06-09
BRR,5900,107421,73230.0,1338728.3,4.04,2017-06-12
BRR,9700,114700,121860.0,1438420.0,3.2,2017-06-13
BRR,1200,4000,15020.0,50000.0,0.37,2017-06-14
BRR,4500,115000,56820.0,1447430.0,2.58,2017-06-15
BRR,11700,104000,144610.0,1294310.0,5.69,2017-06-16
BRR,300,422900,3710.0,5202880.0,23.0,2017-06-19
BRR,5400,11200,66830.0,138190.0,1.22,2017-06-20
BRR,2600,33500,31680.0,408470.0,1.65,2017-06-21
BRR,0,19400,0.0,232780.0,0.54,2017-06-22
BRR,2100,0,24990.0,0.0,0.14,2017-06-23
BRR,0,1100,0.0,13100.0,0.21,2017-06-26
BRR,0,16400,0.0,195560.0,1.64,2017-06-27
BRR,0,20400,0.0,242710.0,3.83,2017-06-28
BRR,2000,36200,23600.0,427410.0,5.45,2017-06-29
BRR,0,58800,0.0,689150.0,2.63,2017-06-30
BRR,100,19700,1170.0,230490.0,3.72,2017-07-03
BRR,400,5000,4640.0,58000.0,0.49,2017-07-04
BRR,100,65700,1160.0,774940.0,2.07,2017-07-05
BRR,400,163800,4760.0,1975480.0,4.47,2017-07-06
BRR,0,34400,0.0,407100.0,1.71,2017-07-07
BRR,0,16700,0.0,196140.0,3.08,2017-07-11
BRR,4600,3800,53580.0,44500.0,1.05,2017-07-12
BRR,0,12500,0.0,145700.0,0.59,2017-07-13
BRR,500,900,5800.0,10440.0,0.18,2017-07-14
BRR,1900,4900,22040.0,56840.0,1.15,2017-07-17
BRR,0,13500,0.0,155270.0,1.04,2017-07-18
BRR,0,6200,0.0,71340.0,0.99,2017-07-19
BRR,0,21900,0.0,256430.0,0.94,2017-07-20
BRR,200,20500,2340.0,240550.0,4.01,2017-07-21
BRR,0,4054,0.0,47033.0,3.02,2017-07-24
BRR,400,3100,4640.0,35950.0,0.43,2017-07-25
BRR,300,41600,3450.0,478400.0,3.06,2017-07-26
BRR,1600,21400,18320.0,246100.0,3.48,2017-07-27
BRR,0,30900,0.0,352260.0,2.42,2017-07-31
BRR,0,21600,0.0,247590.0,3.53,2017-08-01
BRR,1200,29600,13800.0,340340.0,8.11,2017-08-02
BRR,5000,22600,57500.0,259900.0,3.84,2017-08-03
BRR,5000,7100,57100.0,80940.0,1.17,2017-08-04
BRR,3700,38100,41880.0,432990.0,2.3,2017-08-07
BRR,0,17500,0.0,197270.0,4.19,2017-08-08
BRR,0,64800,0.0,718910.0,2.02,2017-08-09
BRR,2000,154200,22110.0,1700620.0,7.9,2017-08-10
BRR,13200,223300,151680.0,2530060.0,2.8,2017-08-11
BRR,0,5300,0.0,60420.0,0.39,2017-08-15
BRR,0,2500,0.0,28120.0,0.26,2017-08-16
BRR,300,1800,3360.0,20160.0,0.37,2017-08-17
BRR,5000,47200,56000.0,528020.0,6.09,2017-08-18
BRR,0,8900,0.0,99370.0,2.32,2017-08-22
BRR,0,13200,0.0,147720.0,1.78,2017-08-23
BRR,0,10500,0.0,117360.0,1.59,2017-08-24
BRR,0,28900,0.0,318630.0,6.74,2017-08-28
BRR,6600,12500,73260.0,138260.0,2.01,2017-08-29
BRR,0,6400,0.0,71040.0,1.17,2017-08-30
BRR,1000,0,11000.0,0.0,0.11,2017-08-31
BRR,10900,548800,117400.0,5947620.0,15.33,2017-09-01
BRR,65700,499000,681080.0,5251770.0,9.64,2017-09-04
BRR,3600,4000,37780.0,42000.0,0.57,2017-09-05
BRR,10000,0,106000.0,0.0,0.91,2017-09-06
BRR,33600,3200,362420.0,34840.0,1.03,2017-09-07
BRR,500,23300,5400.0,254080.0,0.82,2017-09-08
BRR,14600,100,156220.0,1070.0,1.0,2017-09-11
BRR,25400,51400,271780.0,548020.0,4.5,2017-09-12
BRR,17000,3500,181900.0,37450.0,4.07,2017-09-13
BRR,8600,15000,92350.0,160990.0,1.59,2017-09-14
BRR,20100,2000,214130.0,21400.0,1.25,2017-09-15
BRR,100,2120,1070.0,22470.0,0.27,2017-09-18
BRR,4000,4200,42800.0,44870.0,0.81,2017-09-19
BRR,65100,148900,684620.0,1564460.0,6.57,2017-09-20
BRR,13800,300,146280.0,3180.0,1.62,2017-09-21
BRR,7300,12400,79290.0,135560.0,0.28,2017-09-22
BRR,8900,15700,96200.0,170380.0,1.43,2017-09-25
BRR,12000,165700,127200.0,1756180.0,5.94,2017-09-26
BRR,10900,1400,115540.0,14840.0,2.07,2017-09-27
BRR,3400,9800,36040.0,103880.0,2.49,2017-09-28
BRR,1800,13300,19080.0,140980.0,2.65,2017-09-29
BRR,500,600,5250.0,6360.0,0.08,2017-10-02
BRR,0,4800,0.0,50400.0,1.21,2017-10-04
BRR,1500,30500,16050.0,322620.0,1.96,2017-10-05
BRR,26300,2500,278690.0,26500.0,1.54,2017-10-06
BRR,21800,11300,228900.0,118650.0,4.37,2017-10-09
BRR,0,18000,0.0,190760.0,0.96,2017-10-10
BRR,6800,3600,71860.0,38160.0,0.6,2017-10-11
BRR,4400,2400,46640.0,25440.0,0.96,2017-10-12
BRR,5800,4100,60900.0,43050.0,0.61,2017-10-16
BRR,500,2800,5200.0,29400.0,0.17,2017-10-17
BRR,0,14400,0.0,149760.0,1.13,2017-10-18
BRR,900,14200,9270.0,146260.0,0.54,2017-10-19
BRR,6200,15100,63860.0,155530.0,2.64,2017-10-20
BRR,1000,200,10300.0,2060.0,0.21,2017-10-24
BRR,100,30500,1030.0,311150.0,3.6,2017-10-25
BRR,55100,100840,561520.0,1022984.0,7.43,2017-10-27
BRR,2400,11400,24480.0,116280.0,1.35,2017-10-30
BRR,18600,20420,189720.0,206802.0,6.27,2017-10-31
BRR,31300,8800,319260.0,89760.0,6.47,2017-11-01
BRR,39100,59600,394910.0,605670.0,6.92,2017-11-02
BRR,2000,5500,20200.0,55800.0,0.59,2017-11-03
BRR,15100,4700,153570.0,47810.0,1.63,2017-11-06
BRR,5800,55200,58590.0,552520.0,4.66,2017-11-07
BRR,7200,2900,72720.0,29290.0,1.29,2017-11-08
BRR,7600,11900,78120.0,123020.0,0.88,2017-11-09
BRR,1300,133700,13390.0,1375600.0,4.09,2017-11-10
BRR,12600,3500,129400.0,35940.0,0.67,2017-11-13
BRR,30500,45200,311100.0,460150.0,3.69,2017-11-14
BRR,37500,21100,378260.0,212360.0,1.4,2017-11-15
BRR,14000,5800,141400.0,58780.0,0.93,2017-11-16
BRR,35800,92300,359110.0,926130.0,7.56,2017-11-17
BRR,38400,500,386770.0,5000.0,2.25,2017-11-20
BRR,21200,4100,212000.0,41000.0,3.26,2017-11-21
BRR,8100,40700,81000.0,406640.0,6.31,2017-11-22
BRR,0,48700,0.0,487000.0,10.14,2017-11-23
BRR,26200,30300,263740.0,302260.0,1.44,2017-11-24
BRR,10800,100100,107460.0,999755.0,6.16,2017-11-27
BRR,0,23100,0.0,231000.0,4.29,2017-11-28
BRR,0,41200,0.0,412000.0,0.62,2017-11-29
BRR,0,31700,0.0,314330.0,1.3,2017-11-30
BRR,0,11600,0.0,115490.0,3.97,2017-12-01
BRR,0,60400,0.0,599510.0,5.1,2017-12-04
BRR,3000,95400,29700.0,936205.0,4.32,2017-12-06
BRR,0,30600,0.0,297915.0,4.08,2017-12-07
BRR,0,1200,0.0,11640.0,0.28,2017-12-08
BRR,0,47200,0.0,452405.0,4.47,2017-12-12
BRR,0,4400,0.0,41590.0,0.27,2017-12-13
BRR,0,800,0.0,7760.0,0.04,2017-12-14
BRR,0,64700,0.0,622320.0,3.94,2017-12-15
BRR,0,3800,0.0,36670.0,0.79,2017-12-19
BRR,0,3000,0.0,28650.0,0.1,2017-12-27
BRR,1900,280,17955.0,2642.0,0.28,2018-01-03
BRR,1100,1700,10285.0,15895.0,0.2,2018-01-04
BRR,3900,600,36720.0,5660.0,0.33,2018-01-05
BRR,6500,0,61050.0,0.0,1.0,2018-01-08
BRR,500,0,4675.0,0.0,0.13,2018-01-09
BRR,500,69700,4640.0,647840.0,4.02,2018-01-10
BRR,1900,26500,17540.0,243930.0,4.26,2018-01-11
BRR,200,100,1840.0,925.0,0.03,2018-01-12
BRR,0,2800,0.0,25760.0,0.41,2018-01-15
BRR,100,26100,915.0,238035.0,4.06,2018-01-16
BRR,1100,400,9830.0,3540.0,0.07,2018-01-17
BRR,100,57500,875.0,503135.0,4.13,2018-01-18
BRR,200,10000,1715.0,86500.0,0.23,2018-01-19
BRR,18800,7500,159975.0,63860.0,1.7,2018-01-22
BRR,32400,154800,285685.0,1361830.0,4.75,2018-01-23
BRR,6200,8200,53770.0,71560.0,1.08,2018-01-24
BRR,4000,15200,34800.0,130545.0,2.0,2018-01-25
BRR,5500,6100,45925.0,51465.0,0.71,2018-01-26
BRR,24800,2200,208925.0,18580.0,2.4,2018-01-29
BRR,4800,3500,40320.0,29510.0,3.08,2018-01-30
BRR,15800,11700,127370.0,96630.0,1.72,2018-01-31
BRR,7600,10600,60945.0,84945.0,1.28,2018-02-01
BRR,1700,28600,13345.0,225705.0,1.56,2018-02-02
BRR,0,12600,0.0,99455.0,3.56,2018-02-05
BRR,1000,0,7700.0,0.0,0.08,2018-02-06
BRR,0,8000,0.0,63600.0,0.46,2018-02-07
BRR,300,1300,2400.0,10415.0,0.16,2018-02-08
BRR,100,0,795.0,0.0,0.04,2018-02-09
BRR,7600,100,62575.0,820.0,0.54,2018-02-12
BRR,0,4700,0.0,38315.0,1.67,2018-02-13
BRR,500,2600,4070.0,21190.0,0.97,2018-02-14
BRR,600,700,4830.0,5670.0,0.2,2018-02-15
BRR,300,800,2400.0,6350.0,0.15,2018-02-19
BRR,0,100,0.0,800.0,0.05,2018-02-20
BRR,8500,0,69690.0,0.0,0.44,2018-02-27
BRR,6800,200,56680.0,1640.0,0.43,2018-02-28
BRR,17400,600,147320.0,5070.0,0.87,2018-03-02
BRR,1600,13200,13440.0,111895.0,0.49,2018-03-05
BRR,6500,2000,57410.0,17400.0,0.19,2018-03-06
BRR,0,11300,0.0,100920.0,0.79,2018-03-07
BRR,0,11700,0.0,106185.0,0.45,2018-03-08
BRR,0,5000,0.0,44250.0,0.24,2018-03-09
BRR,4700,0,41740.0,0.0,1.31,2018-03-13
BRR,27600,0,244260.0,0.0,4.57,2018-03-14
BRR,9200,100,82815.0,895.0,0.45,2018-03-15
BRR,9700,2800,85055.0,24920.0,1.67,2018-03-16
BRR,2700,4700,23705.0,41360.0,2.26,2018-03-19
BRR,15600,400,137280.0,3520.0,8.5,2018-03-20
BRR,600,1600,5280.0,14240.0,1.94,2018-03-21
BRR,4200,600,36960.0,5250.0,1.87,2018-03-22
BRR,500,12500,4350.0,108890.0,4.85,2018-03-23
BRR,0,900,0.0,7815.0,0.57,2018-03-26
BRR,4600,10100,40020.0,87720.0,3.36,2018-03-27
BRR,0,500,0.0,4365.0,0.42,2018-03-28
