Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
BTS,3803436,2368900,32935448.1,20492130.0,14.3,2017-01-04
BTS,6887713,1337100,59615232.45,11581715.0,15.41,2017-01-05
BTS,4870900,1479500,42161160.0,12758420.0,16.96,2017-01-06
BTS,3404811,810500,29532695.15,7029630.0,13.53,2017-01-09
BTS,4047900,5028600,35100740.0,43490805.0,16.3,2017-01-10
BTS,3919600,4511400,34025500.0,39127810.0,14.14,2017-01-11
BTS,2993937,5980600,25933986.65,51750050.0,28.42,2017-01-12
BTS,3024400,7073700,26131590.0,60931540.0,29.41,2017-01-13
BTS,681300,704700,5865770.0,6088755.0,7.39,2017-01-16
BTS,2264000,1676430,19509935.0,14465798.0,17.73,2017-01-17
BTS,2827783,9499900,24314797.8,81610540.0,22.43,2017-01-18
BTS,7179000,5757600,60635935.0,48583950.0,25.11,2017-01-19
BTS,2446200,3901700,20698850.0,32992590.0,12.68,2017-01-20
BTS,2660300,7366802,22502990.0,62294181.9,22.6,2017-01-23
BTS,1777600,1766200,15018275.0,14903635.0,9.97,2017-01-24
BTS,2381350,3416400,20157815.0,28912990.0,21.41,2017-01-25
BTS,4640600,789800,39260015.0,6669235.0,13.5,2017-01-26
BTS,2106600,1843600,17833665.0,15618805.0,15.62,2017-01-27
BTS,1480100,2553000,12578435.0,21627420.0,23.96,2017-01-30
BTS,3457402,4328900,28951381.9,36332640.0,12.54,2017-01-31
BTS,3852400,5278813,32281905.0,44158152.15,16.95,2017-02-01
BTS,2725605,5048113,22770791.75,42090013.55,15.98,2017-02-02
BTS,2792200,2181600,23369450.0,18294790.0,15.89,2017-02-03
BTS,4009800,6136385,33502375.0,51115189.0,18.62,2017-02-06
BTS,3665200,9758100,30484590.0,81009460.0,36.09,2017-02-07
BTS,6209920,8779504,51633948.0,72890992.4,31.08,2017-02-08
BTS,5866208,6211800,48987281.8,51738215.0,34.89,2017-02-09
BTS,22961536,24278339,194147595.8,205152764.55,52.43,2017-02-10
BTS,4753228,6371435,39905733.0,53403246.35,23.68,2017-02-14
BTS,7546505,6437100,62497361.75,53296825.0,18.36,2017-02-15
BTS,3553993,4476300,29388256.55,36987575.0,31.73,2017-02-16
BTS,7073210,2889700,58354658.0,23869445.0,18.4,2017-02-17
BTS,3289475,2366000,27363267.5,19641825.0,15.88,2017-02-20
BTS,1396876,653100,11665079.6,5440990.0,15.9,2017-02-21
BTS,7682076,2019448,63811099.6,16795855.8,21.43,2017-02-22
BTS,4149300,2529375,34436640.0,20945363.75,22.83,2017-02-23
BTS,4695600,2219900,39045740.0,18440335.0,17.91,2017-02-24
BTS,5125600,4352100,42298770.0,35917925.0,24.16,2017-02-27
BTS,3345606,6188058,27524839.5,50790643.5,21.74,2017-02-28
BTS,2555715,2028720,21079509.25,16732149.0,18.53,2017-03-01
BTS,5673400,3595234,47164835.0,29863577.2,28.72,2017-03-02
BTS,5353400,3384000,44682890.0,28255535.0,32.15,2017-03-03
BTS,6263400,3979461,52325965.0,33228383.25,25.8,2017-03-06
BTS,3076000,2640100,25551475.0,21909140.0,15.7,2017-03-07
BTS,1691800,1004029,14002530.0,8314846.35,10.25,2017-03-08
BTS,3138876,1889641,26039440.8,15659173.25,19.91,2017-03-09
BTS,4271200,3873854,35404000.0,32085750.1,28.91,2017-03-10
BTS,4008300,2717300,33070210.0,22404605.0,20.71,2017-03-13
BTS,2005958,3387500,16551783.9,27946340.0,21.07,2017-03-14
BTS,4066252,4338100,33444301.5,35730890.0,21.87,2017-03-15
BTS,2319100,5634728,19144445.0,46462756.0,23.54,2017-03-16
BTS,4905967,3569700,40463423.85,29438900.0,14.54,2017-03-17
BTS,3109300,1918158,25762305.0,15881872.7,18.07,2017-03-20
BTS,3037700,2266500,25168690.0,18722380.0,17.45,2017-03-21
BTS,2770873,2131000,23084087.65,17693750.0,12.21,2017-03-22
BTS,2730900,3750844,22667530.0,31094807.0,13.87,2017-03-23
BTS,3187000,3443756,26571575.0,28637369.8,14.11,2017-03-24
BTS,4687900,4177500,39341465.0,35064445.0,13.78,2017-03-27
BTS,6506400,2900200,54939465.0,24471270.0,21.22,2017-03-28
BTS,6723200,2721008,56612510.0,22865872.6,17.01,2017-03-29
