Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
CBG,188200,515400,14462600.0,39702200.0,7.91,2017-01-04
CBG,217000,112665,16692950.0,8668255.0,5.37,2017-01-05
CBG,721000,197900,56081325.0,15367900.0,8.57,2017-01-06
CBG,326700,262500,25214475.0,20087600.0,11.13,2017-01-09
CBG,305500,640400,23793875.0,49769925.0,7.42,2017-01-10
CBG,551600,667400,43994700.0,53168275.0,8.59,2017-01-11
CBG,362800,357700,28886100.0,28522550.0,8.64,2017-01-12
CBG,275500,152100,22027650.0,12143950.0,12.04,2017-01-13
CBG,211300,465000,16791925.0,36955125.0,18.25,2017-01-16
CBG,209401,267400,16738154.75,21364425.0,7.19,2017-01-17
CBG,517900,517400,40363000.0,40354675.0,9.65,2017-01-18
CBG,969000,647000,73084375.0,48833425.0,12.02,2017-01-19
CBG,307700,559600,23651700.0,43059175.0,11.68,2017-01-20
CBG,160500,210800,12338800.0,16216000.0,13.51,2017-01-23
CBG,405600,236800,31247725.0,18285325.0,12.14,2017-01-24
CBG,232100,440100,18008925.0,33950725.0,8.04,2017-01-25
CBG,458700,223000,35233175.0,17164500.0,14.53,2017-01-26
CBG,263700,147800,19922000.0,11157075.0,7.21,2017-01-27
CBG,75500,160400,5663025.0,12074725.0,8.07,2017-01-30
CBG,210900,159800,15832675.0,12014700.0,7.75,2017-01-31
CBG,61300,57700,4623950.0,4347825.0,1.96,2017-02-01
CBG,667900,123800,49941825.0,9250700.0,16.23,2017-02-02
CBG,1227800,259200,93099725.0,19617350.0,16.68,2017-02-03
CBG,267300,481800,20627325.0,37018250.0,10.15,2017-02-06
CBG,260900,329600,19844650.0,25046800.0,17.28,2017-02-07
CBG,300000,164300,22673500.0,12451200.0,9.59,2017-02-08
CBG,208300,107000,15661775.0,8022700.0,8.23,2017-02-09
CBG,231200,168100,17426775.0,12687100.0,12.96,2017-02-10
CBG,1339200,100750,101078250.0,7592150.0,38.18,2017-02-14
CBG,498100,402400,36985450.0,29915525.0,11.62,2017-02-15
CBG,397000,25643,29599825.0,1916349.25,17.22,2017-02-16
CBG,148400,92457,11073300.0,6897736.0,9.09,2017-02-17
CBG,251700,169900,18480200.0,12464675.0,9.25,2017-02-20
CBG,549965,309500,39294590.0,22120450.0,11.41,2017-02-21
CBG,305100,236900,21288000.0,16602325.0,6.71,2017-02-22
CBG,728400,341000,49138700.0,23003750.0,3.63,2017-02-23
CBG,6671800,2084800,427773125.0,135408175.0,13.06,2017-02-24
CBG,2313400,2428500,147906650.0,153983050.0,11.41,2017-02-27
CBG,1314703,854300,85325698.0,55418775.0,11.6,2017-02-28
CBG,2025120,1439300,124514960.0,88875525.0,7.73,2017-03-01
CBG,2332200,2052300,141618825.0,124400525.0,8.8,2017-03-02
CBG,818400,1284000,48626775.0,76487000.0,11.77,2017-03-03
CBG,240800,535500,14381250.0,32003800.0,9.1,2017-03-06
CBG,713900,537300,41016000.0,30813575.0,8.75,2017-03-07
CBG,1545400,924500,87081300.0,52184500.0,23.67,2017-03-08
CBG,1183800,465500,70395900.0,27428850.0,7.3,2017-03-09
CBG,633300,936400,36410600.0,54427725.0,9.3,2017-03-10
CBG,1523500,2268200,81617175.0,120244750.0,14.78,2017-03-13
CBG,864400,1094900,47785150.0,59826775.0,11.5,2017-03-14
CBG,166300,500200,9562550.0,28512025.0,5.58,2017-03-15
