Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
CCP,660000,60000,410800.0,37100.0,1.26,2017-01-05
CCP,450000,0,292500.0,0.0,0.87,2017-01-06
CCP,145000,0,94250.0,0.0,0.69,2017-01-09
CCP,462000,1816800,312920.0,1274177.0,1.47,2017-01-10
CCP,352000,20000,248520.0,14200.0,1.09,2017-01-11
CCP,123000,0,85370.0,0.0,0.78,2017-01-12
CCP,45000,126500,31500.0,89280.0,0.7,2017-01-13
CCP,75600,780000,56250.0,580100.0,1.28,2017-01-16
CCP,345000,444666,251850.0,332171.52,1.88,2017-01-17
CCP,14000,0,9800.0,0.0,0.06,2017-01-19
CCP,600000,120000,426000.0,85200.0,11.43,2017-01-20
CCP,0,626000,0.0,451980.0,1.93,2017-01-23
CCP,25400,150000,18542.0,111000.0,0.62,2017-01-24
CCP,0,25400,0.0,18542.0,0.3,2017-01-25
CCP,500000,60000,365000.0,43800.0,8.15,2017-01-26
CCP,30600,0,22032.0,0.0,0.5,2017-01-27
CCP,0,90000,0.0,65700.0,2.57,2017-01-30
CCP,200000,0,144000.0,0.0,6.29,2017-02-01
CCP,0,30600,0.0,21114.0,1.13,2017-02-14
CCP,57000,0,39330.0,0.0,1.96,2017-02-15
CCP,110000,0,77000.0,0.0,5.52,2017-02-16
CCP,100000,0,69000.0,0.0,3.64,2017-02-17
CCP,0,52000,0.0,37420.0,1.67,2017-02-22
CCP,300000,100000,216000.0,72000.0,20.64,2017-02-23
CCP,100000,0,71000.0,0.0,1.98,2017-02-24
CCP,100000,4000,70000.0,2800.0,0.73,2017-02-27
CCP,300000,100000,194000.0,66000.0,1.84,2017-03-01
CCP,158700,1000000,99981.0,629468.0,19.7,2017-03-03
CCP,20000,0,12600.0,0.0,0.64,2017-03-06
CCP,100000,0,63000.0,0.0,3.14,2017-03-07
CCP,40000,2000,24800.0,1240.0,0.59,2017-03-08
CCP,100000,360700,64000.0,232848.0,3.06,2017-03-10
CCP,20000,0,12600.0,0.0,0.54,2017-03-21
CCP,20000,0,12600.0,0.0,5.68,2017-03-22
CCP,0,40000,0.0,26000.0,0.36,2017-03-24
CCP,50000,166300,32000.0,108095.0,3.66,2017-03-27
CCP,30000,0,18900.0,0.0,1.88,2017-03-29
CCP,287300,0,180999.0,0.0,20.51,2017-03-31
CCP,79900,0,50337.0,0.0,6.09,2017-04-03
CCP,102800,0,64764.0,0.0,2.34,2017-04-05
CCP,300000,116300,190000.0,75555.0,3.82,2017-04-21
CCP,15000,0,9450.0,0.0,1.21,2017-04-28
CCP,0,522000,0.0,333860.0,6.73,2017-05-03
CCP,100000,19400,63000.0,12222.0,6.02,2017-05-04
CCP,0,150000,0.0,93000.0,5.38,2017-05-08
CCP,0,8000,0.0,4560.0,0.27,2017-05-15
CCP,0,400000,0.0,228000.0,13.22,2017-05-16
CCP,100000,0,57000.0,0.0,4.64,2017-05-17
CCP,0,100000,0.0,58000.0,4.34,2017-05-22
CCP,49000,0,28910.0,0.0,1.23,2017-05-26
CCP,30000,0,17400.0,0.0,0.91,2017-05-30
CCP,5100,0,2907.0,0.0,0.61,2017-06-09
CCP,0,30000,0.0,18000.0,0.16,2017-06-13
CCP,118600,0,73718.0,0.0,0.61,2017-06-14
CCP,0,118600,0.0,73532.0,2.11,2017-06-15
CCP,716900,0,430140.0,0.0,11.79,2017-06-22
CCP,10000,2000,6200.0,1240.0,0.03,2017-06-23
CCP,144400,316900,95708.0,205985.0,0.41,2017-06-26
CCP,143400,492400,95244.0,332908.0,0.74,2017-06-27
CCP,9500,183400,6175.0,121044.0,0.9,2017-06-28
CCP,0,9500,0.0,6175.0,0.07,2017-06-29
CCP,0,151000,0.0,96630.0,0.94,2017-06-30
CCP,100000,0,63000.0,0.0,1.09,2017-07-04
CCP,0,2000,0.0,1240.0,0.01,2017-07-05
CCP,0,7000,0.0,4250.0,0.14,2017-07-07
CCP,30000,0,17700.0,0.0,1.75,2017-08-01
CCP,100000,0,59000.0,0.0,4.27,2017-08-02
CCP,12000,400000,6600.0,212000.0,2.64,2017-08-15
CCP,45000,0,24300.0,0.0,1.19,2017-08-31
CCP,0,44900,0.0,24246.0,2.47,2017-09-01
CCP,238000,0,128520.0,0.0,11.43,2017-09-06
CCP,0,30000,0.0,16500.0,0.7,2017-09-08
CCP,30000,100,16800.0,56.0,0.8,2017-09-14
CCP,0,30000,0.0,16800.0,0.38,2017-09-18
CCP,0,238000,0.0,130900.0,8.81,2017-09-25
CCP,0,79700,0.0,43038.0,2.18,2017-10-10
CCP,40000,26000,21600.0,13780.0,1.52,2017-10-12
CCP,35000,0,18500.0,0.0,1.12,2017-10-18
CCP,10000,0,5300.0,0.0,0.11,2017-11-01
CCP,200000,0,106000.0,0.0,4.68,2017-11-02
CCP,0,10000,0.0,5300.0,0.11,2017-11-03
CCP,100,0,52.0,0.0,0.0,2017-11-09
CCP,0,67450,0.0,33718.5,4.08,2017-11-17
CCP,58600,70100,31982.0,37854.0,0.23,2017-11-23
CCP,38300,52400,19927.0,28820.0,0.24,2017-11-24
CCP,0,37200,0.0,19716.0,0.66,2017-11-27
CCP,10200,0,5559.0,0.0,0.07,2017-11-28
CCP,200000,0,102000.0,0.0,3.58,2017-12-07
CCP,5800,0,2958.0,0.0,0.17,2017-12-13
CCP,0,5800,0.0,2958.0,0.31,2017-12-14
CCP,100,0,51.0,0.0,0.01,2017-12-15
CCP,209900,0,107049.0,0.0,6.49,2017-12-19
CCP,5000,0,2550.0,0.0,1.11,2017-12-20
CCP,5000,0,2550.0,0.0,0.2,2017-12-22
CCP,0,20000,0.0,10000.0,0.13,2017-12-27
CCP,0,303290,0.0,154677.0,27.07,2017-12-29
CCP,20000,0,10200.0,0.0,0.39,2018-01-05
CCP,25000,0,12750.0,0.0,2.52,2018-01-09
CCP,50000,0,25500.0,0.0,1.56,2018-01-10
CCP,25000,519500,12750.0,264945.0,12.53,2018-01-11
CCP,194900,0,99399.0,0.0,11.95,2018-01-12
CCP,0,100000,0.0,51000.0,1.56,2018-01-16
CCP,30000,0,15000.0,0.0,1.21,2018-01-23
CCP,5000,25000,2500.0,12500.0,1.58,2018-01-24
CCP,95100,0,47550.0,0.0,2.1,2018-01-29
CCP,0,10000,0.0,5070.0,0.04,2018-01-30
CCP,16612,515100,8804.36,277003.0,1.35,2018-01-31
CCP,0,19933,0.0,10531.16,0.22,2018-02-01
CCP,0,866666,0.0,415998.66,4.57,2018-02-09
CCP,25000,0,12250.0,0.0,2.51,2018-02-20
CCP,100000,0,48000.0,0.0,2.36,2018-02-22
CCP,30000,0,14400.0,0.0,1.09,2018-02-23
CCP,20000,0,8800.0,0.0,0.2,2018-03-05
CCP,120000,0,51700.0,0.0,3.26,2018-03-07
CCP,600000,0,268000.0,0.0,4.13,2018-03-08
CCP,10000,0,4300.0,0.0,0.57,2018-03-12
CCP,25000,0,10750.0,0.0,1.78,2018-03-13
CCP,20000,0,8800.0,0.0,3.58,2018-03-15
CCP,100000,20000,45000.0,9000.0,2.06,2018-03-16
CCP,20300,0,8932.0,0.0,0.69,2018-03-20
CCP,0,400000,0.0,172000.0,18.76,2018-03-21
CCP,0,420000,0.0,189000.0,5.21,2018-03-22
CCP,7200,0,3168.0,0.0,0.45,2018-03-27
CCP,30000,0,13200.0,0.0,0.97,2018-03-29
CCP,5000,0,2150.0,0.0,0.08,2018-03-30
CCP,5000,0,2150.0,0.0,0.44,2018-04-03
CCP,35000,0,14750.0,0.0,0.52,2018-04-04
CCP,5000,0,2100.0,0.0,0.16,2018-04-05
CCP,1800,0,756.0,0.0,0.32,2018-04-09
CCP,41600,60300,18720.0,27135.0,0.4,2018-04-18
CCP,0,41600,0.0,18304.0,1.72,2018-04-19
CCP,5500,0,2365.0,0.0,0.08,2018-05-14
CCP,0,5400,0.0,2268.0,0.08,2018-05-16
CCP,0,100,0.0,43.0,0.01,2018-05-22
CCP,800,0,336.0,0.0,0.02,2018-06-04
CCP,0,9000,0.0,3780.0,0.13,2018-06-05
CCP,100,0,42.0,0.0,0.01,2018-06-15
CCP,100,0,41.0,0.0,0.0,2018-06-19
CCP,2200,39,902.0,13.65,0.02,2018-06-21
CCP,0,2200,0.0,902.0,0.07,2018-06-28
CCP,30000,0,12000.0,0.0,0.81,2018-07-11
CCP,400,30000,168.0,12300.0,3.77,2018-07-18
CCP,200,0,82.0,0.0,0.13,2018-07-19
CCP,230500,30000,92200.0,12300.0,2.06,2018-07-20
CCP,0,500,0.0,205.0,0.02,2018-07-23
CCP,5500,0,2205.0,0.0,0.32,2018-08-06
CCP,1000,0,410.0,0.0,0.04,2018-08-09
CCP,30000,0,12000.0,0.0,0.59,2018-08-10
CCP,30000,3500,12000.0,1400.0,0.41,2018-08-14
CCP,200000,2000,80000.0,800.0,14.0,2018-08-17
CCP,0,10000,0.0,3900.0,0.71,2018-08-27
CCP,500000,0,210000.0,0.0,0.96,2018-08-31
CCP,0,500000,0.0,195000.0,7.94,2018-09-03
CCP,0,30800,0.0,12628.0,1.06,2018-09-13
CCP,20000,0,8400.0,0.0,0.41,2018-09-21
CCP,0,20000,0.0,8400.0,0.31,2018-09-25
CCP,1100,30000,506.0,14100.0,0.03,2018-09-26
CCP,5000,0,2250.0,0.0,0.04,2018-09-27
CCP,100,0,42.0,0.0,0.0,2018-10-11
CCP,0,3000,0.0,1230.0,0.78,2018-10-16
CCP,0,2100,0.0,862.0,0.06,2018-10-19
CCP,0,100,0.0,42.0,0.0,2018-11-07
CCP,5100,0,2142.0,0.0,0.04,2018-11-12
CCP,1000,1000,420.0,400.0,0.01,2018-11-13
CCP,5000,265273,1850.0,100800.13,1.77,2018-11-15
CCP,0,150000,0.0,54200.0,1.76,2018-11-16
CCP,100,0,36.0,0.0,0.01,2018-11-21
CCP,300,0,105.0,0.0,0.01,2018-11-23
CCP,400,0,144.0,0.0,0.09,2018-11-26
CCP,30300,0,10908.0,0.0,4.5,2018-11-28
CCP,300,0,105.0,0.0,0.01,2018-11-30
CCP,100,0,36.0,0.0,0.0,2018-12-14
CCP,0,1400,0.0,476.0,0.05,2018-12-17
CCP,0,52,0.0,14.22,0.01,2018-12-27
CCP,55500,50000,20035.0,18500.0,0.31,2019-01-17
CCP,0,5500,0.0,2035.0,0.17,2019-01-21
CCP,50000,50528,19500.0,19704.8,1.4,2019-01-23
CCP,25000,0,9750.0,0.0,0.78,2019-01-24
CCP,1000,0,400.0,0.0,0.05,2019-02-01
CCP,8000,0,3280.0,0.0,0.69,2019-02-06
CCP,300,0,120.0,0.0,0.01,2019-02-08
CCP,300,0,117.0,0.0,0.02,2019-02-11
CCP,1500,0,585.0,0.0,0.29,2019-02-12
