Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
CEN,0,174900,0.0,382176.0,1.97,2017-01-04
CEN,10000,44800,21600.0,97384.0,0.97,2017-01-05
CEN,105000,48100,224546.0,103896.0,5.92,2017-01-06
CEN,141000,0,301740.0,0.0,9.29,2017-01-10
CEN,18000,0,38922.0,0.0,3.22,2017-01-11
CEN,0,104000,0.0,224640.0,13.65,2017-01-12
CEN,95000,0,197600.0,0.0,2.5,2017-01-16
CEN,24000,0,49440.0,0.0,1.46,2017-01-17
CEN,43500,0,92016.0,0.0,1.09,2017-01-18
CEN,91500,10100,181370.0,20202.0,1.32,2017-01-19
CEN,0,12500,0.0,25250.0,0.39,2017-01-20
CEN,25000,0,50500.0,0.0,0.34,2017-01-23
CEN,2700,21500,5474.0,43430.0,1.15,2017-01-24
CEN,0,36600,0.0,73932.0,3.31,2017-01-25
CEN,7000,875100,14040.0,1743415.0,22.06,2017-01-26
CEN,0,5000,0.0,9950.0,0.48,2017-01-30
CEN,10000,0,19900.0,0.0,0.66,2017-01-31
CEN,10000,0,19900.0,0.0,1.69,2017-02-01
CEN,1000,0,1990.0,0.0,0.1,2017-02-03
CEN,10000,0,19800.0,0.0,1.06,2017-02-06
CEN,10000,0,19800.0,0.0,0.85,2017-02-07
CEN,10000,0,19600.0,0.0,1.06,2017-02-08
CEN,1000,1000,1970.0,1970.0,0.35,2017-02-09
CEN,12500,0,24150.0,0.0,1.06,2017-02-17
CEN,3000,0,5800.0,0.0,0.3,2017-02-20
CEN,10000,0,19000.0,0.0,3.48,2017-02-23
CEN,25000,0,47350.0,0.0,2.4,2017-02-27
CEN,2100,0,3947.0,0.0,0.14,2017-02-28
CEN,10000,0,19000.0,0.0,1.93,2017-03-08
CEN,0,17100,0.0,31635.0,1.57,2017-03-13
CEN,15000,0,27650.0,0.0,1.62,2017-03-14
CEN,15000,20000,27500.0,36800.0,4.03,2017-03-15
CEN,10000,0,18400.0,0.0,0.73,2017-03-16
CEN,0,1000,0.0,1860.0,0.08,2017-03-20
CEN,12000,2000,22500.0,3880.0,0.56,2017-03-24
CEN,0,1000,0.0,1900.0,0.08,2017-03-27
CEN,10000,0,18900.0,0.0,2.04,2017-03-29
CEN,2000,2000,3840.0,3900.0,0.18,2017-03-31
CEN,0,3000,0.0,5900.0,0.07,2017-04-03
CEN,2000,0,3840.0,0.0,0.14,2017-04-04
CEN,0,2500,0.0,4850.0,0.27,2017-04-10
CEN,20000,0,37800.0,0.0,15.24,2017-04-21
CEN,12000,0,22340.0,0.0,1.29,2017-04-24
CEN,15000,0,27750.0,0.0,1.76,2017-04-25
CEN,27000,7000,49470.0,12740.0,0.85,2017-04-26
CEN,5000,0,9120.0,0.0,0.4,2017-04-27
CEN,500,0,910.0,0.0,0.05,2017-05-02
CEN,1500,0,2730.0,0.0,0.28,2017-05-04
CEN,2000,0,3600.0,0.0,0.23,2017-05-08
CEN,22000,0,40480.0,0.0,1.96,2017-05-09
CEN,10500,0,18900.0,0.0,5.07,2017-05-12
CEN,24500,0,43020.0,0.0,9.78,2017-05-15
