Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
CI,5500,39100,11770.0,83674.0,2.65,2017-01-04
CI,10100,12200,21832.0,26312.0,0.34,2017-01-05
CI,29700,5300,64002.0,11448.0,0.81,2017-01-06
CI,28000,8200,59626.0,17436.0,1.51,2017-01-09
CI,24900,1600,52924.0,3424.0,0.68,2017-01-10
CI,46900,9400,100366.0,20150.0,1.2,2017-01-11
CI,14100,50200,30530.0,111062.0,0.16,2017-01-12
CI,12700,7300,27438.0,15722.0,1.38,2017-01-13
CI,16500,18000,35310.0,38520.0,1.16,2017-01-16
CI,33000,11200,70360.0,23798.0,1.18,2017-01-17
CI,0,27200,0.0,57666.0,1.06,2017-01-18
CI,0,62100,0.0,129950.0,0.73,2017-01-19
CI,8300,21100,17812.0,44884.0,0.82,2017-01-20
CI,27300,37000,59040.0,80538.0,0.42,2017-01-23
CI,8500,49800,18530.0,108564.0,0.86,2017-01-24
CI,9000,16000,19634.0,35380.0,0.22,2017-01-25
CI,19700,25000,42158.0,54084.0,0.52,2017-01-26
CI,0,3300,0.0,7128.0,0.17,2017-01-27
CI,44200,4200,94640.0,9072.0,1.06,2017-01-30
CI,13200,0,27808.0,0.0,0.24,2017-01-31
CI,0,59600,0.0,124526.0,0.5,2017-02-01
CI,13100,17800,26986.0,36856.0,0.75,2017-02-02
CI,7600,37100,15908.0,77854.0,0.54,2017-02-03
CI,17100,7000,35302.0,14510.0,0.45,2017-02-06
CI,0,19900,0.0,40832.0,0.25,2017-02-07
CI,6100,13000,12566.0,26780.0,0.62,2017-02-08
CI,5000,21400,10300.0,44084.0,2.29,2017-02-09
CI,400,20400,824.0,42024.0,3.08,2017-02-10
CI,3300,13120,6666.0,27388.4,0.08,2017-02-14
CI,5000,400,10100.0,808.0,0.09,2017-02-15
CI,12400,0,25296.0,0.0,1.31,2017-02-17
CI,29600,2400,59992.0,4884.0,1.21,2017-02-20
CI,5000,0,10100.0,0.0,1.5,2017-02-22
CI,0,2600,0.0,5252.0,0.22,2017-02-23
CI,0,10000,0.0,20800.0,0.11,2017-02-24
CI,3100,0,6448.0,0.0,0.15,2017-02-27
CI,170000,2400,327400.0,4706.0,0.42,2017-02-28
CI,93100,2300,177052.0,4355.0,0.85,2017-03-01
CI,0,100,0.0,190.0,0.0,2017-03-02
CI,27000,600,52140.0,1160.0,0.91,2017-03-03
CI,2100,0,4063.0,0.0,0.13,2017-03-06
CI,20000,0,38400.0,0.0,0.69,2017-03-07
CI,33400,900,63146.0,1694.0,0.49,2017-03-08
CI,1913800,0,3550477.0,0.0,20.76,2017-03-09
CI,357500,600,668262.0,1122.0,5.25,2017-03-10
CI,310000,5700,575790.0,10607.0,4.78,2017-03-13
CI,332100,2000,607991.0,3680.0,2.14,2017-03-14
CI,640600,41000,1148793.0,75030.0,4.85,2017-03-15
CI,4256900,0,7953303.0,0.0,19.67,2017-03-16
CI,536600,10000,1002076.0,18700.0,5.41,2017-03-17
CI,441900,0,826953.0,0.0,5.07,2017-03-20
CI,27800,0,52430.0,0.0,0.71,2017-03-21
CI,45300,0,85752.0,0.0,1.54,2017-03-22
CI,0,400,0.0,756.0,0.01,2017-03-23
CI,135500,4400,254190.0,8294.0,3.05,2017-03-24
CI,77500,11800,145700.0,22184.0,3.09,2017-03-27
CI,4800,1100,9024.0,2068.0,0.35,2017-03-28
CI,23800,40,44982.0,76.0,1.56,2017-03-29
CI,54400,719000,102743.0,1351720.0,24.98,2017-03-30
CI,92800,0,174674.0,0.0,2.65,2017-03-31
CI,11400,20000,21546.0,37800.0,1.75,2017-04-03
CI,4000,50000,7560.0,94500.0,5.01,2017-04-04
CI,37700,291220,71824.0,553318.0,6.01,2017-04-05
CI,700,500,1337.0,948.0,0.02,2017-04-07
CI,0,3100,0.0,5884.0,0.23,2017-04-10
CI,0,6300,0.0,12101.0,0.03,2017-04-11
CI,135000,12100,259300.0,23254.0,2.02,2017-04-12
CI,108700,74300,211216.0,144281.0,0.45,2017-04-17
CI,134700,36800,268642.0,72960.0,0.25,2017-04-18
CI,24200,40000,47440.0,79223.0,0.21,2017-04-19
CI,9000,14100,17650.0,27766.0,0.25,2017-04-20
CI,166700,11400,328399.0,22344.0,3.25,2017-04-21
CI,8500,46100,16582.0,90429.0,0.98,2017-04-24
CI,4000,361100,7800.0,703654.0,7.83,2017-04-25
CI,40000,22600,77810.0,44069.0,2.64,2017-04-26
CI,19000,0,36898.0,0.0,0.52,2017-04-27
CI,74800,0,145809.0,0.0,1.27,2017-04-28
CI,64000,35500,124164.0,70900.0,0.16,2017-05-02
CI,8000,44500,15680.0,87152.0,0.18,2017-05-03
CI,30000,20600,59350.0,40625.0,0.25,2017-05-04
CI,174500,7900,300146.0,13588.0,1.2,2017-05-05
CI,66700,0,115121.0,0.0,1.23,2017-05-08
CI,0,66900,0.0,114966.0,0.88,2017-05-09
CI,0,324700,0.0,553492.0,3.08,2017-05-11
CI,0,125100,0.0,206817.0,2.98,2017-05-12
CI,0,139100,0.0,228946.0,6.54,2017-05-15
CI,19000,469400,30350.0,750398.0,3.39,2017-05-16
CI,82000,0,131266.0,0.0,2.31,2017-05-17
CI,25000,35100,40370.0,57251.0,1.07,2017-05-18
CI,5100,0,8262.0,0.0,0.77,2017-05-19
CI,22200,200,35964.0,326.0,3.72,2017-05-22
CI,27500,0,44605.0,0.0,1.57,2017-05-23
