Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
CITY,20700,56400,68768.0,186206.0,0.85,2017-01-04
CITY,156000,41700,552200.0,145890.0,0.46,2017-01-05
CITY,452600,501900,1646798.0,1844898.0,2.25,2017-01-06
CITY,15100,83700,52302.0,295196.0,1.69,2017-01-09
CITY,87000,48100,299464.0,165288.0,1.14,2017-01-10
CITY,16700,30700,57682.0,105114.0,1.63,2017-01-11
CITY,5000,14000,16800.0,47040.0,0.86,2017-01-13
CITY,15400,0,51328.0,0.0,1.01,2017-01-16
CITY,0,8000,0.0,27520.0,0.14,2017-01-17
CITY,1500,5000,4920.0,16300.0,0.41,2017-01-19
CITY,15100,1500,50132.0,4920.0,2.47,2017-01-23
CITY,30300,0,102620.0,0.0,0.94,2017-01-24
CITY,0,2000,0.0,6640.0,0.15,2017-01-26
CITY,20000,0,65600.0,0.0,2.68,2017-01-30
CITY,8000,5000,26240.0,16400.0,5.94,2017-01-31
CITY,15000,0,49700.0,0.0,1.5,2017-02-02
CITY,4800,0,15744.0,0.0,1.14,2017-02-03
CITY,10000,0,32800.0,0.0,4.04,2017-02-06
CITY,17200,0,55928.0,0.0,2.77,2017-02-07
CITY,32200,0,107444.0,0.0,0.81,2017-02-10
CITY,5000,3600,16200.0,11808.0,0.64,2017-02-14
CITY,6000,0,19200.0,0.0,0.6,2017-02-15
CITY,0,21800,0.0,71940.0,2.15,2017-02-24
CITY,14000,0,43240.0,0.0,0.63,2017-02-28
CITY,0,4000,0.0,12320.0,1.36,2017-03-02
CITY,20000,3000,62000.0,9240.0,14.08,2017-03-09
CITY,500,0,1550.0,0.0,0.17,2017-03-15
CITY,5000,0,15800.0,0.0,3.13,2017-03-23
CITY,0,20700,0.0,64998.0,22.8,2017-03-27
CITY,4400,10500,13728.0,34000.0,0.32,2017-03-30
CITY,0,4400,0.0,13816.0,2.24,2017-03-31
CITY,10000,0,31400.0,0.0,4.93,2017-04-03
CITY,6000,0,18840.0,0.0,1.9,2017-04-04
CITY,39400,0,124504.0,0.0,2.64,2017-04-05
CITY,20300,100000,63336.0,313410.0,32.25,2017-04-07
CITY,6000,0,18840.0,0.0,2.21,2017-04-10
CITY,6000,0,18840.0,0.0,1.18,2017-04-20
CITY,5000,0,15700.0,0.0,3.1,2017-04-21
CITY,24700,0,77284.0,0.0,5.72,2017-04-24
CITY,5000,0,15600.0,0.0,4.13,2017-04-26
CITY,7000,0,21700.0,0.0,2.96,2017-04-28
