Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
CKP,2472700,731500,8947716.0,2646052.0,4.57,2017-01-04
CKP,444300,445500,1589398.0,1601380.0,0.97,2017-01-05
CKP,1425300,6582600,5104342.0,23488162.0,17.99,2017-01-06
CKP,5395000,11630100,18895580.0,40756590.0,19.54,2017-01-09
CKP,101000,461300,355560.0,1636976.0,1.24,2017-01-10
CKP,344800,497700,1220098.0,1775066.0,1.01,2017-01-11
CKP,1075800,1303600,3852840.0,4666170.0,7.77,2017-01-12
CKP,1000,254100,3560.0,906442.0,2.43,2017-01-13
CKP,23196700,27225700,85420376.0,99858928.0,12.09,2017-01-16
CKP,331901,229144,1193001.58,827189.76,0.65,2017-01-17
CKP,265300,350700,944162.0,1254672.0,1.82,2017-01-18
CKP,1226100,1161900,4318840.0,4090564.0,3.34,2017-01-19
CKP,4351700,3751900,15482226.0,13352540.0,14.55,2017-01-20
CKP,178900,1733800,643288.0,6211002.0,5.4,2017-01-23
CKP,3060200,5700,10841260.0,20406.0,10.56,2017-01-24
CKP,23566500,22744300,82389194.0,79574766.0,34.74,2017-01-25
CKP,664700,624900,2312600.0,2170886.0,1.32,2017-01-26
CKP,60000,185300,206400.0,639144.0,0.68,2017-01-27
CKP,2685700,4353200,9105376.0,14725860.0,5.91,2017-01-30
CKP,2056900,1218300,6889386.0,4077454.0,4.92,2017-01-31
CKP,7527600,7072700,24654176.0,23172294.0,13.05,2017-02-01
CKP,7861800,7418000,25728376.0,24259620.0,9.88,2017-02-02
CKP,538200,891700,1724390.0,2869166.0,1.11,2017-02-03
CKP,8166400,6812740,26196528.0,22029280.0,10.28,2017-02-06
CKP,1073900,827400,3395774.0,2615830.0,1.49,2017-02-07
CKP,2312500,2540000,7262982.0,7996772.0,6.55,2017-02-08
CKP,2607100,2369700,8227780.0,7512614.0,11.17,2017-02-09
CKP,5384700,6601000,17188832.0,21286990.0,6.82,2017-02-10
CKP,3528700,3277300,11420326.0,10570588.0,6.09,2017-02-14
CKP,2287500,2416900,7274462.0,7768418.0,9.34,2017-02-15
CKP,622400,0,2022936.0,0.0,1.58,2017-02-16
CKP,11700,376600,37674.0,1221216.0,1.29,2017-02-17
CKP,158400,94400,511650.0,305812.0,1.23,2017-02-20
CKP,405300,132000,1300612.0,426212.0,1.68,2017-02-21
CKP,3881200,3018200,12244844.0,9494200.0,13.18,2017-02-22
CKP,524800,6890200,1655608.0,21524232.0,12.0,2017-02-23
CKP,386000,45100,1227480.0,144320.0,1.61,2017-02-24
CKP,68500,343900,217836.0,1092358.0,2.38,2017-02-27
CKP,523300,1484000,1695320.0,4806884.0,2.87,2017-02-28
CKP,3360,471200,10956.0,1545084.0,0.74,2017-03-01
CKP,20000,4600,65600.0,15004.0,0.26,2017-03-02
CKP,0,930000,0.0,3030540.0,6.65,2017-03-03
CKP,232400,1208100,745576.0,3886290.0,2.84,2017-03-06
CKP,1211600,219300,3879268.0,702294.0,3.66,2017-03-07
CKP,4101400,40400,13157436.0,129148.0,8.82,2017-03-08
CKP,0,268300,0.0,863172.0,2.35,2017-03-09
CKP,50100,900,159320.0,2862.0,0.23,2017-03-10
CKP,457200,620300,1445820.0,1960148.0,6.8,2017-03-13
CKP,9177400,8609700,29377912.0,27559984.0,51.56,2017-03-14
CKP,2143400,618000,6856868.0,1975114.0,20.48,2017-03-15
CKP,130100,185200,416922.0,594928.0,1.92,2017-03-16
CKP,1659800,111600,5344554.0,358350.0,11.92,2017-03-17
CKP,1073900,731500,3418282.0,2326034.0,7.82,2017-03-20
CKP,921100,14300,2939922.0,45676.0,6.72,2017-03-21
CKP,213500,1800,683200.0,5728.0,5.64,2017-03-22
CKP,245800,114200,787010.0,365140.0,3.06,2017-03-23
CKP,29700,95100,94790.0,302420.0,1.24,2017-03-24
CKP,0,18200,0.0,57876.0,0.36,2017-03-27
CKP,316000,1160100,1015776.0,3737522.0,3.88,2017-03-28
CKP,1590200,1509800,5182392.0,4901860.0,12.37,2017-03-29
CKP,80400,67200,258888.0,216370.0,0.59,2017-03-30
CKP,30300,3100,97566.0,9952.0,0.22,2017-03-31
CKP,131060,1800,422428.4,5760.0,1.33,2017-04-03
CKP,1124800,1034600,3621158.0,3311384.0,8.07,2017-04-04
CKP,225200,315900,716700.0,1004562.0,2.32,2017-04-05
CKP,549200,170600,1747404.0,541738.0,5.22,2017-04-07
CKP,1160100,1143800,3660116.0,3613110.0,5.18,2017-04-10
CKP,355100,701500,1102512.0,2188680.0,2.1,2017-04-11
CKP,210600,5000,657072.0,15600.0,1.23,2017-04-12
CKP,716200,11193400,2217830.0,34577050.0,30.59,2017-04-17
CKP,0,319200,0.0,985508.0,2.86,2017-04-18
CKP,188900,416400,578034.0,1286052.0,2.94,2017-04-19
CKP,0,211000,0.0,654100.0,2.36,2017-04-20
CKP,205200,306500,636100.0,948504.0,4.08,2017-04-21
CKP,932700,467900,2884062.0,1445658.0,6.3,2017-04-24
CKP,5051300,5616000,15369860.0,17102516.0,31.49,2017-04-25
CKP,224500,512300,686970.0,1593624.0,1.02,2017-04-26
CKP,345800,141400,1074634.0,442398.0,2.54,2017-04-27
CKP,226100,108400,706614.0,340208.0,2.82,2017-04-28
CKP,107400,100000,331266.0,312000.0,4.37,2017-05-02
CKP,179200,83900,555520.0,260090.0,3.39,2017-05-03
CKP,15100,25600,47112.0,79472.0,0.6,2017-05-04
CKP,880100,266200,2729910.0,826260.0,15.83,2017-05-05
CKP,210400,200000,648032.0,616000.0,5.81,2017-05-08
CKP,2374800,2672500,7285332.0,8179162.0,19.92,2017-05-09
CKP,277600,545200,845902.0,1662950.0,3.94,2017-05-11
CKP,2560000,2775800,7676462.0,8309442.0,23.38,2017-05-12
CKP,0,253000,0.0,759000.0,1.83,2017-05-15
CKP,0,67600,0.0,204152.0,1.52,2017-05-16
CKP,57800,105500,174556.0,320040.0,2.72,2017-05-17
CKP,4100,858700,12382.0,2579746.0,16.52,2017-05-18
CKP,277500,215000,837434.0,649000.0,9.1,2017-05-19
CKP,165100,260700,502048.0,797694.0,2.97,2017-05-22
CKP,283600,544000,879288.0,1683368.0,4.79,2017-05-23
CKP,2900,53200,8996.0,165440.0,0.51,2017-05-24
CKP,54700,51900,168476.0,160490.0,1.63,2017-05-25
CKP,28800,0,89176.0,0.0,1.21,2017-05-26
CKP,106800,0,329830.0,0.0,2.24,2017-05-29
CKP,800000,964000,2480000.0,2982766.0,23.41,2017-05-30
CKP,1000,248400,3080.0,761316.0,3.22,2017-05-31
CKP,100,40000,308.0,123200.0,1.32,2017-06-01
CKP,90900,148800,283432.0,462258.0,1.16,2017-06-02
CKP,131900,264600,423830.0,859094.0,0.26,2017-06-05
CKP,33900,18400,109368.0,59446.0,0.16,2017-06-06
CKP,4000,156600,12940.0,505444.0,0.74,2017-06-07
CKP,530000,206900,1738400.0,673242.0,1.99,2017-06-08
CKP,0,620100,0.0,2012990.0,1.05,2017-06-09
CKP,3200,151600,10432.0,492816.0,1.03,2017-06-12
CKP,7339600,7638000,24220652.0,25229812.0,17.44,2017-06-13
CKP,1525000,2583900,5063182.0,8656586.0,3.65,2017-06-14
CKP,394500,354300,1313910.0,1179960.0,4.01,2017-06-15
CKP,97770,50000,326548.4,167000.0,0.63,2017-06-16
CKP,228600,148400,755572.0,490920.0,1.78,2017-06-19
CKP,752500,167100,2426762.0,540132.0,1.85,2017-06-20
CKP,237800,10000,770472.0,32400.0,2.12,2017-06-21
CKP,224600,232000,723704.0,751680.0,5.51,2017-06-22
CKP,9700,183500,32010.0,604518.0,0.49,2017-06-23
CKP,124500,274700,424446.0,920040.0,0.28,2017-06-26
CKP,969300,566100,3286080.0,1937226.0,1.73,2017-06-27
CKP,114500,314900,384720.0,1058298.0,2.02,2017-06-28
CKP,633200,384400,2117990.0,1289476.0,3.36,2017-06-29
CKP,543400,148400,1775884.0,486190.0,1.95,2017-06-30
CKP,230900,224100,757352.0,738274.0,3.03,2017-07-03
CKP,100000,324300,326000.0,1068374.0,1.53,2017-07-04
CKP,391100,732100,1316248.0,2446360.0,1.92,2017-07-05
CKP,950100,520000,3135330.0,1720606.0,3.92,2017-07-06
CKP,76000,1247500,250800.0,4116750.0,8.92,2017-07-07
CKP,0,257900,0.0,845904.0,1.88,2017-07-11
CKP,755600,398300,2498066.0,1318454.0,7.29,2017-07-12
CKP,0,472700,0.0,1559656.0,5.65,2017-07-13
CKP,644800,492500,2121840.0,1624860.0,12.81,2017-07-14
CKP,0,543400,0.0,1817828.0,1.81,2017-07-17
CKP,560000,149000,1859200.0,499180.0,3.63,2017-07-18
CKP,333700,713900,1119536.0,2382114.0,3.54,2017-07-19
CKP,5000,258000,16600.0,856614.0,2.33,2017-07-20
CKP,29100,153400,96130.0,508448.0,2.84,2017-07-21
CKP,8000,197100,26080.0,647850.0,1.46,2017-07-24
CKP,39000,165200,128700.0,544260.0,1.32,2017-07-25
CKP,0,86200,0.0,284346.0,0.75,2017-07-26
CKP,55300,202400,182490.0,667720.0,2.31,2017-07-27
CKP,475100,210800,1574338.0,695640.0,5.07,2017-07-31
CKP,40300,158300,132816.0,520264.0,2.69,2017-08-01
CKP,136100,3300,451138.0,10890.0,2.18,2017-08-02
CKP,1109800,16100,3708732.0,53874.0,3.47,2017-08-03
CKP,0,79800,0.0,267568.0,0.45,2017-08-04
CKP,0,26400,0.0,88704.0,0.16,2017-08-07
CKP,13300,13900,44350.0,46426.0,0.39,2017-08-08
CKP,0,14600,0.0,48272.0,0.18,2017-08-09
CKP,250000,178900,835000.0,592258.0,2.04,2017-08-10
CKP,200,388000,656.0,1266854.0,1.98,2017-08-11
CKP,323400,206600,1062132.0,677648.0,9.6,2017-08-15
CKP,42800,2070800,141240.0,6833356.0,11.2,2017-08-16
