Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
COTTO,19123800,18747159,64468054.0,63735273.92,2.69,2018-08-03
COTTO,15139000,13899100,52766082.48,48492106.0,10.84,2018-08-06
COTTO,1553300,827490,5101308.0,2642490.4,3.2,2018-08-07
COTTO,3820300,4313200,12795558.0,14478314.0,5.51,2018-08-08
COTTO,117600,10200,375386.0,32090.0,0.42,2018-08-09
COTTO,83000,145600,252252.0,444388.0,0.52,2018-08-10
COTTO,44600,300,122436.0,818.0,0.44,2018-08-14
COTTO,10000,25500,27600.0,69540.0,0.48,2018-08-15
COTTO,11000,41800,28440.0,110920.0,0.88,2018-08-16
COTTO,8700,199300,23982.0,548592.0,2.97,2018-08-17
COTTO,23000,65500,64620.0,184378.0,1.95,2018-08-20
COTTO,29600,75543,81744.0,210009.54,4.06,2018-08-21
COTTO,25200,300,68524.0,810.0,0.88,2018-08-22
COTTO,28000,18200,76380.0,48776.0,1.07,2018-08-23
COTTO,5000,0,13540.0,0.0,0.25,2018-08-27
COTTO,100,24700,268.0,66904.0,1.1,2018-08-28
COTTO,11000,87800,29680.0,237034.0,4.38,2018-08-29
COTTO,4810,459710,13517.6,1267969.6,4.78,2018-08-30
COTTO,1000,101200,2780.0,282898.0,2.24,2018-08-31
COTTO,0,154000,0.0,432776.0,3.22,2018-09-03
COTTO,0,11500,0.0,32860.0,0.28,2018-09-04
COTTO,200,42800,564.0,121090.0,2.18,2018-09-05
COTTO,0,72100,0.0,200600.0,2.51,2018-09-06
COTTO,0,67200,0.0,186788.0,6.58,2018-09-07
COTTO,2000,55200,5560.0,154560.0,5.24,2018-09-10
COTTO,8645,380500,24935.8,1110582.0,2.35,2018-09-11
COTTO,200,107400,596.0,313732.0,1.27,2018-09-12
COTTO,77,35700,224.84,105358.0,0.99,2018-09-13
COTTO,18100,60522,53260.0,182170.0,0.55,2018-09-14
COTTO,4400,18000,13198.0,54000.0,0.53,2018-09-17
COTTO,384,32710,1151.8,98700.2,0.72,2018-09-18
COTTO,10100,9354,30426.0,28716.2,0.19,2018-09-19
COTTO,30222,100,90468.68,298.0,0.98,2018-09-20
COTTO,35014,37320,104335.0,112504.8,1.09,2018-09-21
COTTO,1443900,1413936,4643972.0,4507633.2,3.76,2018-09-24
COTTO,39500,100500,120574.0,305860.0,0.68,2018-09-25
COTTO,10600,1200,31788.0,3572.0,0.13,2018-09-26
COTTO,84500,2400,249286.0,6924.0,0.57,2018-09-27
COTTO,33500,5600,97532.0,16688.0,0.55,2018-09-28
COTTO,100,1200,300.0,3576.0,0.05,2018-10-01
COTTO,900,23200,2712.0,70068.0,0.1,2018-10-02
COTTO,1400,43100,4204.0,130758.0,0.56,2018-10-03
COTTO,23200,0,68268.0,0.0,0.57,2018-10-04
COTTO,80000,0,233960.0,0.0,1.36,2018-10-05
COTTO,22000,30000,61600.0,84600.0,1.22,2018-10-09
COTTO,0,23600,0.0,67496.0,2.1,2018-10-10
COTTO,37000,17000,103260.0,47940.0,1.15,2018-10-11
COTTO,0,16800,0.0,47148.0,1.18,2018-10-16
COTTO,10000,3500,27800.0,9730.0,0.73,2018-10-18
COTTO,5000,0,13600.0,0.0,0.15,2018-10-19
COTTO,0,12000,0.0,32206.0,0.26,2018-10-22
COTTO,0,500,0.0,1320.0,0.01,2018-10-24
COTTO,22000,6100,55194.0,15260.0,1.16,2018-10-25
COTTO,10700,29800,27596.0,77928.0,1.43,2018-10-26
COTTO,0,5100,0.0,13242.0,0.33,2018-10-29
COTTO,20000,8200,51800.0,21284.0,4.39,2018-10-30
COTTO,5000,5100,13100.0,13362.0,1.48,2018-10-31
COTTO,0,4000,0.0,10644.0,0.31,2018-11-01
COTTO,23000,700,61180.0,1848.0,4.25,2018-11-02
COTTO,22000,11000,58140.0,29232.0,0.95,2018-11-05
COTTO,8600,11900,22796.0,31784.0,1.25,2018-11-06
COTTO,0,4600,0.0,12108.0,0.75,2018-11-07
COTTO,0,10700,0.0,27690.0,0.78,2018-11-09
COTTO,0,4100,0.0,10554.0,0.33,2018-11-13
COTTO,0,3500,0.0,8932.0,0.16,2018-11-14
COTTO,3000,0,7440.0,0.0,0.11,2018-11-15
COTTO,18400,0,40112.0,0.0,1.11,2018-11-20
COTTO,0,1100,0.0,2486.0,0.11,2018-11-22
COTTO,0,1500,0.0,3376.0,0.47,2018-11-23
COTTO,0,3700,0.0,8438.0,1.49,2018-11-26
COTTO,0,600,0.0,1380.0,0.08,2018-11-27
COTTO,0,4200,0.0,9736.0,0.87,2018-11-29
COTTO,0,2600,0.0,5962.0,0.43,2018-11-30
COTTO,0,1200,0.0,2760.0,0.23,2018-12-03
COTTO,0,600,0.0,1376.0,0.11,2018-12-04
COTTO,0,200,0.0,460.0,0.08,2018-12-06
COTTO,0,500,0.0,1150.0,0.17,2018-12-07
COTTO,9000,0,20660.0,0.0,1.98,2018-12-11
COTTO,1000,1000,2360.0,2320.0,0.09,2018-12-12
COTTO,3800,800,8512.0,1824.0,0.32,2018-12-14
COTTO,1500,0,3270.0,0.0,0.12,2018-12-18
COTTO,100,0,210.0,0.0,0.02,2018-12-19
COTTO,0,200,0.0,428.0,0.05,2018-12-21
COTTO,2000,0,4200.0,0.0,0.3,2018-12-24
COTTO,2000,0,4160.0,0.0,0.29,2018-12-25
COTTO,0,1100,0.0,2238.0,0.27,2018-12-26
COTTO,0,1000,0.0,2018.0,0.09,2018-12-28
COTTO,0,600,0.0,1204.0,0.22,2019-01-04
COTTO,1000,0,2020.0,0.0,0.21,2019-01-08
COTTO,0,1000,0.0,2040.0,0.42,2019-01-09
COTTO,0,300,0.0,608.0,0.06,2019-01-10
COTTO,0,400,0.0,832.0,0.06,2019-01-14
COTTO,0,3000,0.0,6240.0,0.14,2019-01-15
COTTO,0,40000,0.0,86400.0,9.78,2019-01-31
COTTO,400,0,856.0,0.0,0.07,2019-02-01
