Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
CPALL,8792500,8846400,561784175.0,567812150.0,19.63,2017-01-04
CPALL,3231600,2892600,209546200.0,187493050.0,11.6,2017-01-05
CPALL,2011090,1917600,128647960.0,122810800.0,7.41,2017-01-06
CPALL,11173100,2317400,696610850.0,144142175.0,11.39,2017-01-09
CPALL,3579500,3098000,221722825.0,191736100.0,11.03,2017-01-10
CPALL,2167200,696100,134124000.0,43028600.0,4.93,2017-01-11
CPALL,2424432,5922982,148659243.0,364074113.5,14.0,2017-01-12
CPALL,2821800,4859716,174450025.0,300452317.0,13.11,2017-01-13
CPALL,153900,1017315,9505825.0,62858022.5,5.74,2017-01-16
CPALL,3022660,3846041,184921090.0,235610166.25,11.46,2017-01-17
CPALL,4746700,8559544,287517075.0,518432109.0,19.9,2017-01-18
CPALL,11069700,17159156,656316325.0,1017816366.25,16.46,2017-01-19
CPALL,3123185,7449400,185610729.25,442045300.0,16.55,2017-01-20
CPALL,942390,1083522,55852475.5,64202909.75,4.61,2017-01-23
CPALL,2588900,2127600,153156117.0,125795477.0,7.81,2017-01-24
CPALL,7607801,6742357,448254894.75,398527893.0,11.97,2017-01-25
CPALL,7520300,8036300,461449800.0,491744817.0,14.79,2017-01-26
CPALL,2026292,1269900,123227262.0,77244025.0,14.92,2017-01-27
CPALL,2096392,1566700,127618628.0,95327300.0,27.21,2017-01-30
CPALL,3601800,1218000,217743375.0,73631275.0,20.21,2017-01-31
CPALL,3289400,258000,197804000.0,15502550.0,14.34,2017-02-01
CPALL,1851000,1354233,110692350.0,80855330.0,11.71,2017-02-02
CPALL,3802000,1219100,227744475.0,72898000.0,19.34,2017-02-03
CPALL,1764140,1507900,107448435.0,91289325.0,11.32,2017-02-06
CPALL,2277700,1374900,139008075.0,83849350.0,16.96,2017-02-07
CPALL,4110300,3744700,249941175.0,227349025.0,33.0,2017-02-08
CPALL,2845100,739316,171104575.0,44448464.0,12.82,2017-02-09
CPALL,3595700,4991762,217124775.0,301464702.0,37.27,2017-02-10
CPALL,6687500,1395391,399990150.0,83275249.25,15.44,2017-02-14
CPALL,3332500,1539500,199977105.0,92348930.0,20.57,2017-02-15
CPALL,1138100,1145308,68112950.0,68526616.0,11.99,2017-02-16
CPALL,2198900,634800,132277225.0,38003950.0,11.86,2017-02-17
CPALL,322300,1269199,19285675.0,75794791.75,10.55,2017-02-20
CPALL,3451750,2236000,207341725.0,133988650.0,29.91,2017-02-21
CPALL,1900700,4325031,115527350.0,262665951.25,16.8,2017-02-22
CPALL,2218194,2790300,133737787.0,168051100.0,25.9,2017-02-23
CPALL,3389173,773129,203168865.75,46330059.25,14.27,2017-02-24
CPALL,1009100,1276500,60832375.0,76728025.0,11.69,2017-02-27
CPALL,3033552,2252780,182824012.0,135674170.0,18.95,2017-02-28
CPALL,480236,1430200,28954311.0,86007375.0,5.55,2017-03-01
CPALL,2358197,2496200,141313893.5,149815975.0,12.87,2017-03-02
CPALL,1386700,1743600,82957525.0,104180650.0,18.4,2017-03-03
CPALL,4091300,3994972,244052975.0,237958398.0,21.98,2017-03-06
CPALL,4350601,3823400,255832084.0,225033425.0,16.22,2017-03-07
CPALL,2201100,2609900,128201875.0,151727725.0,9.7,2017-03-08
CPALL,1889400,458000,110676850.0,26846400.0,11.48,2017-03-09
CPALL,1387700,2315600,81185700.0,135485550.0,26.04,2017-03-10
CPALL,2299300,2062600,135236325.0,120797225.0,22.09,2017-03-13
CPALL,2257535,2763900,133738291.25,163685600.0,20.11,2017-03-14
CPALL,2999389,1055100,177117151.0,62273175.0,24.38,2017-03-15
CPALL,1916312,3903200,113023970.0,229863091.0,17.37,2017-03-16
CPALL,2030286,2811700,119821374.0,165747315.0,17.88,2017-03-17
CPALL,1836100,1414900,108490650.0,83524675.0,12.82,2017-03-20
CPALL,3642000,2696700,216239425.0,160168825.0,16.03,2017-03-21
CPALL,2489800,1056700,146929000.0,62417400.0,7.12,2017-03-22
CPALL,787300,786516,46644082.0,46541474.0,6.89,2017-03-23
CPALL,1430900,2380600,84642675.0,140620475.0,26.39,2017-03-24
CPALL,1838200,1070300,108725425.0,63164700.0,17.95,2017-03-27
CPALL,3290690,2848300,194358105.0,167848375.0,20.91,2017-03-28
CPALL,1380800,306300,81351300.0,18039475.0,7.07,2017-03-29
CPALL,6725690,1213600,397606980.0,71633775.0,24.0,2017-03-30
CPALL,1057365,2746980,62455685.0,162527785.0,11.9,2017-03-31
CPALL,2189125,6094300,132249743.25,366569625.0,12.74,2017-04-03
CPALL,453600,2006400,27672175.0,122648550.0,7.07,2017-04-04
CPALL,3467720,1828300,211288665.0,111417925.0,23.16,2017-04-05
CPALL,1101200,3707400,67479550.0,227340475.0,11.8,2017-04-07
CPALL,393540,957100,24228225.25,58868250.0,6.29,2017-04-10
CPALL,1021600,1211996,62574075.0,74260081.0,10.4,2017-04-11
CPALL,1826811,1203100,112257962.0,74018175.0,12.51,2017-04-12
CPALL,626250,403500,38072775.0,24573250.0,3.49,2017-04-17
CPALL,2608411,1336120,158608543.25,81099310.0,19.14,2017-04-18
CPALL,3367905,679100,204676953.75,41249850.0,16.91,2017-04-19
CPALL,2489490,849500,152034852.0,51916925.0,19.67,2017-04-20
CPALL,4009200,3136000,246338375.0,192593925.0,21.58,2017-04-21
CPALL,961800,1498700,59322400.0,92495075.0,8.13,2017-04-24
CPALL,2271400,1683958,139536050.0,103010838.0,14.5,2017-04-25
CPALL,1328700,966700,82198950.0,59723100.0,6.9,2017-04-26
CPALL,1271300,1338058,77614350.0,81632609.0,17.46,2017-04-27
CPALL,2190627,2328014,133757231.75,142033629.0,16.79,2017-04-28
CPALL,1960167,845700,120524764.25,51999175.0,8.38,2017-05-02
CPALL,643198,1332600,39581200.5,82213400.0,10.4,2017-05-03
CPALL,455700,850400,27944025.0,52110350.0,12.45,2017-05-04
CPALL,612800,622300,37748475.0,38305800.0,10.88,2017-05-05
CPALL,396385,833700,24509498.75,51538400.0,12.11,2017-05-08
CPALL,5741500,6174300,362402600.0,388970550.0,15.84,2017-05-09
CPALL,6445650,5493700,415059798.25,353404400.0,13.18,2017-05-11
CPALL,2694600,992700,172944975.0,63718750.0,4.75,2017-05-12
CPALL,2126738,1174400,136918545.0,75545300.0,13.23,2017-05-15
CPALL,3921731,3315629,253221682.25,213878457.25,22.15,2017-05-16
CPALL,2372168,5486178,153837741.75,355282672.75,12.53,2017-05-17
CPALL,3879935,2085800,248194390.0,134136025.0,11.43,2017-05-18
CPALL,5997800,212031,381052175.0,13474143.5,18.27,2017-05-19
CPALL,3377800,1191654,212640575.0,74877990.0,8.26,2017-05-22
CPALL,4460972,1724813,280623400.0,108504934.25,13.34,2017-05-23
CPALL,674200,2243929,42781300.0,142376761.75,9.08,2017-05-24
CPALL,619917,395182,39319763.0,25024247.0,16.49,2017-05-25
CPALL,940978,378000,59373510.25,23817425.0,11.72,2017-05-26
CPALL,202000,506595,12681200.0,31777363.75,4.0,2017-05-29
CPALL,201837,8000,12668724.5,501275.0,5.14,2017-05-30
CPALL,4297614,2550200,268656179.0,159331325.0,16.45,2017-05-31
CPALL,728786,793121,45481842.25,49453088.25,7.87,2017-06-01
CPALL,3161701,2127320,197607081.9,132919334.4,20.22,2017-06-02
CPALL,1650800,521126,102706975.0,32372918.5,7.71,2017-06-05
CPALL,1360913,3423724,84522158.75,212028809.75,12.5,2017-06-06
CPALL,1118334,1221334,69323435.0,75697308.0,10.03,2017-06-07
CPALL,878876,1056122,54499325.5,65439939.0,6.53,2017-06-08
CPALL,1154300,1454205,71533225.0,89992710.0,8.59,2017-06-09
CPALL,930347,1115977,57456036.75,68899620.75,30.97,2017-06-12
CPALL,435651,747821,26967380.0,46266193.0,5.52,2017-06-13
