Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
CSR,200,0,11800.0,0.0,3.03,2017-01-04
CSR,100,0,6200.0,0.0,48.54,2017-02-03
CSR,500,0,30500.0,0.0,25.0,2017-03-01
CSR,300,0,18600.0,0.0,37.5,2017-04-07
CSR,300,0,18300.0,0.0,49.83,2017-05-02
CSR,100,0,6100.0,0.0,50.0,2017-05-03
CSR,200,0,12200.0,0.0,33.33,2017-08-01
CSR,200,0,12200.0,0.0,49.75,2017-10-04
CSR,500,0,30375.0,0.0,20.83,2017-11-23
CSR,0,100,0.0,6350.0,12.5,2017-12-27
CSR,0,400,0.0,25800.0,25.0,2017-12-29
CSR,400,0,26400.0,0.0,50.0,2018-04-26
CSR,100,0,10000.0,0.0,24.88,2018-08-08
CSR,10000,0,850000.0,0.0,50.0,2019-01-18
CSR,0,5100,0.0,333875.0,41.13,2019-03-21
CSR,0,4900,0.0,328300.0,50.0,2019-03-22
