Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
CWT,130000,120000,499200.0,456492.0,6.44,2017-01-04
CWT,2800,20700,10872.0,80116.0,0.13,2017-01-05
CWT,4000,5000,15600.0,19700.0,0.14,2017-01-06
CWT,0,400,0.0,1560.0,0.01,2017-01-09
CWT,30000,0,116800.0,0.0,0.93,2017-01-10
CWT,112100,130100,442242.0,519796.0,1.05,2017-01-11
CWT,1045000,1012900,4220800.0,4106124.0,5.19,2017-01-12
CWT,40200,63700,161700.0,261826.0,0.19,2017-01-13
CWT,90000,21800,352400.0,85748.0,0.69,2017-01-16
CWT,20200,6200,78676.0,24288.0,0.28,2017-01-17
CWT,30000,13900,116100.0,54092.0,0.65,2017-01-18
CWT,125000,5000,481500.0,19400.0,2.54,2017-01-19
CWT,60000,0,229800.0,0.0,2.92,2017-01-20
CWT,21000,0,80640.0,0.0,1.0,2017-01-23
CWT,10000,10000,38400.0,38200.0,0.73,2017-01-24
CWT,20000,81000,76800.0,317520.0,1.01,2017-01-25
CWT,5000,130000,19200.0,501600.0,5.25,2017-01-26
CWT,45000,0,173000.0,0.0,2.1,2017-01-27
CWT,17900,800,69004.0,3120.0,0.15,2017-01-30
CWT,100,11200,384.0,43232.0,0.25,2017-01-31
CWT,31000,1700,116200.0,6332.0,0.5,2017-02-01
CWT,2600,0,9672.0,0.0,0.19,2017-02-02
CWT,3400,10000,12784.0,37600.0,0.35,2017-02-03
CWT,1000,4600,3740.0,17364.0,0.19,2017-02-06
CWT,0,2500,0.0,9320.0,0.16,2017-02-07
CWT,0,500,0.0,1860.0,0.01,2017-02-08
CWT,42600,5000,159120.0,19000.0,0.26,2017-02-09
CWT,10200,0,37332.0,0.0,0.21,2017-02-10
CWT,1000,0,3640.0,0.0,0.05,2017-02-14
CWT,10000,1800,36200.0,6534.0,0.41,2017-02-15
CWT,400,0,1448.0,0.0,0.01,2017-02-16
CWT,7300,0,25834.0,0.0,0.23,2017-02-17
CWT,29000,10000,100960.0,34600.0,1.16,2017-02-20
CWT,85000,0,280100.0,0.0,2.23,2017-02-21
CWT,75000,17500,245600.0,56490.0,1.49,2017-02-22
CWT,20000,5000,64000.0,16200.0,0.49,2017-02-23
CWT,2700,5000,8910.0,16900.0,0.15,2017-02-24
CWT,97000,35000,327106.0,117800.0,4.35,2017-02-27
CWT,0,20000,0.0,66800.0,1.11,2017-02-28
CWT,25000,200000,80800.0,652000.0,12.58,2017-03-01
CWT,10000,0,32600.0,0.0,3.12,2017-03-02
CWT,15000,0,48300.0,0.0,2.14,2017-03-03
CWT,6300,5000,20160.0,16106.0,1.73,2017-03-06
CWT,12500,0,39900.0,0.0,0.93,2017-03-08
CWT,8000,0,25140.0,0.0,0.53,2017-03-09
CWT,0,30000,0.0,92400.0,0.84,2017-03-13
CWT,6400,30000,19442.0,92750.0,1.52,2017-03-14
CWT,21300,20000,67784.0,64600.0,0.74,2017-03-15
CWT,0,41300,0.0,136216.0,0.97,2017-03-16
CWT,14000,285200,49280.0,976584.0,1.65,2017-03-17
CWT,229000,137100,818020.0,483880.0,2.28,2017-03-20
CWT,107300,16500,377516.0,57390.0,2.34,2017-03-21
CWT,8800,35300,32208.0,127274.0,0.36,2017-03-22
CWT,9500,18900,34346.0,68796.0,0.45,2017-03-23
CWT,4000,5900,14560.0,21456.0,0.2,2017-03-24
CWT,0,4100,0.0,14758.0,0.25,2017-03-27
CWT,0,2500,0.0,9050.0,0.07,2017-03-28
CWT,5800,0,20330.0,0.0,0.63,2017-03-29
CWT,26300,27000,93544.0,96960.0,0.58,2017-03-30
CWT,75100,13700,265756.0,49146.0,4.1,2017-03-31
CWT,11300,1600,40002.0,5638.0,0.51,2017-04-03
CWT,4200,50000,14708.0,177000.0,2.7,2017-04-04
CWT,8500,0,29990.0,0.0,0.33,2017-04-05
CWT,6800,85700,23604.0,299890.0,6.62,2017-04-07
CWT,0,410000,0.0,1435452.0,9.85,2017-04-10
CWT,0,7500,0.0,26378.0,1.12,2017-04-11
CWT,10000,71300,34200.0,245110.0,5.84,2017-04-12
CWT,10500,5200,35280.0,17612.0,1.55,2017-04-17
CWT,21100,100,70470.0,334.0,2.14,2017-04-18
CWT,900,100,2992.0,332.0,0.11,2017-04-19
CWT,3000,1400,9840.0,4662.0,0.53,2017-04-20
CWT,10000,23500,33600.0,79726.0,1.61,2017-04-21
CWT,0,15200,0.0,51348.0,0.35,2017-04-24
CWT,8000,200,25300.0,664.0,0.22,2017-04-25
CWT,76800,0,239752.0,0.0,2.36,2017-04-26
CWT,1100,10000,3496.0,32100.0,0.21,2017-04-27
CWT,800,700,2544.0,2226.0,0.07,2017-04-28
CWT,2800,300,8696.0,936.0,0.28,2017-05-02
CWT,10000,18100,31600.0,57178.0,1.53,2017-05-03
CWT,10000,6500,31200.0,20294.0,0.59,2017-05-04
CWT,800,130500,2464.0,404550.0,4.87,2017-05-05
CWT,4200,30900,12770.0,95790.0,0.76,2017-05-08
CWT,29100,13500,88450.0,40954.0,0.88,2017-05-09
CWT,10000,6100,29600.0,18028.0,0.78,2017-05-11
CWT,532800,0,1439750.0,0.0,8.92,2017-05-12
CWT,45400,0,120860.0,0.0,3.85,2017-05-15
CWT,51400,0,136266.0,0.0,4.07,2017-05-16
CWT,17900,0,47700.0,0.0,1.77,2017-05-17
CWT,386200,261800,1143862.0,777158.0,2.24,2017-05-19
CWT,102700,207200,301938.0,618800.0,4.98,2017-05-22
CWT,1900,21100,5548.0,61340.0,0.53,2017-05-23
