Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
DELTA,789900,336500,65509475.0,27835225.0,31.76,2017-01-04
DELTA,395500,172800,33060875.0,14403700.0,27.51,2017-01-05
DELTA,502800,420300,43369250.0,36226900.0,19.3,2017-01-06
DELTA,327700,175600,27880925.0,14930650.0,29.71,2017-01-09
DELTA,504900,110700,42814175.0,9386075.0,28.43,2017-01-10
DELTA,438500,103600,37291400.0,8803975.0,33.16,2017-01-11
DELTA,339443,306500,29058007.0,25982400.0,45.1,2017-01-12
DELTA,287100,126800,24400300.0,10772925.0,38.99,2017-01-13
DELTA,120000,82100,10306050.0,7058575.0,33.31,2017-01-16
DELTA,223400,141143,18974500.0,12000222.75,29.93,2017-01-17
DELTA,182200,264100,15261625.0,22079775.0,16.61,2017-01-18
DELTA,657500,236400,55483300.0,19974075.0,42.17,2017-01-19
DELTA,125400,259500,10509750.0,21758250.0,27.21,2017-01-20
DELTA,201400,121800,17076925.0,10328475.0,25.11,2017-01-23
DELTA,233300,159800,19758450.0,13520825.0,31.81,2017-01-24
DELTA,248900,86800,21261550.0,7417900.0,15.7,2017-01-25
DELTA,555300,158200,47501900.0,13544850.0,37.07,2017-01-26
DELTA,262100,58600,22373975.0,4988250.0,17.59,2017-01-27
DELTA,247100,262100,21027425.0,22290875.0,13.15,2017-01-30
DELTA,193800,112100,16569875.0,9601325.0,17.89,2017-01-31
DELTA,139200,104100,11952975.0,8998500.0,11.17,2017-02-01
DELTA,446400,257500,38643350.0,22317850.0,28.0,2017-02-02
DELTA,350900,202800,30358225.0,17539925.0,20.04,2017-02-03
DELTA,388441,409900,33787994.5,35662550.0,29.91,2017-02-06
DELTA,317900,171800,27698800.0,14966525.0,25.8,2017-02-07
DELTA,391591,510600,35369943.25,45633225.0,22.89,2017-02-08
DELTA,482301,389500,44530242.25,35921000.0,38.84,2017-02-09
DELTA,227600,1050843,21457850.0,98927574.0,22.65,2017-02-10
DELTA,363000,124500,33415100.0,11453850.0,8.46,2017-02-14
DELTA,748600,169500,67792440.0,15324690.0,13.14,2017-02-15
DELTA,149100,67300,13589550.0,6132550.0,13.68,2017-02-16
DELTA,327600,418100,29717225.0,37858025.0,17.22,2017-02-17
DELTA,193800,245700,17520075.0,22190100.0,15.26,2017-02-20
DELTA,204645,156800,18300863.75,14011725.0,13.63,2017-02-21
DELTA,654800,1426500,57658025.0,125046125.0,30.48,2017-02-22
DELTA,313800,234500,28017825.0,20930750.0,19.15,2017-02-23
DELTA,378300,262100,31546275.0,21857300.0,10.02,2017-02-24
DELTA,213200,145700,17992550.0,12216425.0,11.91,2017-02-27
DELTA,104200,669500,9265150.0,59749800.0,19.91,2017-02-28
DELTA,164000,635100,14719975.0,56768325.0,26.03,2017-03-01
DELTA,478000,164700,41505625.0,14698300.0,9.59,2017-03-02
DELTA,263400,320400,23220650.0,28168000.0,28.91,2017-03-03
DELTA,141000,462974,12362597.0,40706809.0,33.79,2017-03-06
DELTA,256200,278500,22564450.0,24509375.0,19.06,2017-03-07
DELTA,298200,186000,26190125.0,16319550.0,22.29,2017-03-08
DELTA,85800,105200,7473875.0,9176750.0,8.44,2017-03-09
DELTA,171200,214100,14799725.0,18526575.0,23.32,2017-03-10
DELTA,356800,102200,30414025.0,8716025.0,16.13,2017-03-13
DELTA,275300,518524,23319300.0,43923391.0,6.8,2017-03-14
DELTA,540500,189400,46074200.0,16118675.0,18.72,2017-03-15
DELTA,395200,361740,33007107.5,30215480.0,18.34,2017-03-16
DELTA,651938,465200,54331652.5,38736775.0,29.38,2017-03-17
DELTA,311300,109700,26080550.0,9173275.0,26.37,2017-03-20
DELTA,353000,118400,29256275.0,9790875.0,15.86,2017-03-21
DELTA,377500,235400,30937050.0,19287200.0,21.1,2017-03-22
DELTA,422500,97500,34894651.21,8035525.0,12.75,2017-03-23
DELTA,137100,64700,11508150.0,5456075.0,10.79,2017-03-24
DELTA,104900,173800,9018200.0,14890250.0,26.59,2017-03-27
DELTA,179000,276300,15403475.0,23884750.0,27.72,2017-03-28
DELTA,167200,218500,14294725.0,18732550.0,24.77,2017-03-29
DELTA,1170200,265200,102856264.72,23398100.0,43.96,2017-03-30
DELTA,597100,390100,52198450.0,34136575.0,29.65,2017-03-31
DELTA,156000,43800,13245950.0,3780775.0,10.93,2017-04-03
DELTA,77500,64700,6626850.0,5525475.0,9.8,2017-04-04
DELTA,247500,238300,21339600.0,20385775.0,30.41,2017-04-05
DELTA,74400,312600,6458500.0,27122825.0,11.77,2017-04-07
DELTA,31900,120900,2754150.0,10419025.0,7.6,2017-04-10
DELTA,91800,167880,7926975.0,14502770.0,17.0,2017-04-11
