Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
DRT,474400,100000,2688860.0,590000.0,3.91,2017-01-05
DRT,190000,14200,1052000.0,82360.0,2.65,2017-01-06
DRT,91500,109100,518095.0,621370.0,0.77,2017-01-09
DRT,148500,82900,836900.0,476580.0,0.74,2017-01-10
DRT,50000,75900,278000.0,429380.0,0.9,2017-01-11
DRT,28200,59000,156920.0,330950.0,2.33,2017-01-12
DRT,0,20200,0.0,113110.0,0.69,2017-01-13
DRT,80900,10000,448995.0,56250.0,2.44,2017-01-16
DRT,97601,43400,552207.0,245210.0,1.4,2017-01-17
DRT,20300,73300,116725.0,428815.0,0.24,2017-01-18
DRT,740400,10000,4148740.0,56500.0,13.51,2017-01-19
DRT,40000,40400,228000.0,228455.0,2.42,2017-01-20
DRT,77800,164000,451020.0,967550.0,0.99,2017-01-24
DRT,39400,324200,244630.0,1991365.0,0.77,2017-01-25
DRT,42300,26600,272440.0,169110.0,0.22,2017-01-26
DRT,18900,22100,120460.0,142545.0,0.93,2017-01-27
DRT,30000,29900,190500.0,190755.0,2.55,2017-01-30
DRT,48000,6000,301400.0,37800.0,0.69,2017-01-31
DRT,58800,96000,370440.0,606700.0,3.92,2017-02-01
DRT,392900,52600,2485375.0,332485.0,18.94,2017-02-02
DRT,0,36200,0.0,229625.0,1.03,2017-02-03
DRT,96200,0,612550.0,0.0,5.34,2017-02-06
DRT,23200,55600,146450.0,349150.0,2.58,2017-02-07
DRT,15100,0,95405.0,0.0,3.16,2017-02-08
DRT,92500,0,572245.0,0.0,8.01,2017-02-09
DRT,110300,0,670055.0,0.0,1.76,2017-02-10
DRT,229500,8600,1422225.0,53320.0,13.93,2017-02-14
DRT,30900,34800,190120.0,217215.0,7.06,2017-02-15
DRT,500,37400,3125.0,233685.0,2.01,2017-02-16
DRT,700,1000,4340.0,6200.0,0.45,2017-02-17
DRT,6700,2100,41760.0,13125.0,0.66,2017-02-20
DRT,84200,1500,523780.0,9300.0,11.12,2017-02-21
DRT,515600,35000,3290480.0,219960.0,5.02,2017-02-22
DRT,100800,72600,631575.0,455335.0,5.47,2017-02-23
DRT,40000,20600,248000.0,127695.0,3.21,2017-02-24
DRT,0,13600,0.0,84765.0,0.82,2017-02-27
DRT,20000,2400,123500.0,14845.0,4.01,2017-02-28
DRT,60000,9400,368500.0,57575.0,3.45,2017-03-01
DRT,50400,4500,309940.0,27900.0,3.94,2017-03-02
DRT,190900,0,1130310.0,0.0,8.47,2017-03-03
DRT,50300,1300,294255.0,7625.0,3.55,2017-03-06
DRT,25000,158800,145250.0,928225.0,13.42,2017-03-07
DRT,100000,9000,585000.0,52305.0,8.81,2017-03-08
DRT,0,5200,0.0,30345.0,1.88,2017-03-09
DRT,298800,136400,1774115.0,809220.0,22.02,2017-03-10
DRT,37200,33900,218620.0,200275.0,12.0,2017-03-13
DRT,11800,36500,69030.0,216895.0,9.77,2017-03-14
DRT,5800,16400,34800.0,98870.0,1.01,2017-03-15
DRT,23900,62600,145250.0,383410.0,3.47,2017-03-16
DRT,10000,22200,61300.0,136810.0,2.9,2017-03-17
DRT,23000,10700,139320.0,65270.0,7.62,2017-03-20
DRT,3500,0,21435.0,0.0,1.16,2017-03-21
DRT,1800,10000,10980.0,61500.0,6.87,2017-03-22
DRT,1100,0,6765.0,0.0,0.28,2017-03-23
DRT,10000,1000,61500.0,6150.0,5.13,2017-03-24
DRT,0,1500,0.0,9225.0,0.43,2017-03-27
DRT,0,16200,0.0,99630.0,2.74,2017-03-28
DRT,0,1600,0.0,9895.0,0.11,2017-03-29
DRT,100,0,620.0,0.0,0.03,2017-03-30
DRT,600,0,3690.0,0.0,0.53,2017-03-31
DRT,2300,0,14260.0,0.0,0.16,2017-04-03
DRT,52200,0,323640.0,0.0,3.24,2017-04-04
DRT,0,700,0.0,4340.0,0.08,2017-04-05
DRT,5000,4900,31000.0,30380.0,0.9,2017-04-10
DRT,200,900,1240.0,5580.0,0.09,2017-04-12
DRT,0,1600,0.0,9840.0,0.38,2017-04-17
DRT,0,1800,0.0,11160.0,0.27,2017-04-18
DRT,0,1600,0.0,9840.0,0.15,2017-04-19
DRT,0,6200,0.0,38130.0,0.86,2017-04-20
DRT,0,2700,0.0,16740.0,0.37,2017-04-21
DRT,0,8500,0.0,52700.0,2.07,2017-04-24
DRT,10000,21800,61000.0,133955.0,8.05,2017-04-25
DRT,14500,8700,88225.0,52890.0,4.03,2017-04-26
DRT,10000,3100,60500.0,18755.0,6.38,2017-04-27
DRT,0,6600,0.0,39750.0,2.24,2017-04-28
DRT,0,2800,0.0,16800.0,0.83,2017-05-02
DRT,0,11800,0.0,70510.0,7.05,2017-05-03
DRT,20000,18100,120000.0,108720.0,30.63,2017-05-04
DRT,20000,2900,120000.0,17435.0,14.59,2017-05-05
DRT,5400,119940,32260.0,714002.25,34.46,2017-05-08
DRT,10000,120940,59500.0,714313.0,42.15,2017-05-09
DRT,15000,121140,86000.0,696358.95,10.64,2017-05-11
