Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
DTCI,0,200,0.0,6000.0,33.33,2017-01-18
DTCI,400,0,10800.0,0.0,0.39,2017-01-20
DTCI,400,100,10900.0,2900.0,0.91,2017-01-23
DTCI,0,100,0.0,2900.0,0.5,2017-01-24
DTCI,0,200,0.0,6000.0,1.89,2017-01-25
DTCI,0,200,0.0,6400.0,3.23,2017-01-26
DTCI,0,400,0.0,13200.0,4.55,2017-01-27
DTCI,800,0,22750.0,0.0,0.42,2017-01-30
DTCI,100,0,2750.0,0.0,0.07,2017-01-31
DTCI,100,0,2850.0,0.0,0.5,2017-02-07
DTCI,0,900,0.0,26400.0,7.5,2017-02-08
DTCI,0,600,0.0,16800.0,18.75,2017-03-15
DTCI,500,0,13125.0,0.0,0.94,2018-05-03
DTCI,1100,0,29700.0,0.0,26.19,2018-05-04
DTCI,0,700,0.0,19000.0,43.75,2018-05-21
