Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
EA,1656100,1038500,49301225.0,30867025.0,42.44,2017-01-04
EA,972800,1755600,29969850.0,53895400.0,7.36,2017-01-05
EA,915100,224900,28508100.0,6978025.0,4.13,2017-01-06
EA,438400,172000,13250575.0,5170250.0,3.76,2017-01-09
EA,206100,520700,6223725.0,15581500.0,7.95,2017-01-10
EA,370600,811700,11115825.0,24343825.0,20.68,2017-01-11
EA,257102,177900,7588385.0,5254250.0,5.49,2017-01-12
EA,669500,293200,19737700.0,8622650.0,20.16,2017-01-13
EA,232100,515700,6862100.0,15309250.0,15.95,2017-01-16
EA,1331800,708400,38580100.0,20602200.0,12.47,2017-01-17
EA,154800,707300,4488825.0,20405825.0,16.65,2017-01-18
EA,234500,765400,6723925.0,21864675.0,18.91,2017-01-19
EA,546100,535200,15616500.0,15299975.0,27.14,2017-01-20
EA,648700,589000,18906775.0,17156150.0,15.61,2017-01-23
EA,426300,952100,12532450.0,27998400.0,31.45,2017-01-24
EA,317600,763800,9276875.0,22107225.0,28.3,2017-01-25
EA,47700,580900,1370550.0,16720375.0,14.34,2017-01-26
EA,18300,946501,521800.0,26902078.5,11.94,2017-01-27
EA,293400,822600,8491200.0,23592750.0,17.76,2017-01-30
EA,130800,960800,3716725.0,27325125.0,7.63,2017-01-31
EA,2060600,3232700,54585600.0,86197950.0,5.73,2017-02-01
EA,2759600,2095700,71884010.0,53855140.0,4.2,2017-02-02
EA,316900,517400,8440425.0,13844700.0,3.83,2017-02-03
EA,6471200,4803400,153512840.0,114099830.0,9.49,2017-02-06
EA,3255000,1925200,77790840.0,46153420.0,8.98,2017-02-07
EA,2331700,1759600,57483110.0,43423450.0,7.7,2017-02-08
EA,905200,1046036,22401620.0,25919472.0,9.66,2017-02-09
EA,1723400,2559538,42218070.0,62785210.6,21.9,2017-02-10
EA,780500,545649,19072940.0,13309320.5,24.61,2017-02-14
EA,2099100,2975900,51983405.0,73846210.0,14.53,2017-02-15
EA,909500,885100,23809325.0,23100975.0,9.53,2017-02-16
EA,661500,525600,16971675.0,13492400.0,12.62,2017-02-17
EA,736500,259400,18737200.0,6606450.0,12.5,2017-02-20
EA,202795,152400,5106312.5,3835375.0,5.77,2017-02-21
EA,1124000,724300,28045175.0,18056450.0,26.4,2017-02-22
EA,458200,306000,11430460.0,7600380.0,16.46,2017-02-23
EA,946000,109500,23470285.0,2713490.0,13.5,2017-02-24
EA,1132900,252600,28197350.0,6276460.0,18.58,2017-02-27
EA,1800400,614300,44935250.0,15314880.0,31.05,2017-02-28
EA,660400,258500,16706335.0,6486565.0,10.64,2017-03-01
EA,590800,285140,14957150.0,7208852.0,12.33,2017-03-02
EA,39000,557000,984725.0,14039375.0,11.97,2017-03-03
EA,144600,216300,3588780.0,5389225.0,9.64,2017-03-06
EA,563600,319600,14076285.0,7978600.0,20.37,2017-03-07
EA,121700,337500,3027440.0,8408390.0,6.79,2017-03-08
EA,165100,322800,4085380.0,8015170.0,20.53,2017-03-09
EA,201800,128000,4956620.0,3138710.0,5.91,2017-03-10
EA,264400,115300,6468540.0,2822330.0,12.23,2017-03-13
EA,310600,503100,7767215.0,12629515.0,8.92,2017-03-14
EA,546655,494900,13513033.5,12320365.0,26.39,2017-03-15
EA,282200,742800,7188515.0,18744480.0,9.06,2017-03-16
EA,642400,1360200,17063050.0,36023475.0,12.98,2017-03-17
EA,275000,753300,7287325.0,19963650.0,18.29,2017-03-20
EA,806304,737387,21430046.0,19531099.75,21.5,2017-03-21
EA,417600,1338100,11102450.0,35390375.0,25.85,2017-03-22
EA,118000,494300,3132125.0,13039050.0,20.38,2017-03-23
EA,89400,276400,2356975.0,7288400.0,14.62,2017-03-24
EA,345900,155000,9140775.0,4068850.0,19.39,2017-03-27
EA,391000,272600,10325675.0,7142975.0,14.34,2017-03-28
EA,474300,293600,12573725.0,7825700.0,6.65,2017-03-29
EA,719200,571600,19608400.0,15582100.0,5.97,2017-03-30
EA,371027,206100,10200142.5,5650625.0,5.11,2017-03-31
EA,170800,53900,4703750.0,1480800.0,4.65,2017-04-03
EA,162168,216400,4448261.75,5933100.0,9.85,2017-04-04
EA,593700,228600,16176975.0,6214650.0,20.37,2017-04-05
EA,355200,231600,9369275.0,6088075.0,4.64,2017-04-07
EA,106000,80700,2789275.0,2128825.0,3.55,2017-04-10
EA,140400,273100,3698200.0,7168875.0,11.45,2017-04-11
EA,366900,88900,9960025.0,2400650.0,3.12,2017-04-12
EA,216400,227000,5845750.0,6113150.0,14.37,2017-04-17
EA,261500,241800,7012000.0,6484000.0,11.49,2017-04-18
EA,116100,286300,3101875.0,7638425.0,13.16,2017-04-19
EA,44800,223900,1196200.0,5938925.0,11.02,2017-04-20
EA,440712,320200,11926221.5,8580750.0,17.2,2017-04-21
EA,68500,21600,1835800.0,578000.0,2.37,2017-04-24
EA,250300,649700,6711425.0,17347575.0,16.85,2017-04-25
EA,113800,283900,3025375.0,7552075.0,26.26,2017-04-26
EA,205700,1120100,5520700.0,29939350.0,19.88,2017-04-27
EA,256800,198500,6903025.0,5304225.0,12.26,2017-04-28
EA,227200,88300,6056875.0,2330600.0,8.75,2017-05-02
EA,66000,96900,1753750.0,2562400.0,12.22,2017-05-03
