Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
EASON,246500,38200,1038790.0,159752.0,1.08,2017-01-04
EASON,173200,83700,732328.0,348464.0,0.86,2017-01-05
EASON,72200,38100,297604.0,156818.0,0.77,2017-01-06
EASON,62984,6700,249243.88,26808.0,0.36,2017-01-09
EASON,58600,119300,228960.0,465882.0,1.84,2017-01-10
EASON,236200,81200,946484.0,321654.0,3.03,2017-01-11
EASON,10600,104300,41788.0,411834.0,4.18,2017-01-12
EASON,42300,203200,167372.0,809544.0,2.99,2017-01-13
EASON,263000,185600,1075520.0,745398.0,2.24,2017-01-16
EASON,751500,529100,3317826.0,2327064.0,0.7,2017-01-17
EASON,137100,404800,597138.0,1779052.0,1.58,2017-01-18
EASON,287000,228600,1264120.0,996890.0,1.44,2017-01-19
EASON,529000,628900,2401040.0,2845738.0,1.5,2017-01-20
EASON,7000,147100,31640.0,664616.0,1.37,2017-01-23
EASON,72000,17200,325580.0,78184.0,0.41,2017-01-24
EASON,184100,153400,839622.0,689486.0,0.74,2017-01-25
EASON,69600,225900,315762.0,1053008.0,0.65,2017-01-26
EASON,11300,71600,50902.0,326196.0,0.87,2017-01-27
EASON,20600,0,93120.0,0.0,0.18,2017-01-30
EASON,117200,356900,552022.0,1663030.0,1.33,2017-01-31
EASON,143300,103000,672872.0,482280.0,0.9,2017-02-01
EASON,5500,42200,25172.0,193296.0,0.39,2017-02-02
EASON,91500,68300,419940.0,312814.0,1.64,2017-02-03
EASON,38900,20000,177004.0,90800.0,0.67,2017-02-06
EASON,91500,191600,392002.0,813292.0,0.78,2017-02-07
EASON,600,23200,2544.0,96448.0,0.21,2017-02-08
EASON,20900,12900,85026.0,52514.0,0.34,2017-02-09
EASON,10000,37500,41100.0,154900.0,1.05,2017-02-10
EASON,6800,0,28016.0,0.0,0.3,2017-02-14
EASON,0,4200,0.0,17220.0,0.22,2017-02-15
EASON,0,2600,0.0,10868.0,0.21,2017-02-16
