Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
EIC,1003000,212600,772340.0,163702.0,2.76,2017-01-05
EIC,6278900,5762700,5136310.0,4666762.0,4.24,2017-01-06
EIC,45600,283200,38733.0,237882.0,0.54,2017-01-09
EIC,132900,500,112765.0,426.0,0.34,2017-01-10
EIC,195200,37800,165920.0,32508.0,1.34,2017-01-11
EIC,26100,31900,22707.0,27916.0,0.1,2017-01-12
EIC,110200,2241500,96128.0,1930216.0,3.96,2017-01-13
EIC,1100,315000,968.0,280139.0,2.8,2017-01-16
EIC,23500,18700,21385.0,16462.0,0.08,2017-01-17
EIC,72300,56200,68275.0,51821.0,0.19,2017-01-18
EIC,2457000,4298800,2092924.0,4156330.0,0.71,2017-01-19
EIC,707000,10000,570900.0,7900.0,0.67,2017-01-20
EIC,1536400,1516400,1142552.0,1152463.0,7.9,2017-01-23
EIC,1500000,4900,1120000.0,3675.0,10.28,2017-01-24
EIC,13500,1013500,9875.0,770145.0,6.17,2017-01-25
EIC,1608700,0,1205378.0,0.0,27.21,2017-01-26
EIC,141300,0,105975.0,0.0,4.44,2017-01-27
EIC,400,0,300.0,0.0,0.01,2017-01-31
EIC,106000,20000,75380.0,14400.0,0.82,2017-02-02
EIC,50000,0,34000.0,0.0,0.36,2017-02-06
EIC,20300,0,13398.0,0.0,0.02,2017-02-07
EIC,3000,2000,1980.0,1320.0,0.01,2017-02-08
EIC,40100,0,26467.0,0.0,2.37,2017-02-16
EIC,368200,50000,243012.0,33500.0,12.82,2017-02-20
EIC,133400,0,88049.0,0.0,8.57,2017-02-21
EIC,300000,0,198000.0,0.0,16.95,2017-02-22
EIC,0,1100,0.0,726.0,0.08,2017-02-24
EIC,0,151000,0.0,98150.0,3.2,2017-02-27
EIC,43000,0,27950.0,0.0,0.54,2017-03-02
EIC,680600,0,385516.0,0.0,3.59,2017-03-03
EIC,170000,100,95700.0,57.0,0.88,2017-03-06
EIC,15200,81400,8736.0,46406.0,0.89,2017-03-07
EIC,416100,14800,237338.0,8436.0,8.83,2017-03-08
EIC,0,1100,0.0,627.0,0.01,2017-03-09
EIC,764200,1829600,437732.0,1092591.0,7.35,2017-03-10
EIC,1000000,16200,570000.0,9234.0,2.75,2017-03-13
