Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
GEL,4032000,2268500,2081767.0,1165245.0,12.66,2017-01-04
GEL,16584500,7789000,8874562.0,4135017.0,15.35,2017-01-05
GEL,566500,354700,299262.0,190448.0,5.33,2017-01-06
GEL,2021400,1864500,1063003.0,981098.0,10.63,2017-01-09
GEL,4321500,4348900,2301189.0,2315717.0,5.68,2017-01-10
GEL,3548400,3042300,1912805.0,1642842.0,5.52,2017-01-11
GEL,3940700,4309700,2127730.0,2333659.0,10.91,2017-01-12
GEL,1426600,1459700,756824.0,775938.0,7.52,2017-01-13
GEL,2361600,2238800,1236958.0,1175580.0,26.15,2017-01-16
GEL,1975800,1830000,1047174.0,974605.0,15.24,2017-01-17
GEL,2551100,2569500,1332965.0,1343018.0,7.74,2017-01-18
GEL,2562300,2462800,1342508.0,1298598.0,11.36,2017-01-19
GEL,827400,827400,430248.0,430248.0,9.96,2017-01-20
GEL,936800,999100,487107.0,519843.0,5.34,2017-01-23
GEL,915000,915000,475800.0,484950.0,11.15,2017-01-24
GEL,1223100,1160800,646378.0,615224.0,5.08,2017-01-25
GEL,1459100,1406600,769982.0,742154.0,16.32,2017-01-26
GEL,1056000,1056000,549120.0,549120.0,17.85,2017-01-27
GEL,1982500,2142300,1041334.0,1135432.0,11.55,2017-01-30
GEL,567600,471500,299097.0,249895.0,6.82,2017-01-31
GEL,541900,481400,287207.0,259142.0,8.55,2017-02-01
GEL,1472400,1741300,772331.0,916233.0,5.24,2017-02-02
GEL,1250000,1200000,650000.0,626215.0,14.86,2017-02-03
GEL,1061400,1061400,551928.0,562542.0,17.92,2017-02-06
GEL,813700,962600,423124.0,502172.0,8.33,2017-02-07
GEL,332400,1425400,172848.0,742568.0,11.59,2017-02-08
GEL,3149600,3296400,1637792.0,1724994.0,8.43,2017-02-09
GEL,1233900,1249800,641628.0,651549.0,5.05,2017-02-10
GEL,4501700,4467300,2401171.0,2391162.0,7.77,2017-02-14
GEL,1383900,2069606,736255.0,1102817.12,9.44,2017-02-15
GEL,3095600,7268800,1645958.0,3859245.0,10.19,2017-02-16
GEL,846200,787100,448486.0,417163.0,30.84,2017-02-17
GEL,457200,442100,242316.0,237375.0,6.55,2017-02-20
GEL,2863200,2997200,1517416.0,1588945.0,13.79,2017-02-21
GEL,1419000,1344800,752070.0,713356.0,22.38,2017-02-22
GEL,1871200,1871200,987074.0,975863.0,28.95,2017-02-23
GEL,1018300,1662900,535007.0,880566.0,12.36,2017-02-24
GEL,4316400,10753200,2206266.0,5412712.0,19.51,2017-02-27
GEL,2255200,2435100,1114120.0,1203644.0,10.03,2017-02-28
GEL,2167100,3001000,1075093.0,1483845.0,17.88,2017-03-01
GEL,1038900,1038900,519450.0,519663.0,18.34,2017-03-02
GEL,955700,955700,468801.0,468519.0,4.46,2017-03-03
GEL,1020500,958000,500096.0,470694.0,7.2,2017-03-06
GEL,1910300,1719900,935176.0,843296.0,10.45,2017-03-07
GEL,325400,359000,159446.0,175910.0,9.43,2017-03-08
GEL,821600,821600,394368.0,402584.0,42.28,2017-03-09
GEL,877400,877400,424023.0,429926.0,45.41,2017-03-10
GEL,924800,989000,443904.0,484610.0,6.94,2017-03-14
GEL,305000,365900,149450.0,179291.0,4.4,2017-03-15
GEL,51000,51000,24990.0,24990.0,1.64,2017-03-16
GEL,919300,882800,459649.0,441400.0,16.2,2017-03-17
GEL,760000,659100,380000.0,333045.0,13.21,2017-03-20
GEL,254800,12000,127400.0,6100.0,4.14,2017-03-21
GEL,1484200,1343300,756225.0,685267.0,10.21,2017-03-22
GEL,1169600,1383600,603653.0,719214.0,6.65,2017-03-23
GEL,984300,1260000,511836.0,655581.0,10.76,2017-03-24
GEL,2160900,2267200,1145232.0,1201676.0,7.86,2017-03-27
GEL,736900,795000,389392.0,422005.0,12.45,2017-03-28
GEL,1173000,1119500,621690.0,598699.0,9.3,2017-03-29
GEL,403200,385200,213696.0,206521.0,10.98,2017-03-30
GEL,9900,9900,5247.0,5247.0,0.2,2017-03-31
GEL,672800,619300,349856.0,322036.0,11.27,2017-04-03
GEL,2320500,1804700,1229865.0,942006.0,16.59,2017-04-04
GEL,784500,1231000,407940.0,641871.0,14.65,2017-04-05
GEL,817500,767500,416925.0,397580.0,11.03,2017-04-07
GEL,825500,791000,422056.0,404526.0,14.02,2017-04-10
GEL,268500,228500,139322.0,118820.0,42.19,2017-04-11
GEL,436000,362000,222460.0,185862.0,11.14,2017-04-12
GEL,1607400,1655700,805023.0,833514.0,11.74,2017-04-17
GEL,60800,60800,31008.0,31008.0,1.28,2017-04-18
GEL,382300,324900,191150.0,163058.0,8.45,2017-04-19
GEL,1804000,804000,912000.0,405823.0,24.47,2017-04-20
GEL,689000,680900,344500.0,340450.0,20.19,2017-04-21
GEL,865900,950000,432450.0,477076.0,12.67,2017-04-24
GEL,353500,448500,176750.0,224250.0,4.18,2017-04-25
GEL,648500,614100,322898.0,307050.0,9.85,2017-04-26
GEL,681600,636000,340800.0,318000.0,14.54,2017-04-27
GEL,3901200,1163400,2009454.0,597568.0,19.46,2017-04-28
GEL,457200,476700,233172.0,243117.0,14.76,2017-05-02
GEL,0,3000,0.0,1500.0,0.23,2017-05-03
GEL,523600,438600,266636.0,223686.0,6.14,2017-05-04
GEL,906200,343400,458100.0,171700.0,15.81,2017-05-05
GEL,609600,451400,305200.0,225700.0,4.24,2017-05-08
GEL,214000,322600,106905.0,162370.0,4.13,2017-05-09
GEL,1582800,1572600,759744.0,758893.0,13.43,2017-05-16
GEL,521400,483600,249865.0,232171.0,6.49,2017-05-17
GEL,166100,131000,79543.0,63252.0,2.94,2017-05-18
GEL,924500,2057300,444949.0,989937.0,28.73,2017-05-19
GEL,101100,2010500,47755.0,963794.0,24.65,2017-05-22
GEL,702400,2535900,330963.0,1207636.0,25.11,2017-05-23
GEL,303100,2346900,145488.0,1126799.0,34.59,2017-05-24
GEL,412600,1373300,201502.0,660823.0,28.41,2017-05-25
GEL,236500,337500,113520.0,164044.0,63.98,2017-05-26
GEL,1094200,4300300,522345.0,2054991.0,25.62,2017-05-29
GEL,492300,1860400,234673.0,887418.0,25.59,2017-05-30
GEL,441600,402300,209846.0,195005.0,17.33,2017-05-31
GEL,138600,168900,66528.0,81532.0,7.05,2017-06-01
GEL,33000,98100,15840.0,47088.0,2.87,2017-06-02
GEL,343300,268700,161371.0,126309.0,12.82,2017-06-05
GEL,827200,896200,389056.0,430186.0,9.09,2017-06-06
GEL,505200,430600,237526.0,202464.0,27.75,2017-06-07
GEL,889000,889000,417830.0,426720.0,25.02,2017-06-08
GEL,380300,422100,178741.0,202509.0,6.51,2017-06-09
GEL,662200,642100,311488.0,302787.0,19.47,2017-06-12
GEL,1035200,1067700,486544.0,502839.0,29.39,2017-06-13
GEL,1043500,1043500,490445.0,490967.0,21.37,2017-06-14
GEL,934900,969400,458101.0,474484.0,4.92,2017-06-15
GEL,1157200,1153700,577956.0,581026.0,6.99,2017-06-16
GEL,838000,436700,410620.0,216262.0,8.64,2017-06-19
GEL,223000,223000,109270.0,111500.0,9.05,2017-06-20
GEL,572300,543600,278197.0,266492.0,6.48,2017-06-21
GEL,189700,223000,91792.0,109270.0,20.8,2017-06-22
