Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
GFPT,99000,262771,1457090.0,3889403.7,8.32,2017-01-04
GFPT,32200,190361,479780.0,2841216.7,4.72,2017-01-05
GFPT,410300,235871,6241000.0,3573865.0,3.95,2017-01-06
GFPT,262500,49600,3974300.0,751500.0,9.14,2017-01-09
GFPT,363500,42200,5602710.0,646800.0,5.93,2017-01-10
GFPT,437900,186500,6732600.0,2857610.0,12.41,2017-01-11
GFPT,299200,35400,4634540.0,546970.0,6.83,2017-01-12
GFPT,114000,195400,1747700.0,2995940.0,9.61,2017-01-13
GFPT,325200,93400,4874790.0,1419010.0,4.63,2017-01-16
GFPT,340600,592349,5077390.0,8824230.1,13.46,2017-01-17
GFPT,68700,201200,1020460.0,2982200.0,10.69,2017-01-18
GFPT,219600,447225,3197930.0,6513395.0,13.11,2017-01-19
GFPT,16400,154971,241060.0,2281229.5,11.94,2017-01-20
GFPT,285300,350644,4307940.0,5270093.6,11.62,2017-01-23
GFPT,147400,81600,2232470.0,1233420.0,9.46,2017-01-24
GFPT,140900,6400,2119770.0,96120.0,3.52,2017-01-25
GFPT,91400,44000,1366290.0,655640.0,3.6,2017-01-26
GFPT,68800,11700,1015800.0,173850.0,2.26,2017-01-27
GFPT,109300,23400,1630500.0,350530.0,6.29,2017-01-30
GFPT,32200,41700,477780.0,617050.0,3.47,2017-01-31
GFPT,168600,7800,2507250.0,115770.0,8.42,2017-02-01
GFPT,248700,62300,3638970.0,908400.0,5.47,2017-02-02
GFPT,109500,26200,1602310.0,382430.0,6.51,2017-02-03
GFPT,366000,144900,5457430.0,2152570.0,15.67,2017-02-06
GFPT,92200,46100,1381140.0,687570.0,8.14,2017-02-07
GFPT,63100,160600,936350.0,2375280.0,6.04,2017-02-08
GFPT,274400,25500,4026040.0,375720.0,4.66,2017-02-09
GFPT,214300,77300,3156160.0,1135570.0,9.17,2017-02-10
GFPT,194800,39800,2873410.0,586730.0,11.17,2017-02-14
GFPT,256600,56100,3760950.0,819680.0,13.83,2017-02-15
GFPT,282400,60700,4123970.0,882930.0,13.24,2017-02-16
GFPT,107500,11900,1575920.0,174190.0,13.87,2017-02-17
GFPT,191100,69600,2791110.0,1013690.0,19.1,2017-02-20
GFPT,453300,204200,6684480.0,3002690.0,16.71,2017-02-21
GFPT,245600,269300,3591540.0,3932520.0,9.62,2017-02-22
GFPT,513200,70300,7578920.0,1038210.0,12.13,2017-02-23
GFPT,110300,116300,1652380.0,1738030.0,2.49,2017-02-24
GFPT,327000,274410,4989180.0,4290852.0,2.28,2017-02-27
GFPT,2310900,1413500,36574250.0,22367720.0,11.86,2017-02-28
GFPT,134900,75900,2080740.0,1168170.0,2.43,2017-03-01
GFPT,2615600,13600,41071640.0,214280.0,13.52,2017-03-02
GFPT,1025800,39200,16111790.0,617990.0,12.15,2017-03-03
GFPT,634000,68000,9933880.0,1061630.0,16.19,2017-03-06
GFPT,207300,38811,3230680.0,604668.3,3.89,2017-03-07
GFPT,267400,856800,4145980.0,13194630.0,12.26,2017-03-08
GFPT,323600,11400,5063510.0,178410.0,2.7,2017-03-09
GFPT,131500,4100,2064140.0,63930.0,1.95,2017-03-10
GFPT,279100,541600,4360110.0,8435170.0,14.96,2017-03-13
GFPT,7334600,6526267,121172740.0,107855422.1,26.46,2017-03-14
GFPT,733700,1902903,12199040.0,31613759.8,21.73,2017-03-15
GFPT,759321,1727649,12789874.7,29079433.4,14.49,2017-03-16
GFPT,602800,1422132,10077830.0,23794388.2,23.03,2017-03-17
GFPT,1451400,1934669,24398550.0,32490944.0,37.11,2017-03-20
GFPT,4881100,2905900,83540190.0,49796820.0,18.89,2017-03-21
GFPT,3811500,485100,65617340.0,8436070.0,10.13,2017-03-22
GFPT,6060600,1554412,107072830.0,27535932.4,17.02,2017-03-23
GFPT,8860300,3398700,159041410.0,61036800.0,33.0,2017-03-24
GFPT,5611400,2583200,99990380.0,46277620.0,31.36,2017-03-27
GFPT,7235700,4640742,132475890.0,84943873.4,37.12,2017-03-28
GFPT,3507300,3288900,65389240.0,61562970.0,30.81,2017-03-29
GFPT,3443900,599100,64472020.0,11259580.0,26.86,2017-03-30
GFPT,2578800,421000,47230420.0,7733560.0,23.68,2017-03-31
GFPT,1545600,46600,28333590.0,857280.0,16.28,2017-04-03
GFPT,351500,166200,6497080.0,3070970.0,7.25,2017-04-04
GFPT,351600,799600,6619200.0,15099630.0,13.88,2017-04-05
GFPT,622700,315400,11705090.0,5942760.0,17.7,2017-04-07
GFPT,543300,303821,10216100.0,5714884.3,20.89,2017-04-10
GFPT,2141600,4315200,41241980.0,83531230.0,28.59,2017-04-11
GFPT,3593300,881800,70775390.0,17356830.0,37.94,2017-04-12
GFPT,1221700,440300,23914860.0,8626510.0,32.94,2017-04-17
GFPT,734600,639700,14392690.0,12564110.0,29.89,2017-04-18
GFPT,9233500,2003300,172820000.0,37111160.0,32.91,2017-04-19
GFPT,1585600,1136700,27982920.0,19933870.0,18.06,2017-04-20
GFPT,1528700,1940200,26608230.0,33694850.0,25.09,2017-04-21
GFPT,1980500,2672100,35150730.0,47483960.0,27.28,2017-04-24
GFPT,2519800,1288200,44341570.0,22690130.0,34.83,2017-04-25
GFPT,1463900,986200,26673830.0,17979670.0,16.07,2017-04-26
GFPT,851200,488100,15649920.0,8978650.0,19.9,2017-04-27
GFPT,655100,1268900,11974880.0,23193120.0,38.77,2017-04-28
GFPT,1219400,3755400,21900890.0,66576800.0,34.71,2017-05-02
GFPT,235100,98300,4174430.0,1742440.0,8.82,2017-05-03
GFPT,131800,163800,2389720.0,2936440.0,4.95,2017-05-04
GFPT,32700,121200,588180.0,2187280.0,7.8,2017-05-05
GFPT,282900,243400,5134120.0,4402280.0,27.05,2017-05-08
GFPT,688500,535637,12598020.0,9800647.3,34.84,2017-05-09
GFPT,175400,720100,3174520.0,12989500.0,16.01,2017-05-11
GFPT,312400,760600,5542400.0,13472190.0,15.5,2017-05-12
GFPT,102800,128000,1810160.0,2253520.0,10.97,2017-05-15
GFPT,334200,340700,6050650.0,6125950.0,20.9,2017-05-16
GFPT,1515020,513600,28163110.0,9604870.0,12.09,2017-05-17
GFPT,267500,1444900,5063050.0,27271640.0,19.36,2017-05-18
GFPT,2405900,566700,46287690.0,10847980.0,31.44,2017-05-19
GFPT,366000,514000,7124480.0,9986360.0,18.74,2017-05-22
GFPT,353700,573076,6658010.0,10835866.0,14.11,2017-05-23
GFPT,172800,200800,3296670.0,3838820.0,12.28,2017-05-24
GFPT,259600,41600,4912710.0,786710.0,11.53,2017-05-25
GFPT,144600,220300,2790170.0,4250060.0,11.53,2017-05-26
GFPT,51600,82500,999050.0,1596660.0,8.32,2017-05-29
GFPT,104000,222600,2011070.0,4301450.0,30.34,2017-05-30
GFPT,623300,323800,11751120.0,6121110.0,25.33,2017-05-31
GFPT,311600,106500,5820260.0,1986490.0,18.06,2017-06-01
GFPT,312200,188173,5853750.0,3520528.0,18.29,2017-06-02
GFPT,647000,150600,12276660.0,2856560.0,32.93,2017-06-05
GFPT,120620,227089,2282032.0,4292432.1,17.95,2017-06-06
GFPT,285400,1089261,5496920.0,20867014.6,15.49,2017-06-07
GFPT,325100,762689,6362850.0,14843712.1,12.17,2017-06-08
GFPT,80600,811954,1619190.0,16308683.8,4.89,2017-06-09
GFPT,964700,1077356,19739510.0,22007804.4,11.87,2017-06-12
GFPT,240700,1005000,4980380.0,20728280.0,14.94,2017-06-13
GFPT,3395200,3082639,73101780.0,65756753.4,27.86,2017-06-14
GFPT,954900,813100,20895890.0,17826380.0,27.25,2017-06-15
GFPT,177967,555500,3744236.4,11779370.0,14.28,2017-06-16
GFPT,166300,124282,3550320.0,2650790.2,12.64,2017-06-19
GFPT,362500,685747,7582550.0,14216852.3,14.73,2017-06-20
GFPT,252800,490100,5234210.0,10141690.0,17.37,2017-06-21
GFPT,76100,63500,1578430.0,1318080.0,11.23,2017-06-22
GFPT,89300,7400,1842000.0,153410.0,4.83,2017-06-23
GFPT,84900,13200,1762420.0,274510.0,10.75,2017-06-26
GFPT,756300,332900,14658780.0,6558550.0,3.07,2017-06-27
GFPT,767600,229900,15079360.0,4515220.0,7.69,2017-06-28
GFPT,134300,162200,2602260.0,3155430.0,2.71,2017-06-29
GFPT,456000,144500,8612160.0,2786000.0,5.0,2017-06-30
GFPT,74500,117500,1427720.0,2242990.0,9.69,2017-07-03
GFPT,370600,294222,7106290.0,5644220.2,20.1,2017-07-04
GFPT,531700,548100,10129020.0,10417020.0,26.58,2017-07-05
GFPT,1655300,642417,31066740.0,12045459.6,31.88,2017-07-06
GFPT,550900,330124,10248940.0,6161618.8,14.37,2017-07-07
GFPT,965700,257447,17832780.0,4738995.5,11.43,2017-07-11
GFPT,2258200,225000,41296340.0,4113810.0,20.44,2017-07-12
GFPT,4395500,138300,83228630.0,2628460.0,15.52,2017-07-13
GFPT,335600,238000,6549540.0,4638130.0,2.94,2017-07-14
GFPT,1676600,219600,33283980.0,4355710.0,14.98,2017-07-17
GFPT,949700,350900,18813970.0,6930560.0,17.07,2017-07-18
GFPT,499300,167100,9700910.0,3237550.0,12.41,2017-07-19
GFPT,314600,27100,6084290.0,523400.0,10.34,2017-07-20
GFPT,285800,208600,5550440.0,4071620.0,18.68,2017-07-21
GFPT,66000,266693,1278800.0,5164015.6,17.56,2017-07-24
GFPT,173400,393500,3387460.0,7677810.0,14.22,2017-07-25
GFPT,1446000,660181,28031480.0,12773727.5,40.24,2017-07-26
GFPT,846400,178200,16422410.0,3455820.0,17.86,2017-07-27
GFPT,1141200,964700,22126940.0,18644030.0,37.66,2017-07-31
GFPT,3915200,675900,77289160.0,13382630.0,25.77,2017-08-01
GFPT,840200,890000,16562460.0,17524650.0,23.29,2017-08-02
GFPT,88700,946000,1716400.0,18326580.0,15.27,2017-08-03
GFPT,167600,343900,3234870.0,6643490.0,10.58,2017-08-04
GFPT,542900,320700,10426930.0,6190810.0,29.35,2017-08-07
GFPT,126400,994900,2382870.0,18771830.0,13.0,2017-08-08
GFPT,102200,409100,1908980.0,7664440.0,15.53,2017-08-09
GFPT,302900,835050,5892840.0,16099945.0,6.11,2017-08-10
GFPT,976200,562391,18831120.0,10839489.9,22.51,2017-08-11
GFPT,451700,548400,8735120.0,10610840.0,26.11,2017-08-15
GFPT,175100,62100,3386470.0,1200650.0,6.35,2017-08-16
GFPT,439616,83200,8590185.2,1624930.0,10.99,2017-08-17
GFPT,244400,216000,4740510.0,4181790.0,23.79,2017-08-18
GFPT,609200,200000,11711280.0,3836630.0,19.54,2017-08-21
GFPT,827000,40700,16076890.0,787650.0,9.86,2017-08-22
GFPT,124000,47600,2400710.0,921800.0,10.62,2017-08-23
GFPT,108100,38200,2106470.0,743140.0,29.19,2017-08-24
GFPT,22600,29200,438470.0,566480.0,14.6,2017-08-25
GFPT,41000,244100,789110.0,4709160.0,29.67,2017-08-28
GFPT,186500,59900,3607280.0,1159290.0,9.0,2017-08-29
GFPT,186600,55000,3602750.0,1060630.0,12.94,2017-08-30
GFPT,352100,193600,6767890.0,3708800.0,14.42,2017-08-31
GFPT,240300,261600,4659910.0,5055230.0,16.58,2017-09-01
GFPT,34000,244720,645970.0,4661760.0,8.37,2017-09-04
GFPT,164000,217800,3119830.0,4143400.0,11.59,2017-09-05
GFPT,415600,412249,7950430.0,7828045.9,19.08,2017-09-06
GFPT,930600,434900,17965370.0,8397760.0,43.61,2017-09-07
GFPT,140300,711988,2759760.0,13945840.8,4.96,2017-09-08
GFPT,997400,447900,19510090.0,8785300.0,22.83,2017-09-11
GFPT,821900,300611,16111610.0,5865262.8,29.38,2017-09-12
GFPT,296800,311200,5895570.0,6152270.0,6.6,2017-09-13
GFPT,1145700,567100,23410820.0,11501630.0,5.79,2017-09-14
GFPT,1031666,351091,21065499.2,7190149.1,17.43,2017-09-15
GFPT,382600,312795,7780600.0,6351208.5,10.24,2017-09-18
GFPT,854200,260500,17074750.0,5205690.0,12.85,2017-09-19
GFPT,819700,3176355,16090770.0,62373742.9,29.6,2017-09-20
GFPT,460600,954544,9156490.0,18964295.6,8.44,2017-09-21
GFPT,396500,528000,7795200.0,10357180.0,13.08,2017-09-22
GFPT,1166100,213130,23109110.0,4223246.5,13.99,2017-09-25
GFPT,497700,894426,9880520.0,17739802.2,11.62,2017-09-26
GFPT,300900,145700,5997430.0,2904470.0,4.2,2017-09-27
GFPT,373000,351902,7402190.0,6991229.8,8.45,2017-09-28
GFPT,661100,228100,13182350.0,4533270.0,14.09,2017-09-29
GFPT,898200,367300,17945300.0,7296020.0,12.78,2017-10-02
GFPT,529200,272100,10521930.0,5414790.0,19.47,2017-10-03
GFPT,120000,749700,2380680.0,14832950.0,14.04,2017-10-04
GFPT,241400,74801,4784960.0,1480670.0,11.01,2017-10-05
GFPT,28100,328400,554980.0,6497850.0,6.96,2017-10-06
GFPT,6500,301200,127030.0,5919710.0,5.89,2017-10-09
GFPT,329488,49465,6429801.3,960300.5,3.87,2017-10-10
GFPT,538800,242600,10578500.0,4742940.0,20.43,2017-10-11
GFPT,229610,81700,4503215.0,1598900.0,10.48,2017-10-12
GFPT,456000,280306,8950720.0,5478144.6,20.03,2017-10-16
GFPT,230500,773900,4500580.0,15062800.0,15.56,2017-10-17
GFPT,7900,860406,152650.0,16615175.8,15.12,2017-10-18
GFPT,47520,1472387,890604.0,27577113.9,6.75,2017-10-19
GFPT,1055937,3592406,19382289.6,65972166.0,25.37,2017-10-20
GFPT,199920,1392300,3636844.0,25264060.0,11.82,2017-10-24
GFPT,199200,1235100,3644690.0,22559170.0,9.04,2017-10-25
GFPT,493910,1487526,8932851.0,26836511.6,8.16,2017-10-27
GFPT,334700,3258300,5982330.0,58464130.0,17.86,2017-10-30
GFPT,1178300,714000,21613990.0,13131980.0,7.38,2017-10-31
GFPT,202005,539000,3680481.5,9814640.0,8.79,2017-11-01
GFPT,210000,376250,3785780.0,6781223.0,10.38,2017-11-02
GFPT,210600,428900,3737340.0,7624220.0,6.89,2017-11-03
GFPT,568300,584900,10021470.0,10316050.0,12.97,2017-11-06
GFPT,261300,402000,4683220.0,7207400.0,12.52,2017-11-07
GFPT,11100,1022800,198690.0,18343050.0,15.87,2017-11-08
GFPT,335500,3020300,6004360.0,53624060.0,24.01,2017-11-09
GFPT,327000,1078800,5725250.0,18870950.0,27.17,2017-11-10
GFPT,164500,2980390,2718610.0,49944773.8,16.61,2017-11-13
GFPT,380900,3239400,6200000.0,52151180.0,15.4,2017-11-14
GFPT,548500,4172059,8593450.0,65751527.4,16.55,2017-11-15
GFPT,1341300,3314078,20732200.0,51073041.3,33.69,2017-11-16
GFPT,1023700,2427088,15784690.0,37367216.4,27.56,2017-11-17
GFPT,891000,1026624,13550830.0,15646562.4,8.67,2017-11-20
GFPT,677300,2902400,10212300.0,43663140.0,21.25,2017-11-21
GFPT,614000,338200,9271980.0,5103390.0,11.74,2017-11-22
GFPT,3588300,1207000,52223120.0,17704860.0,14.22,2017-11-23
GFPT,1977200,663351,29227920.0,9795709.7,26.32,2017-11-24
GFPT,1802400,2013610,26270720.0,29288892.6,27.46,2017-11-27
GFPT,379600,773100,5501360.0,11185900.0,21.89,2017-11-28
GFPT,437800,313100,6260520.0,4476120.0,11.16,2017-11-29
GFPT,954300,3270338,13211060.0,45225033.4,21.8,2017-11-30
GFPT,1840300,791173,25214350.0,10881652.8,18.97,2017-12-01
GFPT,541500,1110300,7736580.0,16153660.0,8.97,2017-12-04
GFPT,195800,1604600,2843120.0,22990650.0,13.49,2017-12-06
GFPT,367300,567970,5232550.0,8066064.6,15.32,2017-12-07
GFPT,109000,458000,1559400.0,6521860.0,21.92,2017-12-08
GFPT,233400,1659413,3273210.0,23414124.4,29.58,2017-12-12
GFPT,414000,1485500,5719160.0,20505730.0,17.84,2017-12-13
GFPT,333300,1618466,4539370.0,22011721.4,16.21,2017-12-14
GFPT,483970,1142036,6767470.0,15969149.3,16.37,2017-12-15
GFPT,90500,575700,1267980.0,8065390.0,23.74,2017-12-18
GFPT,152300,3077300,2162390.0,43953770.0,24.89,2017-12-19
GFPT,231600,1068700,3254360.0,15013040.0,20.72,2017-12-20
GFPT,12600,403100,177610.0,5649620.0,14.13,2017-12-21
GFPT,193800,431800,2712890.0,6028720.0,8.82,2017-12-22
GFPT,18100,112000,255170.0,1571210.0,12.85,2017-12-25
GFPT,60000,140500,836550.0,1961450.0,9.39,2017-12-26
GFPT,206300,308900,2907660.0,4352310.0,7.48,2017-12-27
GFPT,145800,285300,2037920.0,3991530.0,9.8,2017-12-28
GFPT,225300,243300,3156510.0,3403490.0,10.93,2017-12-29
GFPT,2034800,1150600,29669470.0,16761390.0,12.13,2018-01-03
GFPT,407300,752200,5986440.0,11076510.0,7.12,2018-01-04
GFPT,629100,1272100,9131460.0,18357300.0,17.46,2018-01-05
GFPT,1322200,1902747,18855150.0,27069227.4,39.05,2018-01-08
GFPT,356000,1067435,5072790.0,15219567.3,23.69,2018-01-09
GFPT,177900,911800,2500060.0,12894990.0,17.14,2018-01-10
GFPT,378100,1334552,5281580.0,18622272.0,18.0,2018-01-11
GFPT,170810,909711,2347157.0,12535051.8,7.95,2018-01-12
GFPT,169100,1245125,2345580.0,17251638.2,24.81,2018-01-15
GFPT,112900,1124660,1564940.0,15521765.4,22.46,2018-01-16
GFPT,685400,1191200,9521720.0,16526780.0,29.76,2018-01-17
GFPT,764500,441944,10863930.0,6252418.4,7.78,2018-01-18
GFPT,164400,949269,2289980.0,13157904.4,11.11,2018-01-19
GFPT,492100,379100,6703770.0,5180980.0,6.86,2018-01-22
GFPT,154300,658300,2122680.0,9003380.0,13.06,2018-01-23
GFPT,135205,585100,1842068.0,7990520.0,22.77,2018-01-24
GFPT,860100,2142000,11606030.0,28865850.0,20.59,2018-01-25
GFPT,290300,1774000,3802520.0,23340460.0,19.01,2018-01-26
GFPT,230800,582600,3059990.0,7721280.0,21.07,2018-01-29
GFPT,84900,195100,1147710.0,2625670.0,4.49,2018-01-30
GFPT,39610,1105502,531206.0,14890910.2,27.8,2018-01-31
GFPT,452710,1556225,6043826.0,20871210.0,38.32,2018-02-01
GFPT,1405100,423000,18963840.0,5685770.0,36.34,2018-02-02
GFPT,29800,421900,400880.0,5627840.0,11.01,2018-02-05
GFPT,926400,567869,12313830.0,7508527.1,14.04,2018-02-06
GFPT,241800,121410,3229070.0,1617722.0,6.39,2018-02-07
GFPT,121000,102500,1616150.0,1366160.0,9.31,2018-02-08
GFPT,177700,63300,2360740.0,838710.0,6.97,2018-02-09
GFPT,1168100,17300,15999930.0,236480.0,10.41,2018-02-12
GFPT,313900,153300,4326990.0,2106480.0,10.56,2018-02-13
GFPT,241500,191800,3273630.0,2604080.0,11.31,2018-02-14
GFPT,95500,123100,1288180.0,1661290.0,7.96,2018-02-15
GFPT,56900,27500,765910.0,370520.0,5.19,2018-02-16
GFPT,171300,116100,2299970.0,1550270.0,9.57,2018-02-19
GFPT,52700,194400,712690.0,2618840.0,15.62,2018-02-20
GFPT,167200,256900,2239680.0,3436080.0,12.17,2018-02-21
GFPT,53000,431600,696720.0,5671380.0,13.91,2018-02-22
GFPT,244900,1410900,3138870.0,18139250.0,14.52,2018-02-23
GFPT,155600,950722,1975290.0,12042987.2,14.82,2018-02-26
GFPT,187300,946500,2385360.0,12045140.0,19.35,2018-02-27
GFPT,318600,302400,4081210.0,3878280.0,6.41,2018-02-28
GFPT,142000,121600,1837900.0,1570640.0,5.69,2018-03-02
GFPT,383000,161000,4991230.0,2091470.0,8.85,2018-03-05
GFPT,290400,83400,3842250.0,1103720.0,2.73,2018-03-06
