Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
GLOBAL,2418700,1256200,43673420.0,22599120.0,14.94,2017-01-04
GLOBAL,1888100,251400,33989060.0,4515850.0,14.67,2017-01-05
GLOBAL,400100,689400,7142250.0,12294700.0,8.74,2017-01-06
GLOBAL,398800,906300,7109580.0,16173220.0,24.11,2017-01-09
GLOBAL,2818802,1104300,51449177.2,20386330.0,16.06,2017-01-10
GLOBAL,1112000,330300,20160700.0,5998470.0,13.17,2017-01-11
GLOBAL,825600,219271,15068090.0,3990325.4,5.28,2017-01-12
GLOBAL,821600,115000,14933730.0,2087260.0,8.31,2017-01-13
GLOBAL,627400,237300,11188590.0,4218450.0,4.63,2017-01-16
GLOBAL,992400,1024314,17876240.0,18329230.6,10.38,2017-01-17
GLOBAL,157300,304400,2820600.0,5473370.0,5.13,2017-01-18
GLOBAL,1891000,1224227,33620310.0,21574382.5,15.77,2017-01-19
GLOBAL,449300,1029080,7969400.0,18226314.0,15.37,2017-01-20
GLOBAL,27800,422075,496220.0,7557222.5,4.57,2017-01-23
GLOBAL,864700,408100,15434160.0,7272160.0,13.18,2017-01-24
GLOBAL,562900,709300,10186660.0,12869580.0,7.02,2017-01-25
GLOBAL,832000,312900,14920910.0,5613610.0,7.73,2017-01-26
GLOBAL,315000,113300,5650330.0,2032030.0,7.45,2017-01-27
GLOBAL,189300,533100,3476200.0,9791960.0,7.77,2017-01-30
GLOBAL,1163800,408400,21599440.0,7523500.0,7.7,2017-01-31
GLOBAL,272300,440200,4978730.0,8077650.0,3.63,2017-02-01
GLOBAL,309600,331500,5549890.0,5931740.0,6.37,2017-02-02
GLOBAL,361700,144600,6454010.0,2582170.0,12.0,2017-02-03
GLOBAL,699600,419462,12597690.0,7555669.8,21.67,2017-02-06
GLOBAL,416300,332713,7549720.0,6017544.0,19.43,2017-02-07
GLOBAL,160300,363600,2884420.0,6521050.0,17.22,2017-02-08
GLOBAL,124400,336800,2235440.0,6046260.0,19.33,2017-02-09
GLOBAL,252800,754014,4521950.0,13469819.2,16.89,2017-02-10
GLOBAL,525300,988407,9435080.0,17767255.3,36.97,2017-02-14
GLOBAL,1683500,2575925,29298010.0,44988685.0,16.35,2017-02-15
GLOBAL,631900,1724000,11084310.0,30183260.0,24.86,2017-02-16
