Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
GOLD,100,22200,650.0,144300.0,2.08,2017-01-04
GOLD,0,15600,0.0,101400.0,1.96,2017-01-06
GOLD,2000,0,13500.0,0.0,0.09,2017-01-10
GOLD,484900,764400,3667435.0,5629535.0,1.44,2017-01-11
GOLD,190300,335100,1435335.0,2508630.0,2.13,2017-01-12
GOLD,59000,93500,445850.0,714335.0,0.84,2017-01-13
GOLD,204900,214000,1599365.0,1667900.0,1.7,2017-01-16
GOLD,582100,240900,4471175.0,1828365.0,5.8,2017-01-17
GOLD,116500,61100,879975.0,461595.0,5.68,2017-01-18
GOLD,120200,84900,885500.0,622925.0,5.78,2017-01-19
GOLD,129000,7000,961740.0,51825.0,2.7,2017-01-20
GOLD,180500,25700,1387035.0,197045.0,5.82,2017-01-23
GOLD,77000,200900,585800.0,1531930.0,9.15,2017-01-24
GOLD,178600,13000,1336395.0,97500.0,5.29,2017-01-25
GOLD,118800,47600,896200.0,357950.0,4.73,2017-01-26
GOLD,58800,55800,445150.0,421420.0,7.29,2017-01-27
GOLD,160500,128500,1233405.0,995915.0,1.33,2017-01-30
GOLD,3300,79100,25140.0,601730.0,2.15,2017-01-31
GOLD,5000,118200,38250.0,905540.0,2.01,2017-02-01
GOLD,16600,91800,125190.0,687315.0,2.47,2017-02-02
GOLD,134000,12000,1002035.0,89800.0,7.84,2017-02-03
GOLD,101400,101100,774700.0,769280.0,3.28,2017-02-06
GOLD,147400,10600,1129835.0,81620.0,4.79,2017-02-07
GOLD,17100,1500,130470.0,11400.0,1.46,2017-02-08
GOLD,208600,23200,1629065.0,184440.0,1.23,2017-02-09
GOLD,76600,28200,609530.0,223645.0,0.7,2017-02-10
GOLD,588600,245200,4756855.0,1977855.0,3.77,2017-02-14
GOLD,127300,112500,1021780.0,890070.0,2.45,2017-02-15
GOLD,234600,16500,1859160.0,130720.0,9.56,2017-02-16
GOLD,0,11600,0.0,91930.0,0.57,2017-02-17
GOLD,110200,40000,886060.0,320865.0,1.57,2017-02-20
GOLD,30500,14900,241230.0,116560.0,0.58,2017-02-21
GOLD,182000,2000,1392880.0,15300.0,8.58,2017-02-22
GOLD,17200,200,131450.0,1530.0,0.37,2017-02-23
GOLD,11500,1100,88270.0,8415.0,0.46,2017-02-24
GOLD,124400,12500,929410.0,93125.0,3.54,2017-02-27
GOLD,44100,0,328915.0,0.0,3.12,2017-02-28
GOLD,100,0,755.0,0.0,0.01,2017-03-01
GOLD,4000,28500,30400.0,216770.0,3.73,2017-03-02
GOLD,0,8300,0.0,63210.0,0.65,2017-03-03
GOLD,270400,40900,2042270.0,310385.0,7.45,2017-03-06
GOLD,73700,217100,534325.0,1577585.0,16.79,2017-03-07
GOLD,261500,132800,1866900.0,940595.0,12.59,2017-03-08
GOLD,7900,6100,56020.0,43205.0,4.04,2017-03-09
GOLD,184500,15000,1309360.0,106110.0,20.89,2017-03-10
GOLD,105900,91200,701995.0,618775.0,2.92,2017-03-13
GOLD,357400,111300,2397525.0,741880.0,11.97,2017-03-14
GOLD,41300,3800,278165.0,25950.0,3.33,2017-03-15
GOLD,29400,22700,200675.0,154870.0,4.21,2017-03-16
GOLD,185600,7700,1266905.0,52620.0,12.27,2017-03-17
GOLD,38400,45000,262720.0,306000.0,12.09,2017-03-20
GOLD,139800,11800,958395.0,81300.0,14.19,2017-03-21
GOLD,24900,8000,170635.0,54800.0,6.91,2017-03-22
GOLD,15300,0,105060.0,0.0,2.82,2017-03-23
GOLD,5100,1700,34510.0,11570.0,0.8,2017-03-24
GOLD,0,700,0.0,4690.0,0.04,2017-03-27
GOLD,49300,36800,330290.0,246210.0,4.87,2017-03-28
GOLD,20400,6200,138575.0,41840.0,0.81,2017-03-29
GOLD,15000,8600,102590.0,59155.0,1.77,2017-03-30
GOLD,3900,0,26525.0,0.0,0.39,2017-03-31
GOLD,15100,50000,103830.0,342500.0,14.78,2017-04-03
GOLD,100000,10400,695000.0,72280.0,9.09,2017-04-04
GOLD,140700,111800,996895.0,788715.0,8.45,2017-04-05
GOLD,81000,66500,582095.0,477160.0,5.48,2017-04-07
GOLD,12500,65000,91290.0,471240.0,2.77,2017-04-10
GOLD,124300,22900,900610.0,166940.0,6.96,2017-04-11
GOLD,101300,2400,733805.0,17345.0,6.17,2017-04-12
GOLD,0,18900,0.0,136140.0,0.75,2017-04-17
GOLD,21200,0,152045.0,0.0,1.67,2017-04-18
GOLD,3100,10500,22010.0,74550.0,1.63,2017-04-19
GOLD,111800,0,804405.0,0.0,19.05,2017-04-20
GOLD,0,12000,0.0,86220.0,1.29,2017-04-21
GOLD,0,13300,0.0,94680.0,0.7,2017-04-24
GOLD,34000,26500,241370.0,188050.0,2.8,2017-04-25
GOLD,0,8700,0.0,61770.0,0.69,2017-04-26
GOLD,18200,0,128600.0,0.0,1.1,2017-04-27
GOLD,1400,2000,9870.0,14100.0,0.34,2017-04-28
GOLD,3200,8400,22635.0,59235.0,0.66,2017-05-02
GOLD,5000,1200,35750.0,8580.0,1.05,2017-05-03
GOLD,24600,9600,177625.0,69270.0,1.78,2017-05-04
GOLD,1400,34900,10150.0,253695.0,4.04,2017-05-05
GOLD,0,4000,0.0,29385.0,0.3,2017-05-08
GOLD,118800,65200,862760.0,471780.0,13.16,2017-05-09
GOLD,47600,13700,342395.0,97715.0,4.25,2017-05-11
GOLD,0,21200,0.0,149430.0,2.62,2017-05-12
GOLD,0,107500,0.0,761870.0,5.77,2017-05-15
GOLD,0,1000,0.0,7060.0,0.16,2017-05-16
GOLD,3800,43800,27230.0,315330.0,3.45,2017-05-17
GOLD,114500,375700,819820.0,2723710.0,19.97,2017-05-18
GOLD,57700,51500,435150.0,391325.0,1.2,2017-05-19
GOLD,23800,0,180655.0,0.0,0.83,2017-05-22
GOLD,64700,55800,504405.0,434700.0,0.61,2017-05-23
GOLD,13900,16100,108320.0,125135.0,1.04,2017-05-24
GOLD,6400,1300,49855.0,10205.0,0.18,2017-05-25
GOLD,99000,105600,755160.0,807525.0,9.24,2017-05-26
GOLD,34800,16200,263230.0,122550.0,4.76,2017-05-29
GOLD,36000,55600,272180.0,421290.0,4.29,2017-05-30
GOLD,23700,211500,178540.0,1591345.0,5.64,2017-05-31
GOLD,67400,100,508170.0,750.0,5.83,2017-06-01
GOLD,44800,0,340275.0,0.0,2.88,2017-06-02
GOLD,22000,198100,173905.0,1538685.0,1.38,2017-06-05
GOLD,35901,6900,285062.9,55190.0,0.89,2017-06-06
GOLD,6700,133000,53215.0,1053695.0,3.99,2017-06-07
GOLD,37200,30800,296315.0,250620.0,0.91,2017-06-08
GOLD,29500,1400,238695.0,11340.0,1.24,2017-06-09
GOLD,29400,24600,237225.0,195365.0,1.41,2017-06-12
GOLD,45200,7000,361510.0,55650.0,4.23,2017-06-13
GOLD,96800,5100,773215.0,40795.0,6.48,2017-06-14
GOLD,21100,0,169090.0,0.0,1.56,2017-06-15
GOLD,57100,0,464670.0,0.0,0.51,2017-06-16
GOLD,70200,10000,582070.0,83000.0,1.01,2017-06-19
GOLD,20000,50401,165010.0,410768.2,2.72,2017-06-20
GOLD,46100,0,374025.0,0.0,2.03,2017-06-21
