Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
GPSC,323802,750600,12099423.5,28109275.0,6.53,2017-01-04
GPSC,653805,24200,23894132.5,886450.0,8.4,2017-01-05
GPSC,529004,53500,19267745.0,1949250.0,11.69,2017-01-06
GPSC,211903,22700,7737459.5,824950.0,6.46,2017-01-09
GPSC,606001,101100,21998261.25,3680250.0,20.28,2017-01-10
GPSC,222300,125400,8126625.0,4582100.0,12.32,2017-01-11
GPSC,370604,235000,13675972.0,8676950.0,12.99,2017-01-12
GPSC,267600,161000,9779900.0,5881625.0,17.52,2017-01-13
GPSC,180900,95700,6583050.0,3491125.0,6.18,2017-01-16
GPSC,191000,100800,6931875.0,3657900.0,18.24,2017-01-17
GPSC,107401,27500,3882886.25,997150.0,7.25,2017-01-18
GPSC,458805,157400,16399678.75,5626450.0,22.24,2017-01-19
GPSC,164001,226500,5936235.5,8141450.0,17.03,2017-01-20
GPSC,252302,258800,9189497.5,9390425.0,25.08,2017-01-23
GPSC,717000,186400,26257000.0,6795600.0,27.54,2017-01-24
GPSC,164601,231600,5991061.5,8426625.0,10.44,2017-01-25
GPSC,264600,137100,9560400.0,4965500.0,12.19,2017-01-26
GPSC,297800,158000,10737800.0,5708350.0,17.82,2017-01-27
GPSC,49200,136000,1772275.0,4904600.0,11.8,2017-01-30
GPSC,231201,240500,8291560.75,8635400.0,11.94,2017-01-31
GPSC,324429,258500,11531701.25,9189700.0,9.86,2017-02-01
GPSC,310600,661700,11045225.0,23522600.0,22.17,2017-02-02
GPSC,268500,254400,9726500.0,9205750.0,10.15,2017-02-03
GPSC,214301,208100,7774786.25,7543150.0,15.81,2017-02-06
GPSC,209600,183400,7600800.0,6632975.0,18.09,2017-02-07
GPSC,281201,297500,10200636.25,10792625.0,14.13,2017-02-08
GPSC,180402,169000,6603898.0,6185100.0,8.34,2017-02-09
GPSC,322800,259900,11828625.0,9515725.0,9.78,2017-02-10
GPSC,477100,236600,17450950.0,8652150.0,11.14,2017-02-14
GPSC,595000,229500,21689250.0,8352000.0,14.69,2017-02-15
GPSC,337503,168800,12202608.0,6121275.0,10.39,2017-02-16
GPSC,443700,631500,16028075.0,22771000.0,30.61,2017-02-17
GPSC,289200,217400,10511325.0,7885700.0,17.36,2017-02-20
GPSC,1045703,2337800,37228533.75,83057575.0,26.37,2017-02-21
GPSC,450505,1898400,15539622.5,65529525.0,18.65,2017-02-22
GPSC,279300,237700,9646025.0,8203325.0,16.46,2017-02-23
GPSC,273806,169500,9442433.5,5841375.0,10.57,2017-02-24
GPSC,210700,210600,7257650.0,7256275.0,24.46,2017-02-27
GPSC,51402,206900,1761068.5,7129075.0,12.88,2017-02-28
GPSC,852700,298400,29469125.0,10331450.0,23.67,2017-03-01
GPSC,212300,99500,7316950.0,3431800.0,8.88,2017-03-02
