Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
GULF,11473424,9400410,626160746.25,507936489.5,2.98,2017-12-06
GULF,2357103,1477000,125303483.0,78510950.0,3.61,2017-12-07
GULF,1387301,1329500,75213577.75,72015250.0,2.29,2017-12-08
GULF,831305,254700,44798167.25,13853450.0,1.71,2017-12-12
GULF,63850,24200,3414912.25,1302125.0,0.2,2017-12-13
GULF,137201,171205,7365278.5,9166693.75,1.19,2017-12-14
GULF,96600,72900,5173125.0,3916600.0,0.65,2017-12-15
GULF,2863200,2977700,158467850.0,164489725.0,6.93,2017-12-18
GULF,2838600,2681800,158666500.0,149874450.0,6.87,2017-12-19
GULF,178400,420,9805500.0,23100.0,0.87,2017-12-20
GULF,51000,68000,2817750.0,3774000.0,0.57,2017-12-21
GULF,39200,94400,2170750.0,5233575.0,0.65,2017-12-22
GULF,44700,86300,2600850.0,4953125.0,0.15,2017-12-25
GULF,525700,348690,31254175.0,20719907.5,1.53,2017-12-26
GULF,775800,1099500,48392725.0,68787075.0,1.95,2017-12-27
GULF,203700,105600,12556425.0,6550050.0,0.51,2017-12-28
GULF,1221300,1126000,76860250.0,71130000.0,2.53,2017-12-29
GULF,14592050,14079200,986460462.5,953964750.0,18.42,2018-01-03
GULF,2437600,1514000,165879875.0,103226800.0,3.52,2018-01-04
GULF,3358050,1993306,232100200.0,138132989.0,9.19,2018-01-05
GULF,464800,350400,31891646.0,23996400.0,4.14,2018-01-08
GULF,44900,2002,3060025.0,136011.5,0.52,2018-01-09
GULF,2240926,2163474,155606401.25,150673118.0,13.67,2018-01-10
GULF,533600,686400,37201925.0,47990900.0,4.97,2018-01-11
GULF,317300,388300,23522050.0,28511350.0,1.22,2018-01-12
GULF,5854055,4660300,466530523.25,374068975.0,10.45,2018-01-15
GULF,484873,89700,35317486.5,6754675.0,1.07,2018-01-16
GULF,2078001,972250,154666773.5,73798600.0,8.9,2018-01-17
GULF,129700,1046800,9705175.0,78469600.0,4.25,2018-01-18
GULF,47100,21100,3511400.0,1588825.0,0.59,2018-01-19
GULF,742400,1548400,57657900.0,120105500.0,10.3,2018-01-22
GULF,1012330,129200,78265825.0,10048925.0,9.71,2018-01-23
GULF,376000,211204,29203550.0,16378958.0,5.92,2018-01-24
GULF,144101,149422,10778300.5,11279061.75,1.24,2018-01-25
GULF,433823,126421,30883115.75,9101246.75,1.13,2018-01-26
GULF,149400,105910,11016600.0,7763480.0,1.79,2018-01-29
GULF,49500,29100,3561125.0,2101800.0,0.62,2018-01-30
GULF,100210,45100,7322140.0,3310325.0,1.07,2018-01-31
GULF,416200,14607,30632625.0,1075591.25,6.3,2018-02-01
GULF,74300,106804,5404700.0,7811243.0,3.01,2018-02-02
GULF,43100,38910,3089100.0,2778890.0,0.64,2018-02-05
GULF,436000,46500,30635875.0,3280775.0,1.94,2018-02-06
GULF,146800,7400,10519675.0,530700.0,1.9,2018-02-07
GULF,15600,27804,1125375.0,2006615.0,0.66,2018-02-08
GULF,3100,11500,225550.0,832725.0,0.09,2018-02-09
GULF,181600,501300,13493175.0,37584925.0,2.07,2018-02-12
