Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
HMPRO,4399400,1802800,44277420.0,18113340.0,13.2,2017-01-04
HMPRO,3771700,555298,37898970.0,5558319.8,11.47,2017-01-05
HMPRO,1656600,970800,16530220.0,9682550.0,6.66,2017-01-06
HMPRO,3392800,1991800,33940590.0,19919430.0,18.47,2017-01-09
HMPRO,2281500,910400,23185290.0,9237870.0,5.25,2017-01-10
HMPRO,2346800,1402200,23726820.0,14192510.0,11.02,2017-01-11
HMPRO,8952100,7571100,92212870.0,77826490.0,16.35,2017-01-12
HMPRO,5753300,4866828,60590780.0,51107368.4,13.79,2017-01-13
HMPRO,2022900,3016498,21210620.0,31632628.0,12.91,2017-01-16
HMPRO,1739400,754349,18175520.0,7871994.7,11.82,2017-01-17
HMPRO,1531500,2089133,16004550.0,21834650.0,17.34,2017-01-18
HMPRO,8854200,5507909,90498080.0,56270883.6,24.2,2017-01-19
HMPRO,2901600,3849800,29486750.0,39063010.0,24.82,2017-01-20
HMPRO,4536100,1900100,46872300.0,19565010.0,23.31,2017-01-23
HMPRO,1725100,2741300,17838535.0,28220875.0,36.27,2017-01-24
HMPRO,1606030,4034200,16649519.0,41861010.0,13.76,2017-01-25
HMPRO,4794700,4519800,49116230.0,46335930.0,19.23,2017-01-26
HMPRO,2863500,2382353,29354860.0,24530365.3,15.08,2017-01-27
HMPRO,1715700,2027000,17404210.0,20602270.0,14.98,2017-01-30
HMPRO,3075500,5222600,30817065.0,52545545.0,15.13,2017-01-31
HMPRO,7713100,6484300,76991470.0,64604340.0,22.55,2017-02-01
HMPRO,2684800,906100,26788505.0,9034505.0,15.28,2017-02-02
HMPRO,3092200,4949800,30782110.0,49237368.0,24.05,2017-02-03
HMPRO,2116100,1041400,21231180.0,10421125.0,16.27,2017-02-06
HMPRO,5444300,11624400,54081445.0,115395880.0,29.37,2017-02-07
HMPRO,3547200,8491100,34902154.36,83740489.36,28.63,2017-02-08
HMPRO,2115800,5352500,21084762.07,53309397.07,24.16,2017-02-09
HMPRO,8048400,13996500,79174825.0,137712670.0,30.67,2017-02-10
HMPRO,2852900,1681743,28019445.0,16507163.55,20.22,2017-02-14
HMPRO,4942500,5708400,48020175.0,55517095.0,22.55,2017-02-15
HMPRO,7120900,6214900,68178630.0,59580610.0,12.44,2017-02-16
HMPRO,7638400,11520050,73583525.0,110069825.0,21.0,2017-02-17
HMPRO,1269800,1449998,12321885.0,14061675.6,18.37,2017-02-20
HMPRO,2739455,1966900,26439811.25,18990375.0,11.8,2017-02-21
HMPRO,5678900,2390600,54258695.0,22791355.0,13.28,2017-02-22
HMPRO,5757700,4492000,55499080.0,43324215.0,20.91,2017-02-23
HMPRO,2731400,4166979,26541730.0,40497512.35,24.89,2017-02-24
HMPRO,3700200,5457400,36218165.0,53438905.0,15.93,2017-02-27
HMPRO,2341600,3373067,23019615.0,33179678.25,11.95,2017-02-28
HMPRO,3389000,1909400,33143635.0,18686610.0,28.69,2017-03-01
HMPRO,1903800,1167100,18732440.0,11485160.0,18.29,2017-03-02
HMPRO,3118800,1236000,30881290.0,12208870.0,19.74,2017-03-03
HMPRO,3389000,4500108,33337290.0,44220788.0,22.39,2017-03-06
HMPRO,5318346,3004200,51811285.4,29261705.0,31.3,2017-03-07
HMPRO,7238695,3383500,69641981.0,32552575.0,18.15,2017-03-08
HMPRO,1451047,951100,13921463.25,9117070.0,14.47,2017-03-09
HMPRO,2399229,4211966,22920841.3,40312002.8,11.62,2017-03-10
HMPRO,2290600,3658900,21823590.0,34825705.0,18.5,2017-03-13
HMPRO,7271800,5709849,69499430.0,54600210.6,19.4,2017-03-14
HMPRO,6402839,3408198,61154627.45,32532171.0,22.83,2017-03-15
HMPRO,14167802,5561300,134261806.8,52777155.0,21.26,2017-03-16
HMPRO,9830999,4566557,92824972.1,43115748.65,23.57,2017-03-17
HMPRO,4289300,3608100,40622400.0,34080635.0,35.02,2017-03-20
HMPRO,5789600,1751200,55331480.0,16717445.0,24.96,2017-03-21
HMPRO,2904900,2656600,27840095.0,25474310.0,27.65,2017-03-22
HMPRO,1847200,1255660,17839500.0,12147532.35,16.88,2017-03-23
HMPRO,2009800,2329300,19266100.0,22325955.0,15.12,2017-03-24
HMPRO,1676200,769900,16094820.0,7394755.0,15.72,2017-03-27
HMPRO,3195640,849597,30800175.0,8178611.35,19.27,2017-03-28
HMPRO,1675700,1968224,16248685.0,19079372.8,12.88,2017-03-29
HMPRO,8833800,1781000,85448920.0,17167010.0,30.56,2017-03-30
HMPRO,1534305,393800,14783002.75,3799005.0,7.15,2017-03-31
HMPRO,1220400,1361100,11714835.0,13074585.0,11.77,2017-04-03
HMPRO,607000,613705,5889930.0,5967263.0,6.19,2017-04-04
HMPRO,2423300,2740800,23734935.0,26936780.0,13.51,2017-04-05
HMPRO,995900,2828517,9631175.0,27358208.75,12.48,2017-04-07
HMPRO,613100,1446410,5922555.0,13955551.0,8.57,2017-04-10
HMPRO,1307200,2418400,12542520.0,23183570.0,24.65,2017-04-11
HMPRO,1367900,1362300,13035650.0,12983690.0,11.57,2017-04-12
HMPRO,1452600,12169359,13724385.0,114756833.75,27.26,2017-04-17
HMPRO,745900,2938200,7058925.0,27885015.0,20.11,2017-04-18
HMPRO,634000,1194900,6011365.0,11328950.0,10.53,2017-04-19
HMPRO,256300,518900,2435880.0,4928160.0,3.47,2017-04-20
HMPRO,1091310,897528,10481670.5,8615254.7,6.74,2017-04-21
HMPRO,1539200,1794538,14629980.0,17140548.8,8.91,2017-04-24
HMPRO,2497000,6239200,23802515.0,59417320.0,22.69,2017-04-25
HMPRO,1818900,1155400,17538190.0,11112515.0,8.02,2017-04-26
HMPRO,7951300,534100,76108140.0,5123015.0,20.22,2017-04-27
HMPRO,7408700,2397651,71486790.0,23129424.6,25.46,2017-04-28
HMPRO,3797984,569600,36996862.5,5537565.0,8.36,2017-05-02
HMPRO,876000,872200,8530280.0,8478100.0,5.25,2017-05-03
HMPRO,1031600,1408900,10171575.0,13766870.0,4.52,2017-05-04
HMPRO,286700,293000,2803005.0,2867605.0,2.68,2017-05-05
HMPRO,2355150,1179500,23305102.5,11656840.0,7.23,2017-05-08
HMPRO,1802100,1560400,17684255.0,15342145.0,10.28,2017-05-09
HMPRO,7061432,1797300,68654086.75,17513510.0,18.52,2017-05-11
HMPRO,2490500,1017300,24160755.0,9855830.0,13.25,2017-05-12
HMPRO,1287300,910100,12281160.0,8693910.0,11.8,2017-05-15
HMPRO,3750400,1102100,35731105.0,10523940.0,13.92,2017-05-16
HMPRO,2286076,1955799,21729255.8,18568170.6,11.7,2017-05-17
HMPRO,1899300,872307,17926690.0,8218150.8,11.04,2017-05-18
HMPRO,705234,428337,6649843.0,4058979.1,6.74,2017-05-19
HMPRO,2236413,1344500,21373338.9,12832805.0,18.78,2017-05-22
HMPRO,4069566,3095537,39152210.2,29684333.5,24.09,2017-05-23
HMPRO,2592600,2896100,25210205.0,28149850.0,12.97,2017-05-24
HMPRO,1796566,1267700,17432118.4,12304650.0,19.19,2017-05-25
HMPRO,1609100,904600,15682805.0,8803645.0,21.36,2017-05-26
HMPRO,2190788,617700,21386820.6,6024790.0,22.19,2017-05-29
HMPRO,3119500,1402311,30458090.0,13694476.8,20.91,2017-05-30
HMPRO,16045423,8795396,158229206.55,86870247.2,39.2,2017-05-31
HMPRO,3450876,1645810,33988083.6,16204263.5,14.22,2017-06-01
HMPRO,1451700,1333298,14146690.0,12984435.7,16.21,2017-06-02
