Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
ICHI,39500,18200,402900.0,184620.0,1.47,2017-01-04
ICHI,38800,0,399160.0,0.0,1.03,2017-01-05
ICHI,20500,22100,211150.0,226970.0,1.25,2017-01-06
ICHI,68500,184000,735560.0,1953740.0,0.59,2017-01-09
ICHI,29500,1430900,321090.0,15863590.0,4.45,2017-01-10
ICHI,158100,2000900,1752930.0,22280960.0,4.56,2017-01-11
ICHI,139600,18600,1522920.0,204550.0,1.3,2017-01-12
ICHI,311900,32300,3335540.0,345740.0,5.3,2017-01-13
ICHI,39800,164900,434410.0,1812920.0,1.07,2017-01-16
ICHI,52900,46300,577840.0,503960.0,1.71,2017-01-17
ICHI,417000,80700,4464700.0,872600.0,6.21,2017-01-18
ICHI,678600,70800,7261510.0,759780.0,22.95,2017-01-19
ICHI,2300,39000,24840.0,421030.0,1.71,2017-01-20
ICHI,49000,263100,533990.0,2881320.0,1.93,2017-01-23
ICHI,177500,1896900,2034640.0,21210660.0,4.25,2017-01-24
ICHI,491600,943400,5634060.0,11010180.0,3.95,2017-01-25
ICHI,209300,238800,2343150.0,2667520.0,3.33,2017-01-26
ICHI,89000,175700,990320.0,1953910.0,4.09,2017-01-27
ICHI,78300,62500,882830.0,706710.0,2.1,2017-01-30
ICHI,31300,91700,352430.0,1022940.0,0.85,2017-01-31
ICHI,295700,433000,3301890.0,4827550.0,6.38,2017-02-01
ICHI,389700,184600,4300470.0,2038350.0,7.53,2017-02-02
ICHI,176500,329000,1924860.0,3586100.0,11.61,2017-02-03
ICHI,522700,880800,5778200.0,9815320.0,11.33,2017-02-06
ICHI,372500,493400,4166650.0,5472420.0,15.41,2017-02-07
ICHI,204800,60900,2239300.0,666210.0,3.07,2017-02-08
ICHI,301700,47000,3274670.0,509730.0,4.3,2017-02-09
ICHI,122800,49400,1335040.0,536160.0,5.84,2017-02-10
ICHI,372900,50400,3954860.0,537720.0,5.74,2017-02-14
ICHI,377900,128900,3896830.0,1327880.0,5.75,2017-02-15
ICHI,357900,129700,3724990.0,1348720.0,15.34,2017-02-16
ICHI,134300,37600,1398670.0,391030.0,5.09,2017-02-17
ICHI,77900,50100,824650.0,530330.0,2.54,2017-02-20
ICHI,23600,138100,251060.0,1463730.0,6.85,2017-02-21
ICHI,63900,33900,675800.0,356150.0,7.26,2017-02-22
ICHI,99300,73300,1046240.0,768950.0,4.72,2017-02-23
ICHI,265600,84900,2669130.0,848165.0,1.82,2017-02-24
ICHI,135600,7200,1361120.0,72340.0,2.31,2017-02-27
ICHI,157800,76000,1610360.0,775020.0,7.45,2017-02-28
ICHI,76200,63900,776180.0,650240.0,5.88,2017-03-01
ICHI,113800,125500,1153910.0,1267990.0,11.73,2017-03-02
ICHI,146600,71600,1486500.0,722910.0,8.67,2017-03-03
ICHI,160100,53400,1620730.0,539140.0,6.95,2017-03-06
ICHI,147000,128600,1502350.0,1317360.0,3.25,2017-03-07
ICHI,27400,203100,278640.0,2053800.0,3.19,2017-03-08
ICHI,37600,64900,380780.0,656180.0,10.67,2017-03-09
ICHI,415200,247500,4154470.0,2477905.0,12.34,2017-03-10
ICHI,39100,112700,391040.0,1125865.0,5.72,2017-03-13
ICHI,46900,22900,473100.0,230120.0,2.72,2017-03-14
ICHI,27600,9100,278000.0,91120.0,2.61,2017-03-15
ICHI,110600,5900,1117730.0,59520.0,3.98,2017-03-16
ICHI,52800,57900,538560.0,589460.0,3.43,2017-03-17
ICHI,152700,151800,1597720.0,1589370.0,2.16,2017-03-20
ICHI,36300,125400,383340.0,1318460.0,1.72,2017-03-21
ICHI,38900,43000,410080.0,453990.0,1.77,2017-03-22
ICHI,131600,15400,1393790.0,161950.0,12.4,2017-03-23
ICHI,445300,13000,4683100.0,136500.0,12.69,2017-03-24
ICHI,322900,241700,3354190.0,2526930.0,8.12,2017-03-27
ICHI,370800,300,3834620.0,3090.0,15.15,2017-03-28
ICHI,173700,10900,1805130.0,113310.0,8.13,2017-03-29
ICHI,11010,16810,114353.0,173143.0,2.2,2017-03-30
ICHI,152700,201100,1563600.0,2061330.0,7.94,2017-03-31
ICHI,325800,57800,3345270.0,589770.0,13.44,2017-04-03
ICHI,191500,115200,1937630.0,1173670.0,4.63,2017-04-04
ICHI,130800,4400,1334470.0,44870.0,6.81,2017-04-05
ICHI,239100,146800,2423440.0,1482990.0,13.8,2017-04-07
ICHI,45300,212400,461830.0,2145240.0,10.48,2017-04-10
ICHI,42500,4000,433500.0,40460.0,3.35,2017-04-11
ICHI,19700,11100,200940.0,112540.0,7.74,2017-04-12
ICHI,404533,279300,4085983.3,2820790.0,14.78,2017-04-17
ICHI,37200,46700,375720.0,471520.0,8.25,2017-04-18
ICHI,300000,236600,3000000.0,2365410.0,8.45,2017-04-19
ICHI,45800,4500,462390.0,45070.0,5.42,2017-04-20
ICHI,245800,205500,2462050.0,2054995.0,13.5,2017-04-21
ICHI,132600,61400,1327470.0,613400.0,8.76,2017-04-24
ICHI,374600,430500,3713725.0,4265715.0,9.37,2017-04-25
ICHI,41100,120600,407330.0,1199825.0,15.05,2017-04-26
ICHI,52500,13700,521715.0,135835.0,2.93,2017-04-27
ICHI,234200,200400,2307440.0,1973960.0,8.33,2017-04-28
ICHI,278000,95400,2708340.0,924945.0,3.15,2017-05-02
ICHI,368800,121900,3543210.0,1178405.0,6.48,2017-05-03
ICHI,272700,569500,2579950.0,5357630.0,3.28,2017-05-04
ICHI,113200,167800,1044000.0,1549275.0,3.12,2017-05-05
ICHI,310100,5800,2871545.0,53650.0,3.56,2017-05-08
ICHI,272200,381900,2509340.0,3514285.0,12.85,2017-05-09
ICHI,65400,440200,598670.0,4019985.0,7.62,2017-05-11
ICHI,135400,140300,1192140.0,1238950.0,3.45,2017-05-12
ICHI,141000,130500,1226295.0,1135500.0,4.5,2017-05-15
