Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
IHL,0,500,0.0,3100.0,0.09,2017-01-05
IHL,3000,3500,19050.0,22500.0,0.19,2017-01-06
IHL,9400,9000,62440.0,59575.0,0.32,2017-01-09
IHL,24000,15900,158850.0,105760.0,2.62,2017-01-10
IHL,17033,4000,112365.65,26500.0,1.02,2017-01-11
IHL,14800,2500,96940.0,16600.0,1.64,2017-01-12
IHL,500,500,3275.0,3300.0,0.07,2017-01-13
IHL,4500,7600,29250.0,48875.0,2.3,2017-01-16
IHL,2000,6800,12600.0,43195.0,1.34,2017-01-17
IHL,3000,0,18900.0,0.0,0.51,2017-01-18
IHL,5000,0,31250.0,0.0,0.4,2017-01-19
IHL,900,0,5805.0,0.0,0.17,2017-01-23
IHL,25000,0,162500.0,0.0,5.31,2017-01-24
IHL,1000,0,6400.0,0.0,0.39,2017-02-02
IHL,0,500,0.0,3150.0,0.13,2017-02-15
IHL,0,29700,0.0,185650.0,10.38,2017-02-16
IHL,5000,500,30750.0,3050.0,1.88,2017-03-01
IHL,1000,0,6100.0,0.0,0.29,2017-03-02
IHL,2000,0,12050.0,0.0,0.34,2017-03-09
IHL,7000,0,41600.0,0.0,1.08,2017-03-13
IHL,10000,0,58000.0,0.0,0.53,2017-03-14
IHL,9000,0,53550.0,0.0,1.02,2017-03-16
IHL,26000,0,161200.0,0.0,9.07,2017-03-21
IHL,2400,0,15480.0,0.0,0.09,2017-03-27
IHL,7000,68700,47250.0,450565.0,0.97,2017-03-28
IHL,2700,9500,17970.0,64350.0,0.43,2017-03-29
IHL,2400,2600,16080.0,17290.0,0.19,2017-03-30
IHL,3000,2400,20700.0,16080.0,0.16,2017-03-31
IHL,3000,18000,20550.0,126600.0,0.65,2017-04-03
IHL,1300,3000,9035.0,21000.0,0.15,2017-04-04
IHL,0,1300,0.0,8905.0,0.14,2017-04-05
IHL,0,100,0.0,680.0,0.02,2017-04-18
IHL,12800,70000,92800.0,491750.0,0.58,2017-04-19
IHL,0,12800,0.0,92800.0,0.22,2017-04-20
IHL,21000,2000,151200.0,14300.0,0.47,2017-04-21
IHL,0,24000,0.0,175100.0,0.19,2017-04-24
IHL,4300,0,31175.0,0.0,0.05,2017-04-25
IHL,6000,6800,45300.0,49990.0,0.19,2017-04-26
IHL,8622,6100,64666.1,46055.0,0.16,2017-04-27
IHL,4400,8600,34100.0,64070.0,0.26,2017-04-28
IHL,0,4400,0.0,33880.0,0.28,2017-05-02
IHL,0,5000,0.0,38125.0,0.21,2017-05-03
IHL,0,5000,0.0,36750.0,0.12,2017-05-09
IHL,7600,800,54490.0,5680.0,0.12,2017-05-15
IHL,54000,0,392345.0,0.0,1.27,2017-05-16
IHL,131300,4000,978890.0,29000.0,2.44,2017-05-17
IHL,23200,6900,176610.0,51985.0,0.67,2017-05-18
IHL,54100,7000,414615.0,53080.0,0.64,2017-05-19
IHL,19400,24400,151625.0,191835.0,0.42,2017-05-22
IHL,47100,22500,360730.0,176135.0,1.41,2017-05-23
IHL,74500,2800,562770.0,21035.0,1.02,2017-05-24
IHL,65200,0,490305.0,0.0,3.02,2017-05-25
IHL,31200,0,233235.0,0.0,1.94,2017-05-26
IHL,270100,10000,2090830.0,76750.0,4.03,2017-05-29
IHL,18400,38700,140370.0,297285.0,3.59,2017-05-30
IHL,10600,144500,82050.0,1124250.0,1.76,2017-05-31
IHL,9500,25100,74460.0,195245.0,0.51,2017-06-01
IHL,28500,76100,229285.0,607495.0,0.96,2017-06-02
IHL,310400,96483,2576335.0,803195.55,1.09,2017-06-05
IHL,173434,63200,1469644.0,531265.0,1.35,2017-06-06
IHL,92400,249600,778625.0,2063450.0,1.38,2017-06-07
IHL,104900,110500,886650.0,938025.0,2.08,2017-06-08
IHL,4000,8700,34400.0,74385.0,0.24,2017-06-09
IHL,592500,66800,4998375.0,563225.0,8.64,2017-06-12
IHL,65200,85700,572895.0,752170.0,0.92,2017-06-13
IHL,36900,12700,329490.0,112725.0,0.46,2017-06-14
IHL,21800,11400,193830.0,102600.0,0.4,2017-06-15
IHL,33800,19883,315625.0,182530.2,0.2,2017-06-16
IHL,174300,199200,1655000.0,1927130.0,1.31,2017-06-19
IHL,479500,22000,4509455.0,207055.0,7.65,2017-06-20
IHL,608200,257300,5975850.0,2501025.0,4.64,2017-06-21
IHL,1177600,272400,11721920.0,2715730.0,5.92,2017-06-22
IHL,22500,61500,227250.0,627800.0,1.11,2017-06-23
IHL,243600,42400,2488400.0,432480.0,3.92,2017-06-26
IHL,394800,63800,3855290.0,632830.0,2.96,2017-06-27
IHL,353100,34100,3398715.0,330480.0,4.71,2017-06-28
IHL,273300,61800,2591120.0,585840.0,3.31,2017-06-29
IHL,262200,31500,2463445.0,295720.0,2.74,2017-06-30
IHL,686600,70100,6326615.0,642485.0,3.32,2017-07-03
IHL,1086800,60300,9950800.0,557115.0,6.55,2017-07-04
IHL,161200,28300,1466400.0,257105.0,2.78,2017-07-05
IHL,777400,59000,7327175.0,561510.0,4.06,2017-07-06
IHL,36400,319400,345425.0,3040270.0,3.19,2017-07-07
