Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
ILINK,25000,7700,510650.0,159830.0,0.69,2017-01-04
ILINK,41900,100,854280.0,2030.0,1.63,2017-01-05
ILINK,555300,1700,11262200.0,34340.0,18.9,2017-01-06
ILINK,40300,20700,809530.0,415590.0,5.59,2017-01-09
ILINK,43100,15000,856180.0,298790.0,1.45,2017-01-10
ILINK,35100,0,711540.0,0.0,1.04,2017-01-11
ILINK,7800,1300,157960.0,26260.0,1.21,2017-01-12
ILINK,6800,17900,138040.0,362380.0,0.81,2017-01-13
ILINK,0,20400,0.0,412450.0,3.11,2017-01-16
ILINK,2000,4975,40000.0,100025.5,0.8,2017-01-17
ILINK,7000,20300,139500.0,404560.0,1.39,2017-01-18
ILINK,0,10800,0.0,215830.0,0.92,2017-01-19
ILINK,15600,19200,310560.0,382870.0,1.71,2017-01-20
ILINK,0,9600,0.0,192950.0,2.96,2017-01-23
ILINK,5000,1500,100500.0,30150.0,1.32,2017-01-24
ILINK,800,9500,16160.0,191900.0,0.6,2017-01-25
ILINK,8000,0,160300.0,0.0,1.26,2017-01-26
ILINK,44000,1300,870100.0,25750.0,1.41,2017-01-30
ILINK,7400,800,145240.0,15830.0,0.81,2017-01-31
ILINK,14800,200,289510.0,3960.0,1.13,2017-02-01
ILINK,24500,4400,474960.0,85430.0,0.94,2017-02-02
ILINK,14500,45500,278950.0,878150.0,6.26,2017-02-03
ILINK,211700,200,4058980.0,3820.0,5.92,2017-02-06
ILINK,11100,100,209590.0,1900.0,0.33,2017-02-07
ILINK,33100,2000,614500.0,37330.0,0.79,2017-02-08
ILINK,6000,500,110900.0,9200.0,0.52,2017-02-09
ILINK,32400,12400,615620.0,235640.0,0.94,2017-02-10
ILINK,6500,4200,122050.0,79800.0,0.56,2017-02-14
ILINK,3600,0,66340.0,0.0,0.27,2017-02-15
ILINK,100,0,1860.0,0.0,0.03,2017-02-16
ILINK,1700,0,31450.0,0.0,0.44,2017-02-17
ILINK,3000,0,55500.0,0.0,0.58,2017-02-20
ILINK,8000,0,146700.0,0.0,0.9,2017-02-21
ILINK,23300,400,422850.0,7260.0,2.77,2017-02-22
ILINK,0,67500,0.0,1224820.0,7.5,2017-02-23
ILINK,5000,3000,90000.0,54350.0,1.61,2017-02-27
ILINK,600,237300,10800.0,4269900.0,30.41,2017-02-28
ILINK,67900,546700,1224920.0,9832780.0,39.03,2017-03-01
ILINK,1800,8300,32220.0,149250.0,0.92,2017-03-02
ILINK,6900,600,127430.0,11220.0,0.18,2017-03-03
ILINK,0,4600,0.0,86440.0,0.53,2017-03-06
ILINK,100000,2200,1835000.0,40660.0,14.33,2017-03-07
ILINK,50000,47000,900000.0,846000.0,9.53,2017-03-08
ILINK,2000,227000,36000.0,4092770.0,31.42,2017-03-09
ILINK,10000,0,179200.0,0.0,1.15,2017-03-10
ILINK,19000,100,335000.0,1760.0,1.25,2017-03-13
ILINK,1500,0,26250.0,0.0,0.19,2017-03-14
ILINK,5000,0,87500.0,0.0,0.73,2017-03-15
ILINK,6800,3000,121050.0,53700.0,1.1,2017-03-16
ILINK,5200,10000,92580.0,176600.0,1.92,2017-03-17
ILINK,200,53800,3520.0,957460.0,20.0,2017-03-20
ILINK,300,3000,5310.0,53100.0,1.93,2017-03-21
ILINK,1300,0,23140.0,0.0,0.4,2017-03-22
ILINK,2000,122800,35400.0,2185840.0,34.96,2017-03-23
ILINK,117400,697600,2042520.0,12154260.0,29.81,2017-03-24
ILINK,17500,300,299610.0,5160.0,1.01,2017-03-27
ILINK,100,400,1730.0,6880.0,0.11,2017-03-28
ILINK,4000,0,71410.0,0.0,0.13,2017-03-29
ILINK,1100,3400,19370.0,60480.0,0.44,2017-03-30
ILINK,1400,100,25040.0,1780.0,0.11,2017-03-31
ILINK,5400,68500,94030.0,1198640.0,3.31,2017-04-03
ILINK,37700,4900,636890.0,82780.0,0.66,2017-04-04
ILINK,39000,820900,634220.0,13408000.0,8.62,2017-04-05
ILINK,23300,0,368970.0,0.0,0.31,2017-04-07
ILINK,9800,0,152080.0,0.0,0.22,2017-04-10
ILINK,44300,5800,685080.0,89840.0,0.75,2017-04-11
ILINK,48900,100,761510.0,1560.0,0.71,2017-04-12
ILINK,1500,42500,23290.0,660350.0,0.62,2017-04-17
ILINK,34000,14000,522000.0,214530.0,1.73,2017-04-18
ILINK,24200,0,368170.0,0.0,0.79,2017-04-19
ILINK,38500,0,588630.0,0.0,1.45,2017-04-20
ILINK,400,5400,6080.0,82400.0,0.71,2017-04-21
ILINK,0,18700,0.0,286110.0,2.37,2017-04-24
ILINK,800,18200,12240.0,276370.0,1.19,2017-04-25
ILINK,6100,507300,90890.0,7593580.0,17.75,2017-04-26
ILINK,26900,500000,402890.0,7468430.0,27.44,2017-04-27
ILINK,37700,172000,573040.0,2613780.0,16.79,2017-04-28
ILINK,24300,67000,376120.0,1038300.0,1.83,2017-05-02
ILINK,1400,149800,21690.0,2321000.0,8.71,2017-05-03
ILINK,200,155800,3080.0,2398910.0,14.09,2017-05-04
ILINK,0,7600,0.0,116840.0,0.38,2017-05-05
ILINK,13000,201700,200870.0,3066180.0,9.02,2017-05-08
ILINK,3000,245500,45900.0,3731630.0,12.79,2017-05-09
ILINK,4800,54300,71280.0,808260.0,3.14,2017-05-11
ILINK,3000,22400,43500.0,325620.0,0.81,2017-05-12
ILINK,14100,1100,201140.0,15680.0,1.42,2017-05-15
ILINK,1000,2100,14190.0,30100.0,0.32,2017-05-16
ILINK,7100,1900,102240.0,27360.0,0.9,2017-05-17
ILINK,16800,100,242540.0,1440.0,2.38,2017-05-18
ILINK,1500,4500,21490.0,64470.0,0.24,2017-05-19
ILINK,12800,0,184060.0,0.0,0.89,2017-05-22
ILINK,135700,64000,2036080.0,966360.0,2.36,2017-05-23
ILINK,45200,56500,692900.0,862450.0,2.12,2017-05-24
ILINK,16700,5000,255410.0,76720.0,1.32,2017-05-25
ILINK,107100,700,1627610.0,10660.0,6.12,2017-05-26
ILINK,16000,4200,244800.0,64260.0,1.16,2017-05-29
ILINK,296900,152100,4717810.0,2439290.0,2.37,2017-05-30
ILINK,108300,184300,1722440.0,2924950.0,2.73,2017-05-31
ILINK,37900,19700,596620.0,310510.0,0.98,2017-06-01
ILINK,12300,2300,193400.0,36140.0,1.12,2017-06-02
ILINK,20000,14000,312000.0,218880.0,1.03,2017-06-05
ILINK,10100,9900,157910.0,154890.0,1.3,2017-06-06
ILINK,33400,32700,518620.0,495060.0,1.66,2017-06-07
ILINK,54000,200,810540.0,2990.0,1.78,2017-06-08
ILINK,6200,12200,94000.0,183250.0,0.83,2017-06-09
ILINK,43600,9000,658340.0,135170.0,1.98,2017-06-12
ILINK,7400,1600,111630.0,24020.0,0.62,2017-06-13
ILINK,9900,0,150620.0,0.0,0.31,2017-06-14
ILINK,18100,4700,278260.0,72170.0,2.97,2017-06-15
ILINK,4800,300,74400.0,4650.0,0.42,2017-06-16
ILINK,11800,500,182540.0,7800.0,0.85,2017-06-19
ILINK,34100,16100,540540.0,254300.0,1.0,2017-06-20
ILINK,3200,52400,50240.0,826110.0,2.73,2017-06-21
ILINK,52600,55700,798620.0,841590.0,1.75,2017-06-22
ILINK,0,11200,0.0,170090.0,0.45,2017-06-23
ILINK,29900,11600,470450.0,181080.0,0.47,2017-06-26
ILINK,51000,26500,799660.0,417000.0,3.07,2017-06-27
ILINK,600,17100,9360.0,267060.0,1.23,2017-06-28
ILINK,37300,600,585410.0,9420.0,1.47,2017-06-29
