Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
JCK,3100,53100,7108.0,121068.0,0.84,2017-01-04
JCK,22100,0,50824.0,0.0,0.36,2017-01-05
JCK,41200,20000,96198.0,47200.0,0.25,2017-01-06
JCK,43000,0,100514.0,0.0,0.77,2017-01-09
JCK,68500,36200,160290.0,85108.0,1.94,2017-01-10
JCK,116800,300,271550.0,702.0,1.34,2017-01-11
JCK,45100,9515435,101132.0,21353441.0,21.32,2017-01-12
JCK,1600,726000,3558.0,1611992.0,5.59,2017-01-13
JCK,66400,756800,151432.0,1727014.0,2.37,2017-01-16
JCK,326901,102300,771462.36,237776.0,0.68,2017-01-17
JCK,39200,211200,90796.0,482162.0,0.72,2017-01-18
JCK,10000,57300,22600.0,129580.0,0.65,2017-01-19
JCK,0,112600,0.0,254476.0,2.75,2017-01-20
JCK,43100,0,98068.0,0.0,0.63,2017-01-23
JCK,1100,26800,2508.0,61104.0,0.47,2017-01-24
JCK,10000,57200,22600.0,130982.0,0.38,2017-01-25
JCK,0,4900,0.0,11134.0,0.04,2017-01-26
JCK,5800,26100,12992.0,59904.0,0.25,2017-01-27
JCK,127200,34000,286202.0,76160.0,1.2,2017-01-30
JCK,11100,74352,24864.0,165941.44,0.7,2017-01-31
JCK,70000,0,153600.0,0.0,0.58,2017-02-01
JCK,20200,0,44640.0,0.0,0.2,2017-02-02
JCK,0,37300,0.0,82060.0,0.63,2017-02-03
JCK,30000,2505100,64200.0,5271100.0,12.57,2017-02-06
JCK,20000,1259000,41600.0,2643900.0,18.01,2017-02-07
JCK,20200,137600,42216.0,288960.0,2.74,2017-02-08
JCK,11000,50000,23320.0,105400.0,0.81,2017-02-09
JCK,1000,0,2080.0,0.0,0.01,2017-02-10
JCK,9300,4800,19450.0,9984.0,0.24,2017-02-14
JCK,163100,321600,339288.0,675320.0,6.89,2017-02-15
JCK,0,293800,0.0,615606.0,6.26,2017-02-16
JCK,300000,278500,642000.0,593758.0,3.71,2017-02-17
JCK,200,30000,404.0,61200.0,0.45,2017-02-28
JCK,0,400000,0.0,820000.0,6.39,2017-03-02
JCK,14800,0,30016.0,0.0,0.58,2017-03-06
JCK,20000,0,40000.0,0.0,0.23,2017-03-07
JCK,43000,100000,83870.0,196000.0,1.1,2017-03-08
JCK,500000,0,972000.0,0.0,11.86,2017-03-09
JCK,20000,1570000,37400.0,2921300.0,7.96,2017-03-10
