Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
JCT,0,100,0.0,8300.0,16.67,2017-01-05
JCT,100,0,8025.0,0.0,22.22,2017-01-06
JCT,0,200,0.0,17300.0,7.69,2017-02-14
JCT,0,100,0.0,8975.0,1.43,2017-02-17
JCT,600,0,49350.0,0.0,5.36,2017-02-27
JCT,100,0,8225.0,0.0,2.38,2017-03-01
JCT,0,100,0.0,8375.0,5.56,2017-03-08
JCT,0,100,0.0,8500.0,25.0,2017-03-10
JCT,0,100,0.0,8200.0,4.0,2017-03-29
JCT,0,100,0.0,8275.0,50.0,2017-04-03
JCT,100,0,8200.0,0.0,12.5,2017-04-04
JCT,400,0,32000.0,0.0,6.25,2017-06-08
JCT,0,5000,0.0,407500.0,50.0,2017-07-18
JCT,2000,0,168000.0,0.0,25.0,2017-08-29
JCT,300,0,25450.0,0.0,8.7,2017-09-04
JCT,0,100,0.0,8375.0,1.67,2017-09-06
JCT,200,0,16900.0,0.0,10.26,2017-09-21
JCT,0,2000,0.0,170000.0,36.36,2017-09-26
JCT,0,2000,0.0,174000.0,47.62,2017-11-06
JCT,0,1500,0.0,130625.0,50.0,2017-11-07
JCT,0,1000,0.0,87000.0,50.0,2017-11-08
JCT,0,500,0.0,43500.0,5.21,2017-11-10
JCT,0,1600,0.0,139200.0,30.75,2017-11-14
JCT,0,400,0.0,33800.0,50.0,2017-11-29
JCT,0,100,0.0,9200.0,25.0,2018-02-23
JCT,0,200,0.0,18400.0,5.56,2018-02-26
JCT,0,100,0.0,9300.0,3.33,2018-02-27
JCT,0,100,0.0,9200.0,5.68,2018-03-07
JCT,0,800,0.0,74525.0,40.0,2018-05-22
JCT,0,3200,0.0,288000.0,44.44,2018-05-25
JCT,0,1000,0.0,89000.0,50.0,2018-06-04
JCT,1000,0,91000.0,0.0,50.0,2018-07-23
JCT,0,100,0.0,8900.0,50.0,2018-09-06
JCT,2000,0,180000.0,0.0,50.0,2018-11-15
JCT,200,0,15800.0,0.0,1.23,2019-05-21
