Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
JUTHA,6600,31100,19008.0,88170.0,0.54,2017-01-05
JUTHA,0,6600,0.0,19272.0,0.23,2017-01-06
JUTHA,10600,12400,31240.0,36208.0,0.38,2017-01-10
JUTHA,0,7500,0.0,21638.0,0.58,2017-01-11
JUTHA,49200,30000,148320.0,91800.0,0.44,2017-01-12
JUTHA,53800,56200,165152.0,171800.0,0.76,2017-01-13
JUTHA,17000,13800,51000.0,42228.0,0.17,2017-01-16
JUTHA,45600,17000,139536.0,51000.0,0.12,2017-01-17
JUTHA,0,45600,0.0,138624.0,0.42,2017-01-18
JUTHA,5000,0,14600.0,0.0,0.35,2017-01-20
JUTHA,11000,0,32860.0,0.0,0.17,2017-01-23
JUTHA,0,6000,0.0,18120.0,0.33,2017-01-24
JUTHA,7200,0,22320.0,0.0,0.07,2017-01-27
JUTHA,4000,7200,12160.0,22176.0,0.23,2017-01-30
JUTHA,40000,4000,121200.0,12080.0,1.45,2017-01-31
JUTHA,10000,0,28800.0,0.0,1.36,2017-02-06
JUTHA,3000,0,8460.0,0.0,0.45,2017-02-07
JUTHA,0,13000,0.0,36920.0,4.69,2017-02-08
JUTHA,10000,0,27800.0,0.0,1.58,2017-02-14
JUTHA,50000,0,138000.0,0.0,11.31,2017-02-15
JUTHA,10000,0,28000.0,0.0,2.12,2017-02-17
JUTHA,3000,0,8760.0,0.0,0.04,2017-02-20
JUTHA,0,3000,0.0,8760.0,0.24,2017-02-21
JUTHA,0,33300,0.0,94572.0,2.01,2017-03-06
JUTHA,0,16700,0.0,47094.0,2.9,2017-03-08
JUTHA,20000,0,59600.0,0.0,1.29,2017-03-27
JUTHA,2900,0,8236.0,0.0,0.64,2017-03-30
JUTHA,10000,0,28400.0,0.0,2.61,2017-04-18
JUTHA,10000,0,27400.0,0.0,8.25,2017-04-25
JUTHA,0,2600,0.0,6812.0,4.04,2017-05-17
JUTHA,0,3000,0.0,8040.0,5.0,2017-06-01
JUTHA,0,10000,0.0,26600.0,2.16,2017-06-21
JUTHA,16000,5000,43312.0,13900.0,0.28,2017-06-28
JUTHA,0,7200,0.0,20160.0,0.52,2017-06-29
JUTHA,0,4100,0.0,10824.0,4.08,2017-07-06
JUTHA,0,2500,0.0,6500.0,0.59,2017-07-19
JUTHA,6000,0,15480.0,0.0,4.3,2017-07-25
JUTHA,3000,0,7800.0,0.0,4.49,2017-07-26
JUTHA,6000,5000,15480.0,12900.0,14.75,2017-07-27
JUTHA,0,2000,0.0,5200.0,0.35,2017-08-04
JUTHA,74200,62400,216776.0,186628.0,0.39,2017-08-07
JUTHA,40700,16800,112712.0,47040.0,0.91,2017-08-08
JUTHA,10000,15600,27200.0,41822.0,0.7,2017-08-09
JUTHA,0,27000,0.0,70742.0,2.39,2017-08-10
JUTHA,9000,11000,23940.0,30820.0,0.24,2017-08-16
JUTHA,6000,9000,15960.0,24120.0,0.91,2017-08-17
JUTHA,1000,0,2720.0,0.0,0.04,2017-08-18
JUTHA,0,500,0.0,1340.0,0.03,2017-08-21
JUTHA,50000,5500,135000.0,14520.0,5.02,2017-08-22
JUTHA,18000,10000,48480.0,26600.0,0.66,2017-08-25
JUTHA,6000,0,15600.0,0.0,0.97,2017-08-31
JUTHA,27200,0,74496.0,0.0,0.35,2017-09-05
JUTHA,2000,27200,5360.0,72640.0,2.83,2017-09-06
JUTHA,0,2000,0.0,5400.0,0.07,2017-09-07
JUTHA,20000,0,53800.0,0.0,5.58,2017-09-14
JUTHA,10300,20100,29214.0,57226.0,0.17,2017-09-21
JUTHA,0,8300,0.0,23734.0,0.2,2017-09-22
JUTHA,4400,2000,12408.0,5800.0,0.14,2017-09-25
JUTHA,2000,4400,5520.0,12672.0,0.23,2017-09-26
JUTHA,4000,0,10840.0,0.0,1.0,2017-09-28
JUTHA,0,60000,0.0,162000.0,14.3,2017-09-29
JUTHA,0,10000,0.0,27400.0,2.43,2017-10-04
JUTHA,0,10000,0.0,28000.0,0.29,2017-10-06
JUTHA,12000,0,32880.0,0.0,4.22,2017-10-10
JUTHA,10000,0,27200.0,0.0,3.1,2017-10-17
JUTHA,0,10000,0.0,27600.0,0.86,2017-10-18
JUTHA,9500,0,25460.0,0.0,1.13,2017-10-30
JUTHA,10000,0,25200.0,0.0,7.52,2017-11-20
JUTHA,0,5000,0.0,12400.0,2.76,2017-12-04
JUTHA,3600,0,8568.0,0.0,0.82,2018-01-24
JUTHA,0,10000,0.0,25000.0,11.24,2018-01-29
JUTHA,0,1600,0.0,3968.0,2.86,2018-01-30
JUTHA,12100,0,29524.0,0.0,13.18,2018-01-31
JUTHA,0,2000,0.0,4840.0,1.98,2018-02-06
JUTHA,0,18000,0.0,42840.0,3.02,2018-02-07
JUTHA,0,3700,0.0,9250.0,0.11,2018-02-13
JUTHA,6400,0,16640.0,0.0,0.09,2018-02-15
JUTHA,0,6400,0.0,16640.0,0.17,2018-02-16
JUTHA,4800,4800,11520.0,11424.0,3.38,2018-02-23
JUTHA,0,2000,0.0,4800.0,0.04,2018-03-21
JUTHA,10000,0,21800.0,0.0,2.66,2018-03-23
JUTHA,0,10000,0.0,21200.0,19.53,2018-04-17
JUTHA,0,10000,0.0,21400.0,21.37,2018-05-02
JUTHA,10000,0,19800.0,0.0,11.74,2018-05-16
JUTHA,0,7600,0.0,13528.0,5.8,2018-06-22
JUTHA,0,1000,0.0,1750.0,17.86,2018-06-26
JUTHA,0,400,0.0,710.0,0.9,2018-06-27
JUTHA,0,4000,0.0,6920.0,47.62,2018-07-03
JUTHA,0,2000,0.0,3470.0,28.57,2018-07-04
JUTHA,0,2000,0.0,3480.0,8.13,2018-07-05
JUTHA,0,400,0.0,704.0,1.6,2018-07-09
JUTHA,0,100,0.0,176.0,0.26,2018-07-11
JUTHA,0,1000,0.0,1780.0,2.91,2018-07-13
JUTHA,0,100,0.0,178.0,0.66,2018-07-16
JUTHA,0,100,0.0,185.0,0.91,2018-07-26
JUTHA,0,10000,0.0,18300.0,8.7,2018-08-06
JUTHA,100,0,184.0,0.0,0.4,2018-08-22
JUTHA,0,2000,0.0,3560.0,9.26,2018-09-03
JUTHA,0,500,0.0,900.0,0.43,2018-09-21
JUTHA,0,12500,0.0,22470.0,18.55,2018-09-25
JUTHA,0,7000,0.0,14160.0,0.09,2018-09-27
JUTHA,11700,1200,22888.0,2448.0,0.14,2018-10-01
JUTHA,800,9200,1616.0,17848.0,0.49,2018-10-02
JUTHA,1000,0,1900.0,0.0,0.54,2018-10-04
JUTHA,500,0,850.0,0.0,0.12,2018-10-25
JUTHA,0,500,0.0,825.0,0.32,2018-11-09
JUTHA,0,24000,0.0,30166.0,6.27,2018-11-16
JUTHA,0,10000,0.0,12000.0,9.49,2018-11-19
JUTHA,300,0,234.0,0.0,0.01,2018-11-21
JUTHA,600,13800,450.0,10159.0,2.24,2018-11-22
JUTHA,100,0,79.0,0.0,0.06,2018-11-23
JUTHA,1800,0,1386.0,0.0,3.24,2018-11-26
JUTHA,0,2100,0.0,1575.0,6.36,2018-11-28
JUTHA,0,2300,0.0,1794.0,1.07,2018-12-06
JUTHA,0,17000,0.0,11050.0,48.02,2019-01-03
JUTHA,500,0,445.0,0.0,0.58,2019-01-29
