Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
KCAR,0,300,0.0,3690.0,0.13,2017-01-11
KCAR,0,3100,0.0,37820.0,2.59,2017-01-16
KCAR,0,6900,0.0,83490.0,8.67,2017-01-17
KCAR,200,0,2440.0,0.0,0.28,2017-01-25
KCAR,67000,1200,898590.0,15960.0,3.02,2017-02-14
KCAR,7500,2800,107700.0,39140.0,0.13,2017-02-15
KCAR,0,3500,0.0,50050.0,0.12,2017-02-16
KCAR,2500,0,34000.0,0.0,0.5,2017-02-17
KCAR,0,2000,0.0,26800.0,0.37,2017-02-20
KCAR,47000,0,648600.0,0.0,25.77,2017-02-23
KCAR,2500,2600,36000.0,37700.0,0.13,2017-02-28
KCAR,2500,0,35750.0,0.0,0.39,2017-03-01
KCAR,1200,0,17400.0,0.0,0.08,2017-03-02
KCAR,14800,101200,217800.0,1487520.0,6.85,2017-03-03
KCAR,2000,800,30400.0,12080.0,0.16,2017-03-06
KCAR,2000,0,30200.0,0.0,0.23,2017-03-07
KCAR,2000,0,30000.0,0.0,0.16,2017-03-08
KCAR,30000,26800,471800.0,436760.0,0.48,2017-03-09
KCAR,2000,0,31800.0,0.0,0.12,2017-03-10
KCAR,500,500,7700.0,7500.0,0.05,2017-03-13
KCAR,0,300,0.0,4620.0,0.01,2017-03-14
KCAR,2000,0,31000.0,0.0,0.1,2017-03-15
KCAR,0,7500,0.0,114750.0,1.62,2017-03-17
KCAR,2000,8000,30600.0,121600.0,3.4,2017-03-20
KCAR,0,6500,0.0,97500.0,1.66,2017-03-21
KCAR,0,2000,0.0,30600.0,0.85,2017-03-28
KCAR,0,6500,0.0,100150.0,0.63,2017-03-29
KCAR,0,1000,0.0,15750.0,0.08,2017-03-30
KCAR,0,300,0.0,4710.0,0.06,2017-03-31
KCAR,1300,600,20400.0,9420.0,0.16,2017-04-03
KCAR,28800,6200,467130.0,100420.0,0.88,2017-04-04
KCAR,27300,600,458360.0,10050.0,0.51,2017-04-05
KCAR,2500,0,41250.0,0.0,0.15,2017-04-07
KCAR,0,119700,0.0,1914410.0,6.67,2017-04-10
KCAR,0,3400,0.0,54160.0,0.98,2017-04-11
KCAR,0,2600,0.0,41010.0,0.28,2017-04-12
KCAR,0,5400,0.0,85100.0,1.01,2017-04-17
KCAR,54400,67800,929160.0,1156740.0,1.75,2017-04-18
KCAR,55200,40300,979410.0,708280.0,0.69,2017-04-19
KCAR,4000,12000,70440.0,211000.0,0.23,2017-04-20
KCAR,2000,4600,34800.0,80040.0,0.45,2017-04-21
KCAR,12000,3500,211180.0,61160.0,0.64,2017-04-24
KCAR,8900,10600,155860.0,180200.0,0.3,2017-04-25
KCAR,0,32900,0.0,560700.0,0.84,2017-04-26
KCAR,57500,23000,1034620.0,411410.0,0.67,2017-04-27
KCAR,12400,0,219890.0,0.0,0.76,2017-04-28
KCAR,10400,0,185190.0,0.0,1.4,2017-05-02
KCAR,6400,2000,114510.0,36000.0,1.06,2017-05-03
KCAR,0,5300,0.0,93880.0,1.18,2017-05-04
KCAR,18550,76300,301220.0,1225770.0,0.41,2017-05-05
KCAR,44500,17200,679280.0,267960.0,0.4,2017-05-08
KCAR,137000,1000,2073570.0,15000.0,1.86,2017-05-09
KCAR,182000,4200,2761620.0,62930.0,2.02,2017-05-11
KCAR,63200,0,922720.0,0.0,1.99,2017-05-12
KCAR,50200,200,708080.0,2860.0,1.42,2017-05-15
KCAR,89400,200,1297750.0,2920.0,5.38,2017-05-16
KCAR,1900,0,28510.0,0.0,0.12,2017-05-17
KCAR,0,28900,0.0,434430.0,1.74,2017-05-18
KCAR,24200,54900,369140.0,829800.0,8.31,2017-05-19
