Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
KSL,1443800,1267020,8554690.0,7559261.0,2.32,2017-01-04
KSL,2524500,1766400,16453505.0,11286255.0,2.75,2017-01-05
KSL,135800,118700,868690.0,762940.0,0.74,2017-01-06
KSL,1146200,58900,7140895.0,372795.0,4.17,2017-01-09
KSL,2014600,380140,12860835.0,2464611.35,3.12,2017-01-10
KSL,534200,810300,3525790.0,5359790.0,1.31,2017-01-11
KSL,720900,1260400,4730535.0,8299525.0,3.54,2017-01-12
KSL,1645100,1404300,10671650.0,9290725.0,2.04,2017-01-13
KSL,1049200,1600000,7000845.0,10591870.0,2.31,2017-01-16
KSL,1103200,86300,7292510.0,566880.0,3.72,2017-01-17
KSL,597000,113200,3895845.0,736325.0,3.16,2017-01-18
KSL,1418400,479000,8559415.0,2932810.0,2.05,2017-01-19
KSL,7363800,543000,45720830.0,3403040.0,14.13,2017-01-20
KSL,2620800,773100,16854620.0,4991340.0,11.48,2017-01-23
KSL,4478500,78000,28996745.0,503835.0,28.67,2017-01-24
KSL,3194400,378400,20785460.0,2459600.0,11.74,2017-01-25
KSL,773300,763800,5089095.0,5035350.0,2.37,2017-01-26
KSL,2517400,172000,16888445.0,1145605.0,3.48,2017-01-27
KSL,538100,373100,3641850.0,2534755.0,2.91,2017-01-30
KSL,515400,353400,3458170.0,2372815.0,4.18,2017-01-31
KSL,767700,359600,5123320.0,2403920.0,2.99,2017-02-01
KSL,5590900,736800,37921540.0,5082860.0,11.16,2017-02-02
KSL,2323400,1579420,16255425.0,11058535.0,5.23,2017-02-03
KSL,3748500,232216,27004985.0,1664916.0,8.52,2017-02-06
KSL,4428900,2140495,31280500.0,15089359.55,9.05,2017-02-07
KSL,5955100,359200,42050245.0,2529005.0,13.2,2017-02-08
KSL,5730400,349400,39927470.0,2439415.0,11.38,2017-02-09
KSL,4890600,298300,34365105.0,2105970.0,30.89,2017-02-10
KSL,3231000,47900,22983380.0,342815.0,25.39,2017-02-14
KSL,4416200,472200,31585180.0,3386230.0,11.22,2017-02-15
KSL,1135200,356100,7837280.0,2505880.0,5.08,2017-02-16
KSL,3990716,189400,27001577.2,1277800.0,15.06,2017-02-17
KSL,3473900,2482400,22402665.0,15994140.0,9.37,2017-02-20
KSL,890400,69100,5949040.0,462675.0,9.85,2017-02-21
KSL,1249300,139000,8247690.0,917730.0,13.05,2017-02-22
KSL,1160300,207812,7626385.0,1364481.6,16.02,2017-02-23
KSL,219700,322000,1457475.0,2155925.0,3.99,2017-02-24
KSL,328500,3689100,2103700.0,23718055.0,23.08,2017-02-27
KSL,1738100,1862130,11158435.0,11930205.55,41.2,2017-02-28
KSL,1074400,493700,7050880.0,3242470.0,17.79,2017-03-01
KSL,117200,3447600,779475.0,22883355.0,12.52,2017-03-02
KSL,340800,158400,2235690.0,1040630.0,4.42,2017-03-03
KSL,3641800,648100,21389905.0,3807195.0,5.14,2017-03-06
KSL,1535500,929900,8809160.0,5408735.0,8.22,2017-03-07
KSL,7510600,342400,39955950.0,1830040.0,8.24,2017-03-08
KSL,2554700,144100,13587365.0,764085.0,12.5,2017-03-09
KSL,6071800,165104,32037385.0,879411.6,14.29,2017-03-10
KSL,6854300,3145700,33201407.0,15190098.0,10.46,2017-03-13
KSL,4384000,94300,21246858.0,463754.0,3.42,2017-03-14
KSL,6483300,660392,32651531.0,3365627.0,10.04,2017-03-15
KSL,10463400,4289420,57294930.0,23555499.0,16.79,2017-03-16
KSL,1934500,2670665,10828935.0,14957929.0,20.03,2017-03-17
KSL,1689600,1772425,9720190.0,10178495.0,6.43,2017-03-20
KSL,2541600,749643,14560340.0,4301934.1,11.51,2017-03-21
KSL,1868000,995588,10579355.0,5589126.8,18.19,2017-03-22
