Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
KTB,4117461,1807293,73859247.6,32254785.4,4.36,2017-01-04
KTB,7528900,3507800,138860950.0,64476550.0,3.32,2017-01-05
KTB,3225450,5690889,59531590.0,105142355.0,10.42,2017-01-06
KTB,5475000,3764566,100709510.0,69287390.8,11.22,2017-01-09
KTB,12522700,11000615,235111410.0,205800970.5,11.39,2017-01-10
KTB,12751700,11634720,239872620.0,218718386.0,19.5,2017-01-11
KTB,12382700,4756361,232871310.0,89461166.8,17.02,2017-01-12
KTB,3716400,1710600,69191020.0,31838720.0,9.67,2017-01-13
KTB,1664300,420500,30839790.0,7775880.0,4.45,2017-01-16
KTB,6075100,2559685,111850650.0,47228176.9,12.99,2017-01-17
KTB,3565800,7236146,66182310.0,134007446.4,16.35,2017-01-18
KTB,7305200,5413100,134655010.0,99810240.0,17.69,2017-01-19
KTB,17197700,7142084,322005780.0,133257472.4,19.37,2017-01-20
KTB,9110550,7144860,173167070.0,135563920.6,13.81,2017-01-23
KTB,8709502,3313900,165250647.8,62774870.0,14.52,2017-01-24
KTB,16949400,5600100,325300900.0,107549460.0,11.2,2017-01-25
KTB,11515200,3822500,220616040.0,73319440.0,15.41,2017-01-26
KTB,5588480,4764900,106730508.0,91111300.0,19.35,2017-01-27
KTB,1114806,1728300,21405095.2,33164370.0,12.4,2017-01-30
KTB,5568800,2468000,105681160.0,46825830.0,11.38,2017-01-31
KTB,3019356,3697392,57725735.2,70540138.0,15.44,2017-02-01
KTB,14564304,5622600,277953906.4,107246800.0,25.1,2017-02-02
KTB,8673800,4237585,165118489.0,80557488.0,13.09,2017-02-03
KTB,11217500,2412098,214006890.0,46114572.8,8.78,2017-02-06
KTB,15211700,4800400,288489470.0,91108140.0,20.07,2017-02-07
KTB,21110500,4605198,402794980.0,87769903.0,22.35,2017-02-08
KTB,19745801,7244400,384002809.1,140855770.0,9.49,2017-02-09
KTB,12428836,16391000,242037753.0,318509930.0,25.74,2017-02-10
KTB,8413200,3364300,163807540.0,65392900.0,8.44,2017-02-14
KTB,7071732,4177100,136152576.6,80284105.0,7.42,2017-02-15
KTB,7489700,7896478,146016380.0,153819152.2,27.51,2017-02-16
KTB,4912400,2793693,95875550.0,54508764.2,14.71,2017-02-17
KTB,2700845,3879716,52699067.5,75651550.4,19.59,2017-02-20
KTB,2699795,2498100,52607937.0,48720070.0,11.2,2017-02-21
KTB,14628900,9491586,287196050.0,185817519.8,19.39,2017-02-22
KTB,12017916,11955945,236496996.8,235248976.5,22.94,2017-02-23
KTB,3059904,6405100,60172810.4,126144920.0,14.8,2017-02-24
KTB,3947300,6404600,76955950.0,124703460.0,15.55,2017-02-27
KTB,3254023,4825578,63332888.5,94369015.0,14.91,2017-02-28
KTB,4259292,3450100,83892783.2,67850310.0,17.24,2017-03-01
KTB,5030143,2923952,99669651.0,57925949.6,13.02,2017-03-02
KTB,2082706,2649500,41136298.3,52459580.0,14.3,2017-03-03
KTB,2531427,6198774,49823988.0,121889692.4,23.92,2017-03-06
KTB,9609627,8131300,188866977.3,159530940.0,29.06,2017-03-07
KTB,6001260,10101180,117185664.0,197085402.0,14.26,2017-03-08
KTB,15396721,10433378,303964207.9,205425078.8,33.4,2017-03-09
KTB,12924221,13096800,258559082.1,261284160.0,19.43,2017-03-10
KTB,3878500,5082000,77489350.0,101476100.0,12.23,2017-03-13
KTB,2257812,2705567,45295062.4,54254983.3,13.3,2017-03-14
KTB,4698319,4786100,94108001.9,95685550.0,12.06,2017-03-15
KTB,3564274,5777600,72165295.4,116868746.0,8.98,2017-03-16
