Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
LOXLEY,173200,109400,547312.0,344384.0,1.1,2017-01-04
LOXLEY,64600,133700,205428.0,423184.0,0.83,2017-01-05
LOXLEY,8017800,7675100,26121626.0,24890554.0,13.29,2017-01-06
LOXLEY,266500,327000,849044.0,1039928.0,1.88,2017-01-09
LOXLEY,5738100,5763500,18852098.0,19122864.0,8.23,2017-01-10
LOXLEY,526400,147700,1757188.0,494828.0,0.45,2017-01-11
LOXLEY,377800,271400,1258088.0,890452.0,1.02,2017-01-12
LOXLEY,492200,886100,1659802.0,2994990.0,0.76,2017-01-13
LOXLEY,21574600,21355400,76369756.0,76025180.0,10.3,2017-01-16
LOXLEY,1031800,506510,3836860.0,1872808.8,0.71,2017-01-17
LOXLEY,1567100,1757700,5919700.0,6606788.0,1.54,2017-01-18
LOXLEY,2868500,1418600,10261956.0,5045842.0,4.37,2017-01-19
LOXLEY,2104600,394600,7680378.0,1437698.0,2.15,2017-01-20
LOXLEY,314100,381800,1158462.0,1408896.0,1.9,2017-01-23
LOXLEY,1396500,700,5182904.0,2594.0,1.79,2017-01-24
LOXLEY,131100,1113400,484492.0,4111882.0,2.99,2017-01-25
LOXLEY,522100,1907900,1942002.0,6933872.0,2.96,2017-01-26
LOXLEY,1708300,525100,6588172.0,1981646.0,1.28,2017-01-27
LOXLEY,1439600,601600,5610294.0,2338250.0,1.66,2017-01-30
LOXLEY,226600,508300,869556.0,1947726.0,1.52,2017-01-31
LOXLEY,52200,1438700,203760.0,5531790.0,3.99,2017-02-01
LOXLEY,232000,343800,893160.0,1324412.0,2.22,2017-02-02
LOXLEY,40700,1200,156902.0,4632.0,0.45,2017-02-03
LOXLEY,3076700,3120300,11351802.0,11624744.0,8.73,2017-02-06
LOXLEY,7774000,7373300,27541520.0,26252800.0,10.41,2017-02-07
LOXLEY,1050800,1170100,3625322.0,4053532.0,2.76,2017-02-08
LOXLEY,79500,237500,272420.0,817814.0,0.92,2017-02-09
LOXLEY,543600,1001500,1869994.0,3451670.0,10.47,2017-02-10
LOXLEY,187000,877100,640758.0,3011538.0,6.66,2017-02-14
LOXLEY,1799900,2140500,5894358.0,7041102.0,5.75,2017-02-15
LOXLEY,213200,500,700722.0,1650.0,0.52,2017-02-16
LOXLEY,856000,315000,2858800.0,1063198.0,1.52,2017-02-17
LOXLEY,120500,157700,409898.0,537166.0,0.4,2017-02-20
LOXLEY,1021400,746400,3390338.0,2524070.0,2.84,2017-02-21
LOXLEY,127400,468000,421996.0,1552790.0,1.75,2017-02-22
LOXLEY,196000,268100,646486.0,880794.0,3.61,2017-02-23
LOXLEY,57000,301700,186960.0,989140.0,2.77,2017-02-24
LOXLEY,133000,173500,430260.0,558934.0,2.11,2017-02-27
LOXLEY,549700,223400,1770066.0,717792.0,4.95,2017-02-28
LOXLEY,7000,242900,22820.0,797254.0,1.49,2017-03-01
LOXLEY,44700,137500,148404.0,455288.0,1.66,2017-03-02
LOXLEY,2400,76500,7920.0,253338.0,1.29,2017-03-03
LOXLEY,670100,229500,2172122.0,752874.0,7.07,2017-03-06
LOXLEY,57500,880400,184130.0,2823082.0,8.42,2017-03-07
LOXLEY,83000,530100,259880.0,1682670.0,3.01,2017-03-08
LOXLEY,100500,19900,316230.0,62884.0,2.57,2017-03-09
LOXLEY,271800,108700,844580.0,339048.0,2.32,2017-03-10
LOXLEY,4000,180800,12320.0,558476.0,2.09,2017-03-13
