Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
LPH,53800,21500,524205.0,209250.0,0.75,2017-01-04
LPH,213600,3700,2066270.0,35805.0,1.63,2017-01-05
LPH,84800,86100,802370.0,814725.0,0.82,2017-01-06
LPH,121200,85400,1160075.0,816085.0,1.7,2017-01-09
LPH,587900,8600,5768055.0,85140.0,4.68,2017-01-10
LPH,75000,14100,745155.0,140295.0,1.34,2017-01-11
LPH,51800,86700,511185.0,862670.0,1.71,2017-01-12
LPH,158000,47500,1540500.0,463250.0,3.98,2017-01-13
LPH,38800,110000,380745.0,1078365.0,3.55,2017-01-16
LPH,69600,14600,675035.0,140720.0,0.74,2017-01-17
LPH,55600,30500,533760.0,294035.0,4.09,2017-01-18
LPH,60500,191000,586790.0,1837505.0,2.76,2017-01-19
LPH,62900,152200,628755.0,1518705.0,0.67,2017-01-20
LPH,150300,203500,1538140.0,2085240.0,0.99,2017-01-23
LPH,61900,86900,635410.0,888490.0,1.9,2017-01-24
LPH,7000,94900,70000.0,959260.0,3.23,2017-01-25
LPH,69500,141800,708330.0,1440880.0,1.47,2017-01-26
LPH,7700,43300,77770.0,438140.0,2.37,2017-01-27
LPH,65700,2600,663570.0,26260.0,3.7,2017-01-30
LPH,48300,78500,483430.0,783185.0,1.13,2017-01-31
LPH,1829919,1700000,18025364.05,16802815.0,11.31,2017-02-01
LPH,12300,126400,120080.0,1233570.0,1.52,2017-02-02
LPH,78700,81400,774085.0,795200.0,4.65,2017-02-03
LPH,1100,136800,10760.0,1336265.0,2.73,2017-02-06
LPH,105500,31900,1026450.0,311050.0,3.31,2017-02-07
LPH,67100,36700,644160.0,352485.0,1.33,2017-02-08
LPH,51500,25700,494400.0,247505.0,1.94,2017-02-09
LPH,392400,358300,3765475.0,3430370.0,21.12,2017-02-10
LPH,139500,0,1338780.0,0.0,4.74,2017-02-14
LPH,300,100500,2850.0,955625.0,2.11,2017-02-15
LPH,155000,30800,1472150.0,292585.0,10.02,2017-02-16
LPH,32700,109100,316275.0,1061715.0,1.32,2017-02-17
LPH,55400,32300,542920.0,316485.0,4.26,2017-02-20
LPH,600,115400,5790.0,1110260.0,4.58,2017-02-21
LPH,0,29000,0.0,277265.0,1.25,2017-02-22
LPH,50200,63000,484420.0,604800.0,5.31,2017-02-23
LPH,0,33000,0.0,315750.0,3.99,2017-02-24
LPH,20100,57000,191975.0,545400.0,6.19,2017-02-27
LPH,86700,114900,816205.0,1087280.0,4.65,2017-02-28
LPH,600,30700,5610.0,287375.0,1.12,2017-03-01
LPH,7600,0,70300.0,0.0,0.22,2017-03-02
LPH,73200,79300,657150.0,717125.0,0.83,2017-03-03
LPH,29400,5000,267205.0,45250.0,0.57,2017-03-06
LPH,0,25800,0.0,233705.0,0.5,2017-03-07
LPH,6500,21800,59045.0,197305.0,1.3,2017-03-08
LPH,22200,0,201145.0,0.0,0.6,2017-03-09
LPH,1100,33400,9955.0,300990.0,0.96,2017-03-10
LPH,45900,12600,407965.0,112595.0,0.83,2017-03-13
LPH,79500,31000,709825.0,274880.0,3.48,2017-03-14
LPH,24000,62400,214960.0,556145.0,1.99,2017-03-15
LPH,140000,17200,1285140.0,158040.0,1.26,2017-03-16
LPH,36300,16000,333985.0,147575.0,1.22,2017-03-17
LPH,30000,17100,282000.0,159485.0,2.75,2017-03-20
LPH,3000,3400,27750.0,31595.0,0.72,2017-03-21
LPH,4500,22000,41815.0,204590.0,1.42,2017-03-22
LPH,0,42000,0.0,392700.0,4.31,2017-03-23
LPH,0,33600,0.0,313945.0,1.6,2017-03-24
LPH,15500,5900,143375.0,54585.0,5.06,2017-03-27
LPH,10900,25900,100775.0,238805.0,5.52,2017-03-28
LPH,6700,100,61975.0,930.0,0.74,2017-03-29
LPH,51000,0,474350.0,0.0,4.92,2017-03-30
LPH,4800,7000,44650.0,65100.0,0.95,2017-03-31
LPH,900,21000,8315.0,193800.0,1.4,2017-04-03
LPH,9100,15300,84175.0,141525.0,4.13,2017-04-04
