Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
LRH,0,31400,0.0,793210.0,17.52,2017-01-04
LRH,12000,14300,303000.0,361075.0,32.15,2017-01-05
LRH,0,6400,0.0,160200.0,17.48,2017-01-06
LRH,0,15600,0.0,393825.0,17.33,2017-01-10
LRH,0,2200,0.0,55550.0,17.89,2017-01-11
LRH,0,4000,0.0,101000.0,18.02,2017-01-12
LRH,0,50600,0.0,1285775.0,24.66,2017-01-13
LRH,1800,842500,46800.0,21873325.0,45.52,2017-01-16
LRH,0,12100,0.0,310800.0,17.95,2017-01-17
LRH,0,10100,0.0,257675.0,16.78,2017-01-19
LRH,0,173000,0.0,4457375.0,45.05,2017-01-20
LRH,0,10000,0.0,260000.0,45.45,2017-01-23
LRH,0,40000,0.0,1036500.0,27.36,2017-01-24
LRH,0,1700,0.0,43775.0,15.74,2017-01-25
LRH,0,68624,0.0,1784129.0,30.22,2017-01-26
LRH,1300,0,35750.0,0.0,0.35,2017-01-30
LRH,1300,0,36075.0,0.0,0.87,2017-01-31
LRH,500,2000,13750.0,55000.0,4.66,2017-02-02
LRH,1200,6200,33600.0,172850.0,5.12,2017-02-03
LRH,500,0,14000.0,0.0,0.17,2017-02-06
LRH,0,1600,0.0,43625.0,1.75,2017-02-09
LRH,1000,2000,27250.0,54500.0,2.95,2017-02-10
LRH,0,300,0.0,8175.0,0.53,2017-02-14
LRH,600,7400,17175.0,207250.0,2.27,2017-02-22
LRH,0,7000,0.0,190750.0,3.89,2017-02-23
LRH,0,400,0.0,10900.0,0.19,2017-02-24
LRH,0,500,0.0,13500.0,0.6,2017-03-06
LRH,0,6500,0.0,182000.0,14.91,2017-03-30
LRH,300,0,8675.0,0.0,0.24,2017-04-03
LRH,0,300,0.0,8625.0,0.71,2017-04-10
LRH,0,35000,0.0,955000.0,11.93,2017-05-05
LRH,0,37600,0.0,991400.0,26.0,2017-05-09
LRH,0,14200,0.0,369200.0,28.74,2017-05-11
LRH,0,2600,0.0,67475.0,26.53,2017-05-12
LRH,0,10000,0.0,260000.0,9.92,2017-05-16
LRH,0,171200,0.0,4451200.0,35.86,2017-05-24
LRH,0,160700,0.0,4178200.0,48.84,2017-05-25
LRH,0,167100,0.0,4344600.0,49.7,2017-05-26
LRH,0,188000,0.0,4888000.0,49.58,2017-05-30
LRH,0,3000,0.0,78000.0,5.77,2017-05-31
LRH,0,71800,0.0,1848850.0,46.74,2017-06-06
LRH,0,12400,0.0,319300.0,21.68,2017-06-07
LRH,0,200000,0.0,5150000.0,46.36,2017-06-08
LRH,2000,4900,51500.0,126175.0,9.77,2017-06-12
LRH,0,1700,0.0,43775.0,4.76,2017-06-13
LRH,0,35500,0.0,914125.0,34.6,2017-06-14
LRH,0,1500,0.0,38625.0,5.86,2017-06-15
LRH,0,635900,0.0,16374425.0,47.99,2017-06-16
LRH,0,245300,0.0,6316475.0,49.24,2017-06-19
LRH,600,350000,16050.0,9012500.0,44.23,2017-06-20
LRH,0,600,0.0,15750.0,5.87,2017-06-21
LRH,0,100,0.0,2625.0,0.37,2017-06-26
LRH,144100,0,3854675.0,0.0,40.8,2017-07-12
LRH,1200,0,32100.0,0.0,11.54,2017-07-14
LRH,800,0,21400.0,0.0,1.18,2017-07-17
LRH,0,200,0.0,5350.0,2.38,2017-07-25
LRH,0,200,0.0,5350.0,5.0,2017-07-31
LRH,1000,0,26000.0,0.0,1.01,2017-08-09
LRH,2000,0,51500.0,0.0,11.36,2017-08-30
LRH,0,900,0.0,24075.0,6.34,2017-09-06
LRH,0,100,0.0,2625.0,2.0,2017-09-14
LRH,500,0,13000.0,0.0,2.09,2017-09-27
LRH,100,0,2625.0,0.0,0.46,2017-10-06
LRH,0,1000,0.0,26000.0,6.76,2017-10-10
LRH,0,500,0.0,13000.0,5.0,2017-11-10
LRH,0,1000,0.0,25500.0,49.95,2017-11-17
LRH,200,0,4800.0,0.0,0.39,2017-12-21
LRH,2000,0,47800.0,0.0,3.48,2017-12-25
LRH,4500,0,105400.0,0.0,0.29,2017-12-27
LRH,12000,0,270000.0,0.0,2.1,2018-01-04
LRH,4000,0,92400.0,0.0,7.81,2018-01-05
LRH,2000,0,46000.0,0.0,3.4,2018-01-09
LRH,27500,0,661970.0,0.0,16.71,2018-01-15
LRH,57500,0,1421255.0,0.0,20.03,2018-01-16
LRH,97400,1000,2433220.0,25250.0,39.58,2018-01-17
LRH,102500,0,2507000.0,0.0,22.27,2018-01-18
LRH,39500,0,940650.0,0.0,27.43,2018-01-19
LRH,7700,10000,184800.0,240160.0,41.74,2018-01-24
LRH,10000,0,241810.0,0.0,21.46,2018-01-25
LRH,68400,13500,1702800.0,334850.0,26.71,2018-01-31
LRH,73500,4500,1859115.0,113875.0,25.52,2018-02-01
LRH,70000,20500,1862100.0,537250.0,8.13,2018-02-02
LRH,0,37200,0.0,996950.0,3.54,2018-02-05
LRH,15000,0,381250.0,0.0,3.99,2018-02-06
LRH,10000,0,255000.0,0.0,18.64,2018-02-07
LRH,5000,0,127500.0,0.0,4.09,2018-02-08
LRH,4600,2000,116150.0,51000.0,5.49,2018-02-09
LRH,0,27500,0.0,772925.0,1.66,2018-02-12
LRH,42400,294200,1299200.0,9034650.0,19.05,2018-02-13
LRH,4600,223600,140250.0,6776550.0,23.12,2018-02-14
LRH,3800,149000,115925.0,4597275.0,24.99,2018-02-15
LRH,3900,68900,120050.0,2091750.0,24.1,2018-02-16
LRH,0,426900,0.0,12571775.0,37.21,2018-02-19
LRH,900,5400,27275.0,164550.0,1.37,2018-02-20
LRH,0,76500,0.0,2383750.0,8.56,2018-02-21
LRH,100,302000,3000.0,9169350.0,20.5,2018-02-22
LRH,0,460100,0.0,13462175.0,13.75,2018-02-23
LRH,2884100,1846300,113247175.0,72442275.0,31.74,2018-02-26
LRH,25400,73800,1000650.0,2896650.0,2.52,2018-02-27
LRH,14400,336630,569675.0,13294370.0,8.76,2018-02-28
LRH,23400,0,930150.0,0.0,4.78,2018-03-02
LRH,1900,20500,75525.0,809750.0,2.18,2018-03-05
LRH,5200,2300,206700.0,90850.0,0.76,2018-03-06
LRH,49400,22000,1963325.0,869000.0,4.76,2018-03-07
LRH,7400,0,294150.0,0.0,6.25,2018-03-08
LRH,0,12600,0.0,497700.0,1.44,2018-03-09
LRH,0,17700,0.0,699150.0,2.74,2018-03-12
LRH,20300,36517,806125.0,1442281.25,35.35,2018-03-13
LRH,0,16000,0.0,632000.0,5.84,2018-03-14
LRH,0,3333816,0.0,131686507.0,43.27,2018-03-15
LRH,3000,15200,119250.0,601975.0,6.5,2018-03-16
LRH,7100,12700,282225.0,501650.0,11.39,2018-03-19
LRH,9600,3700,381600.0,146600.0,22.91,2018-03-20
LRH,0,30300,0.0,1204425.0,10.26,2018-03-21
LRH,19600,144000,779100.0,5688000.0,32.8,2018-03-22
LRH,10200,0,403350.0,0.0,11.49,2018-03-26
LRH,0,400,0.0,15800.0,0.06,2018-04-02
LRH,0,101600,0.0,4013200.0,13.11,2018-04-03
LRH,200,0,7700.0,0.0,0.69,2018-04-04
LRH,0,200,0.0,7800.0,2.08,2018-04-12
LRH,0,200,0.0,7850.0,50.0,2018-04-17
LRH,200,0,7600.0,0.0,0.84,2018-04-20
LRH,0,42000,0.0,1596000.0,38.11,2018-04-24
LRH,200,0,7425.0,0.0,0.25,2018-05-14
LRH,100,0,3575.0,0.0,5.0,2018-05-15
LRH,0,200,0.0,7000.0,3.12,2018-05-31
LRH,0,100,0.0,3550.0,25.0,2018-08-02
LRH,300,0,11550.0,0.0,0.93,2018-10-04
LRH,0,200,0.0,7725.0,0.47,2018-10-11
LRH,0,100,0.0,3950.0,0.25,2018-11-07
LRH,700,0,33775.0,0.0,0.48,2018-12-06
LRH,800,0,40600.0,0.0,0.42,2018-12-07
LRH,600,2700,31350.0,135750.0,2.36,2018-12-11
LRH,100,0,4925.0,0.0,0.14,2018-12-20
LRH,0,100,0.0,4750.0,0.19,2018-12-28
LRH,0,1500,0.0,73500.0,4.81,2019-01-07
LRH,0,2000,0.0,100025.0,1.36,2019-01-15
LRH,300,208600,16250.0,10992750.0,29.26,2019-01-22
LRH,300,282700,15975.0,15052525.0,39.22,2019-01-23
LRH,0,2300,0.0,122475.0,5.84,2019-01-24
LRH,100,18900,5325.0,998775.0,15.57,2019-01-25
LRH,700,7400,36275.0,383975.0,7.93,2019-01-28
LRH,500,1000,25750.0,51500.0,5.77,2019-01-29
LRH,0,95400,0.0,4960775.0,30.34,2019-01-30
LRH,0,11200,0.0,582400.0,24.67,2019-01-31
LRH,0,9600,0.0,499200.0,11.68,2019-02-01
LRH,100,700,5300.0,37025.0,0.36,2019-02-07
LRH,400,156100,22000.0,8605525.0,28.23,2019-02-08
LRH,200,37200,11000.0,2042750.0,21.16,2019-02-11
LRH,0,8900,0.0,490475.0,30.48,2019-02-12
LRH,100,129600,5625.0,7308150.0,31.82,2019-02-13
LRH,0,35800,0.0,2040625.0,31.54,2019-02-14
LRH,0,35300,0.0,2010100.0,31.95,2019-02-15
LRH,0,26900,0.0,1512900.0,26.74,2019-02-18
LRH,200,0,12050.0,0.0,0.05,2019-02-26
LRH,0,200,0.0,12150.0,0.17,2019-02-27
LRH,0,100,0.0,6150.0,0.1,2019-03-01
LRH,0,100,0.0,6075.0,0.2,2019-03-08
LRH,0,100,0.0,6050.0,0.37,2019-03-11
LRH,100,0,6025.0,0.0,0.23,2019-03-12
LRH,0,600,0.0,36450.0,1.17,2019-03-14
LRH,500,0,31000.0,0.0,2.03,2019-03-15
LRH,100,0,6375.0,0.0,0.81,2019-03-20
LRH,100,0,6675.0,0.0,0.43,2019-03-29
LRH,200,0,13325.0,0.0,0.83,2019-04-05
LRH,0,5000,0.0,333750.0,15.06,2019-04-09
LRH,100,0,6450.0,0.0,3.33,2019-04-25
LRH,0,2400,0.0,144175.0,9.09,2019-04-30
LRH,0,300,0.0,17425.0,0.17,2019-05-03
LRH,300,3200,14725.0,147200.0,1.38,2019-05-16
LRH,0,2700,0.0,116275.0,14.84,2019-05-21
LRH,0,2200,0.0,97700.0,31.43,2019-05-22
LRH,2000,0,88500.0,0.0,5.68,2019-05-23
