Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
MAJOR,12500,92100,409900.0,3018375.0,5.55,2017-01-04
MAJOR,17700,271600,575725.0,8799575.0,7.62,2017-01-05
MAJOR,29100,81900,934875.0,2642675.0,3.49,2017-01-06
MAJOR,160700,141700,5122525.0,4513575.0,14.12,2017-01-09
MAJOR,670000,581800,21044250.0,18282750.0,13.14,2017-01-10
MAJOR,306200,2096000,9483950.0,64646425.0,17.08,2017-01-11
MAJOR,275200,216932,8558275.0,6745109.0,8.73,2017-01-12
MAJOR,389100,240700,12085525.0,7501775.0,12.5,2017-01-13
MAJOR,162400,217600,5085625.0,6852850.0,12.79,2017-01-16
MAJOR,158000,162000,5035350.0,5156400.0,8.52,2017-01-17
MAJOR,105600,136800,3309100.0,4284075.0,10.05,2017-01-18
MAJOR,260600,964600,8043175.0,29655175.0,15.37,2017-01-19
MAJOR,847700,382500,26630450.0,11982050.0,18.78,2017-01-20
MAJOR,335100,624400,10670675.0,19862750.0,13.62,2017-01-23
MAJOR,120900,288500,3852850.0,9193525.0,9.32,2017-01-24
MAJOR,163200,273455,5179500.0,8681221.25,10.47,2017-01-25
MAJOR,130500,141000,4136375.0,4475700.0,4.59,2017-01-26
MAJOR,120500,160900,3814800.0,5103075.0,6.39,2017-01-27
MAJOR,495200,455600,16139700.0,14794025.0,7.05,2017-01-30
MAJOR,236900,255000,7652375.0,8233000.0,9.61,2017-01-31
MAJOR,1090383,1076983,34946147.23,34512622.23,19.91,2017-02-01
MAJOR,431300,460400,13701600.0,14644200.0,12.35,2017-02-02
MAJOR,149000,150400,4703550.0,4769875.0,6.57,2017-02-03
MAJOR,283000,284500,9188700.0,9208100.0,8.35,2017-02-06
MAJOR,40300,87700,1299875.0,2831425.0,6.2,2017-02-07
MAJOR,161300,201500,5203950.0,6498375.0,11.32,2017-02-08
MAJOR,520000,178700,16994450.0,5855175.0,10.17,2017-02-09
MAJOR,147400,186600,4757525.0,6023850.0,13.28,2017-02-10
MAJOR,595300,327400,19388625.0,10647650.0,14.81,2017-02-14
MAJOR,150000,43200,4775350.0,1372850.0,8.95,2017-02-15
MAJOR,225000,336300,7222400.0,10831000.0,9.17,2017-02-16
MAJOR,54400,122500,1766650.0,3927300.0,4.32,2017-02-17
MAJOR,139900,151600,4539775.0,4910575.0,11.17,2017-02-20
MAJOR,247800,162700,8052250.0,5285000.0,6.69,2017-02-21
MAJOR,260300,832800,8414800.0,26880050.0,24.52,2017-02-22
