Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
MBK,9500,4800,137750.0,69480.0,1.1,2017-01-04
MBK,6500,3600,94750.0,52380.0,0.84,2017-01-05
MBK,4700,5400,68620.0,78590.0,1.15,2017-01-06
MBK,8300,0,121580.0,0.0,1.77,2017-01-09
MBK,7100,5400,103750.0,78640.0,1.07,2017-01-10
MBK,4600,0,67160.0,0.0,0.55,2017-01-11
MBK,1500,0,21900.0,0.0,0.28,2017-01-12
MBK,2500,0,36610.0,0.0,0.49,2017-01-13
MBK,43600,0,640920.0,0.0,11.9,2017-01-16
MBK,76800,7000,1130650.0,102200.0,20.14,2017-01-17
MBK,4200,0,61570.0,0.0,0.64,2017-01-18
MBK,0,7500,0.0,109500.0,3.89,2017-01-19
MBK,4000,0,59200.0,0.0,0.83,2017-01-23
MBK,7300,2200,108580.0,32660.0,4.43,2017-01-24
MBK,4500,0,66730.0,0.0,2.09,2017-01-25
MBK,6700,75000,99570.0,1110000.0,13.6,2017-01-26
MBK,2100,0,31160.0,0.0,2.09,2017-01-27
MBK,600,25000,8880.0,372500.0,4.11,2017-01-30
MBK,3400,5500,50590.0,81950.0,0.36,2017-01-31
MBK,2700,1052,40000.0,15559.2,3.38,2017-02-01
MBK,21800,1832,323390.0,27017.2,13.3,2017-02-02
MBK,200,9985,2940.0,146592.5,1.24,2017-02-03
MBK,2500,3228,37000.0,47628.8,1.71,2017-02-06
MBK,1100,26638,16170.0,391171.0,4.06,2017-02-07
MBK,20600,4661,303650.0,68394.5,5.44,2017-02-08
MBK,4100,31981,60270.0,468416.4,1.11,2017-02-09
MBK,8000,15998,117370.0,234561.2,1.38,2017-02-10
MBK,4000,0,58800.0,0.0,2.95,2017-02-14
MBK,600,22900,8820.0,336630.0,1.72,2017-02-15
MBK,52400,58800,775520.0,870240.0,25.79,2017-02-17
MBK,40000,0,593870.0,0.0,4.72,2017-02-21
MBK,7700,11800,114730.0,175820.0,17.99,2017-02-22
MBK,27200,8800,407590.0,131120.0,2.44,2017-02-23
