Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
MDX,500,5000,2900.0,29000.0,5.73,2017-01-04
MDX,2100,0,12285.0,0.0,1.3,2017-01-05
MDX,2200,0,12980.0,0.0,1.12,2017-01-06
MDX,6300,0,37395.0,0.0,0.1,2017-01-09
MDX,3100,0,18560.0,0.0,0.15,2017-01-10
MDX,254200,0,1566735.0,0.0,3.37,2017-01-11
MDX,20000,6800,128000.0,43190.0,0.12,2017-01-12
MDX,185400,39600,1207180.0,259955.0,1.07,2017-01-13
MDX,0,101800,0.0,640280.0,4.33,2017-01-16
MDX,3400,600,21845.0,3810.0,0.08,2017-01-17
MDX,0,11000,0.0,69350.0,2.0,2017-01-18
MDX,0,100,0.0,625.0,0.02,2017-01-19
MDX,7400,700,46025.0,4365.0,0.85,2017-01-20
MDX,0,5300,0.0,32595.0,0.42,2017-01-23
MDX,0,2900,0.0,17920.0,0.68,2017-01-24
MDX,0,300,0.0,1860.0,0.03,2017-01-25
MDX,0,5000,0.0,32750.0,0.02,2017-01-26
MDX,18000,40000,123300.0,269500.0,0.12,2017-01-27
MDX,2000,0,13200.0,0.0,0.04,2017-01-30
MDX,6000,0,40200.0,0.0,0.09,2017-01-31
MDX,5000,4000,34500.0,27700.0,0.06,2017-02-01
MDX,5000,0,34250.0,0.0,0.16,2017-02-02
MDX,0,1600,0.0,10720.0,0.38,2017-02-08
MDX,0,10400,0.0,68640.0,2.74,2017-02-09
MDX,11000,0,70450.0,0.0,0.57,2017-02-15
MDX,0,7000,0.0,45150.0,0.85,2017-02-16
MDX,0,3000,0.0,19200.0,0.81,2017-02-17
MDX,3000,0,17550.0,0.0,0.26,2017-03-01
MDX,0,10000,0.0,57500.0,1.55,2017-03-06
MDX,83000,0,439900.0,0.0,13.42,2017-03-17
MDX,20000,0,106000.0,0.0,11.92,2017-03-20
MDX,12200,0,68210.0,0.0,0.44,2017-03-31
MDX,4600,112200,26170.0,645430.0,1.49,2017-04-03
MDX,0,3400,0.0,19380.0,0.3,2017-04-04
MDX,1900,0,10355.0,0.0,0.04,2017-04-18
MDX,0,1900,0.0,10450.0,0.26,2017-04-19
MDX,0,25000,0.0,133750.0,10.38,2017-04-27
MDX,1300,0,7215.0,0.0,0.04,2017-05-24
MDX,0,1300,0.0,7280.0,0.12,2017-05-25
MDX,3700,0,20535.0,0.0,0.05,2017-05-30
MDX,5000,3700,27750.0,20535.0,0.63,2017-05-31
MDX,0,2600,0.0,14170.0,0.51,2017-06-06
MDX,4000,0,21400.0,0.0,0.63,2017-06-08
MDX,0,30000,0.0,159025.0,7.49,2017-06-26
MDX,20000,0,104000.0,0.0,2.12,2017-06-30
MDX,0,100000,0.0,511835.0,5.79,2017-07-06
MDX,2200,0,12210.0,0.0,0.05,2017-08-18
MDX,0,7200,0.0,39960.0,0.4,2017-08-21
MDX,2000,10000,11300.0,56250.0,0.51,2017-09-04
MDX,0,2000,0.0,11300.0,0.22,2017-09-05
MDX,5000,6200,28000.0,35330.0,0.09,2017-09-08
MDX,30100,0,179100.0,0.0,0.34,2017-09-26
MDX,0,5100,0.0,31615.0,0.07,2017-09-27
MDX,11200,75,67805.0,450.0,0.46,2017-10-02
MDX,8700,0,51330.0,0.0,3.07,2017-10-04
MDX,0,8700,0.0,51330.0,1.35,2017-10-06
MDX,0,20000,0.0,113000.0,0.71,2017-10-10
MDX,1000,0,5600.0,0.0,0.06,2017-10-11
MDX,10000,0,54000.0,0.0,0.63,2017-10-27
MDX,2000,10000,11200.0,57500.0,0.19,2017-11-07
MDX,3000,8000,17700.0,46900.0,0.25,2017-11-09
MDX,40000,1000,230000.0,5750.0,4.11,2017-11-13
MDX,3000,5000,17250.0,28500.0,0.68,2017-11-14
MDX,30000,39800,195000.0,256840.0,0.26,2017-11-15
MDX,0,16200,0.0,104490.0,0.35,2017-11-16
MDX,16000,0,96700.0,0.0,0.15,2017-11-17
MDX,199600,3700,1165935.0,20800.0,1.32,2017-11-20
MDX,58600,15100,334800.0,87075.0,1.41,2017-11-21
MDX,45400,8600,259090.0,49020.0,1.41,2017-11-22
MDX,12600,60200,71820.0,344150.0,4.9,2017-11-23
MDX,0,23100,0.0,130515.0,2.78,2017-11-24
MDX,0,47200,0.0,264400.0,9.55,2017-11-27
MDX,19900,0,111440.0,0.0,3.26,2017-11-28
MDX,10700,3600,59935.0,20275.0,1.97,2017-11-29
MDX,5200,4000,28860.0,22180.0,0.55,2017-11-30
MDX,0,11000,0.0,60500.0,3.24,2017-12-01
MDX,0,4900,0.0,26705.0,1.36,2017-12-04
MDX,0,25700,0.0,140065.0,3.49,2017-12-06
MDX,27900,23000,145970.0,123235.0,1.59,2017-12-07
MDX,4500,200,23650.0,1060.0,0.45,2017-12-08
MDX,1300,8200,6890.0,43175.0,1.69,2017-12-12
MDX,200,7200,1040.0,37615.0,1.58,2017-12-13
MDX,2200,1400,11550.0,7350.0,1.2,2017-12-14
MDX,1300,1100,6790.0,5775.0,1.02,2017-12-15
