Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
MEGA,472900,175300,12311250.0,4549750.0,6.42,2017-01-04
MEGA,910800,331800,24006450.0,8723725.0,18.46,2017-01-05
MEGA,428500,370700,11340300.0,9732300.0,14.55,2017-01-06
MEGA,182800,69500,4736275.0,1802650.0,5.37,2017-01-09
MEGA,1221600,85500,31713275.0,2203300.0,15.77,2017-01-10
MEGA,230600,212000,6067075.0,5562525.0,3.59,2017-01-11
MEGA,24200,19000,630250.0,496775.0,1.94,2017-01-12
MEGA,367800,673900,9892375.0,17970700.0,4.82,2017-01-13
MEGA,429700,985389,11938050.0,27370292.0,9.01,2017-01-16
MEGA,502400,539604,14168000.0,15403064.0,6.24,2017-01-17
MEGA,106200,418700,2945200.0,11626350.0,8.12,2017-01-18
MEGA,37700,612200,1038800.0,16879175.0,8.7,2017-01-19
MEGA,167900,725710,4703525.0,20246650.75,14.48,2017-01-20
MEGA,21800,588500,608925.0,16325500.0,13.15,2017-01-23
MEGA,334800,566800,9304250.0,15753500.0,13.12,2017-01-24
MEGA,605400,660200,16244750.0,17891375.0,11.77,2017-01-25
MEGA,185700,211600,4988775.0,5695225.0,6.09,2017-01-26
MEGA,112700,58300,3006675.0,1574375.0,4.26,2017-01-27
MEGA,38600,287900,1061225.0,8060350.0,3.78,2017-01-30
MEGA,143700,37600,4057000.0,1060000.0,3.83,2017-01-31
MEGA,308100,161700,8474250.0,4476900.0,8.1,2017-02-01
MEGA,95100,316800,2590175.0,8636050.0,10.04,2017-02-02
MEGA,115400,75000,3159525.0,2054425.0,7.86,2017-02-03
MEGA,288400,193000,7993925.0,5332350.0,8.15,2017-02-06
MEGA,1357700,708900,36726550.0,19193300.0,25.94,2017-02-07
MEGA,2172000,1576800,56161550.0,40676975.0,17.17,2017-02-08
MEGA,368700,111400,9643700.0,2916450.0,8.48,2017-02-09
MEGA,89400,102000,2371825.0,2701200.0,5.27,2017-02-10
MEGA,242200,233927,6395975.0,6153359.0,12.62,2017-02-14
MEGA,229500,845264,5886825.0,21904273.0,16.13,2017-02-15
MEGA,935000,802800,23408105.0,20174680.0,10.83,2017-02-16
MEGA,623100,328097,15527210.0,8170546.5,12.35,2017-02-17
MEGA,39000,497104,975400.0,12439824.1,11.61,2017-02-20
MEGA,7800,296063,196950.0,7423074.7,7.79,2017-02-21
MEGA,784502,624868,19218129.2,15333798.4,13.72,2017-02-22
MEGA,348200,201900,8686965.0,5021220.0,7.67,2017-02-23
MEGA,286400,353118,7266665.0,8952344.0,6.61,2017-02-24
MEGA,262200,103900,6664800.0,2649450.0,12.39,2017-02-27
MEGA,178400,84700,4504050.0,2136975.0,12.81,2017-02-28
MEGA,218400,94300,5770725.0,2483750.0,2.5,2017-03-01
MEGA,182900,293000,4866400.0,7805250.0,7.8,2017-03-02
MEGA,311800,253775,8286250.0,6730968.75,18.07,2017-03-03
MEGA,549800,308795,14750750.0,8231494.25,11.59,2017-03-06
MEGA,202900,196700,5401725.0,5229875.0,8.51,2017-03-07
MEGA,290900,236785,7537900.0,6104817.25,11.18,2017-03-08
MEGA,167000,176100,4437350.0,4658950.0,17.63,2017-03-09
MEGA,180800,138200,4734125.0,3582175.0,17.18,2017-03-10
MEGA,19600,215254,495250.0,5470040.0,13.32,2017-03-13
MEGA,135800,213263,3428975.0,5368498.7,8.92,2017-03-14
MEGA,423400,119941,10846950.0,3062645.9,21.65,2017-03-15
MEGA,285713,393898,7532795.0,10365524.0,10.07,2017-03-16
MEGA,574800,86600,15362925.0,2295325.0,14.08,2017-03-17
MEGA,1359800,2106788,36920825.0,57218786.0,43.08,2017-03-20
MEGA,122800,156691,3263000.0,4126086.5,11.78,2017-03-21
MEGA,25700,78000,676500.0,2063175.0,6.04,2017-03-22
MEGA,424000,48800,11137225.0,1281800.0,15.27,2017-03-23
MEGA,11400,90600,290700.0,2353300.0,4.97,2017-03-24
MEGA,313800,110700,8278925.0,2911100.0,9.92,2017-03-27
MEGA,81000,322909,2123800.0,8469727.25,13.68,2017-03-28
MEGA,268900,281576,7073442.0,7404891.0,15.64,2017-03-29
MEGA,95000,540918,2541250.0,14440668.0,10.63,2017-03-30
MEGA,274100,243600,7342750.0,6565825.0,20.53,2017-03-31
MEGA,68700,16900,1819875.0,450275.0,3.45,2017-04-03
MEGA,10100,398400,270175.0,10668625.0,13.3,2017-04-04
MEGA,223300,431924,5919225.0,11530930.0,22.04,2017-04-05
MEGA,116542,830100,3113294.5,22494550.0,13.92,2017-04-07
MEGA,216200,161500,5928375.0,4414475.0,8.77,2017-04-10
MEGA,830642,963600,23060011.5,26735550.0,21.08,2017-04-11
MEGA,279100,260684,7723850.0,7209451.0,15.7,2017-04-12
