Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
MINT,3349602,1320465,120851796.5,47700967.5,24.93,2017-01-04
MINT,6676201,1591759,239727211.0,57274648.49,22.3,2017-01-05
MINT,2717401,1593155,97900861.0,57488716.25,26.41,2017-01-06
MINT,5784300,1895812,208069250.0,68148904.0,37.18,2017-01-09
MINT,5480601,3033500,197008435.75,108570800.0,34.64,2017-01-10
MINT,1719101,2012300,61280160.75,71876800.0,18.75,2017-01-11
MINT,3182970,1179200,113937419.25,42121850.0,35.9,2017-01-12
MINT,3609102,796100,129866223.5,28636975.0,38.1,2017-01-13
MINT,937001,1147400,33202185.5,40614200.0,11.4,2017-01-16
MINT,3583702,2975004,125600345.0,104176894.0,18.92,2017-01-17
MINT,1087003,1735600,37872829.25,60418050.0,18.28,2017-01-18
MINT,2564102,1681800,88029208.5,57740675.0,14.06,2017-01-19
MINT,1501751,4582496,51005909.0,155782064.0,14.66,2017-01-20
MINT,2223800,2036100,75930300.0,69603600.0,10.99,2017-01-23
MINT,7708800,2281800,266273777.76,78971550.0,20.85,2017-01-24
MINT,4589902,3029700,161108544.5,106305100.0,19.02,2017-01-25
MINT,3126002,2110810,109953129.78,73989922.5,11.42,2017-01-26
MINT,3277901,1753489,115609310.25,61594224.75,16.25,2017-01-27
MINT,1473300,1822700,51427375.0,63687125.0,24.45,2017-01-30
MINT,1520207,1065207,53085145.5,37205645.0,18.18,2017-01-31
MINT,4648721,3707536,160197594.0,128166901.0,24.66,2017-02-01
MINT,1493002,1290711,51837669.0,44811988.0,21.49,2017-02-02
MINT,2107501,2606800,72649984.5,89651575.0,22.85,2017-02-03
MINT,2114726,2585075,73420281.0,89737622.68,26.29,2017-02-06
MINT,2527100,1201200,88296375.0,41948450.0,29.63,2017-02-07
MINT,4680800,7183400,168525175.0,258390750.0,16.61,2017-02-08
MINT,2094702,1916900,75549247.0,68943925.0,19.75,2017-02-09
MINT,3734508,3379400,132166363.0,119136650.0,13.04,2017-02-10
MINT,1786010,1332834,63091300.0,47019421.5,15.35,2017-02-14
MINT,3374115,538900,118822870.0,18893120.0,21.82,2017-02-15
MINT,1869717,1104692,65301869.0,38507864.0,13.33,2017-02-16
MINT,2544402,1894700,88439244.5,65849375.0,30.17,2017-02-17
MINT,655702,836300,22899794.5,29162500.0,16.1,2017-02-20
MINT,2506142,2330102,85577900.5,79401918.0,7.42,2017-02-21
MINT,1042700,919220,35391775.0,31186531.0,5.92,2017-02-22
MINT,603003,1437100,20238901.25,48212750.0,7.35,2017-02-23
MINT,1693756,2105600,57520620.75,71367900.0,20.14,2017-02-24
MINT,322702,3163900,11027317.5,108289000.0,21.96,2017-02-27
MINT,2864598,3474044,99328263.0,120451740.0,19.53,2017-02-28
MINT,2509400,2178138,87136225.0,75561046.75,25.53,2017-03-01
MINT,1640300,2814900,56821500.0,97400575.0,24.55,2017-03-02
MINT,540200,389300,18747100.0,13497675.0,11.9,2017-03-03
MINT,510502,1432994,17874769.5,50073378.0,20.28,2017-03-06
MINT,1296800,1458900,44937825.0,50480125.0,22.82,2017-03-07
MINT,1428400,1382577,49323100.0,47791293.0,21.26,2017-03-08
MINT,971400,1132500,33342300.0,38703300.0,20.2,2017-03-09
MINT,582901,849089,19966059.0,28964231.0,17.75,2017-03-10
MINT,710400,555100,24316950.0,18957775.0,9.22,2017-03-13
MINT,1763701,1478369,60007634.0,50301311.5,20.4,2017-03-14
MINT,1840411,872263,62968726.5,29789567.5,22.49,2017-03-15
