Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
MK,10800,155600,43342.0,623636.0,11.27,2017-01-04
MK,17300,166100,69758.0,667310.0,12.15,2017-01-05
MK,51200,1101600,205184.0,4406478.0,10.99,2017-01-06
MK,3000,189200,12094.0,757706.0,10.42,2017-01-09
MK,35800,365700,143394.0,1460224.0,16.0,2017-01-10
MK,77200,542700,311520.0,2184682.0,11.38,2017-01-11
MK,33500,840508,133882.0,3351975.84,10.98,2017-01-12
MK,10400,415500,41426.0,1651166.0,10.44,2017-01-13
MK,100,199600,398.0,793202.0,10.72,2017-01-16
MK,82300,491400,327196.0,1948116.0,12.14,2017-01-17
MK,500,362700,1970.0,1430290.0,10.61,2017-01-18
MK,2000,325300,7880.0,1281222.0,15.9,2017-01-19
MK,1500,252100,5970.0,1004016.0,10.29,2017-01-20
MK,77400,903000,319036.0,3643420.0,2.48,2017-01-23
MK,43600,4000,178142.0,16440.0,0.69,2017-01-24
MK,0,155100,0.0,637078.0,1.04,2017-01-25
MK,0,8300,0.0,34248.0,0.09,2017-01-26
MK,10800,0,43920.0,0.0,0.32,2017-01-27
MK,59500,0,242882.0,0.0,2.53,2017-01-30
MK,50900,600,206300.0,2424.0,0.94,2017-01-31
MK,0,8900,0.0,36134.0,0.77,2017-02-01
MK,0,1600,0.0,6508.0,0.06,2017-02-02
MK,1300,59900,5330.0,245694.0,0.59,2017-02-03
MK,1500,0,6224.0,0.0,0.03,2017-02-06
MK,29600,0,120066.0,0.0,0.62,2017-02-07
MK,137400,0,557924.0,0.0,6.92,2017-02-08
MK,12100,0,49058.0,0.0,0.77,2017-02-09
MK,34200,0,138852.0,0.0,3.05,2017-02-10
MK,5300,0,21412.0,0.0,0.23,2017-02-14
MK,0,41400,0.0,165764.0,2.19,2017-02-15
MK,0,12500,0.0,50302.0,0.97,2017-02-16
MK,0,400,0.0,1624.0,0.12,2017-02-17
MK,0,32100,0.0,129042.0,2.74,2017-02-20
MK,124200,28400,501020.0,114232.0,12.35,2017-02-21
MK,93700,39000,378238.0,156770.0,10.57,2017-02-22
MK,108600,41900,436848.0,168438.0,6.85,2017-02-23
MK,16700,39500,67368.0,158790.0,6.3,2017-02-24
MK,2000,105800,8000.0,422638.0,9.29,2017-02-27
MK,2100,344600,8320.0,1371400.0,12.09,2017-02-28
MK,2000,1631600,7920.0,6474296.0,32.6,2017-03-01
MK,0,2093900,0.0,8291844.0,39.09,2017-03-02
MK,5000,1758300,19600.0,6882940.0,22.8,2017-03-03
MK,0,853500,0.0,3346340.0,16.29,2017-03-06
MK,1000,1492500,3900.0,5820850.0,25.43,2017-03-07
MK,7000,1055700,26900.0,4076480.0,22.5,2017-03-08
MK,0,805800,0.0,3111092.0,30.41,2017-03-09
MK,100,663800,386.0,2549824.0,20.89,2017-03-10
MK,0,318500,0.0,1223956.0,20.15,2017-03-13
MK,0,322400,0.0,1245068.0,27.85,2017-03-14
MK,0,1298900,0.0,5044326.0,25.68,2017-03-15
MK,20300,1112400,79080.0,4341108.0,21.79,2017-03-16
MK,21300,0,83166.0,0.0,0.43,2017-03-17
MK,25300,100,101092.0,404.0,0.37,2017-03-20
MK,0,2600,0.0,10608.0,0.07,2017-03-21
MK,8200,270200,33620.0,1105922.0,3.43,2017-03-22
MK,6600,2000,27116.0,8220.0,0.34,2017-03-23
MK,200,2900,820.0,11890.0,0.06,2017-03-24
MK,11300,0,46330.0,0.0,0.35,2017-03-27
MK,68000,0,277968.0,0.0,1.74,2017-03-28
MK,57400,0,235340.0,0.0,3.12,2017-03-29
MK,111600,2500,455328.0,10200.0,6.29,2017-03-30
MK,24800,145800,101184.0,593018.0,9.93,2017-03-31
MK,66600,180000,271728.0,734400.0,16.49,2017-04-03
MK,52000,0,212160.0,0.0,1.03,2017-04-04
MK,70900,119300,289272.0,485746.0,5.27,2017-04-05
MK,0,276800,0.0,1128256.0,14.88,2017-04-07
MK,8200,0,33446.0,0.0,0.38,2017-04-10
MK,16700,0,68136.0,0.0,0.88,2017-04-11
MK,14100,0,57528.0,0.0,0.63,2017-04-12
MK,22600,0,91756.0,0.0,0.77,2017-04-17
MK,26300,0,106778.0,0.0,0.86,2017-04-18
MK,21700,20000,88102.0,81200.0,0.62,2017-04-19
MK,4500,0,18270.0,0.0,0.18,2017-04-20
MK,10900,172700,44180.0,698396.0,4.17,2017-04-21
MK,16900,4800,68876.0,19582.0,0.46,2017-04-24
MK,100,6700,408.0,27202.0,0.16,2017-04-25
MK,0,22400,0.0,90944.0,0.59,2017-04-26
MK,0,400,0.0,1632.0,0.03,2017-04-27
MK,28300,0,115464.0,0.0,0.96,2017-04-28
MK,264900,0,1081316.0,0.0,3.66,2017-05-02
MK,18600,30000,75924.0,123000.0,0.53,2017-05-03
MK,281500,0,1084834.0,0.0,1.61,2017-05-04
MK,84600,0,323172.0,0.0,1.2,2017-05-05
MK,117100,0,447466.0,0.0,2.72,2017-05-08
MK,67800,33300,258956.0,126482.0,1.31,2017-05-09
MK,0,294600,0.0,1113062.0,4.54,2017-05-11
MK,40000,165400,149600.0,620398.0,5.03,2017-05-12
MK,59200,2465500,216856.0,9096648.0,30.98,2017-05-15
MK,10100,3000100,36966.0,11018672.0,40.11,2017-05-16
MK,32200,572500,117852.0,2097084.0,35.39,2017-05-17
MK,0,1099500,0.0,4014598.0,22.13,2017-05-18
MK,0,474500,0.0,1727180.0,16.2,2017-05-19
MK,61200,1131500,224046.0,4129138.0,40.11,2017-05-22
MK,64400,1250000,234742.0,4550000.0,39.19,2017-05-23
MK,77600,1190200,283232.0,4347132.0,30.54,2017-05-24
