Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
NEP,5000,6600,1850.0,2508.0,0.06,2017-01-04
NEP,5000,13400,1900.0,5092.0,0.06,2017-01-05
NEP,5000,0,1850.0,0.0,0.08,2017-01-06
NEP,1000,5000,370.0,1900.0,0.07,2017-01-09
NEP,0,1000,0.0,380.0,0.01,2017-01-10
NEP,10000,0,3700.0,0.0,0.16,2017-01-11
NEP,100000,44800,38000.0,17372.0,0.36,2017-01-12
NEP,5000,0,1900.0,0.0,0.03,2017-01-13
NEP,5000,0,1900.0,0.0,0.11,2017-01-16
NEP,110000,328100,40700.0,124678.0,3.1,2017-01-17
NEP,10000,0,3700.0,0.0,0.09,2017-01-18
NEP,6000,0,2170.0,0.0,0.05,2017-01-19
NEP,10000,5000,3700.0,1850.0,0.1,2017-01-20
NEP,200000,30000,76000.0,11500.0,1.17,2017-01-24
NEP,50000,0,19500.0,0.0,1.0,2017-01-25
NEP,0,549500,0.0,214305.0,2.11,2017-01-27
NEP,3500,0,1400.0,0.0,0.06,2017-01-30
NEP,0,37000,0.0,14730.0,0.59,2017-01-31
NEP,0,600000,0.0,234000.0,3.09,2017-02-02
NEP,54800,5100000,21920.0,1990000.0,8.84,2017-02-03
NEP,0,54800,0.0,21920.0,0.21,2017-02-06
NEP,0,400000,0.0,160000.0,0.73,2017-02-07
NEP,5000,0,1800.0,0.0,0.01,2017-02-14
NEP,0,5000,0.0,1800.0,0.03,2017-02-15
NEP,200000,0,72000.0,0.0,1.93,2017-02-20
NEP,50000,0,18000.0,0.0,0.54,2017-02-22
NEP,50000,0,17500.0,0.0,0.78,2017-03-01
NEP,40000,0,13600.0,0.0,0.65,2017-03-08
NEP,25100,0,8483.0,0.0,0.15,2017-03-23
NEP,1643200,1550000,574788.0,540883.0,9.04,2017-03-24
NEP,0,33200,0.0,11288.0,0.9,2017-03-27
NEP,0,50000,0.0,17000.0,3.14,2017-03-29
NEP,120000,5000,41800.0,1700.0,6.92,2017-03-30
NEP,0,99,0.0,23.76,0.01,2017-03-31
NEP,0,101,0.0,24.24,0.0,2017-04-04
NEP,0,50000,0.0,17000.0,1.83,2017-04-10
NEP,0,150000,0.0,51000.0,10.52,2017-04-24
NEP,0,50000,0.0,17000.0,1.13,2017-04-25
NEP,0,50000,0.0,17500.0,1.37,2017-05-04
NEP,50000,500000,17500.0,175000.0,9.17,2017-05-05
NEP,0,80000,0.0,28000.0,4.64,2017-05-08
NEP,100000,0,34000.0,0.0,0.21,2017-05-15
NEP,160000,0,54400.0,0.0,1.34,2017-05-25
NEP,0,10000,0.0,3400.0,0.82,2017-06-07
NEP,0,10000,0.0,3400.0,0.27,2017-06-21
NEP,30000,0,10500.0,0.0,1.21,2017-06-26
NEP,681800,0,231812.0,0.0,10.02,2017-06-30
NEP,500000,0,185000.0,0.0,3.08,2017-07-27
NEP,0,50000,0.0,19000.0,0.44,2017-08-01
NEP,0,110000,0.0,42900.0,0.6,2017-08-03
NEP,100000,950500,42000.0,386005.0,1.28,2017-08-04
NEP,113000,0,47080.0,0.0,0.29,2017-08-07
NEP,100000,38000,40000.0,15580.0,1.2,2017-08-08
NEP,0,36000,0.0,14760.0,0.27,2017-08-09
NEP,29800,50000,12218.0,21000.0,0.26,2017-08-10
NEP,80000,29800,33600.0,11920.0,0.57,2017-08-11
NEP,0,255000,0.0,104550.0,1.81,2017-08-15
NEP,200000,500000,82000.0,205000.0,10.19,2017-08-16
NEP,0,50000,0.0,21000.0,0.56,2017-08-17
NEP,750000,0,300000.0,0.0,10.59,2017-08-21
NEP,15000,0,5850.0,0.0,0.24,2017-08-29
NEP,0,4900,0.0,1960.0,0.26,2017-08-30
NEP,5000,0,2000.0,0.0,0.27,2017-08-31
NEP,1000,0,420.0,0.0,0.02,2017-09-07
NEP,15000,50000,6150.0,21000.0,0.58,2017-09-08
NEP,100000,0,42000.0,0.0,2.39,2017-09-12
NEP,530000,0,217300.0,0.0,12.85,2017-09-15
NEP,177000,0,72570.0,0.0,13.09,2017-09-19
NEP,0,1000,0.0,400.0,0.11,2017-09-28
NEP,200000,0,84000.0,0.0,0.93,2017-10-02
NEP,0,50000,0.0,21500.0,0.35,2017-10-03
NEP,100000,0,43000.0,0.0,1.4,2017-10-04
NEP,250000,0,107500.0,0.0,4.92,2017-10-05
NEP,550000,50000,236500.0,21500.0,14.89,2017-10-06
NEP,1045400,54200,475746.0,24932.0,2.15,2017-10-09
NEP,53000,23800,23850.0,10948.0,1.4,2017-10-10
NEP,100000,0,46000.0,0.0,2.52,2017-10-11
NEP,0,12500,0.0,5625.0,0.22,2017-10-12
NEP,200000,300000,90000.0,136000.0,5.14,2017-10-16
NEP,675000,0,303750.0,0.0,23.6,2017-10-17
NEP,500000,0,225000.0,0.0,8.61,2017-10-18
NEP,334400,70000,150480.0,31500.0,22.29,2017-10-19
NEP,1000000,0,450000.0,0.0,25.15,2017-10-20
NEP,740500,900000,322822.0,415000.0,2.98,2017-10-24
NEP,400100,53000,168042.0,22790.0,1.86,2017-10-25
NEP,800000,0,352000.0,0.0,4.49,2017-10-27
NEP,3600000,0,1566000.0,0.0,14.64,2017-10-30
NEP,600000,900000,270000.0,405000.0,24.22,2017-11-10
NEP,0,100000,0.0,45000.0,3.21,2017-11-13
NEP,561400,600000,252630.0,270000.0,22.76,2017-11-14
NEP,300000,650000,138000.0,299000.0,12.6,2017-11-16
NEP,22200,669500,10434.0,314665.0,23.21,2017-11-20
NEP,150000,0,70500.0,0.0,8.17,2017-11-23
NEP,100000,0,47000.0,0.0,12.92,2017-11-24
NEP,470000,0,220894.0,0.0,40.25,2017-11-28
NEP,0,10000,0.0,4700.0,0.7,2017-12-01
NEP,487300,0,224158.0,0.0,19.82,2017-12-04
NEP,385700,20000,177422.0,9200.0,19.48,2017-12-06
NEP,170200,30000,78292.0,13800.0,11.64,2017-12-07
NEP,100000,20000,45500.0,9200.0,1.49,2017-12-08
NEP,300000,1000000,135000.0,450000.0,32.41,2017-12-12
NEP,525000,0,236250.0,0.0,23.61,2017-12-14
NEP,125200,0,56340.0,0.0,5.45,2017-12-15
NEP,5000,0,2150.0,0.0,0.11,2017-12-19
NEP,100000,0,43000.0,0.0,3.15,2017-12-20
NEP,43700,0,19228.0,0.0,3.05,2018-01-03
NEP,0,10000,0.0,4400.0,0.78,2018-01-04
NEP,190000,290000,83600.0,127600.0,25.38,2018-01-08
NEP,0,839100,0.0,369204.0,29.96,2018-01-09
NEP,0,543000,0.0,238920.0,22.46,2018-01-10
NEP,200000,1174400,88000.0,516736.0,29.4,2018-01-11
NEP,0,798000,0.0,351120.0,38.31,2018-01-12
NEP,150000,437500,64500.0,192500.0,8.78,2018-01-15
NEP,0,398000,0.0,175120.0,16.9,2018-01-16
NEP,20000,0,9000.0,0.0,2.45,2018-01-24
