Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
NOK,10200,6000,76135.0,44700.0,3.07,2017-01-04
NOK,207400,200000,1534575.0,1470325.0,24.81,2017-01-05
NOK,7900,0,58565.0,0.0,0.35,2017-01-06
NOK,7300,400,54020.0,2960.0,0.71,2017-01-09
NOK,7200,3000,53280.0,22200.0,0.87,2017-01-10
NOK,24300,2000,181190.0,15100.0,0.66,2017-01-11
NOK,5800,100,43790.0,750.0,0.66,2017-01-12
NOK,500,20000,3750.0,149000.0,6.56,2017-01-13
NOK,1800,1500,13500.0,11300.0,0.7,2017-01-16
NOK,13700,1000,103220.0,7600.0,2.39,2017-01-17
NOK,5900,200,44270.0,1490.0,0.51,2017-01-18
NOK,0,27800,0.0,204220.0,4.23,2017-01-19
NOK,0,7200,0.0,52920.0,3.04,2017-01-20
NOK,1700,1000,12580.0,7400.0,0.14,2017-01-23
NOK,10500,0,79185.0,0.0,0.4,2017-01-24
NOK,10100,0,76110.0,0.0,0.56,2017-01-25
NOK,2200,8200,16610.0,62280.0,0.48,2017-01-26
NOK,11100,5300,81585.0,39055.0,0.51,2017-01-27
NOK,1500,9800,11065.0,72270.0,1.06,2017-01-30
NOK,104500,500,767910.0,3675.0,12.35,2017-01-31
NOK,600,5200,4350.0,38210.0,0.58,2017-02-01
NOK,0,10800,0.0,79380.0,1.72,2017-02-02
NOK,0,13800,0.0,101965.0,2.13,2017-02-03
NOK,0,8800,0.0,64965.0,1.57,2017-02-06
NOK,0,17300,0.0,127895.0,2.39,2017-02-07
NOK,3000,700,22200.0,5180.0,0.7,2017-02-08
NOK,3100,900,22845.0,6630.0,0.38,2017-02-09
NOK,0,381100,0.0,2824185.0,26.49,2017-02-10
NOK,800,12300,5920.0,90635.0,4.48,2017-02-14
NOK,0,10700,0.0,78195.0,4.05,2017-02-15
NOK,0,29700,0.0,218395.0,1.46,2017-02-16
NOK,0,2600,0.0,19445.0,0.17,2017-02-17
NOK,2900,3700,21975.0,27935.0,0.18,2017-02-20
NOK,503300,7400,3860455.0,56645.0,13.37,2017-02-21
NOK,562300,8500,4302700.0,65305.0,9.65,2017-02-22
NOK,1430500,638500,11529255.0,5199665.0,4.89,2017-02-23
