Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage,Date
NPPG,3546200,1600,4385146.0,1973.0,14.07,2017-01-04
NPPG,200000,2806600,232000.0,3234701.0,11.18,2017-01-05
NPPG,29300,0,32816.0,0.0,0.31,2017-01-06
NPPG,139100,0,157747.0,0.0,3.45,2017-01-10
NPPG,65400,3100,74502.0,3565.0,0.85,2017-01-11
NPPG,1100,106800,1222.0,119616.0,2.91,2017-01-12
NPPG,3600,1800,3996.0,2016.0,0.16,2017-01-13
NPPG,32200,3900,36064.0,4368.0,1.6,2017-01-16
NPPG,0,1886,0.0,2109.38,0.05,2017-01-17
NPPG,0,9000,0.0,10011.0,0.33,2017-01-18
NPPG,277000,4800,307470.0,5328.0,17.96,2017-01-19
NPPG,432800,645900,502193.0,735211.0,2.44,2017-01-20
NPPG,21200,97600,24214.0,112141.0,0.92,2017-01-23
NPPG,0,118000,0.0,134559.0,1.89,2017-01-24
NPPG,10800,362400,12212.0,409546.0,3.65,2017-01-25
NPPG,25500,11700,28943.0,13288.0,0.98,2017-01-26
NPPG,7700,0,8774.0,0.0,0.21,2017-01-27
NPPG,45500,0,51910.0,0.0,0.69,2017-01-30
NPPG,23900,136800,27485.0,157320.0,2.35,2017-01-31
NPPG,167200,87300,193952.0,102674.0,1.43,2017-02-01
NPPG,0,43300,0.0,50234.0,0.26,2017-02-02
NPPG,0,15000,0.0,17100.0,0.16,2017-02-03
NPPG,390000,300000,440900.0,342000.0,4.73,2017-02-06
NPPG,289800,0,322776.0,0.0,1.2,2017-02-07
NPPG,3500,2082200,3853.0,2290420.0,6.1,2017-02-08
NPPG,6900,610100,7677.0,680144.0,3.95,2017-02-09
NPPG,20200,0,22018.0,0.0,0.17,2017-02-10
NPPG,0,340000,0.0,370600.0,14.86,2017-02-16
NPPG,51800,100000,57398.0,113000.0,0.56,2017-02-17
NPPG,303600,0,330924.0,0.0,7.0,2017-02-20
NPPG,91100,4300,99299.0,4687.0,3.85,2017-02-21
NPPG,5100,50400,5559.0,54936.0,1.9,2017-02-22
NPPG,1100,0,1188.0,0.0,0.06,2017-02-23
NPPG,42900,82900,46332.0,90790.0,10.14,2017-02-24
NPPG,120000,136100,125700.0,144971.0,2.76,2017-02-27
NPPG,5200,80000,5412.0,84000.0,2.58,2017-02-28
NPPG,1364200,26653800,1256252.0,25071712.0,24.27,2017-03-02
NPPG,205000,801600,182475.0,721426.0,8.24,2017-03-03
NPPG,177600,200000,158064.0,182000.0,7.34,2017-03-06
NPPG,33100,667094,29998.0,606789.54,6.57,2017-03-07
NPPG,18900,1255400,17194.0,1128229.0,15.79,2017-03-08
NPPG,33600,726100,30840.0,653874.0,8.49,2017-03-09
NPPG,200000,2100,178000.0,1902.0,4.94,2017-03-10
NPPG,387100,4300,342519.0,3677.0,6.68,2017-03-13
NPPG,279100,200000,240026.0,172000.0,13.57,2017-03-14
NPPG,1800,257100,1597.0,225796.0,8.89,2017-03-15
NPPG,107200,5400,93465.0,4698.0,2.93,2017-03-16
NPPG,117900,0,103752.0,0.0,6.53,2017-03-17
NPPG,40100,1156000,36138.0,1048400.0,9.51,2017-03-20
NPPG,25400,200,22860.0,180.0,1.16,2017-03-21
NPPG,27200,251100,24208.0,225980.0,6.73,2017-03-22
